node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
3300	[3300] cluster hlh-16	WBGene00013485	Y69H2.10	474.02	0.635	False	ABalapaappa WBbt:0006196	intestine WBbt:0005772; amphid sheath cell WBbt:0006754; ABprapppaa WBbt:0006234; epithelial system WBbt:0005730; ABplapppaa WBbt:0005935; nervous system WBbt:0005735; ABprpppapa WBbt:0006044; ABplpppapa WBbt:0006488
3300	[3300] cluster hlh-16	WBGene00005389	srh-173	148.13	0.619	True	ABalapaappa WBbt:0006196	ABalaappppa WBbt:0006560; ABalappppaa WBbt:0006522; ABalppapppa WBbt:0006463; hermaphrodite WBbt:0007849; anchor cell WBbt:0004522; ABaraapppaa WBbt:0006566; ABarapppppa WBbt:0006203; ABalapappaa WBbt:0006542; nervous system WBbt:0005735; ABalapaappa WBbt:0006196; somatic gonad WBbt:0005785; ABalaaaala WBbt:0005966; ABaraapapaa WBbt:0006455; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; ABalaapaaa WBbt:0006732
3300	[3300] cluster hlh-16	WBGene00001960	hlh-16	15494.03	0.602	False	ABalapaappa WBbt:0006196	SMD WBbt:0005353; ABalappapa WBbt:0006412; SIB WBbt:0005359; IL socket cell WBbt:0008418; AVE WBbt:0006819; SIA WBbt:0005361; nociceptor neuron WBbt:0008434; K' cell WBbt:0004497; ABalaaaarr WBbt:0006500; AVA WBbt:0005842; ABprpaapap WBbt:0006105; ABalppappa WBbt:0005975; ASJ WBbt:0005667; ABalaaaarl WBbt:0005945; RIA WBbt:0006833; ABalapaaaa WBbt:0006002; lateral ganglion right WBbt:0005101; ADE sheath cell WBbt:0008411; ADF WBbt:0005660; osmosensory neuron WBbt:0008433; ABarappppa WBbt:0006687; amphid sheath cell WBbt:0006754; PDE socket cell WBbt:0008421; Y cell WBbt:0004578; ASI WBbt:0005666; somatic nervous system WBbt:0005760; phasmid socket cell WBbt:0008410; amphid socket cell WBbt:0008379; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; ABalaapppa WBbt:0006026; AWA WBbt:0005670; ABplpaaaaa WBbt:0005893; ABalapaapa WBbt:0005981; nervous system WBbt:0005735; ABplpaapap WBbt:0006556; F cell WBbt:0004799; ABprpaaaaa WBbt:0006027; OL sheath cell WBbt:0008413; ABprpaaaap WBbt:0006721; pharynx WBbt:0003681; K cell WBbt:0004499; B cell WBbt:0003825; thermosensory neuron WBbt:0005838; lateral ganglion left WBbt:0005103; ABplpaaaap WBbt:0006528; ADL WBbt:0005661; ASG WBbt:0005664; germ line WBbt:0005784; AWB WBbt:0005671; phasmid sheath cell WBbt:0006755; AIY WBbt:0005413; U cell WBbt:0004942; ASE WBbt:0005663; reproductive system WBbt:0005747; ADE socket cell WBbt:0008416; ASK WBbt:0005668; OL socket cell WBbt:0008419; PDE sheath cell WBbt:0008415; cephalic sheath cell WBbt:0008406
3300	[3300] cluster hlh-16	WBGene00011101	R07D5.2	355.51	0.506	False	ABalapaappa WBbt:0006196	ABalappapa WBbt:0006412; IL socket cell WBbt:0008418; DA1 WBbt:0004871; AS11 WBbt:0003905; AVF WBbt:0003851; ABalapppaa WBbt:0006703; AVA WBbt:0005842; AUA WBbt:0006817; VA10 WBbt:0004649; DB2 WBbt:0004845; VB2 WBbt:0004641; VA1 WBbt:0004872; ABalapaaaa WBbt:0006002; lateral ganglion right WBbt:0005101; VA2 WBbt:0004870; AVG WBbt:0003850; ADE sheath cell WBbt:0008411; VD12 WBbt:0004587; intestine WBbt:0005772; amphid sheath cell WBbt:0006754; AS9 WBbt:0003907; PDE socket cell WBbt:0008421; ABalappaap WBbt:0006727; DA9 WBbt:0004857; PDB WBbt:0004385; VA12 WBbt:0004645; CAN WBbt:0006827; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; phasmid socket cell WBbt:0008410; amphid socket cell WBbt:0008379; DA3 WBbt:0004867; epithelial system WBbt:0005730; ABalaapppa WBbt:0006026; VA11 WBbt:0004647; VA3 WBbt:0004868; ABalapaapa WBbt:0005981; AS1 WBbt:0003925; VB3 WBbt:0004639; OL sheath cell WBbt:0008413; retrovesicular ganglion WBbt:0005656; PLN WBbt:0006855; RIS WBbt:0005045; VA4 WBbt:0004866; lateral ganglion left WBbt:0005103; ABarpaaa WBbt:0006398; ALN WBbt:0006851; SAB WBbt:0005396; hyp3 WBbt:0004690; VB1 WBbt:0004643; SDQ WBbt:0006844; phasmid sheath cell WBbt:0006755; posterior lateral ganglion WBbt:0005465; ADE socket cell WBbt:0008416; OL socket cell WBbt:0008419; PDE sheath cell WBbt:0008415; AS10 WBbt:0003906; preanal ganglion WBbt:0005448; cephalic sheath cell WBbt:0008406
3300	[3300] cluster hlh-16	WBGene00006575	tir-1	3544.88	0.425	False	ABalapaappa WBbt:0006196	ABplaapaap WBbt:0006518; pm5 WBbt:0003737; ABpraapaaa WBbt:0005888; nociceptor neuron WBbt:0008434; excretory system WBbt:0005736; ASJ WBbt:0005667; ABplaapaaa WBbt:0006069; corpus WBbt:0003733; lateral ganglion right WBbt:0005101; ADF WBbt:0005660; osmosensory neuron WBbt:0008433; ABplppppap WBbt:0005919; anterior ganglion WBbt:0005375; intestine WBbt:0005772; PVD WBbt:0006831; ASI WBbt:0005666; phasmid socket cell WBbt:0008410; gonadal primordium WBbt:0008366; pm4 WBbt:0003739; epithelial system WBbt:0005730; OLL WBbt:0006847; CEPsoVL WBbt:0004918; tail hypodermis WBbt:0006978; AWA WBbt:0005670; ABplpappaa WBbt:0006551; ABprpppapa WBbt:0006044; ABpraaaapa WBbt:0006376; AWCR WBbt:0003826; ABprpaaaap WBbt:0006721; pharynx WBbt:0003681; ABalpppapa WBbt:0005930; thermosensory neuron WBbt:0005838; excretory secretory system WBbt:0006850; lateral ganglion left WBbt:0005103; ABplpaaaap WBbt:0006528; ADL WBbt:0005661; ABarpaaa WBbt:0006398; ABplpppapa WBbt:0006488; ASG WBbt:0005664; germ line WBbt:0005784; AWB WBbt:0005671; CEPsoDL WBbt:0004921; pm3 WBbt:0003740; AWCL WBbt:0003827; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive system WBbt:0005747; ASK WBbt:0005668; ABpraapaap WBbt:0006373; ABprppppap WBbt:0006439
3300	[3300] cluster hlh-16	WBGene00000870	cyd-1	1182.05	0.425	False	ABalapaappa WBbt:0006196	OLQ WBbt:0006848; ADE WBbt:0005415; pm8 WBbt:0004302; GLR WBbt:0005176; nociceptor neuron WBbt:0008434; K' cell WBbt:0004497; ABalppappp WBbt:0006694; ASJ WBbt:0005667; Z1.p WBbt:0007023; CEP WBbt:0005244; Q cell WBbt:0008598; ABprapaaaa WBbt:0006648; hermaphrodite WBbt:0007849; anchor cell WBbt:0004522; spermatheca WBbt:0005319; ADF WBbt:0005660; osmosensory neuron WBbt:0008433; intestine WBbt:0005772; ABalaapppp WBbt:0006461; male distal tip cell WBbt:0006864; Y cell WBbt:0004578; PHB WBbt:0007808; PHA WBbt:0007807; BAG WBbt:0006825; PVD WBbt:0006831; lumbar ganglion right WBbt:0005601; ASI WBbt:0005666; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; ABalapaapp WBbt:0006504; ABalpappaa WBbt:0006051; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; OLL WBbt:0006847; ABarappppp WBbt:0006094; PQR WBbt:0004096; Z4.a WBbt:0007025; AQR WBbt:0003927; AWA WBbt:0005670; midbody WBbt:0005740; ABplapaaap WBbt:0006317; oocyte WBbt:0006797; nervous system WBbt:0005735; ABalappppa WBbt:0006133; FLP WBbt:0006828; somatic gonad WBbt:0005785; F cell WBbt:0004799; PDE WBbt:0006747; pharynx WBbt:0003681; K cell WBbt:0004499; B cell WBbt:0003825; PVR WBbt:0004072; thermosensory neuron WBbt:0005838; ABarapapaa WBbt:0006001; ABplapaaaa WBbt:0006221; ADL WBbt:0005661; ABalpppppp WBbt:0006396; sex organ WBbt:0008422; ASG WBbt:0005664; germ line WBbt:0005784; AWB WBbt:0005671; ABplapappp WBbt:0006630; ABprapappp WBbt:0006587; U cell WBbt:0004942; ASE WBbt:0005663; muscular system WBbt:0005737; ABprapaaap WBbt:0005977; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; ASK WBbt:0005668; ABpraaappp WBbt:0006194
3300	[3300] cluster hlh-16	WBGene00010098	F55C5.10	175.19	0.396	False	ABalapaappa WBbt:0006196	MC neuron WBbt:0003638; corpus WBbt:0003733; RIC WBbt:0006834; somatic nervous system WBbt:0005760; pharynx WBbt:0003681; lateral ganglion left WBbt:0005103; pharyngeal-intestinal valve WBbt:0005767
3300	[3300] cluster hlh-16	WBGene00004335	ref-2	650.07	0.388	True	ABalapaappa WBbt:0006196	MSaaap WBbt:0006160; ABaraaaa WBbt:0006360; MSppaa WBbt:0006531; ABplpppaaa WBbt:0006025; ABalaappppa WBbt:0006560; ABpraapaaa WBbt:0005888; P9 WBbt:0006778; ABalappppaa WBbt:0006522; ABplpapapa WBbt:0005908; excretory system WBbt:0005736; ABalaaaarr WBbt:0006500; P1 WBbt:0006770; P12 WBbt:0004409; P11 WBbt:0004410; IL1VR WBbt:0004547; MSaapp WBbt:0006425; IL1R WBbt:0004551; P2 WBbt:0006771; ABalaaaarl WBbt:0005945; ABalppapppa WBbt:0006463; P6.p WBbt:0006894; ABplaapaaa WBbt:0006069; IL1DR WBbt:0004737; CEP WBbt:0005244; P5 WBbt:0006774; G cell WBbt:0008599; ABplppppap WBbt:0005919; anterior ganglion WBbt:0005375; P6 WBbt:0006775; Y cell WBbt:0004578; MSpaap WBbt:0005878; somatic nervous system WBbt:0005760; ABprpppaaa WBbt:0006063; MSappp WBbt:0006125; epithelial system WBbt:0005730; P10 WBbt:0006779; ABprpapapa WBbt:0006487; ABarapppppa WBbt:0006203; P8.p WBbt:0006896; P8 WBbt:0006777; ABalapappaa WBbt:0006542; ABarapaa WBbt:0006515; nervous system WBbt:0005735; P5.p WBbt:0006893; ABalapaappa WBbt:0006196; ABaraapapp WBbt:0005999; B cell WBbt:0003825; IL1VL WBbt:0004549; P4.p WBbt:0006892; excretory secretory system WBbt:0006850; excretory gland cell WBbt:0005776; ABarpaaa WBbt:0006398; MSpapp WBbt:0006201; P7.p WBbt:0006895; ABaraapppp WBbt:0006127; MSappa WBbt:0006717; ABalaaaala WBbt:0005966; IL1DL WBbt:0004738; phasmid sheath cell WBbt:0006755; W cell WBbt:0004583; IL1L WBbt:0004553; P4 WBbt:0006773; P7 WBbt:0006776; ABprppppap WBbt:0006439; P3.p WBbt:0006891; ABalaapaaa WBbt:0006732
3300	[3300] cluster hlh-16	WBGene00004825	skr-19	59.25	0.293	True	ABalapaappa WBbt:0006196	ABalppppapa WBbt:0006705; ABalappapa WBbt:0006412; ABalaappppa WBbt:0006560; ABpraapaaa WBbt:0005888; OLQ WBbt:0006848; ABplapaaaap WBbt:0006592; ABalappppaa WBbt:0006522; ADE WBbt:0005415; ABalaaaarr WBbt:0006500; MSaapapa WBbt:0006323; ABalapppaa WBbt:0006703; ABprapaaapa WBbt:0006633; MSpaapaa WBbt:0006032; ABalaaaarl WBbt:0005945; ABalppapppa WBbt:0006463; ABplpaaapp WBbt:0005877; ABplaapaaa WBbt:0006069; ABprpaaappa WBbt:0006695; CEP WBbt:0005244; ABalapaaaa WBbt:0006002; Q cell WBbt:0008598; ABprapaaaa WBbt:0006648; ABplppaapa WBbt:0006205; lateral ganglion right WBbt:0005101; intestine WBbt:0005772; ABalppppaa WBbt:0006526; ABalappaap WBbt:0006727; PHB WBbt:0007808; ABpraapapa WBbt:0005872; PHA WBbt:0007807; ABaraapppaa WBbt:0006566; BAG WBbt:0006825; PVD WBbt:0006831; lumbar ganglion right WBbt:0005601; ABalapapapa WBbt:0006575; somatic nervous system WBbt:0005760; ABprapaaaap WBbt:0006184; gonadal primordium WBbt:0008366; ABprapppaa WBbt:0006234; MSpapapa WBbt:0006308; ABplaaaaapp WBbt:0006428; ABplpppaapa WBbt:0006503; epithelial system WBbt:0005730; OLL WBbt:0006847; PQR WBbt:0004096; ABplpaaapa WBbt:0006093; g2 WBbt:0003710; ABplapppaa WBbt:0005935; ABarapppppa WBbt:0006203; AQR WBbt:0003927; ABalapapap WBbt:0005910; ABprpaaapa WBbt:0006149; ABplpaaaaa WBbt:0005893; ABalapappaa WBbt:0006542; ABplapaaap WBbt:0006317; nervous system WBbt:0005735; FLP WBbt:0006828; ABalapaappa WBbt:0006196; ABprpppaapa WBbt:0006549; ABpraaaapa WBbt:0006376; ABprpaaaaa WBbt:0006027; ABarpapaaa WBbt:0006207; ABplpaaappa WBbt:0006600; ABprpaaaap WBbt:0006721; PDE WBbt:0006747; pharynx WBbt:0003681; ABprpaaapp WBbt:0005868; ABalpppapa WBbt:0005930; PVR WBbt:0004072; ABplaapapa WBbt:0006120; ABprppaapa WBbt:0006079; ABalapppap WBbt:0006015; ABplapaaaa WBbt:0006221; ABplpaaaap WBbt:0006528; ABpraaapaa WBbt:0006114; ABalaaaala WBbt:0005966; ABplaaaaaa WBbt:0006330; ABarpapaapp WBbt:0006075; ABplapaaapa WBbt:0006061; ABpraaapapa WBbt:0006404; ABaraapapaa WBbt:0006455; ABalapppapa WBbt:0006339; ASE WBbt:0005663; ABprapaaap WBbt:0005977; ABalaapaaa WBbt:0006732
3300	[3300] cluster hlh-16	WBGene00005387	srh-171	88.88	0.239	True	ABalapaappa WBbt:0006196	ABalaappppa WBbt:0006560; ABalappppaa WBbt:0006522; GLR WBbt:0005176; MSaapapa WBbt:0006323; ABalppapppa WBbt:0006463; AIA WBbt:0006812; lateral ganglion right WBbt:0005101; MSpapapa WBbt:0006308; ABarapppppa WBbt:0006203; ABalapappaa WBbt:0006542; nervous system WBbt:0005735; ABalapaappa WBbt:0006196; lateral ganglion left WBbt:0005103; ADL WBbt:0005661; muscular system WBbt:0005737
