node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
3301	[3301] cluster fbxa-3	WBGene00269431	T16A1.10	1094.68	0.604	True	ABplppaapa WBbt:0006205	ABalappapa WBbt:0006412; ABpraaapppp WBbt:0005931; ABpraapaaa WBbt:0005888; OLQ WBbt:0006848; ABplpaappa WBbt:0006670; ABplpapapa WBbt:0005908; ADE WBbt:0005415; ABprpaappa WBbt:0005940; MSpaaapa WBbt:0006241; ABplpapppa WBbt:0006225; ABalaaaarr WBbt:0006500; MSaapapa WBbt:0006323; ABalppappp WBbt:0006694; ABalppappa WBbt:0005975; MSpaapaa WBbt:0006032; ABalaaaarl WBbt:0005945; ABplpaaapp WBbt:0005877; ABplaapaaa WBbt:0006069; CEP WBbt:0005244; ABarapappa WBbt:0006309; ABalapaaaa WBbt:0006002; ABprpapppa WBbt:0005972; ABprapaaaa WBbt:0006648; ABplppaapa WBbt:0006205; MSpaaaaa WBbt:0006363; ABalppppaa WBbt:0006526; ABalpapppa WBbt:0006701; ABalaapppp WBbt:0006461; ABarappppa WBbt:0006687; ABalappaap WBbt:0006727; PHB WBbt:0007808; ABpraapapa WBbt:0005872; PHA WBbt:0007807; BAG WBbt:0006825; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; ABalpppppa WBbt:0006638; ABalapaapp WBbt:0006504; ABprapppaa WBbt:0006234; ABalpappaa WBbt:0006051; ABpraaappa WBbt:0006483; MSpapapa WBbt:0006308; ABplaaaaapp WBbt:0006428; ABplpppaapa WBbt:0006503; OLL WBbt:0006847; ABarappppp WBbt:0006094; PQR WBbt:0004096; ABplpaaapa WBbt:0006093; g2 WBbt:0003710; ABplapppaa WBbt:0005935; ABalppppppp WBbt:0006599; ABprpapapa WBbt:0006487; AQR WBbt:0003927; ABalapapap WBbt:0005910; ABalaapppa WBbt:0006026; ABprpaaapa WBbt:0006149; ABplpaaaaa WBbt:0005893; ABalapaapa WBbt:0005981; ABalappppa WBbt:0006133; FLP WBbt:0006828; ABprpppaapa WBbt:0006549; ABpraaaapa WBbt:0006376; ABprpaaaaa WBbt:0006027; ABarpapaaa WBbt:0006207; PDE WBbt:0006747; pharynx WBbt:0003681; ABaraapapp WBbt:0005999; ABprpaaapp WBbt:0005868; ABalpppapa WBbt:0005930; PVR WBbt:0004072; ABplaapapa WBbt:0006120; ABprppaapa WBbt:0006079; ABarapapaa WBbt:0006001; ABalapppap WBbt:0006015; ABplapaaaa WBbt:0006221; ABpraaapaa WBbt:0006114; ABaraappaa WBbt:0006636; striated muscle WBbt:0005779; ABaraapppp WBbt:0006127; ABalaaaala WBbt:0005966; ABplaaaaaa WBbt:0006330; ABarpapaapp WBbt:0006075; muscular system WBbt:0005737; Caapa WBbt:0006123; ABalaapaaa WBbt:0006732
3301	[3301] cluster fbxa-3	WBGene00000469	ces-2	941.02	0.581	False	ABplppaapa WBbt:0006205	ABplaapaap WBbt:0006518; ABplpppaaa WBbt:0006025; ABpraapaaa WBbt:0005888; OLQ WBbt:0006848; ADE WBbt:0005415; ABplpapppa WBbt:0006225; excretory system WBbt:0005736; ABalaaaarr WBbt:0006500; ABalppappp WBbt:0006694; ABprpaapap WBbt:0006105; Z1.p WBbt:0007023; ABalaaaarl WBbt:0005945; ABplpaaapp WBbt:0005877; ABplaapaaa WBbt:0006069; CEP WBbt:0005244; body wall WBbt:0005742; Q cell WBbt:0008598; ABprapaaaa WBbt:0006648; ABplppppap WBbt:0005919; ventral left quadrant body wall muscle WBbt:0005818; ABalaapppp WBbt:0006461; male distal tip cell WBbt:0006864; PHB WBbt:0007808; PHA WBbt:0007807; BAG WBbt:0006825; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; ABalapaapp WBbt:0006504; ABprpppaaa WBbt:0006063; epithelial system WBbt:0005730; OLL WBbt:0006847; ABarappppp WBbt:0006094; PQR WBbt:0004096; ABplpaaapa WBbt:0006093; Z4.a WBbt:0007025; ABprppaaaap WBbt:0006283; AQR WBbt:0003927; ABalapapap WBbt:0005910; ray WBbt:0006941; ABprpaaapa WBbt:0006149; ABalappppa WBbt:0006133; FLP WBbt:0006828; ABplpaapap WBbt:0006556; ABarpapaaa WBbt:0006207; ABprpaaaap WBbt:0006721; PDE WBbt:0006747; pharynx WBbt:0003681; mc3 WBbt:0003707; excretory duct cell WBbt:0004540; ABprpaaapp WBbt:0005868; PVR WBbt:0004072; excretory secretory system WBbt:0006850; ABalapppap WBbt:0006015; ABplapaaaa WBbt:0006221; ABplpaaaap WBbt:0006528; ABalpppppp WBbt:0006396; ABarpaaa WBbt:0006398; ABplppaaaap WBbt:0006414; striated muscle WBbt:0005779; ABplaaaaaa WBbt:0006330; male WBbt:0007850; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; ABpraapaap WBbt:0006373; ABprppppap WBbt:0006439; ABpraaappp WBbt:0006194
3301	[3301] cluster fbxa-3	WBGene00016547	C40A11.4	425.57	0.567	True	ABplppaapa WBbt:0006205	ABalappapa WBbt:0006412; gonad arm WBbt:0008629; RME WBbt:0005399; ABpraaapppp WBbt:0005931; hermaphrodite distal tip cell WBbt:0006863; OLQ WBbt:0006848; ABplpaappa WBbt:0006670; ABplpapapa WBbt:0005908; ADE WBbt:0005415; ABprpaappa WBbt:0005940; GLR WBbt:0005176; nociceptor neuron WBbt:0008434; ABalaaaarr WBbt:0006500; MSaapapa WBbt:0006323; ABalapppaa WBbt:0006703; ABprapaaapa WBbt:0006633; ABalppappp WBbt:0006694; ASJ WBbt:0005667; MSpaapaa WBbt:0006032; ABalaaaarl WBbt:0005945; ABplpaaapp WBbt:0005877; CEP WBbt:0005244; ABarapappa WBbt:0006309; ABalapaaaa WBbt:0006002; ABprpapppa WBbt:0005972; Q cell WBbt:0008598; hermaphrodite WBbt:0007849; ABplppaapa WBbt:0006205; lateral ganglion right WBbt:0005101; ADF WBbt:0005660; MSpaaaaa WBbt:0006363; osmosensory neuron WBbt:0008433; anterior ganglion WBbt:0005375; intestine WBbt:0005772; ABalppppaa WBbt:0006526; ABalpapppa WBbt:0006701; ABalaapppp WBbt:0006461; ABalappaap WBbt:0006727; PHB WBbt:0007808; ABpraapapa WBbt:0005872; PHA WBbt:0007807; ABaraapppaa WBbt:0006566; BAG WBbt:0006825; lumbar ganglion right WBbt:0005601; ASI WBbt:0005666; somatic nervous system WBbt:0005760; ABalpppppa WBbt:0006638; ABalapaapp WBbt:0006504; ABprapppaa WBbt:0006234; ABalpappaa WBbt:0006051; ABpraaappa WBbt:0006483; MSpapapa WBbt:0006308; ABplaaaaapp WBbt:0006428; ABplpppaapa WBbt:0006503; epithelial system WBbt:0005730; OLL WBbt:0006847; ABarappppp WBbt:0006094; PQR WBbt:0004096; ABpraaapppa WBbt:0006009; ABplapppaa WBbt:0005935; ABalppppppp WBbt:0006599; ABprpapapa WBbt:0006487; AQR WBbt:0003927; ABalapapap WBbt:0005910; ABalaapppa WBbt:0006026; AWA WBbt:0005670; ABplpaaaaa WBbt:0005893; ABalapaapa WBbt:0005981; ABalappppa WBbt:0006133; FLP WBbt:0006828; somatic gonad WBbt:0005785; ABprpppaapa WBbt:0006549; ABprpaaaaa WBbt:0006027; PDE WBbt:0006747; pharynx WBbt:0003681; ABaraapapp WBbt:0005999; dorso-rectal ganglion WBbt:0005212; ABprpaaapp WBbt:0005868; PVR WBbt:0004072; thermosensory neuron WBbt:0005838; ABplaapapa WBbt:0006120; ABprppaapa WBbt:0006079; ABarapapaa WBbt:0006001; ABalapppap WBbt:0006015; RID WBbt:0003938; lateral ganglion left WBbt:0005103; ADL WBbt:0005661; ABpraaapaa WBbt:0006114; ASG WBbt:0005664; ABalppppppa WBbt:0006166; ABaraappaa WBbt:0006636; germ line WBbt:0005784; AWB WBbt:0005671; ABaraapppp WBbt:0006127; ABalaaaala WBbt:0005966; intestinal muscle WBbt:0005796; ABarpapaapp WBbt:0006075; ABplapaaapa WBbt:0006061; ABaraapapaa WBbt:0006455; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive tract WBbt:0005744; ASK WBbt:0005668; Caapa WBbt:0006123; ABalaapaaa WBbt:0006732; cephalic sheath cell WBbt:0008406
3301	[3301] cluster fbxa-3	WBGene00020363	fbxa-3	2234.96	0.566	False	ABplppaapa WBbt:0006205	SIB WBbt:0005359; dorsal uterine cell WBbt:0006782; GLR WBbt:0005176; SIA WBbt:0005361; ABalaaaarr WBbt:0006500; MSpaapaa WBbt:0006032; ABalaaaarl WBbt:0005945; Q cell WBbt:0008598; corpus WBbt:0003733; hermaphrodite WBbt:0007849; anterior ganglion WBbt:0005375; DVB WBbt:0004822; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; epithelial system WBbt:0005730; CEPsoVL WBbt:0004918; somatic gonad WBbt:0005785; pharynx WBbt:0003681; dorso-rectal ganglion WBbt:0005212; coelomic system WBbt:0005749; thermosensory neuron WBbt:0005838; RIS WBbt:0005045; sex organ WBbt:0008422; germ line WBbt:0005784; striated muscle WBbt:0005779; NSM WBbt:0003666; muscular system WBbt:0005737; reproductive tract WBbt:0005744
3301	[3301] cluster fbxa-3	WBGene00000468	ces-1	698.62	0.563	True	ABplppaapa WBbt:0006205	DA6 WBbt:0004861; ABplpaappa WBbt:0006670; DA1 WBbt:0004871; ABplpapapa WBbt:0005908; ABprpaappa WBbt:0005940; I5 neuron WBbt:0004740; MSpaaapa WBbt:0006241; nociceptor neuron WBbt:0008434; DA8 WBbt:0004858; MSaapapa WBbt:0006323; ABalapppaa WBbt:0006703; DD1 WBbt:0004839; ABalppappa WBbt:0005975; ASJ WBbt:0005667; MSpaapaa WBbt:0006032; DA5 WBbt:0004863; VA1 WBbt:0004872; ABarapappa WBbt:0006309; DA4 WBbt:0004865; ABprpapppa WBbt:0005972; corpus WBbt:0003733; DD6 WBbt:0004824; ABplppaapa WBbt:0006205; lateral ganglion right WBbt:0005101; ADF WBbt:0005660; osmosensory neuron WBbt:0008433; ABalppppaa WBbt:0006526; ABalpapppa WBbt:0006701; ABarappppa WBbt:0006687; ABpraapapa WBbt:0005872; DA9 WBbt:0004857; VA12 WBbt:0004645; ASI WBbt:0005666; somatic nervous system WBbt:0005760; ABalpppppa WBbt:0006638; ABprapppaa WBbt:0006234; ABpraaappa WBbt:0006483; MSpapapa WBbt:0006308; DA3 WBbt:0004867; ABplapppaa WBbt:0005935; ABprpapapa WBbt:0006487; ABalaapppa WBbt:0006026; DA2 WBbt:0004869; AWA WBbt:0005670; ABplpaaaaa WBbt:0005893; VA3 WBbt:0004868; ABalapaapa WBbt:0005981; DD5 WBbt:0004825; ABprpaaaaa WBbt:0006027; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; ABaraapapp WBbt:0005999; thermosensory neuron WBbt:0005838; ABplaapapa WBbt:0006120; ABprppaapa WBbt:0006079; lateral ganglion left WBbt:0005103; DD3 WBbt:0004837; DD2 WBbt:0004838; ADL WBbt:0005661; SAB WBbt:0005396; ABpraaapaa WBbt:0006114; ASG WBbt:0005664; AWB WBbt:0005671; ABaraapppp WBbt:0006127; ABalaaaala WBbt:0005966; NSM WBbt:0003666; DA7 WBbt:0004859; DD4 WBbt:0004826; ASE WBbt:0005663; ASK WBbt:0005668; Caapa WBbt:0006123; ABalaapaaa WBbt:0006732; preanal ganglion WBbt:0005448
3301	[3301] cluster fbxa-3	WBGene00012113	T28B8.1	1460.07	0.548	True	ABplppaapa WBbt:0006205	ABalppppapa WBbt:0006705; ABalappapa WBbt:0006412; ABplaapaap WBbt:0006518; ABplpppaaa WBbt:0006025; ABalaappppa WBbt:0006560; VB5 WBbt:0004637; ABpraapaaa WBbt:0005888; ABplapaaaap WBbt:0006592; ABplpaappa WBbt:0006670; ABalappppaa WBbt:0006522; VB7 WBbt:0004631; ABplpapapa WBbt:0005908; ABplpppppp WBbt:0005960; ABprpaappa WBbt:0005940; I5 neuron WBbt:0004740; GLR WBbt:0005176; ABplpapppa WBbt:0006225; ABalaaaarr WBbt:0006500; ABalpapaap WBbt:0006023; ABalapppaa WBbt:0006703; URA WBbt:0005225; ABprapaaapa WBbt:0006633; ABprpaapap WBbt:0006105; ABalppappa WBbt:0005975; MSpaapaa WBbt:0006032; ABalaaaarl WBbt:0005945; ABalppapppa WBbt:0006463; ABplaapaaa WBbt:0006069; ABprpaaappa WBbt:0006695; ABalapaaaa WBbt:0006002; ABprpapppa WBbt:0005972; ABplapapppp WBbt:0006209; hermaphrodite WBbt:0007849; ABplppaapa WBbt:0006205; VB9 WBbt:0004627; ABprpppppp WBbt:0006430; MSpaaaaa WBbt:0006363; ABplppppap WBbt:0005919; intestine WBbt:0005772; LUA WBbt:0008031; ABarappppa WBbt:0006687; ABalappaap WBbt:0006727; ABpraapapa WBbt:0005872; ABarappaap WBbt:0006103; ABaraapppaa WBbt:0006566; ABarppaapp WBbt:0006393; ABalapapapa WBbt:0006575; somatic nervous system WBbt:0005760; ABprapaaaap WBbt:0006184; ABarpppapp WBbt:0006572; ABalpppppa WBbt:0006638; ABprpppaaa WBbt:0006063; ABalpappaa WBbt:0006051; ABpraaappa WBbt:0006483; ABplpppaapa WBbt:0006503; ABplpaaapa WBbt:0006093; head muscle WBbt:0006761; ABprppaaaap WBbt:0006283; ABprpapapa WBbt:0006487; ABarapppppa WBbt:0006203; ABalaapppa WBbt:0006026; ABprpaaapa WBbt:0006149; ABplpaaaaa WBbt:0005893; ABalapappaa WBbt:0006542; ABalapaapa WBbt:0005981; nervous system WBbt:0005735; ABalapaappa WBbt:0006196; ABplpaapap WBbt:0006556; VB3 WBbt:0004639; ABprpppaapa WBbt:0006549; VB8 WBbt:0004629; ABprpppapa WBbt:0006044; ABpraaaapa WBbt:0006376; ABprpaaaaa WBbt:0006027; ABarpapaaa WBbt:0006207; VB4 WBbt:0004638; ABplpaaappa WBbt:0006600; ABprpaaaap WBbt:0006721; pharynx WBbt:0003681; ABaraapapp WBbt:0005999; ABalpppapa WBbt:0005930; VB6 WBbt:0004633; ABplaapapa WBbt:0006120; ABprppaapa WBbt:0006079; ABarapapaa WBbt:0006001; ABplpaaaap WBbt:0006528; ABarpaaa WBbt:0006398; ABplpppapa WBbt:0006488; sex organ WBbt:0008422; ABplppaaaap WBbt:0006414; ABaraappaa WBbt:0006636; ABaraapppp WBbt:0006127; ABalaaaala WBbt:0005966; ABplaaaaaa WBbt:0006330; ABprapapppp WBbt:0006021; ABplapaaapa WBbt:0006061; ABpraaapapa WBbt:0006404; ABaraapapaa WBbt:0006455; ABalapppapa WBbt:0006339; muscular system WBbt:0005737; reproductive system WBbt:0005747; ABpraapaap WBbt:0006373; head mesodermal cell WBbt:0004697; ABprppppap WBbt:0006439; Caapa WBbt:0006123; ABalaapaaa WBbt:0006732
3301	[3301] cluster fbxa-3	WBGene00016077	C24H12.8	359.51	0.546	False	ABplppaapa WBbt:0006205	corpus WBbt:0003733; nervous system WBbt:0005735; pharynx WBbt:0003681; striated muscle WBbt:0005779; NSM WBbt:0003666; muscular system WBbt:0005737
3301	[3301] cluster fbxa-3	WBGene00077531	F40G9.15	486.87	0.516	True	ABplppaapa WBbt:0006205	ABalappapa WBbt:0006412; ABplpppaaa WBbt:0006025; ABplpaappa WBbt:0006670; ABplpapapa WBbt:0005908; ABplpppppp WBbt:0005960; pm8 WBbt:0004302; ABprpaappa WBbt:0005940; MSpaaapa WBbt:0006241; ABplpapppa WBbt:0006225; ABalaaaarr WBbt:0006500; ABalpapaap WBbt:0006023; MSaapapa WBbt:0006323; ABalapppaa WBbt:0006703; ABalppappa WBbt:0005975; MSpaapaa WBbt:0006032; ABalaaaarl WBbt:0005945; ABarapappa WBbt:0006309; ABalapaaaa WBbt:0006002; ABprpapppa WBbt:0005972; ABplapapppp WBbt:0006209; Q cell WBbt:0008598; ABplppaapa WBbt:0006205; ABprpppppp WBbt:0006430; MSpaaaaa WBbt:0006363; MSpapaapa WBbt:0006627; ABplppppap WBbt:0005919; intestine WBbt:0005772; ABalppppaa WBbt:0006526; ABalpapppa WBbt:0006701; ABarappppa WBbt:0006687; ABalappaap WBbt:0006727; ABarappaap WBbt:0006103; ABaraapppaa WBbt:0006566; ABprpppaaa WBbt:0006063; ABalpappaa WBbt:0006051; MSaapaapa WBbt:0006494; MSpapapa WBbt:0006308; ABplpppaapa WBbt:0006503; epithelial system WBbt:0005730; ABplpaaapa WBbt:0006093; g2 WBbt:0003710; ABprpapapa WBbt:0006487; ABprpaaapa WBbt:0006149; ABplpaaaaa WBbt:0005893; nervous system WBbt:0005735; ABprpppaapa WBbt:0006549; F cell WBbt:0004799; ABprpaaaaa WBbt:0006027; ABarpapaaa WBbt:0006207; pharynx WBbt:0003681; ABaraapapp WBbt:0005999; ABprppaapa WBbt:0006079; ABarapapaa WBbt:0006001; ABarpaaa WBbt:0006398; ABpraaapaa WBbt:0006114; ABaraappaa WBbt:0006636; germ line WBbt:0005784; ABaraapppp WBbt:0006127; ABalaaaala WBbt:0005966; ABplapappp WBbt:0006630; ABplaaaaaa WBbt:0006330; intestinal muscle WBbt:0005796; ABprapappp WBbt:0006587; ABprapapppp WBbt:0006021; male WBbt:0007850; U cell WBbt:0004942; ABaraapapaa WBbt:0006455; muscular system WBbt:0005737; reproductive system WBbt:0005747; ABprppppap WBbt:0006439; ABalaapaaa WBbt:0006732
3301	[3301] cluster fbxa-3	WBGene00013403	fbxb-100	238.86	0.505	True	ABplppaapa WBbt:0006205	ABalppppapa WBbt:0006705; ABalpppappp WBbt:0006623; ABplaapaap WBbt:0006518; ABalaappppa WBbt:0006560; ABpraaapppp WBbt:0005931; OLQ WBbt:0006848; ABplapaaaap WBbt:0006592; ABplpaappa WBbt:0006670; ABalappppaa WBbt:0006522; ABplpapapa WBbt:0005908; ADE WBbt:0005415; ABprpaappa WBbt:0005940; nociceptor neuron WBbt:0008434; ABalaaaarr WBbt:0006500; ABalapppaa WBbt:0006703; ABalppappp WBbt:0006694; ABprpaapap WBbt:0006105; ABalppappa WBbt:0005975; ASJ WBbt:0005667; ABalaaaarl WBbt:0005945; ABalppapppa WBbt:0006463; ABplpaaapp WBbt:0005877; ABprpaaappa WBbt:0006695; ABpraaaappp WBbt:0006247; CEP WBbt:0005244; Q cell WBbt:0008598; ABprapaaaa WBbt:0006648; ABplppaapa WBbt:0006205; lateral ganglion right WBbt:0005101; ADF WBbt:0005660; osmosensory neuron WBbt:0008433; ABplppppap WBbt:0005919; ABalppppaa WBbt:0006526; ABalaapppp WBbt:0006461; ABarappppa WBbt:0006687; PHB WBbt:0007808; ABpraapapa WBbt:0005872; PHA WBbt:0007807; BAG WBbt:0006825; lumbar ganglion right WBbt:0005601; ABalapapapa WBbt:0006575; ASI WBbt:0005666; somatic nervous system WBbt:0005760; ABprapaaaap WBbt:0006184; ABprapppapp WBbt:0006743; ABalpppppa WBbt:0006638; ABalapaapp WBbt:0006504; ABprapppaa WBbt:0006234; ABpraaappa WBbt:0006483; ABplaaaaapp WBbt:0006428; ABplpppaapa WBbt:0006503; OLL WBbt:0006847; ABarappppp WBbt:0006094; PQR WBbt:0004096; ABplpaaapa WBbt:0006093; ABpraaapppa WBbt:0006009; ABplapppaa WBbt:0005935; ABalppppppp WBbt:0006599; ABprpapapa WBbt:0006487; ABarapppppa WBbt:0006203; AQR WBbt:0003927; ABalapapap WBbt:0005910; ABalaapppa WBbt:0006026; ABprpaaapa WBbt:0006149; AWA WBbt:0005670; ABplpaaaaa WBbt:0005893; ABalapappaa WBbt:0006542; ABalapaapa WBbt:0005981; ABplapaaap WBbt:0006317; nervous system WBbt:0005735; ABplaapappp WBbt:0006387; ABalappppa WBbt:0006133; FLP WBbt:0006828; ABalapaappa WBbt:0006196; ABplpaapap WBbt:0006556; ABprpppaapa WBbt:0006549; ABprpppapa WBbt:0006044; ABpraaaapa WBbt:0006376; ABprpaaaaa WBbt:0006027; ABarpapaaa WBbt:0006207; ABplpaaappa WBbt:0006600; PDE WBbt:0006747; ABprpaaapp WBbt:0005868; ABalpppapa WBbt:0005930; ABplapppapp WBbt:0005970; PVR WBbt:0004072; thermosensory neuron WBbt:0005838; ABplaapapa WBbt:0006120; ABprppaapa WBbt:0006079; ABpraapappp WBbt:0005862; ABalapppap WBbt:0006015; lateral ganglion left WBbt:0005103; ABplapaaaa WBbt:0006221; ADL WBbt:0005661; ABalpppppp WBbt:0006396; ABplpppapa WBbt:0006488; ABpraaapaa WBbt:0006114; ASG WBbt:0005664; ABalppppppa WBbt:0006166; AWB WBbt:0005671; ABalaaaala WBbt:0005966; ABplaaaaaa WBbt:0006330; ABarpapaapp WBbt:0006075; ABpraaapapa WBbt:0006404; ABalapppapa WBbt:0006339; ASE WBbt:0005663; ABprapaaap WBbt:0005977; ASK WBbt:0005668; ABpraapaap WBbt:0006373; ABprppppap WBbt:0006439; ABalaapaaa WBbt:0006732; ABpraaappp WBbt:0006194
3301	[3301] cluster fbxa-3	WBGene00044567	C46C11.4	180.55	0.488	True	ABplppaapa WBbt:0006205	ABalpppappp WBbt:0006623; ABalappapa WBbt:0006412; gonad arm WBbt:0008629; hermaphrodite distal tip cell WBbt:0006863; OLQ WBbt:0006848; ABplpaappa WBbt:0006670; ABplpapapa WBbt:0005908; ADE WBbt:0005415; ABprpaappa WBbt:0005940; ABalapppaa WBbt:0006703; ABalppappa WBbt:0005975; ABpraaaappp WBbt:0006247; CEP WBbt:0005244; ABalapaaaa WBbt:0006002; ABplapapppp WBbt:0006209; ABprapaaaa WBbt:0006648; hermaphrodite WBbt:0007849; ABplppaapa WBbt:0006205; lateral ganglion right WBbt:0005101; ABalppppaa WBbt:0006526; ABarappppa WBbt:0006687; PHB WBbt:0007808; ABpraapapa WBbt:0005872; PHA WBbt:0007807; ABarppaapp WBbt:0006393; BAG WBbt:0006825; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; ABprapppapp WBbt:0006743; ABarpppapp WBbt:0006572; ABalpppppa WBbt:0006638; ABalpappaa WBbt:0006051; ABpraaappa WBbt:0006483; OLL WBbt:0006847; PQR WBbt:0004096; ABprpapapa WBbt:0006487; AQR WBbt:0003927; ABalaapppa WBbt:0006026; AWA WBbt:0005670; ABalapaapa WBbt:0005981; nervous system WBbt:0005735; FLP WBbt:0006828; somatic gonad WBbt:0005785; PDE WBbt:0006747; pharynx WBbt:0003681; ABaraapapp WBbt:0005999; ABplapppapp WBbt:0005970; PVR WBbt:0004072; ABplaapapa WBbt:0006120; ABprppaapa WBbt:0006079; ABarapapaa WBbt:0006001; lateral ganglion left WBbt:0005103; ABplapaaaa WBbt:0006221; ABalpppppp WBbt:0006396; ABpraaapaa WBbt:0006114; ASG WBbt:0005664; striated muscle WBbt:0005779; ABaraapppp WBbt:0006127; ABalaaaala WBbt:0005966; ABplapappp WBbt:0006630; ABprapappp WBbt:0006587; ABprapapppp WBbt:0006021; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; Caapa WBbt:0006123; ABalaapaaa WBbt:0006732; ABpraaappp WBbt:0006194
