node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
3305	[3305] cluster spp-7	WBGene00013027	Y49A3A.4	1415.61	0.813	True	pm1 WBbt:0003744	mc1 WBbt:0003709; mc2 WBbt:0003708; corpus WBbt:0003733; pm1 WBbt:0003744; anterior arcade cell WBbt:0005794; epithelial system WBbt:0005730; pm2 WBbt:0003742; pharynx WBbt:0003681; thermosensory neuron WBbt:0005838; pharyngeal epithelial cell WBbt:0005459; posterior arcade cell WBbt:0005795; excretory secretory system WBbt:0006850; muscular system WBbt:0005737
3305	[3305] cluster spp-7	WBGene00006217	str-173	911.9	0.686	True	pm1 WBbt:0003744	MC neuron WBbt:0003638; pm5 WBbt:0003737; mc1 WBbt:0003709; mc2 WBbt:0003708; corpus WBbt:0003733; pm1 WBbt:0003744; anterior arcade cell WBbt:0005794; pm4 WBbt:0003739; epithelial system WBbt:0005730; pm2 WBbt:0003742; pharynx WBbt:0003681; posterior arcade cell WBbt:0005795; pm3 WBbt:0003740; muscular system WBbt:0005737
3305	[3305] cluster spp-7	WBGene00018706	F52F10.2	254.64	0.675	True	pm1 WBbt:0003744	PVC WBbt:0005840; pm5 WBbt:0003737; AVE WBbt:0006819; AVA WBbt:0005842; mc1 WBbt:0003709; mc2 WBbt:0003708; corpus WBbt:0003733; AVG WBbt:0003850; pm1 WBbt:0003744; anterior ganglion WBbt:0005375; AVD WBbt:0006818; ILshDL WBbt:0004533; somatic nervous system WBbt:0005760; anterior arcade cell WBbt:0005794; pm4 WBbt:0003739; epithelial system WBbt:0005730; pm2 WBbt:0003742; OL sheath cell WBbt:0008413; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; thermosensory neuron WBbt:0005838; RIM WBbt:0005835; posterior arcade cell WBbt:0005795; pharyngeal-intestinal valve WBbt:0005767; hyp3 WBbt:0004690; pm3 WBbt:0003740; outer labial quadrant sensillum WBbt:0005502; muscular system WBbt:0005737
3305	[3305] cluster spp-7	WBGene00045481	M153.5	1717.94	0.662	True	pm1 WBbt:0003744	MC neuron WBbt:0003638; mc1 WBbt:0003709; corpus WBbt:0003733; pm1 WBbt:0003744; anterior arcade cell WBbt:0005794; epithelial system WBbt:0005730; pm2 WBbt:0003742; nervous system WBbt:0005735; pharynx WBbt:0003681; posterior arcade cell WBbt:0005795; muscular system WBbt:0005737
3305	[3305] cluster spp-7	WBGene00011028	R05D7.3	576.64	0.662	True	pm1 WBbt:0003744	MC neuron WBbt:0003638; SIB WBbt:0005359; pm5 WBbt:0003737; VC5 WBbt:0004613; AVE WBbt:0006819; pm8 WBbt:0004302; VD8 WBbt:0004597; URX WBbt:0006846; DD1 WBbt:0004839; ASJ WBbt:0005667; mc2 WBbt:0003708; VD10 WBbt:0004591; VD5 WBbt:0004601; RIB WBbt:0005834; CEP WBbt:0005244; AVL WBbt:0003843; corpus WBbt:0003733; DD6 WBbt:0004824; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; pm1 WBbt:0003744; VD12 WBbt:0004587; VD13 WBbt:0004585; anterior ganglion WBbt:0005375; AVD WBbt:0006818; VD1 WBbt:0004609; VD4 WBbt:0004603; lumbar ganglion right WBbt:0005601; ASI WBbt:0005666; somatic nervous system WBbt:0005760; PLM WBbt:0005490; pm4 WBbt:0003739; epithelial system WBbt:0005730; VD7 WBbt:0004598; AVK WBbt:0006823; I4 neuron WBbt:0004741; pm2 WBbt:0003742; DD5 WBbt:0004825; VD11 WBbt:0004589; VD6 WBbt:0004599; AWCR WBbt:0003826; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; dorso-rectal ganglion WBbt:0005212; ALM WBbt:0005406; PVR WBbt:0004072; thermosensory neuron WBbt:0005838; VD3 WBbt:0004605; VC4 WBbt:0004617; lateral ganglion left WBbt:0005103; DD3 WBbt:0004837; DD2 WBbt:0004838; VD2 WBbt:0004607; sex organ WBbt:0008422; PDA WBbt:0004386; AWB WBbt:0005671; VD9 WBbt:0004593; pm3 WBbt:0003740; DD4 WBbt:0004826; AWCL WBbt:0003827; ASE WBbt:0005663; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697; preanal ganglion WBbt:0005448
3305	[3305] cluster spp-7	WBGene00015632	C09D4.1	585.33	0.656	False	pm1 WBbt:0003744	pm5 WBbt:0003737; ABalaappppa WBbt:0006560; IL2L WBbt:0004541; ABalappppaa WBbt:0006522; ADE WBbt:0005415; IL1VR WBbt:0004547; IL1R WBbt:0004551; ABalppapppa WBbt:0006463; mc2 WBbt:0003708; IL1DR WBbt:0004737; CEP WBbt:0005244; hyp2 WBbt:0004692; IL2VL WBbt:0004538; corpus WBbt:0003733; IL2R WBbt:0004539; anterior ganglion WBbt:0005375; intestine WBbt:0005772; ILshDL WBbt:0004533; amphid sheath cell WBbt:0006754; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; anterior arcade cell WBbt:0005794; PLM WBbt:0005490; pm4 WBbt:0003739; epithelial system WBbt:0005730; ABarapppppa WBbt:0006203; IL2DL WBbt:0004545; VA11 WBbt:0004647; ABalapappaa WBbt:0006542; ABalapaappa WBbt:0006196; OL sheath cell WBbt:0008413; MI neuron WBbt:0003664; pharynx WBbt:0003681; IL1VL WBbt:0004549; pharyngeal epithelial cell WBbt:0005459; IL2VR WBbt:0004537; striated muscle WBbt:0005779; ABalaaaala WBbt:0005966; IL1DL WBbt:0004738; IL1L WBbt:0004553; IL2DR WBbt:0004543; pm3 WBbt:0003740; outer labial quadrant sensillum WBbt:0005502; muscular system WBbt:0005737; ABalaapaaa WBbt:0006732; cephalic sheath cell WBbt:0008406
3305	[3305] cluster spp-7	WBGene00001751	gst-3	435.01	0.628	False	pm1 WBbt:0003744	gonad arm WBbt:0008629; pm5 WBbt:0003737; hermaphrodite distal tip cell WBbt:0006863; I5 neuron WBbt:0004740; GLR WBbt:0005176; mc1 WBbt:0003709; mc2 WBbt:0003708; hyp2 WBbt:0004692; corpus WBbt:0003733; hermaphrodite WBbt:0007849; intestine WBbt:0005772; PVD WBbt:0006831; pm4 WBbt:0003739; epithelial system WBbt:0005730; OLL WBbt:0006847; somatic gonad WBbt:0005785; pharynx WBbt:0003681; mc3 WBbt:0003707; pharyngeal-intestinal valve WBbt:0005767; pm3 WBbt:0003740; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
3305	[3305] cluster spp-7	WBGene00019718	M01H9.2	605.96	0.617	True	pm1 WBbt:0003744	MC neuron WBbt:0003638; mc1 WBbt:0003709; corpus WBbt:0003733; pm7 WBbt:0003721; pm1 WBbt:0003744; g1AL WBbt:0004532; g1P WBbt:0004528; g1AR WBbt:0004530; epithelial system WBbt:0005730; pm2 WBbt:0003742; nervous system WBbt:0005735; pharynx WBbt:0003681; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697
3305	[3305] cluster spp-7	WBGene00043981	aaim-1	268.98	0.592	True	pm1 WBbt:0003744	mc1 WBbt:0003709; corpus WBbt:0003733; hermaphrodite WBbt:0007849; pm7 WBbt:0003721; pm1 WBbt:0003744; anchor cell WBbt:0004522; anterior ganglion WBbt:0005375; somatic nervous system WBbt:0005760; anterior arcade cell WBbt:0005794; epithelial system WBbt:0005730; AVK WBbt:0006823; pm2 WBbt:0003742; somatic gonad WBbt:0005785; pharynx WBbt:0003681; posterior arcade cell WBbt:0005795; pm6 WBbt:0003724; IL1L WBbt:0004553; muscular system WBbt:0005737; reproductive tract WBbt:0005744
3305	[3305] cluster spp-7	WBGene00016029	elf-1	1889.33	0.581	True	pm1 WBbt:0003744	hyp6 WBbt:0004679; pm5 WBbt:0003737; hyp5 WBbt:0004685; IL socket cell WBbt:0008418; pm8 WBbt:0004302; excretory system WBbt:0005736; K' cell WBbt:0004497; CEPsoDR WBbt:0004919; CEPsoVR WBbt:0004917; postdeirid sensillum WBbt:0005471; vulD WBbt:0006766; hyp1 WBbt:0004694; hyp2 WBbt:0004692; Q cell WBbt:0008598; ut4 WBbt:0006788; corpus WBbt:0003733; hermaphrodite WBbt:0007849; pm1 WBbt:0003744; anterior ganglion WBbt:0005375; ILshDL WBbt:0004533; hyp4 WBbt:0004687; PDE socket cell WBbt:0008421; Y cell WBbt:0004578; g1AL WBbt:0004532; PVD WBbt:0006831; phasmid socket cell WBbt:0008410; gonadal primordium WBbt:0008366; anterior arcade cell WBbt:0005794; pm4 WBbt:0003739; amphid socket cell WBbt:0008379; vulC WBbt:0006765; g1AR WBbt:0004530; epithelial system WBbt:0005730; OLL WBbt:0006847; hyp12 WBbt:0004376; g2 WBbt:0003710; pm2 WBbt:0003742; CEPsoVL WBbt:0004918; tail hypodermis WBbt:0006978; vulA WBbt:0006762; midbody WBbt:0005740; oocyte WBbt:0006797; nervous system WBbt:0005735; outer labial lateral sensillum WBbt:0005503; somatic gonad WBbt:0005785; F cell WBbt:0004799; OL sheath cell WBbt:0008413; pharynx WBbt:0003681; K cell WBbt:0004499; vulB1 WBbt:0006763; mc3 WBbt:0003707; B cell WBbt:0003825; excretory duct cell WBbt:0004540; posterior arcade cell WBbt:0005795; excretory secretory system WBbt:0006850; excretory socket cell WBbt:0004534; pharyngeal-intestinal valve WBbt:0005767; sex organ WBbt:0008422; hyp3 WBbt:0004690; germ line WBbt:0005784; phasmid sheath cell WBbt:0006755; posterior lateral ganglion WBbt:0005465; CEPsoDL WBbt:0004921; pm3 WBbt:0003740; U cell WBbt:0004942; outer labial quadrant sensillum WBbt:0005502; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; OL socket cell WBbt:0008419; PDE sheath cell WBbt:0008415
