node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
3309	[3309] cluster nspb-8	WBGene00007250	nspb-8	73817.91	0.86	True	pm3 WBbt:0003740	pm5 WBbt:0003737; MSpaaapa WBbt:0006241; corpus WBbt:0003733; pm7 WBbt:0003721; pm4 WBbt:0003739; epithelial system WBbt:0005730; pharynx WBbt:0003681; mc3 WBbt:0003707; pharyngeal-intestinal valve WBbt:0005767; pm3 WBbt:0003740; muscular system WBbt:0005737
3309	[3309] cluster nspb-8	WBGene00044011	idpc-3	44239.63	0.826	False	pm3 WBbt:0003740	intestine WBbt:0005772; anterior arcade cell WBbt:0005794; epithelial system WBbt:0005730
3309	[3309] cluster nspb-8	WBGene00007246	nspb-10	61578.65	0.824	False	pm3 WBbt:0003740	lateral ganglion right WBbt:0005101; CAN WBbt:0006827; epithelial system WBbt:0005730; nervous system WBbt:0005735; lateral ganglion left WBbt:0005103; AVB WBbt:0005841
3309	[3309] cluster nspb-8	WBGene00007243	nspb-7	21735.0	0.78	True	pm3 WBbt:0003740	pm5 WBbt:0003737; AVL WBbt:0003843; corpus WBbt:0003733; somatic nervous system WBbt:0005760; pm4 WBbt:0003739; epithelial system WBbt:0005730; nervous system WBbt:0005735; pharynx WBbt:0003681; mc3 WBbt:0003707; pm3 WBbt:0003740; muscular system WBbt:0005737
3309	[3309] cluster nspb-8	WBGene00009398	nspb-11	47400.25	0.756	False	pm3 WBbt:0003740	MC neuron WBbt:0003638; K' cell WBbt:0004497; mc1 WBbt:0003709; corpus WBbt:0003733; Y cell WBbt:0004578; lumbar ganglion right WBbt:0005601; PLM WBbt:0005490; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; nervous system WBbt:0005735; F cell WBbt:0004799; pharynx WBbt:0003681; K cell WBbt:0004499; B cell WBbt:0003825; ALM WBbt:0005406; U cell WBbt:0004942
3309	[3309] cluster nspb-8	WBGene00017305	nspb-12	46784.95	0.655	True	pm3 WBbt:0003740	RIB WBbt:0005834; ABprppppaa WBbt:0006642; corpus WBbt:0003733; pm1 WBbt:0003744; PVD WBbt:0006831; somatic nervous system WBbt:0005760; pm4 WBbt:0003739; epithelial system WBbt:0005730; OLL WBbt:0006847; pm2 WBbt:0003742; nervous system WBbt:0005735; pharynx WBbt:0003681; lateral ganglion left WBbt:0005103; pharyngeal-intestinal valve WBbt:0005767; ABplppppaa WBbt:0006109; pm6 WBbt:0003724; pm3 WBbt:0003740; muscular system WBbt:0005737
3309	[3309] cluster nspb-8	WBGene00004139	pqn-54	6815.06	0.628	False	pm3 WBbt:0003740	gonadal primordium WBbt:0008366; pharynx WBbt:0003681
3309	[3309] cluster nspb-8	WBGene00018284	F41E6.1	1017.42	0.52	False	pm3 WBbt:0003740	PVC WBbt:0005840; AVE WBbt:0006819; AVA WBbt:0005842; ILshVR WBbt:0004523; AVG WBbt:0003850; anterior ganglion WBbt:0005375; AVD WBbt:0006818; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; retrovesicular ganglion WBbt:0005656; RIM WBbt:0005835; male WBbt:0007850
3309	[3309] cluster nspb-8	WBGene00007537	fipr-8	20312.76	0.439	True	pm3 WBbt:0003740	pm8 WBbt:0004302; hyp1 WBbt:0004694; hyp2 WBbt:0004692; AWC-OFF WBbt:0005833; corpus WBbt:0003733; pm7 WBbt:0003721; MSpapaapa WBbt:0006627; pm4 WBbt:0003739; MSaapaapa WBbt:0006494; epithelial system WBbt:0005730; pm2 WBbt:0003742; nervous system WBbt:0005735; pharynx WBbt:0003681; pharyngeal epithelial cell WBbt:0005459; lateral ganglion left WBbt:0005103; pm6 WBbt:0003724; pm3 WBbt:0003740; AWCL WBbt:0003827; muscular system WBbt:0005737
3309	[3309] cluster nspb-8	WBGene00010497	axl-1	246.18	0.433	True	pm3 WBbt:0003740	ILshDR WBbt:0004531; ABalpapaap WBbt:0006023; MSaapapa WBbt:0006323; DB2 WBbt:0004845; Q cell WBbt:0008598; corpus WBbt:0003733; ILshVR WBbt:0004523; pm1 WBbt:0003744; anterior ganglion WBbt:0005375; ILshDL WBbt:0004533; amphid sheath cell WBbt:0006754; PDE socket cell WBbt:0008421; ABarappaap WBbt:0006103; DB6 WBbt:0004841; DB1 WBbt:0004846; ILshL WBbt:0004529; somatic nervous system WBbt:0005760; pm4 WBbt:0003739; MSpapapa WBbt:0006308; epithelial system WBbt:0005730; ILshVL WBbt:0004525; DB7 WBbt:0004840; pm2 WBbt:0003742; CEPsoVL WBbt:0004918; outer labial lateral sensillum WBbt:0005503; OL sheath cell WBbt:0008413; pharynx WBbt:0003681; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; DB3 WBbt:0004844; germ line WBbt:0005784; pm6 WBbt:0003724; phasmid sheath cell WBbt:0006755; DB5 WBbt:0004842; CEPsoDL WBbt:0004921; pm3 WBbt:0003740; outer labial quadrant sensillum WBbt:0005502; muscular system WBbt:0005737; reproductive system WBbt:0005747; ILshR WBbt:0004527; cephalic sheath cell WBbt:0008406
