node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
3313	[3313] cluster srp-7	WBGene00005648	srp-7	14938.55	0.909	False	uv2 WBbt:0006792	PVD WBbt:0006831; epithelial system WBbt:0005730; OLL WBbt:0006847; germ line WBbt:0005784; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697; cephalic sheath cell WBbt:0008406
3313	[3313] cluster srp-7	WBGene00012285	pitr-6	5858.8	0.828	True	uv2 WBbt:0006792	pm5 WBbt:0003737; spermathecal-uterine junction WBbt:0006756; mc1 WBbt:0003709; corpus WBbt:0003733; hermaphrodite WBbt:0007849; pm1 WBbt:0003744; anterior arcade cell WBbt:0005794; pm4 WBbt:0003739; epithelial system WBbt:0005730; pm2 WBbt:0003742; somatic gonad WBbt:0005785; pharynx WBbt:0003681; posterior arcade cell WBbt:0005795; sex organ WBbt:0008422; uv3 WBbt:0006793; uv2 WBbt:0006792; pm3 WBbt:0003740; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
3313	[3313] cluster srp-7	WBGene00006025	srx-134	1248.41	0.813	True	uv2 WBbt:0006792	spermathecal-uterine junction WBbt:0006756; hermaphrodite WBbt:0007849; epithelial system WBbt:0005730; nervous system WBbt:0005735; somatic gonad WBbt:0005785; pharynx WBbt:0003681; sex organ WBbt:0008422; uv3 WBbt:0006793; uv2 WBbt:0006792; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
3313	[3313] cluster srp-7	WBGene00002988	lim-6	5830.05	0.752	True	uv2 WBbt:0006792	RME WBbt:0005399; spermathecal-uterine junction WBbt:0006756; ABplpapapa WBbt:0005908; excretory system WBbt:0005736; ut1 WBbt:0006785; DD1 WBbt:0004839; AVL WBbt:0003843; DD6 WBbt:0004824; hermaphrodite WBbt:0007849; ABplppaapa WBbt:0006205; spermatheca WBbt:0005319; anterior ganglion WBbt:0005375; intestine WBbt:0005772; DVB WBbt:0004822; somatic nervous system WBbt:0005760; ut2 WBbt:0006786; ut3 WBbt:0006787; epithelial system WBbt:0005730; ABprpapapa WBbt:0006487; midbody WBbt:0005740; muscle of the reproductive system WBbt:0005786; DD5 WBbt:0004825; somatic gonad WBbt:0005785; retrovesicular ganglion WBbt:0005656; dorso-rectal ganglion WBbt:0005212; ABprppaapa WBbt:0006079; RIS WBbt:0005045; excretory secretory system WBbt:0006850; lateral ganglion left WBbt:0005103; DD3 WBbt:0004837; DD2 WBbt:0004838; excretory gland cell WBbt:0005776; RIG WBbt:0006836; sex organ WBbt:0008422; uv3 WBbt:0006793; uv2 WBbt:0006792; DD4 WBbt:0004826; PVT WBbt:0004070; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697; preanal ganglion WBbt:0005448
3313	[3313] cluster srp-7	WBGene00019347	mbl-1	1478.33	0.668	False	uv2 WBbt:0006792	DA6 WBbt:0004861; VB5 WBbt:0004637; VB7 WBbt:0004631; DA1 WBbt:0004871; I5 neuron WBbt:0004740; GLR WBbt:0005176; SIA WBbt:0005361; excretory system WBbt:0005736; DA8 WBbt:0004858; AVA WBbt:0005842; DA5 WBbt:0004863; AVL WBbt:0003843; DA4 WBbt:0004865; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; VB9 WBbt:0004627; anchor cell WBbt:0004522; spermatheca WBbt:0005319; anterior ganglion WBbt:0005375; intestine WBbt:0005772; AVD WBbt:0006818; DA9 WBbt:0004857; RIV WBbt:0006839; BDU WBbt:0006826; PVD WBbt:0006831; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; PLM WBbt:0005490; excretory cell WBbt:0005812; DA3 WBbt:0004867; epithelial system WBbt:0005730; OLL WBbt:0006847; AVK WBbt:0006823; DA2 WBbt:0004869; nervous system WBbt:0005735; FLP WBbt:0006828; somatic gonad WBbt:0005785; VB8 WBbt:0004629; VB4 WBbt:0004638; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; ALM WBbt:0005406; VB6 WBbt:0004633; excretory secretory system WBbt:0006850; lateral ganglion left WBbt:0005103; SAB WBbt:0005396; AVB WBbt:0005841; DA7 WBbt:0004859; posterior lateral ganglion WBbt:0005465; PVT WBbt:0004070; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697; preanal ganglion WBbt:0005448; cephalic sheath cell WBbt:0008406
3313	[3313] cluster srp-7	WBGene00020048	lgc-12	1448.05	0.649	False	uv2 WBbt:0006792	PHC WBbt:0008446; PVC WBbt:0005840; ADE WBbt:0005415; PVM WBbt:0004086; VD8 WBbt:0004597; VD10 WBbt:0004591; anterior ganglion WBbt:0005375; PVD WBbt:0006831; lumbar ganglion right WBbt:0005601; PVQ WBbt:0006976; somatic nervous system WBbt:0005760; RMG WBbt:0006842; PLM WBbt:0005490; epithelial system WBbt:0005730; OLL WBbt:0006847; g2 WBbt:0003710; AVM WBbt:0003832; nervous system WBbt:0005735; RIP WBbt:0006838; VD11 WBbt:0004589; FLP WBbt:0006828; pharynx WBbt:0003681; mc3 WBbt:0003707; ALM WBbt:0005406; RID WBbt:0003938; VD9 WBbt:0004593; posterior lateral ganglion WBbt:0005465
3313	[3313] cluster srp-7	WBGene00017638	F20D6.9	193.39	0.631	False	uv2 WBbt:0006792	Z1.p WBbt:0007023; male distal tip cell WBbt:0006864; Z4.a WBbt:0007025; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
3313	[3313] cluster srp-7	WBGene00206475	F27D9.12	152.77	0.574	True	uv2 WBbt:0006792	spermathecal-uterine junction WBbt:0006756; ut1 WBbt:0006785; hermaphrodite WBbt:0007849; ut2 WBbt:0006786; ut3 WBbt:0006787; epithelial system WBbt:0005730; somatic gonad WBbt:0005785; sex organ WBbt:0008422; uv2 WBbt:0006792; uv1 WBbt:0006791; reproductive tract WBbt:0005744
3313	[3313] cluster srp-7	WBGene00008389	D1086.2	606.09	0.554	False	uv2 WBbt:0006792	XXX cell WBbt:0007855; corpus WBbt:0003733; anterior ganglion WBbt:0005375; PVD WBbt:0006831; epithelial system WBbt:0005730; OLL WBbt:0006847; pharynx WBbt:0003681; germ line WBbt:0005784; striated muscle WBbt:0005779; I3 neuron WBbt:0004742; muscular system WBbt:0005737; reproductive system WBbt:0005747
3313	[3313] cluster srp-7	WBGene00018739	F53B1.8	609.62	0.496	False	uv2 WBbt:0006792	ABplpppppp WBbt:0005960; GLR WBbt:0005176; excretory system WBbt:0005736; ABprpppppp WBbt:0006430; CAN WBbt:0006827; somatic nervous system WBbt:0005760; excretory cell WBbt:0005812; rectal gland cell WBbt:0005799; ABplpppaapa WBbt:0006503; AVK WBbt:0006823; ABprpppaapa WBbt:0006549; coelomic system WBbt:0005749; excretory secretory system WBbt:0006850; PVT WBbt:0004070; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697; preanal ganglion WBbt:0005448
