node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
3315	[3315] cluster ule-2	WBGene00044178	C30G7.4	4978.51	0.833	True	ut3 WBbt:0006787	spermathecal-uterine junction WBbt:0006756; ut1 WBbt:0006785; hermaphrodite WBbt:0007849; ut2 WBbt:0006786; ut3 WBbt:0006787; epithelial system WBbt:0005730; somatic gonad WBbt:0005785; sex organ WBbt:0008422; germ line WBbt:0005784; uv2 WBbt:0006792; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
3315	[3315] cluster ule-2	WBGene00015665	C10A4.4	340.77	0.781	True	ut3 WBbt:0006787	RME WBbt:0005399; spermathecal-uterine junction WBbt:0006756; K' cell WBbt:0004497; ut1 WBbt:0006785; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; anterior ganglion WBbt:0005375; Y cell WBbt:0004578; somatic nervous system WBbt:0005760; ut2 WBbt:0006786; ut3 WBbt:0006787; epithelial system WBbt:0005730; somatic gonad WBbt:0005785; F cell WBbt:0004799; K cell WBbt:0004499; B cell WBbt:0003825; lateral ganglion left WBbt:0005103; sex organ WBbt:0008422; germ line WBbt:0005784; uv2 WBbt:0006792; U cell WBbt:0004942; uterine seam cell WBbt:0006789; reproductive tract WBbt:0005744; ASK WBbt:0005668
3315	[3315] cluster ule-2	WBGene00015936	C17H12.11	646.83	0.667	True	ut3 WBbt:0006787	XXX cell WBbt:0007855; spermathecal-uterine junction WBbt:0006756; ut1 WBbt:0006785; hermaphrodite WBbt:0007849; spermatheca WBbt:0005319; anterior ganglion WBbt:0005375; somatic nervous system WBbt:0005760; ut2 WBbt:0006786; ut3 WBbt:0006787; epithelial system WBbt:0005730; muscle of the reproductive system WBbt:0005786; somatic gonad WBbt:0005785; sex organ WBbt:0008422; striated muscle WBbt:0005779; uv2 WBbt:0006792; RIR WBbt:0005047; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
3315	[3315] cluster ule-2	WBGene00045038	ule-2	25417.95	0.588	True	ut3 WBbt:0006787	SMD WBbt:0005353; RME WBbt:0005399; SIB WBbt:0005359; spermathecal-uterine junction WBbt:0006756; SIA WBbt:0005361; ut1 WBbt:0006785; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; anterior ganglion WBbt:0005375; somatic nervous system WBbt:0005760; ut2 WBbt:0006786; ABalpappaa WBbt:0006051; ut3 WBbt:0006787; epithelial system WBbt:0005730; somatic gonad WBbt:0005785; pharynx WBbt:0003681; ABaraapapp WBbt:0005999; ABarapapaa WBbt:0006001; lateral ganglion left WBbt:0005103; sex organ WBbt:0008422; germ line WBbt:0005784; ABaraapppp WBbt:0006127; uv2 WBbt:0006792; AIY WBbt:0005413; reproductive tract WBbt:0005744
3315	[3315] cluster ule-2	WBGene00189949	Y48G1C.13	589.11	0.574	False	ut3 WBbt:0006787	lateral ganglion right WBbt:0005101; RIV WBbt:0006839; somatic nervous system WBbt:0005760; nervous system WBbt:0005735; lateral ganglion left WBbt:0005103
3315	[3315] cluster ule-2	WBGene00014002	ZK593.2	194.4	0.546	False	ut3 WBbt:0006787	gonadal primordium WBbt:0008366; head muscle WBbt:0006761; striated muscle WBbt:0005779; muscular system WBbt:0005737
3315	[3315] cluster ule-2	WBGene00017294	F09E10.1	2707.15	0.54	True	ut3 WBbt:0006787	spermathecal-uterine junction WBbt:0006756; ADE WBbt:0005415; ut1 WBbt:0006785; postdeirid sensillum WBbt:0005471; hermaphrodite WBbt:0007849; anterior ganglion WBbt:0005375; ILshDL WBbt:0004533; gonadal primordium WBbt:0008366; anterior arcade cell WBbt:0005794; ut2 WBbt:0006786; ut3 WBbt:0006787; epithelial system WBbt:0005730; tail hypodermis WBbt:0006978; nervous system WBbt:0005735; somatic gonad WBbt:0005785; OL sheath cell WBbt:0008413; PDE WBbt:0006747; sex organ WBbt:0008422; posterior lateral ganglion WBbt:0005465; uv2 WBbt:0006792; outer labial quadrant sensillum WBbt:0005502; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
3315	[3315] cluster ule-2	WBGene00005726	srv-15	39.91	0.509	False	ut3 WBbt:0006787	nociceptor neuron WBbt:0008434; osmosensory neuron WBbt:0008433; PHB WBbt:0007808; PHA WBbt:0007807; lateral ganglion left WBbt:0005103; ADL WBbt:0005661
3315	[3315] cluster ule-2	WBGene00017747	F23F1.6	317.86	0.452	True	ut3 WBbt:0006787	spermathecal-uterine junction WBbt:0006756; excretory system WBbt:0005736; ut1 WBbt:0006785; body wall WBbt:0005742; hermaphrodite WBbt:0007849; spermatheca WBbt:0005319; anterior ganglion WBbt:0005375; ventral left quadrant body wall muscle WBbt:0005818; amphid sheath cell WBbt:0006754; somatic nervous system WBbt:0005760; ut2 WBbt:0006786; amphid socket cell WBbt:0008379; ut3 WBbt:0006787; excretory cell WBbt:0005812; epithelial system WBbt:0005730; AVK WBbt:0006823; CEPsoVL WBbt:0004918; nervous system WBbt:0005735; somatic gonad WBbt:0005785; excretory secretory system WBbt:0006850; excretory gland cell WBbt:0005776; sex organ WBbt:0008422; striated muscle WBbt:0005779; phasmid sheath cell WBbt:0006755; uv2 WBbt:0006792; CEPsoDL WBbt:0004921; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; cephalic sheath cell WBbt:0008406
3315	[3315] cluster ule-2	WBGene00008315	C54G4.5	292.71	0.357	False	ut3 WBbt:0006787	RME WBbt:0005399; DA6 WBbt:0004861; DA1 WBbt:0004871; I5 neuron WBbt:0004740; DA8 WBbt:0004858; DD1 WBbt:0004839; RIA WBbt:0006833; DB2 WBbt:0004845; DA5 WBbt:0004863; AVL WBbt:0003843; DA4 WBbt:0004865; corpus WBbt:0003733; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; AVG WBbt:0003850; anchor cell WBbt:0004522; RIF WBbt:0006835; anterior ganglion WBbt:0005375; RIC WBbt:0006834; DVB WBbt:0004822; ADA WBbt:0006811; DA9 WBbt:0004857; PDB WBbt:0004385; DB6 WBbt:0004841; BDU WBbt:0006826; BAG WBbt:0006825; PVD WBbt:0006831; DVA WBbt:0004823; lumbar ganglion right WBbt:0005601; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; PLM WBbt:0005490; DA3 WBbt:0004867; epithelial system WBbt:0005730; OLL WBbt:0006847; AVK WBbt:0006823; M1 neuron WBbt:0004488; DB7 WBbt:0004840; DA2 WBbt:0004869; somatic gonad WBbt:0005785; VC1 WBbt:0004621; MI neuron WBbt:0003664; pharynx WBbt:0003681; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; dorso-rectal ganglion WBbt:0005212; ALM WBbt:0005406; RIM WBbt:0005835; VC4 WBbt:0004617; DB3 WBbt:0004844; lateral ganglion left WBbt:0005103; sex organ WBbt:0008422; SAB WBbt:0005396; PDA WBbt:0004386; uv3 WBbt:0006793; AVB WBbt:0005841; DA7 WBbt:0004859; DB5 WBbt:0004842; IL1L WBbt:0004553; PVT WBbt:0004070; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697; DVC WBbt:0004821; preanal ganglion WBbt:0005448
