node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
3323	[3323] cluster ribo-1	WBGene00009505	F37B12.3	124.52	0.526	True	oocyte WBbt:0006797	hermaphrodite WBbt:0007849; intestine WBbt:0005772; ABalppppaa WBbt:0006526; ABpraapapa WBbt:0005872; PVD WBbt:0006831; ABalpppppa WBbt:0006638; ABpraaappa WBbt:0006483; OLL WBbt:0006847; oocyte WBbt:0006797; nervous system WBbt:0005735; ABplaapapa WBbt:0006120; ABpraaapaa WBbt:0006114; germ line WBbt:0005784; muscular system WBbt:0005737; reproductive system WBbt:0005747
3323	[3323] cluster ribo-1	WBGene00020683	ribo-1	370.17	0.454	False	oocyte WBbt:0006797	excretory system WBbt:0005736; Q cell WBbt:0008598; lateral ganglion right WBbt:0005101; g1AL WBbt:0004532; somatic nervous system WBbt:0005760; PLM WBbt:0005490; g1P WBbt:0004528; g1AR WBbt:0004530; AVK WBbt:0006823; ABplpappaa WBbt:0006551; pharynx WBbt:0003681; excretory secretory system WBbt:0006850; excretory gland cell WBbt:0005776; germ line WBbt:0005784; ASE WBbt:0005663; reproductive system WBbt:0005747
3323	[3323] cluster ribo-1	WBGene00004258	pyc-1	195.18	0.437	False	oocyte WBbt:0006797	VC5 WBbt:0004613; Psub1 WBbt:0006874; hermaphrodite WBbt:0007849; pm7 WBbt:0003721; intestine WBbt:0005772; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; pharynx WBbt:0003681; VC4 WBbt:0004617; sex organ WBbt:0008422; germline precursor cell WBbt:0006849; EMS WBbt:0006876; muscular system WBbt:0005737; reproductive system WBbt:0005747
3323	[3323] cluster ribo-1	WBGene00015702	C11D2.4	76.9	0.408	False	oocyte WBbt:0006797	excretory system WBbt:0005736; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; intestine WBbt:0005772; PVD WBbt:0006831; excretory cell WBbt:0005812; epithelial system WBbt:0005730; OLL WBbt:0006847; excretory secretory system WBbt:0006850; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; germ line WBbt:0005784; germline precursor cell WBbt:0006849; ASE WBbt:0005663; muscular system WBbt:0005737; cephalic sheath cell WBbt:0008406
3323	[3323] cluster ribo-1	WBGene00044026	cisd-1	191.29	0.407	False	oocyte WBbt:0006797	intestine WBbt:0005772; C WBbt:0003810; PVD WBbt:0006831; gonadal primordium WBbt:0008366; epithelial system WBbt:0005730; OLL WBbt:0006847; germ line WBbt:0005784; muscular system WBbt:0005737; reproductive system WBbt:0005747
3323	[3323] cluster ribo-1	WBGene00004068	pnk-1	81.93	0.403	False	oocyte WBbt:0006797	GLR WBbt:0005176; intestine WBbt:0005772; PVD WBbt:0006831; ABprapppaa WBbt:0006234; epithelial system WBbt:0005730; OLL WBbt:0006847; ABplapppaa WBbt:0005935; nervous system WBbt:0005735; PDA WBbt:0004386; muscular system WBbt:0005737; preanal ganglion WBbt:0005448
3323	[3323] cluster ribo-1	WBGene00007720	C25D7.10	65.11	0.39	True	oocyte WBbt:0006797	MSaaap WBbt:0006160; ABplaaapa WBbt:0006680; ABplaaapp WBbt:0006136; ABprappaa WBbt:0006350; ABplaapaap WBbt:0006518; ABarpaapap WBbt:0006375; ABplpaappa WBbt:0006670; ABprppppp WBbt:0005983; ABplpappp WBbt:0006390; ABprappp WBbt:0006702; I5 neuron WBbt:0004740; MSpaaapa WBbt:0006241; ABpraappp WBbt:0006270; P11 WBbt:0004410; MSaapp WBbt:0006425; Psub1 WBbt:0006874; ABplaapppa WBbt:0006735; ABplaapaaa WBbt:0006069; ABplppppa WBbt:0006352; ABprappap WBbt:0006220; ABplpppaa WBbt:0006222; ABplpppap WBbt:0006665; ABarapappa WBbt:0006309; ABprapaap WBbt:0006624; hermaphrodite WBbt:0007849; ABarpaapp WBbt:0006620; ABpraapaa WBbt:0006108; Capp WBbt:0006098; G cell WBbt:0008599; Cpaaa WBbt:0006212; MSpaaaaa WBbt:0006363; ABplaaaap WBbt:0006625; ABplaappa WBbt:0006519; Cppa WBbt:0006168; ABplappaa WBbt:0006371; Cpaap WBbt:0006594; ABarppapp WBbt:0006240; MSpaap WBbt:0005878; ABprpappp WBbt:0005847; ABplapppp WBbt:0006656; somatic nervous system WBbt:0005760; ABprapapa WBbt:0006510; ABprpapaa WBbt:0006446; ABplappap WBbt:0006067; ABplpappa WBbt:0006232; MSappp WBbt:0006125; ABplppaa WBbt:0006170; epithelial system WBbt:0005730; ABplpaaapa WBbt:0006093; Cpapa WBbt:0005962; Eplp WBbt:0006496; ABprpppap WBbt:0006237; ABplaapppp WBbt:0006477; ABplpapa WBbt:0006087; oocyte WBbt:0006797; ABplaaaaa WBbt:0006348; ABplpappaa WBbt:0006551; ABarpppap WBbt:0006251; ABpraapa WBbt:0006302; ABplpaapap WBbt:0006556; ABprpaapa WBbt:0006047; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; ABpraappa WBbt:0006035; Caaap WBbt:0006267; ABplpaaa WBbt:0006315; ABplaapapa WBbt:0006120; ABprapapp WBbt:0006290; ABarapapaa WBbt:0006001; ABarappp WBbt:0006524; ABplapaaaa WBbt:0006221; ABplppap WBbt:0006028; ABarpaaa WBbt:0006398; ABprpppaa WBbt:0006552; ABplpppa WBbt:0006423; ABpraapap WBbt:0006062; SAB WBbt:0005396; MSpapp WBbt:0006201; germ line WBbt:0005784; Cpapp WBbt:0005897; MSappa WBbt:0006717; Eprp WBbt:0006507; ABplapappp WBbt:0006630; ABarpapa WBbt:0006603; ABplappp WBbt:0006470; ABpraaaa WBbt:0006442; ABplaappp WBbt:0005948; ABarpppaa WBbt:0006041; ABplppppp WBbt:0006574; Earp WBbt:0006646; ABplpaap WBbt:0006077; Capa WBbt:0006444; ABplapapp WBbt:0006413; ABplpppp WBbt:0006647; ABprappa WBbt:0006269; reproductive system WBbt:0005747; Eara WBbt:0006161; ABprpappa WBbt:0006088; Caapa WBbt:0006123
3323	[3323] cluster ribo-1	WBGene00009918	gcsh-2	217.06	0.373	False	oocyte WBbt:0006797	corpus WBbt:0003733; intestine WBbt:0005772; nervous system WBbt:0005735; pharynx WBbt:0003681; germ line WBbt:0005784; NSM WBbt:0003666; reproductive system WBbt:0005747
3323	[3323] cluster ribo-1	WBGene00011860	pigc-1	70.13	0.357	True	oocyte WBbt:0006797	SIB WBbt:0005359; Q cell WBbt:0008598; hermaphrodite WBbt:0007849; intestine WBbt:0005772; ABarppaapp WBbt:0006393; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; ABarpppapp WBbt:0006572; oocyte WBbt:0006797; coelomic system WBbt:0005749; lateral ganglion left WBbt:0005103; MSpppaaa WBbt:0005951; germ line WBbt:0005784; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
3323	[3323] cluster ribo-1	WBGene00010911	M106.3	66.03	0.353	True	oocyte WBbt:0006797	excretory system WBbt:0005736; K' cell WBbt:0004497; hermaphrodite WBbt:0007849; intestine WBbt:0005772; Y cell WBbt:0004578; somatic nervous system WBbt:0005760; PLM WBbt:0005490; excretory cell WBbt:0005812; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; oocyte WBbt:0006797; nervous system WBbt:0005735; F cell WBbt:0004799; pharynx WBbt:0003681; K cell WBbt:0004499; B cell WBbt:0003825; thermosensory neuron WBbt:0005838; excretory secretory system WBbt:0006850; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; intestinal muscle WBbt:0005796; germline precursor cell WBbt:0006849; U cell WBbt:0004942; muscular system WBbt:0005737; reproductive system WBbt:0005747
