node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
3332	[3332] cluster lin-15A	WBGene00003529	nas-10	31.5	0.689	False	VB2 WBbt:0004641	excretory system WBbt:0005736; VA12 WBbt:0004645; excretory cell WBbt:0005812; epithelial system WBbt:0005730; nervous system WBbt:0005735; PLN WBbt:0006855; dorso-rectal ganglion WBbt:0005212; excretory secretory system WBbt:0006850; ALN WBbt:0006851; preanal ganglion WBbt:0005448
3332	[3332] cluster lin-15A	WBGene00009540	hlh-31	182.11	0.602	True	VB2 WBbt:0004641	AUA WBbt:0006817; DB2 WBbt:0004845; VB2 WBbt:0004641; VA1 WBbt:0004872; anterior ganglion WBbt:0005375; CAN WBbt:0006827; DB1 WBbt:0004846; epithelial system WBbt:0005730; nervous system WBbt:0005735; AS1 WBbt:0003925; retrovesicular ganglion WBbt:0005656; lateral ganglion left WBbt:0005103; cephalic sheath cell WBbt:0008406
3332	[3332] cluster lin-15A	WBGene00044394	B0034.7	251.97	0.482	False	VB2 WBbt:0004641	SIA WBbt:0005361; AIA WBbt:0006812; lateral ganglion right WBbt:0005101; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; germline precursor cell WBbt:0006849; ASE WBbt:0005663
3332	[3332] cluster lin-15A	WBGene00012451	Y17D7B.3	94.49	0.468	False	VB2 WBbt:0004641	anterior ganglion WBbt:0005375; epithelial system WBbt:0005730; CEPsoVL WBbt:0004918; FLP WBbt:0006828; thermosensory neuron WBbt:0005838
3332	[3332] cluster lin-15A	WBGene00008022	lgc-41	220.47	0.461	False	VB2 WBbt:0004641	hook sensillum WBbt:0006930; ADE WBbt:0005415; postdeirid sensillum WBbt:0005471; ASJ WBbt:0005667; RIA WBbt:0006833; CEP WBbt:0005244; Q cell WBbt:0008598; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; anterior ganglion WBbt:0005375; BAG WBbt:0006825; PVD WBbt:0006831; ASI WBbt:0005666; somatic nervous system WBbt:0005760; RMG WBbt:0006842; OLL WBbt:0006847; AIZ WBbt:0005836; AQR WBbt:0003927; ray WBbt:0006941; AWA WBbt:0005670; RIP WBbt:0006838; outer labial lateral sensillum WBbt:0005503; FLP WBbt:0006828; spermathecal-uterine valve cell WBbt:0008217; somatic gonad WBbt:0005785; VC1 WBbt:0004621; PDE WBbt:0006747; VC4 WBbt:0004617; lateral ganglion left WBbt:0005103; sex organ WBbt:0008422; posterior lateral ganglion WBbt:0005465; male WBbt:0007850; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
3332	[3332] cluster lin-15A	WBGene00043666	Y45G5AM.4	62.99	0.456	False	VB2 WBbt:0004641	lateral ganglion right WBbt:0005101; ABpraapapa WBbt:0005872; PLM WBbt:0005490; epithelial system WBbt:0005730; thermosensory neuron WBbt:0005838; ABplaapapa WBbt:0006120; lateral ganglion left WBbt:0005103; pharyngeal-intestinal valve WBbt:0005767; ASE WBbt:0005663
3332	[3332] cluster lin-15A	WBGene00010784	twk-48	573.25	0.413	True	VB2 WBbt:0004641	SMD WBbt:0005353; AS7 WBbt:0003909; DA6 WBbt:0004861; VB10 WBbt:0004625; VB5 WBbt:0004637; VB7 WBbt:0004631; DA1 WBbt:0004871; AS11 WBbt:0003905; DA8 WBbt:0004858; AS4 WBbt:0003912; VA10 WBbt:0004649; DB2 WBbt:0004845; DA5 WBbt:0004863; VB2 WBbt:0004641; AIA WBbt:0006812; VA8 WBbt:0004653; VA1 WBbt:0004872; DA4 WBbt:0004865; lateral ganglion right WBbt:0005101; VA2 WBbt:0004870; VB9 WBbt:0004627; RMDDR WBbt:0005038; RMDR WBbt:0005033; LUA WBbt:0008031; DA9 WBbt:0004857; PDB WBbt:0004385; DB6 WBbt:0004841; RIV WBbt:0006839; VA12 WBbt:0004645; DVA WBbt:0004823; AS8 WBbt:0003908; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; RMDVL WBbt:0005031; DA3 WBbt:0004867; VA5 WBbt:0004864; RMDL WBbt:0005037; AS5 WBbt:0003911; DB7 WBbt:0004840; VA11 WBbt:0004647; DA2 WBbt:0004869; SMB WBbt:0005355; VA3 WBbt:0004868; RMDVR WBbt:0005029; nervous system WBbt:0005735; AS1 WBbt:0003925; VA9 WBbt:0004651; VB3 WBbt:0004639; VB8 WBbt:0004629; VB4 WBbt:0004638; SAA WBbt:0005397; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; VA6 WBbt:0004862; PLN WBbt:0006855; dorso-rectal ganglion WBbt:0005212; VB6 WBbt:0004633; DB3 WBbt:0004844; VA4 WBbt:0004866; lateral ganglion left WBbt:0005103; ALN WBbt:0006851; SAB WBbt:0005396; PDA WBbt:0004386; VA7 WBbt:0004860; VB1 WBbt:0004643; SDQ WBbt:0006844; DA7 WBbt:0004859; DB5 WBbt:0004842; AS6 WBbt:0003910; VB11 WBbt:0004623; posterior lateral ganglion WBbt:0005465; male WBbt:0007850; preanal ganglion WBbt:0005448; RMDDL WBbt:0005039
3332	[3332] cluster lin-15A	WBGene00008551	lgc-36	182.11	0.405	True	VB2 WBbt:0004641	VA10 WBbt:0004649; VB2 WBbt:0004641; VA8 WBbt:0004653; VA1 WBbt:0004872; hermaphrodite WBbt:0007849; VA2 WBbt:0004870; anterior ganglion WBbt:0005375; DA9 WBbt:0004857; VA12 WBbt:0004645; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; VA5 WBbt:0004864; VA11 WBbt:0004647; VA3 WBbt:0004868; nervous system WBbt:0005735; AS1 WBbt:0003925; VA9 WBbt:0004651; VB3 WBbt:0004639; somatic gonad WBbt:0005785; retrovesicular ganglion WBbt:0005656; VA6 WBbt:0004862; VA4 WBbt:0004866; sex organ WBbt:0008422; SAB WBbt:0005396; VA7 WBbt:0004860; VB1 WBbt:0004643; uv1 WBbt:0006791; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; preanal ganglion WBbt:0005448; cephalic sheath cell WBbt:0008406
3332	[3332] cluster lin-15A	WBGene00013837	fbxa-30	184.4	0.399	False	VB2 WBbt:0004641	intestine WBbt:0005772; nervous system WBbt:0005735; thermosensory neuron WBbt:0005838
3332	[3332] cluster lin-15A	WBGene00010722	K09E4.4	407.16	0.336	True	VB2 WBbt:0004641	PHC WBbt:0008446; AS7 WBbt:0003909; DA6 WBbt:0004861; VB10 WBbt:0004625; VC6 WBbt:0004611; VB5 WBbt:0004637; OLQ WBbt:0006848; VB7 WBbt:0004631; DA1 WBbt:0004871; AVE WBbt:0006819; AS11 WBbt:0003905; I5 neuron WBbt:0004740; DA8 WBbt:0004858; AS4 WBbt:0003912; VA10 WBbt:0004649; DB2 WBbt:0004845; DA5 WBbt:0004863; IL1DR WBbt:0004737; VB2 WBbt:0004641; VA8 WBbt:0004653; VA1 WBbt:0004872; DA4 WBbt:0004865; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; VA2 WBbt:0004870; VB9 WBbt:0004627; anterior ganglion WBbt:0005375; AS9 WBbt:0003907; DA9 WBbt:0004857; PDB WBbt:0004385; DB6 WBbt:0004841; VA12 WBbt:0004645; AS2 WBbt:0003924; PVD WBbt:0006831; AS8 WBbt:0003908; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; AS3 WBbt:0003923; DA3 WBbt:0004867; OLL WBbt:0006847; VA5 WBbt:0004864; AS5 WBbt:0003911; DB7 WBbt:0004840; VA11 WBbt:0004647; DA2 WBbt:0004869; VA3 WBbt:0004868; nervous system WBbt:0005735; AS1 WBbt:0003925; VA9 WBbt:0004651; VB3 WBbt:0004639; VC1 WBbt:0004621; VB8 WBbt:0004629; VB4 WBbt:0004638; pharynx WBbt:0003681; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; VA6 WBbt:0004862; IL1VL WBbt:0004549; thermosensory neuron WBbt:0005838; VB6 WBbt:0004633; DB3 WBbt:0004844; VA4 WBbt:0004866; lateral ganglion left WBbt:0005103; sex organ WBbt:0008422; SAB WBbt:0005396; VA7 WBbt:0004860; VB1 WBbt:0004643; DA7 WBbt:0004859; IL1DL WBbt:0004738; ALA WBbt:0003955; DB5 WBbt:0004842; AS6 WBbt:0003910; VB11 WBbt:0004623; outer labial quadrant sensillum WBbt:0005502; reproductive system WBbt:0005747; AS10 WBbt:0003906; preanal ganglion WBbt:0005448
