node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
3333	[3333] cluster Y119C1B.3	WBGene00004160	pqn-79	437.06	0.624	False	AS1 WBbt:0003925	DVA WBbt:0004823; somatic nervous system WBbt:0005760; dorso-rectal ganglion WBbt:0005212; male WBbt:0007850
3333	[3333] cluster Y119C1B.3	WBGene00271744	K09F6.15	675.89	0.62	True	AS1 WBbt:0003925	SIB WBbt:0005359; DA1 WBbt:0004871; AS11 WBbt:0003905; AVA WBbt:0005842; VA10 WBbt:0004649; DB2 WBbt:0004845; VB2 WBbt:0004641; VA1 WBbt:0004872; VA2 WBbt:0004870; DA9 WBbt:0004857; PDB WBbt:0004385; DB6 WBbt:0004841; VA12 WBbt:0004645; DVA WBbt:0004823; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; DA3 WBbt:0004867; DB7 WBbt:0004840; VA11 WBbt:0004647; VA3 WBbt:0004868; AS1 WBbt:0003925; VB3 WBbt:0004639; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; PLN WBbt:0006855; dorso-rectal ganglion WBbt:0005212; thermosensory neuron WBbt:0005838; DB3 WBbt:0004844; VA4 WBbt:0004866; lateral ganglion left WBbt:0005103; ALN WBbt:0006851; SAB WBbt:0005396; PDA WBbt:0004386; AVB WBbt:0005841; germ line WBbt:0005784; VB1 WBbt:0004643; DB5 WBbt:0004842; male WBbt:0007850; reproductive system WBbt:0005747; preanal ganglion WBbt:0005448
3333	[3333] cluster Y119C1B.3	WBGene00000028	abu-5	437.06	0.614	False	AS1 WBbt:0003925	pharynx WBbt:0003681; muscular system WBbt:0005737
3333	[3333] cluster Y119C1B.3	WBGene00006155	str-99	31.22	0.524	False	AS1 WBbt:0003925	corpus WBbt:0003733; pharynx WBbt:0003681; NSM WBbt:0003666
3333	[3333] cluster Y119C1B.3	WBGene00022469	Y119C1B.3	835.62	0.43	True	AS1 WBbt:0003925	DA6 WBbt:0004861; VB10 WBbt:0004625; VB5 WBbt:0004637; VB7 WBbt:0004631; DA1 WBbt:0004871; AS11 WBbt:0003905; I5 neuron WBbt:0004740; DA8 WBbt:0004858; VA10 WBbt:0004649; DB2 WBbt:0004845; DA5 WBbt:0004863; VB2 WBbt:0004641; VA8 WBbt:0004653; VA1 WBbt:0004872; DA4 WBbt:0004865; VA2 WBbt:0004870; VB9 WBbt:0004627; AVG WBbt:0003850; anterior ganglion WBbt:0005375; intestine WBbt:0005772; AS9 WBbt:0003907; DA9 WBbt:0004857; PDB WBbt:0004385; DB6 WBbt:0004841; VA12 WBbt:0004645; DVA WBbt:0004823; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; DA3 WBbt:0004867; epithelial system WBbt:0005730; VA5 WBbt:0004864; DB7 WBbt:0004840; VA11 WBbt:0004647; DA2 WBbt:0004869; VA3 WBbt:0004868; nervous system WBbt:0005735; AS1 WBbt:0003925; VA9 WBbt:0004651; VB3 WBbt:0004639; VB8 WBbt:0004629; VB4 WBbt:0004638; pharynx WBbt:0003681; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; VA6 WBbt:0004862; dorso-rectal ganglion WBbt:0005212; VB6 WBbt:0004633; DB3 WBbt:0004844; VA4 WBbt:0004866; SAB WBbt:0005396; PDA WBbt:0004386; VA7 WBbt:0004860; VB1 WBbt:0004643; DA7 WBbt:0004859; DB5 WBbt:0004842; VB11 WBbt:0004623; male WBbt:0007850; PVT WBbt:0004070; AS10 WBbt:0003906; preanal ganglion WBbt:0005448; cephalic sheath cell WBbt:0008406
3333	[3333] cluster Y119C1B.3	WBGene00019589	K09F6.6	148.81	0.419	True	AS1 WBbt:0003925	SIB WBbt:0005359; DA1 WBbt:0004871; AVA WBbt:0005842; VA10 WBbt:0004649; DB2 WBbt:0004845; VB2 WBbt:0004641; VA1 WBbt:0004872; lateral ganglion right WBbt:0005101; VA2 WBbt:0004870; intestine WBbt:0005772; DA9 WBbt:0004857; VA12 WBbt:0004645; DVA WBbt:0004823; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; DA3 WBbt:0004867; VA11 WBbt:0004647; VA3 WBbt:0004868; nervous system WBbt:0005735; AS1 WBbt:0003925; VB3 WBbt:0004639; retrovesicular ganglion WBbt:0005656; dorso-rectal ganglion WBbt:0005212; VA4 WBbt:0004866; lateral ganglion left WBbt:0005103; SAB WBbt:0005396; AVB WBbt:0005841; VB1 WBbt:0004643; male WBbt:0007850; ASE WBbt:0005663; DVC WBbt:0004821; preanal ganglion WBbt:0005448
3333	[3333] cluster Y119C1B.3	WBGene00007484	C09G1.2	27.58	0.345	False	AS1 WBbt:0003925	hook sensillum WBbt:0006930; ADF WBbt:0005660; ray WBbt:0006941; nervous system WBbt:0005735; thermosensory neuron WBbt:0005838; lateral ganglion left WBbt:0005103; male WBbt:0007850
3333	[3333] cluster Y119C1B.3	WBGene00022746	ZK470.4	31.22	0.286	False	AS1 WBbt:0003925	epithelial system WBbt:0005730
3333	[3333] cluster Y119C1B.3	WBGene00008271	suex-2	27.58	0.273	False	AS1 WBbt:0003925	excretory system WBbt:0005736; excretory cell WBbt:0005812; excretory secretory system WBbt:0006850
3333	[3333] cluster Y119C1B.3	WBGene00003610	nhr-11	334.57	0.255	False	AS1 WBbt:0003925	SMD WBbt:0005353; XXX cell WBbt:0007855; ABplpppaaa WBbt:0006025; IL socket cell WBbt:0008418; CEPsoDR WBbt:0004919; CEPsoVR WBbt:0004917; RIA WBbt:0006833; body wall WBbt:0005742; lateral ganglion right WBbt:0005101; ADE sheath cell WBbt:0008411; ADF WBbt:0005660; anterior ganglion WBbt:0005375; amphid sheath cell WBbt:0006754; PDE socket cell WBbt:0008421; somatic nervous system WBbt:0005760; phasmid socket cell WBbt:0008410; gonadal primordium WBbt:0008366; ABprpppaaa WBbt:0006063; ABalpappaa WBbt:0006051; amphid socket cell WBbt:0008379; epithelial system WBbt:0005730; CEPsoVL WBbt:0004918; nervous system WBbt:0005735; OL sheath cell WBbt:0008413; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; thermosensory neuron WBbt:0005838; ABarapapaa WBbt:0006001; lateral ganglion left WBbt:0005103; ABarpaaa WBbt:0006398; hyp3 WBbt:0004690; VB1 WBbt:0004643; phasmid sheath cell WBbt:0006755; ALA WBbt:0003955; CEPsoDL WBbt:0004921; ADE socket cell WBbt:0008416; OL socket cell WBbt:0008419; PDE sheath cell WBbt:0008415; cephalic sheath cell WBbt:0008406
