node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
372	[372] cluster scp-1	WBGene00001704	grd-15	3019.28	0.826	True	phasmid socket cell WBbt:0008410	excretory system WBbt:0005736; anterior ganglion WBbt:0005375; phasmid socket cell WBbt:0008410; anterior arcade cell WBbt:0005794; amphid socket cell WBbt:0008379; epithelial system WBbt:0005730; excretory secretory system WBbt:0006850
372	[372] cluster scp-1	WBGene00000651	col-75	3997.38	0.807	True	phasmid socket cell WBbt:0008410	excretory system WBbt:0005736; anterior ganglion WBbt:0005375; phasmid socket cell WBbt:0008410; anterior arcade cell WBbt:0005794; M2 neuron WBbt:0003634; amphid socket cell WBbt:0008379; epithelial system WBbt:0005730; nervous system WBbt:0005735; pharynx WBbt:0003681; excretory duct cell WBbt:0004540; excretory secretory system WBbt:0006850; excretory socket cell WBbt:0004534; muscular system WBbt:0005737
372	[372] cluster scp-1	WBGene00077714	R102.11	4801.99	0.687	True	phasmid socket cell WBbt:0008410	hyp6 WBbt:0004679; hyp5 WBbt:0004685; IL socket cell WBbt:0008418; dorsal uterine cell WBbt:0006782; excretory system WBbt:0005736; K' cell WBbt:0004497; postdeirid sensillum WBbt:0005471; vulD WBbt:0006766; hyp1 WBbt:0004694; hyp2 WBbt:0004692; ut4 WBbt:0006788; hermaphrodite WBbt:0007849; anterior ganglion WBbt:0005375; ILshDL WBbt:0004533; hyp4 WBbt:0004687; PDE socket cell WBbt:0008421; phasmid socket cell WBbt:0008410; anterior arcade cell WBbt:0005794; PLM WBbt:0005490; amphid socket cell WBbt:0008379; vulC WBbt:0006765; epithelial system WBbt:0005730; hyp12 WBbt:0004376; tail hypodermis WBbt:0006978; vulA WBbt:0006762; midbody WBbt:0005740; nervous system WBbt:0005735; outer labial lateral sensillum WBbt:0005503; somatic gonad WBbt:0005785; OL sheath cell WBbt:0008413; vulB1 WBbt:0006763; excretory duct cell WBbt:0004540; thermosensory neuron WBbt:0005838; posterior arcade cell WBbt:0005795; excretory secretory system WBbt:0006850; excretory socket cell WBbt:0004534; sex organ WBbt:0008422; hyp3 WBbt:0004690; phasmid sheath cell WBbt:0006755; posterior lateral ganglion WBbt:0005465; outer labial quadrant sensillum WBbt:0005502; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; OL socket cell WBbt:0008419; PDE sheath cell WBbt:0008415
372	[372] cluster scp-1	WBGene00010464	K01D12.5	940.59	0.67	False	phasmid socket cell WBbt:0008410	AVE WBbt:0006819; lateral ganglion right WBbt:0005101; lateral ganglion left WBbt:0005103
372	[372] cluster scp-1	WBGene00004744	scp-1	5385.55	0.653	False	phasmid socket cell WBbt:0008410	PVC WBbt:0005840; DA6 WBbt:0004861; VB10 WBbt:0004625; VB5 WBbt:0004637; VB7 WBbt:0004631; GLR WBbt:0005176; DA8 WBbt:0004858; AVJ WBbt:0006822; VB2 WBbt:0004641; corpus WBbt:0003733; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; VB9 WBbt:0004627; AVG WBbt:0003850; RMDDR WBbt:0005038; AVD WBbt:0006818; AVH WBbt:0006821; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; RMDVL WBbt:0005031; AVK WBbt:0006823; RMF WBbt:0006841; SMB WBbt:0005355; oocyte WBbt:0006797; RMDVR WBbt:0005029; nervous system WBbt:0005735; VB3 WBbt:0004639; VB8 WBbt:0004629; VB4 WBbt:0004638; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; PLN WBbt:0006855; ALM WBbt:0005406; VB6 WBbt:0004633; RIS WBbt:0005045; lateral ganglion left WBbt:0005103; PVP WBbt:0006832; germ line WBbt:0005784; VB1 WBbt:0004643; germline precursor cell WBbt:0006849; NSM WBbt:0003666; DA7 WBbt:0004859; VB11 WBbt:0004623; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive system WBbt:0005747; preanal ganglion WBbt:0005448; RMDDL WBbt:0005039
372	[372] cluster scp-1	WBGene00219308	W06G6.20	233.75	0.644	True	phasmid socket cell WBbt:0008410	excretory system WBbt:0005736; phasmid socket cell WBbt:0008410; epithelial system WBbt:0005730; nervous system WBbt:0005735; excretory secretory system WBbt:0006850; phasmid sheath cell WBbt:0006755
372	[372] cluster scp-1	WBGene00005104	srd-26	49.03	0.596	False	phasmid socket cell WBbt:0008410	AWA WBbt:0005670; nervous system WBbt:0005735; lateral ganglion left WBbt:0005103
372	[372] cluster scp-1	WBGene00011928	cutl-12	587.29	0.594	True	phasmid socket cell WBbt:0008410	XXX cell WBbt:0007855; dorsal uterine cell WBbt:0006782; excretory system WBbt:0005736; hyp2 WBbt:0004692; hermaphrodite WBbt:0007849; anterior ganglion WBbt:0005375; amphid sheath cell WBbt:0006754; phasmid socket cell WBbt:0008410; amphid socket cell WBbt:0008379; epithelial system WBbt:0005730; somatic gonad WBbt:0005785; OL sheath cell WBbt:0008413; excretory secretory system WBbt:0006850; sex organ WBbt:0008422; phasmid sheath cell WBbt:0006755; outer labial quadrant sensillum WBbt:0005502; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
372	[372] cluster scp-1	WBGene00044548	cnc-9	80.56	0.543	False	phasmid socket cell WBbt:0008410	excretory system WBbt:0005736; amphid sheath cell WBbt:0006754; epithelial system WBbt:0005730; excretory duct cell WBbt:0004540; excretory secretory system WBbt:0006850; excretory socket cell WBbt:0004534
372	[372] cluster scp-1	WBGene00018896	F55F8.8	446.17	0.519	True	phasmid socket cell WBbt:0008410	excretory system WBbt:0005736; anterior ganglion WBbt:0005375; phasmid socket cell WBbt:0008410; amphid socket cell WBbt:0008379; epithelial system WBbt:0005730; nervous system WBbt:0005735; excretory duct cell WBbt:0004540; excretory secretory system WBbt:0006850; excretory socket cell WBbt:0004534; phasmid sheath cell WBbt:0006755; ALA WBbt:0003955
