node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
3831	[3831] cluster C49F5.7	WBGene00018380	F43C11.3	2598.22	0.759	False	hyp12 WBbt:0004376	epithelial system WBbt:0005730; germ line WBbt:0005784; reproductive system WBbt:0005747
3831	[3831] cluster C49F5.7	WBGene00077764	F59C6.16	4388.93	0.687	False	hyp12 WBbt:0004376	Cpapap WBbt:0006374; Caappd WBbt:0005991; Cpaapa WBbt:0005886; Cpappd WBbt:0006100; hyp2 WBbt:0004692; Cpaapp WBbt:0006399; Caaaap WBbt:0006319; DA9 WBbt:0004857; Caaaaa WBbt:0006076; Cpapaa WBbt:0006231; Cpaaaa WBbt:0006151; epithelial system WBbt:0005730; Caaapp WBbt:0006521; nervous system WBbt:0005735; Caaapa WBbt:0006502; Cpaaap WBbt:0006357; preanal ganglion WBbt:0005448
3831	[3831] cluster C49F5.7	WBGene00008211	C49F5.7	17813.27	0.607	False	hyp12 WBbt:0004376	corpus WBbt:0003733; intestine WBbt:0005772; lumbar ganglion right WBbt:0005601; epithelial system WBbt:0005730; pharynx WBbt:0003681; ALN WBbt:0006851; germ line WBbt:0005784; NSM WBbt:0003666; reproductive system WBbt:0005747
3831	[3831] cluster C49F5.7	WBGene00012603	nspe-6	122.49	0.579	False	hyp12 WBbt:0004376	somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; nervous system WBbt:0005735; pharyngeal-intestinal valve WBbt:0005767
3831	[3831] cluster C49F5.7	WBGene00015509	C06A6.4	1551.17	0.503	False	hyp12 WBbt:0004376	somatic nervous system WBbt:0005760; AVK WBbt:0006823; coelomic system WBbt:0005749; germ line WBbt:0005784; germline precursor cell WBbt:0006849; muscular system WBbt:0005737
3831	[3831] cluster C49F5.7	WBGene00011446	T04F8.8	6174.88	0.498	True	hyp12 WBbt:0004376	ABplpapppa WBbt:0006225; ABalppappa WBbt:0005975; hyp2 WBbt:0004692; ABarappppa WBbt:0006687; epithelial system WBbt:0005730; hyp12 WBbt:0004376; nervous system WBbt:0005735
3831	[3831] cluster C49F5.7	WBGene00007890	C33A12.19	1473.22	0.483	True	hyp12 WBbt:0004376	gonadal primordium WBbt:0008366; epithelial system WBbt:0005730; hyp12 WBbt:0004376; germ line WBbt:0005784; phasmid sheath cell WBbt:0006755; reproductive system WBbt:0005747
3831	[3831] cluster C49F5.7	WBGene00017390	F12A10.1	2206.56	0.483	True	hyp12 WBbt:0004376	intestine WBbt:0005772; PVD WBbt:0006831; ABprapppapp WBbt:0006743; PLM WBbt:0005490; epithelial system WBbt:0005730; OLL WBbt:0006847; hyp12 WBbt:0004376; nervous system WBbt:0005735; ABplapppapp WBbt:0005970
3831	[3831] cluster C49F5.7	WBGene00017506	F16B4.4	7807.1	0.482	True	hyp12 WBbt:0004376	Cpapap WBbt:0006374; Caappd WBbt:0005991; Cpaapa WBbt:0005886; Cpappd WBbt:0006100; Cpaapp WBbt:0006399; intestine WBbt:0005772; Caaaap WBbt:0006319; Caaaaa WBbt:0006076; Cpapaa WBbt:0006231; BAG WBbt:0006825; Cpaaaa WBbt:0006151; epithelial system WBbt:0005730; hyp12 WBbt:0004376; Caaapp WBbt:0006521; nervous system WBbt:0005735; pharynx WBbt:0003681; Caaapa WBbt:0006502; striated muscle WBbt:0005779; germline precursor cell WBbt:0006849; Cpaaap WBbt:0006357; muscular system WBbt:0005737
3831	[3831] cluster C49F5.7	WBGene00010422	H32K16.2	381.29	0.387	False	hyp12 WBbt:0004376	gonadal primordium WBbt:0008366; epithelial system WBbt:0005730; striated muscle WBbt:0005779; muscular system WBbt:0005737
3831	[3831] cluster C49F5.7	WBGene00013146	Y53C12B.7	298.52	0.312	False	hyp12 WBbt:0004376	vm1 WBbt:0006917; RIB WBbt:0005834; hermaphrodite WBbt:0007849; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; AVK WBbt:0006823; coelomic system WBbt:0005749; lateral ganglion left WBbt:0005103; vm2 WBbt:0006918; sex organ WBbt:0008422; AWCL WBbt:0003827; muscular system WBbt:0005737; reproductive system WBbt:0005747
3831	[3831] cluster C49F5.7	WBGene00015410	tbc-6	665.25	0.296	False	hyp12 WBbt:0004376	MSpaaapa WBbt:0006241; ABprppppaa WBbt:0006642; MSpapaapa WBbt:0006627; anterior ganglion WBbt:0005375; intestine WBbt:0005772; g1AL WBbt:0004532; g1P WBbt:0004528; MSaapaapa WBbt:0006494; g1AR WBbt:0004530; epithelial system WBbt:0005730; g2 WBbt:0003710; pharynx WBbt:0003681; ABplppppaa WBbt:0006109; cephalic sheath cell WBbt:0008406
