node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
3856	[3856] cluster qua-1	WBGene00012917	Y46G5A.29	573.37	0.678	True	hyp12 WBbt:0004376	hyp6 WBbt:0004679; hyp5 WBbt:0004685; IL socket cell WBbt:0008418; excretory system WBbt:0005736; K' cell WBbt:0004497; postdeirid sensillum WBbt:0005471; vulD WBbt:0006766; hyp1 WBbt:0004694; hyp2 WBbt:0004692; ut4 WBbt:0006788; hermaphrodite WBbt:0007849; anterior ganglion WBbt:0005375; ILshDL WBbt:0004533; hyp4 WBbt:0004687; PDE socket cell WBbt:0008421; PVD WBbt:0006831; phasmid socket cell WBbt:0008410; anterior arcade cell WBbt:0005794; PLM WBbt:0005490; amphid socket cell WBbt:0008379; vulC WBbt:0006765; epithelial system WBbt:0005730; OLL WBbt:0006847; hyp12 WBbt:0004376; tail hypodermis WBbt:0006978; vulA WBbt:0006762; midbody WBbt:0005740; outer labial lateral sensillum WBbt:0005503; somatic gonad WBbt:0005785; OL sheath cell WBbt:0008413; vulB1 WBbt:0006763; excretory duct cell WBbt:0004540; posterior arcade cell WBbt:0005795; excretory secretory system WBbt:0006850; excretory socket cell WBbt:0004534; sex organ WBbt:0008422; hyp3 WBbt:0004690; phasmid sheath cell WBbt:0006755; posterior lateral ganglion WBbt:0005465; outer labial quadrant sensillum WBbt:0005502; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; OL socket cell WBbt:0008419; PDE sheath cell WBbt:0008415
3856	[3856] cluster qua-1	WBGene00077692	C08E8.10	500.91	0.638	False	hyp12 WBbt:0004376	XXX cell WBbt:0007855; hyp2 WBbt:0004692; anterior ganglion WBbt:0005375; gonadal primordium WBbt:0008366; PLM WBbt:0005490; epithelial system WBbt:0005730; nervous system WBbt:0005735; germline precursor cell WBbt:0006849; cephalic sheath cell WBbt:0008406
3856	[3856] cluster qua-1	WBGene00019234	ugt-8	1462.67	0.636	True	hyp12 WBbt:0004376	excretory system WBbt:0005736; hyp2 WBbt:0004692; intestine WBbt:0005772; amphid sheath cell WBbt:0006754; PLM WBbt:0005490; excretory cell WBbt:0005812; epithelial system WBbt:0005730; hyp12 WBbt:0004376; nervous system WBbt:0005735; pharynx WBbt:0003681; thermosensory neuron WBbt:0005838; excretory secretory system WBbt:0006850; phasmid sheath cell WBbt:0006755; muscular system WBbt:0005737
3856	[3856] cluster qua-1	WBGene00017336	ugt-41	1790.04	0.631	True	hyp12 WBbt:0004376	excretory system WBbt:0005736; hyp2 WBbt:0004692; PLM WBbt:0005490; excretory cell WBbt:0005812; epithelial system WBbt:0005730; hyp12 WBbt:0004376; nervous system WBbt:0005735; thermosensory neuron WBbt:0005838; excretory secretory system WBbt:0006850
3856	[3856] cluster qua-1	WBGene00012107	T27F6.8	668.75	0.524	True	hyp12 WBbt:0004376	intestine WBbt:0005772; epithelial system WBbt:0005730; hyp12 WBbt:0004376; germline precursor cell WBbt:0006849
3856	[3856] cluster qua-1	WBGene00011105	R07E3.4	1083.06	0.475	False	hyp12 WBbt:0004376	intestine WBbt:0005772; PVD WBbt:0006831; PLM WBbt:0005490; epithelial system WBbt:0005730; OLL WBbt:0006847; thermosensory neuron WBbt:0005838; muscular system WBbt:0005737
3856	[3856] cluster qua-1	WBGene00004264	qua-1	3327.38	0.474	True	hyp12 WBbt:0004376	PHC WBbt:0008446; hyp6 WBbt:0004679; hyp5 WBbt:0004685; IL socket cell WBbt:0008418; P9 WBbt:0006778; PVM WBbt:0004086; excretory system WBbt:0005736; K' cell WBbt:0004497; P1 WBbt:0006770; P12 WBbt:0004409; P11 WBbt:0004410; postdeirid sensillum WBbt:0005471; P2 WBbt:0006771; vulD WBbt:0006766; hyp1 WBbt:0004694; hyp2 WBbt:0004692; ut4 WBbt:0006788; hermaphrodite WBbt:0007849; P5 WBbt:0006774; anterior ganglion WBbt:0005375; intestine WBbt:0005772; P6 WBbt:0006775; ILshDL WBbt:0004533; hyp4 WBbt:0004687; amphid sheath cell WBbt:0006754; PDE socket cell WBbt:0008421; Y cell WBbt:0004578; PVD WBbt:0006831; somatic nervous system WBbt:0005760; phasmid socket cell WBbt:0008410; vulF WBbt:0006768; anterior arcade cell WBbt:0005794; PLM WBbt:0005490; amphid socket cell WBbt:0008379; vulC WBbt:0006765; epithelial system WBbt:0005730; OLL WBbt:0006847; hyp12 WBbt:0004376; P10 WBbt:0006779; tail hypodermis WBbt:0006978; vulA WBbt:0006762; midbody WBbt:0005740; P8 WBbt:0006777; outer labial lateral sensillum WBbt:0005503; somatic gonad WBbt:0005785; F cell WBbt:0004799; OL sheath cell WBbt:0008413; K cell WBbt:0004499; vulB1 WBbt:0006763; B cell WBbt:0003825; excretory duct cell WBbt:0004540; thermosensory neuron WBbt:0005838; posterior arcade cell WBbt:0005795; excretory secretory system WBbt:0006850; lateral ganglion left WBbt:0005103; excretory socket cell WBbt:0004534; sex organ WBbt:0008422; hyp3 WBbt:0004690; phasmid sheath cell WBbt:0006755; posterior lateral ganglion WBbt:0005465; P4 WBbt:0006773; U cell WBbt:0004942; P7 WBbt:0006776; AWCL WBbt:0003827; outer labial quadrant sensillum WBbt:0005502; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; OL socket cell WBbt:0008419; PDE sheath cell WBbt:0008415
3856	[3856] cluster qua-1	WBGene00010045	F54C9.11	782.12	0.43	False	hyp12 WBbt:0004376	SMD WBbt:0005353; RME WBbt:0005399; AIM WBbt:0006814; SIB WBbt:0005359; AVE WBbt:0006819; AS11 WBbt:0003905; I5 neuron WBbt:0004740; SIA WBbt:0005361; AVA WBbt:0005842; DD1 WBbt:0004839; AVJ WBbt:0006822; RIA WBbt:0006833; DD6 WBbt:0004824; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; AVG WBbt:0003850; anchor cell WBbt:0004522; RMDDR WBbt:0005038; RMDR WBbt:0005033; anterior ganglion WBbt:0005375; RIC WBbt:0006834; AVD WBbt:0006818; RIV WBbt:0006839; AVH WBbt:0006821; BDU WBbt:0006826; somatic nervous system WBbt:0005760; RMDVL WBbt:0005031; PLM WBbt:0005490; vulB2 WBbt:0006764; epithelial system WBbt:0005730; AIB WBbt:0006813; AVK WBbt:0006823; RMDL WBbt:0005037; vulA WBbt:0006762; midbody WBbt:0005740; RMDVR WBbt:0005029; DD5 WBbt:0004825; somatic gonad WBbt:0005785; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; vulB1 WBbt:0006763; ALM WBbt:0005406; RIM WBbt:0005835; RIS WBbt:0005045; RID WBbt:0003938; lateral ganglion left WBbt:0005103; DD3 WBbt:0004837; DD2 WBbt:0004838; sex organ WBbt:0008422; PVP WBbt:0006832; AVB WBbt:0005841; RIH WBbt:0003928; ALA WBbt:0003955; DD4 WBbt:0004826; muscular system WBbt:0005737; reproductive tract WBbt:0005744; head mesodermal cell WBbt:0004697; preanal ganglion WBbt:0005448; RMDDL WBbt:0005039
3856	[3856] cluster qua-1	WBGene00009405	F35C11.6	369.17	0.429	True	hyp12 WBbt:0004376	dorsal uterine cell WBbt:0006782; excretory system WBbt:0005736; MSpaapaa WBbt:0006032; hyp2 WBbt:0004692; hermaphrodite WBbt:0007849; anterior ganglion WBbt:0005375; PDE socket cell WBbt:0008421; Y cell WBbt:0004578; PLM WBbt:0005490; vulC WBbt:0006765; epithelial system WBbt:0005730; hyp12 WBbt:0004376; tail hypodermis WBbt:0006978; midbody WBbt:0005740; nervous system WBbt:0005735; somatic gonad WBbt:0005785; OL sheath cell WBbt:0008413; pharynx WBbt:0003681; B cell WBbt:0003825; thermosensory neuron WBbt:0005838; excretory secretory system WBbt:0006850; sex organ WBbt:0008422; phasmid sheath cell WBbt:0006755; outer labial quadrant sensillum WBbt:0005502; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
3856	[3856] cluster qua-1	WBGene00004196	prx-11	628.72	0.409	False	hyp12 WBbt:0004376	hermaphrodite WBbt:0007849; intestine WBbt:0005772; gonadal primordium WBbt:0008366; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; somatic gonad WBbt:0005785; ABprpaaaap WBbt:0006721; pharynx WBbt:0003681; ABplpaaaap WBbt:0006528; sex organ WBbt:0008422; uv1 WBbt:0006791; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
