node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
3885	[3885] cluster F45D3.4	WBGene00011042	R05H10.1	162.82	0.609	False	hyp12 WBbt:0004376	epithelial system WBbt:0005730; coelomic system WBbt:0005749; male WBbt:0007850
3885	[3885] cluster F45D3.4	WBGene00016419	tyr-4	323.51	0.607	True	hyp12 WBbt:0004376	intestine WBbt:0005772; epithelial system WBbt:0005730; hyp12 WBbt:0004376; tail precursor cell WBbt:0008409
3885	[3885] cluster F45D3.4	WBGene00023501	F11E6.11	217.38	0.571	True	hyp12 WBbt:0004376	intestine WBbt:0005772; epithelial system WBbt:0005730; hyp12 WBbt:0004376
3885	[3885] cluster F45D3.4	WBGene00045387	K09H9.8	560.16	0.561	True	hyp12 WBbt:0004376	K' cell WBbt:0004497; hyp2 WBbt:0004692; hermaphrodite WBbt:0007849; anterior ganglion WBbt:0005375; ILshDL WBbt:0004533; amphid sheath cell WBbt:0006754; Y cell WBbt:0004578; gonadal primordium WBbt:0008366; anterior arcade cell WBbt:0005794; vulC WBbt:0006765; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; hyp12 WBbt:0004376; tail hypodermis WBbt:0006978; midbody WBbt:0005740; nervous system WBbt:0005735; F cell WBbt:0004799; OL sheath cell WBbt:0008413; K cell WBbt:0004499; B cell WBbt:0003825; sex organ WBbt:0008422; phasmid sheath cell WBbt:0006755; U cell WBbt:0004942; outer labial quadrant sensillum WBbt:0005502; reproductive system WBbt:0005747
3885	[3885] cluster F45D3.4	WBGene00013169	Y53F4B.23	178.62	0.558	False	hyp12 WBbt:0004376	epithelial system WBbt:0005730
3885	[3885] cluster F45D3.4	WBGene00016644	abhd-3.2	62.59	0.522	False	hyp12 WBbt:0004376	intestine WBbt:0005772; PVD WBbt:0006831; OLL WBbt:0006847
3885	[3885] cluster F45D3.4	WBGene00022131	Y71F9B.13	238.6	0.504	True	hyp12 WBbt:0004376	AVJ WBbt:0006822; hyp2 WBbt:0004692; lateral ganglion right WBbt:0005101; anterior ganglion WBbt:0005375; AVD WBbt:0006818; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; hyp12 WBbt:0004376; SMB WBbt:0005355; nervous system WBbt:0005735; lateral ganglion left WBbt:0005103; germ line WBbt:0005784; muscular system WBbt:0005737; reproductive system WBbt:0005747; cephalic sheath cell WBbt:0008406
3885	[3885] cluster F45D3.4	WBGene00021745	Y50D4B.6	50.14	0.48	False	hyp12 WBbt:0004376	PVQ WBbt:0006976; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730
3885	[3885] cluster F45D3.4	WBGene00015056	B0222.5	130.64	0.467	True	hyp12 WBbt:0004376	hyp2 WBbt:0004692; hermaphrodite WBbt:0007849; AVG WBbt:0003850; anterior ganglion WBbt:0005375; ILshDL WBbt:0004533; Y cell WBbt:0004578; anterior arcade cell WBbt:0005794; vulC WBbt:0006765; epithelial system WBbt:0005730; hyp12 WBbt:0004376; tail hypodermis WBbt:0006978; midbody WBbt:0005740; nervous system WBbt:0005735; OL sheath cell WBbt:0008413; retrovesicular ganglion WBbt:0005656; B cell WBbt:0003825; sex organ WBbt:0008422; outer labial quadrant sensillum WBbt:0005502; reproductive system WBbt:0005747
3885	[3885] cluster F45D3.4	WBGene00009724	F45D3.4	1902.99	0.43	True	hyp12 WBbt:0004376	Cpapap WBbt:0006374; Caappd WBbt:0005991; dorsal uterine cell WBbt:0006782; Cpaapa WBbt:0005886; excretory system WBbt:0005736; Cpappd WBbt:0006100; AWC-ON WBbt:0005832; hyp2 WBbt:0004692; AWC-OFF WBbt:0005833; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; Cpaapp WBbt:0006399; anterior ganglion WBbt:0005375; intestine WBbt:0005772; Caaaap WBbt:0006319; ILshDL WBbt:0004533; Y cell WBbt:0004578; Caaaaa WBbt:0006076; Cpapaa WBbt:0006231; PVD WBbt:0006831; gonadal primordium WBbt:0008366; anterior arcade cell WBbt:0005794; PLM WBbt:0005490; vulC WBbt:0006765; Cpaaaa WBbt:0006151; epithelial system WBbt:0005730; OLL WBbt:0006847; hyp12 WBbt:0004376; Caaapp WBbt:0006521; tail hypodermis WBbt:0006978; midbody WBbt:0005740; somatic gonad WBbt:0005785; OL sheath cell WBbt:0008413; B cell WBbt:0003825; Caaapa WBbt:0006502; thermosensory neuron WBbt:0005838; excretory secretory system WBbt:0006850; lateral ganglion left WBbt:0005103; sex organ WBbt:0008422; germline precursor cell WBbt:0006849; Cpaaap WBbt:0006357; male WBbt:0007850; outer labial quadrant sensillum WBbt:0005502; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
