node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
3898	[3898] cluster Y37E3.30	WBGene00009343	F32H2.6	355.34	0.539	True	Caaaap WBbt:0006319	ABarpaappp WBbt:0006070; Cpapap WBbt:0006374; ABarpaappa WBbt:0005939; Caappd WBbt:0005991; ABarpaapap WBbt:0006375; Cpaapa WBbt:0005886; Cpappd WBbt:0006100; ABplaapppa WBbt:0006735; ABprappppa WBbt:0006226; ABplappppa WBbt:0004671; G cell WBbt:0008599; Cpaapp WBbt:0006399; Caaaap WBbt:0006319; Caaaaa WBbt:0006076; Cpapaa WBbt:0006231; PVD WBbt:0006831; gonadal primordium WBbt:0008366; ABarppaapa WBbt:0006180; Cpaaaa WBbt:0006151; epithelial system WBbt:0005730; OLL WBbt:0006847; Caaapp WBbt:0006521; ABpraapppp WBbt:0006608; ABplaapppp WBbt:0006477; tail precursor cell WBbt:0008409; ABpraapppa WBbt:0006244; Caaapa WBbt:0006502; W cell WBbt:0004583; ABarpppapa WBbt:0006433; Cpaaap WBbt:0006357
3898	[3898] cluster Y37E3.30	WBGene00020691	igdb-3	157.39	0.524	True	Caaaap WBbt:0006319	ABarpaappp WBbt:0006070; Cpapap WBbt:0006374; ABarpaappa WBbt:0005939; Caappd WBbt:0005991; ABarpaapap WBbt:0006375; Cpaapa WBbt:0005886; Cpappd WBbt:0006100; Z1.p WBbt:0007023; ABplaapppa WBbt:0006735; ABprappppa WBbt:0006226; ABplappppa WBbt:0004671; Cpaapp WBbt:0006399; Caaaap WBbt:0006319; male distal tip cell WBbt:0006864; Caaaaa WBbt:0006076; Cpapaa WBbt:0006231; gonadal primordium WBbt:0008366; ABarppaapa WBbt:0006180; Cpaaaa WBbt:0006151; Caaapp WBbt:0006521; Z4.a WBbt:0007025; ABpraapppp WBbt:0006608; ABplaapppp WBbt:0006477; tail precursor cell WBbt:0008409; ABpraapppa WBbt:0006244; Caaapa WBbt:0006502; ABarpppapa WBbt:0006433; Cpaaap WBbt:0006357; male WBbt:0007850; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
3898	[3898] cluster Y37E3.30	WBGene00235267	Y77E11A.23	168.97	0.495	True	Caaaap WBbt:0006319	Cpapap WBbt:0006374; Caappd WBbt:0005991; Cpaapa WBbt:0005886; Cpappd WBbt:0006100; G cell WBbt:0008599; Cpaapp WBbt:0006399; Caaaap WBbt:0006319; Caaaaa WBbt:0006076; Cpapaa WBbt:0006231; Cpaaaa WBbt:0006151; epithelial system WBbt:0005730; Caaapp WBbt:0006521; Caaapa WBbt:0006502; ABarpaaa WBbt:0006398; W cell WBbt:0004583; Cpaaap WBbt:0006357
3898	[3898] cluster Y37E3.30	WBGene00018191	frpr-7	608.76	0.478	True	Caaaap WBbt:0006319	Cpapap WBbt:0006374; Caappd WBbt:0005991; ADE WBbt:0005415; Cpaapa WBbt:0005886; AVE WBbt:0006819; Cpappd WBbt:0006100; VD5 WBbt:0004601; RIB WBbt:0005834; AIA WBbt:0006812; corpus WBbt:0003733; lateral ganglion right WBbt:0005101; AVG WBbt:0003850; Cpaapp WBbt:0006399; anterior ganglion WBbt:0005375; Caaaap WBbt:0006319; ADA WBbt:0006811; VD4 WBbt:0004603; Caaaaa WBbt:0006076; Cpapaa WBbt:0006231; BAG WBbt:0006825; DVA WBbt:0004823; lumbar ganglion right WBbt:0005601; PVQ WBbt:0006976; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; M2 neuron WBbt:0003634; Cpaaaa WBbt:0006151; epithelial system WBbt:0005730; PQR WBbt:0004096; Caaapp WBbt:0006521; VD7 WBbt:0004598; AQR WBbt:0003927; I1 neuron WBbt:0003649; nervous system WBbt:0005735; FLP WBbt:0006828; tail precursor cell WBbt:0008409; VD6 WBbt:0004599; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; dorso-rectal ganglion WBbt:0005212; Caaapa WBbt:0006502; coelomic system WBbt:0005749; thermosensory neuron WBbt:0005838; VD3 WBbt:0004605; RIS WBbt:0005045; lateral ganglion left WBbt:0005103; SAB WBbt:0005396; PDA WBbt:0004386; VB1 WBbt:0004643; RIH WBbt:0003928; ALA WBbt:0003955; Cpaaap WBbt:0006357; IL1L WBbt:0004553; male WBbt:0007850; ASE WBbt:0005663; DVC WBbt:0004821; preanal ganglion WBbt:0005448
3898	[3898] cluster Y37E3.30	WBGene00000503	cht-1	2243.11	0.443	True	Caaaap WBbt:0006319	ABarpaappp WBbt:0006070; ABplaapaap WBbt:0006518; Cpapap WBbt:0006374; XXX cell WBbt:0007855; ABarpaappa WBbt:0005939; Caappd WBbt:0005991; ABarpaapap WBbt:0006375; OLQ WBbt:0006848; ADE WBbt:0005415; Cpaapa WBbt:0005886; nociceptor neuron WBbt:0008434; Cpappd WBbt:0006100; ABalppappa WBbt:0005975; ASJ WBbt:0005667; ABplaapppa WBbt:0006735; ABprappppa WBbt:0006226; CEP WBbt:0005244; hermaphrodite WBbt:0007849; ABplappppa WBbt:0004671; ADF WBbt:0005660; osmosensory neuron WBbt:0008433; Cpaapp WBbt:0006399; anterior ganglion WBbt:0005375; Caaaap WBbt:0006319; ABarappppa WBbt:0006687; AB WBbt:0004015; PHB WBbt:0007808; PHA WBbt:0007807; Caaaaa WBbt:0006076; Cpapaa WBbt:0006231; BAG WBbt:0006825; lumbar ganglion right WBbt:0005601; ASI WBbt:0005666; somatic nervous system WBbt:0005760; ABarppaapa WBbt:0006180; Cpaaaa WBbt:0006151; epithelial system WBbt:0005730; OLL WBbt:0006847; PQR WBbt:0004096; Caaapp WBbt:0006521; AQR WBbt:0003927; ABpraapppp WBbt:0006608; AWA WBbt:0005670; ABplaapppp WBbt:0006477; ABplapaaap WBbt:0006317; oocyte WBbt:0006797; FLP WBbt:0006828; tail precursor cell WBbt:0008409; ABprpppapa WBbt:0006044; PDE WBbt:0006747; ABpraapppa WBbt:0006244; PVR WBbt:0004072; Caaapa WBbt:0006502; thermosensory neuron WBbt:0005838; ADL WBbt:0005661; ABalpppppp WBbt:0006396; ABarpaaa WBbt:0006398; ABplpppapa WBbt:0006488; ASG WBbt:0005664; germ line WBbt:0005784; striated muscle WBbt:0005779; AWB WBbt:0005671; ABarpppapa WBbt:0006433; Cpaaap WBbt:0006357; ASE WBbt:0005663; muscular system WBbt:0005737; ABprapaaap WBbt:0005977; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; ASK WBbt:0005668; ABpraapaap WBbt:0006373; ABpraaappp WBbt:0006194
3898	[3898] cluster Y37E3.30	WBGene00007225	C01G6.3	1892.89	0.442	False	Caaaap WBbt:0006319	ABplpppppp WBbt:0005960; pm8 WBbt:0004302; Z1.p WBbt:0007023; hermaphrodite WBbt:0007849; ABprpppppp WBbt:0006430; ABplppppap WBbt:0005919; male distal tip cell WBbt:0006864; gonadal primordium WBbt:0008366; epithelial system WBbt:0005730; Z4.a WBbt:0007025; ABplapaaap WBbt:0006317; oocyte WBbt:0006797; nervous system WBbt:0005735; tail precursor cell WBbt:0008409; ABprpppapa WBbt:0006044; pharynx WBbt:0003681; B cell WBbt:0003825; ABplpppapa WBbt:0006488; germ line WBbt:0005784; striated muscle WBbt:0005779; muscular system WBbt:0005737; ABprapaaap WBbt:0005977; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; ABprppppap WBbt:0006439; cephalic sheath cell WBbt:0008406
3898	[3898] cluster Y37E3.30	WBGene00235158	Y37E3.30	5756.93	0.426	True	Caaaap WBbt:0006319	ABplaapaap WBbt:0006518; Cpapap WBbt:0006374; ABplpppaaa WBbt:0006025; Caappd WBbt:0005991; ABpraapaaa WBbt:0005888; OLQ WBbt:0006848; ABplpaappa WBbt:0006670; ABplpapapa WBbt:0005908; ADE WBbt:0005415; Cpaapa WBbt:0005886; ABprpaappa WBbt:0005940; nociceptor neuron WBbt:0008434; ABalpapaap WBbt:0006023; Cpappd WBbt:0006100; ABalppappa WBbt:0005975; ASJ WBbt:0005667; MSpaapaa WBbt:0006032; ABplpaaapp WBbt:0005877; ABplaapaaa WBbt:0006069; CEP WBbt:0005244; ABplapapppp WBbt:0006209; Q cell WBbt:0008598; ABprapaaaa WBbt:0006648; G cell WBbt:0008599; ADF WBbt:0005660; osmosensory neuron WBbt:0008433; ABplppppap WBbt:0005919; Cpaapp WBbt:0006399; Caaaap WBbt:0006319; ABalppppaa WBbt:0006526; ABarappppa WBbt:0006687; PHB WBbt:0007808; ABpraapapa WBbt:0005872; ABarappaap WBbt:0006103; PHA WBbt:0007807; Caaaaa WBbt:0006076; Cpapaa WBbt:0006231; BAG WBbt:0006825; lumbar ganglion right WBbt:0005601; ASI WBbt:0005666; somatic nervous system WBbt:0005760; ABprapppaa WBbt:0006234; ABprpppaaa WBbt:0006063; Cpaaaa WBbt:0006151; OLL WBbt:0006847; PQR WBbt:0004096; ABplpaaapa WBbt:0006093; Caaapp WBbt:0006521; ABplapppaa WBbt:0005935; ABprpapapa WBbt:0006487; AQR WBbt:0003927; ABalapapap WBbt:0005910; ABprpaaapa WBbt:0006149; AWA WBbt:0005670; ABplapaaap WBbt:0006317; FLP WBbt:0006828; tail precursor cell WBbt:0008409; ABprpppapa WBbt:0006044; ABpraaaapa WBbt:0006376; ABarpapaaa WBbt:0006207; PDE WBbt:0006747; ABprpaaapp WBbt:0005868; ABalpppapa WBbt:0005930; PVR WBbt:0004072; Caaapa WBbt:0006502; thermosensory neuron WBbt:0005838; ABplaapapa WBbt:0006120; ABalapppap WBbt:0006015; ABplapaaaa WBbt:0006221; ADL WBbt:0005661; ABalpppppp WBbt:0006396; ABarpaaa WBbt:0006398; ABplpppapa WBbt:0006488; ABpraaapaa WBbt:0006114; ASG WBbt:0005664; germ line WBbt:0005784; striated muscle WBbt:0005779; AWB WBbt:0005671; ABplapappp WBbt:0006630; ABplaaaaaa WBbt:0006330; W cell WBbt:0004583; Cpaaap WBbt:0006357; ABprapappp WBbt:0006587; ABprapapppp WBbt:0006021; ASE WBbt:0005663; muscular system WBbt:0005737; ABprapaaap WBbt:0005977; ASK WBbt:0005668; ABpraapaap WBbt:0006373; ABprppppap WBbt:0006439; Caapa WBbt:0006123; ABpraaappp WBbt:0006194
3898	[3898] cluster Y37E3.30	WBGene00000040	aco-1	887.28	0.404	True	Caaaap WBbt:0006319	ABarpaappp WBbt:0006070; Cpapap WBbt:0006374; ABarpaappa WBbt:0005939; Caappd WBbt:0005991; ABarpaapap WBbt:0006375; Cpaapa WBbt:0005886; Cpappd WBbt:0006100; ABplaapppa WBbt:0006735; VB2 WBbt:0004641; ABprappppa WBbt:0006226; ABplappppa WBbt:0004671; G cell WBbt:0008599; Cpaapp WBbt:0006399; intestine WBbt:0005772; Caaaap WBbt:0006319; Caaaaa WBbt:0006076; Cpapaa WBbt:0006231; ABarppaapa WBbt:0006180; Cpaaaa WBbt:0006151; epithelial system WBbt:0005730; Caaapp WBbt:0006521; ABpraapppp WBbt:0006608; ABplaapppp WBbt:0006477; tail precursor cell WBbt:0008409; retrovesicular ganglion WBbt:0005656; ABpraapppa WBbt:0006244; Caaapa WBbt:0006502; thermosensory neuron WBbt:0005838; W cell WBbt:0004583; ABarpppapa WBbt:0006433; Cpaaap WBbt:0006357
3898	[3898] cluster Y37E3.30	WBGene00007463	vgln-1	1262.31	0.399	False	Caaaap WBbt:0006319	ABarpaappp WBbt:0006070; ABarpaappa WBbt:0005939; ABarpaapap WBbt:0006375; ABplaapppa WBbt:0006735; ABprappppa WBbt:0006226; ABplappppa WBbt:0004671; intestine WBbt:0005772; ABarppaapa WBbt:0006180; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; ABpraapppp WBbt:0006608; ABplaapppp WBbt:0006477; pharynx WBbt:0003681; mc3 WBbt:0003707; ABpraapppa WBbt:0006244; ABarpppapa WBbt:0006433
3898	[3898] cluster Y37E3.30	WBGene00003112	mab-21	912.9	0.39	True	Caaaap WBbt:0006319	PHC WBbt:0008446; ABarpaappp WBbt:0006070; PVC WBbt:0005840; Cpapap WBbt:0006374; hook sensillum WBbt:0006930; RME WBbt:0005399; ABarpaappa WBbt:0005939; Caappd WBbt:0005991; ABarpaapap WBbt:0006375; ADE WBbt:0005415; Cpaapa WBbt:0005886; AVE WBbt:0006819; PVM WBbt:0004086; Cpappd WBbt:0006100; RIA WBbt:0006833; ABplaapppa WBbt:0006735; ABprappppa WBbt:0006226; AIA WBbt:0006812; corpus WBbt:0003733; lateral ganglion right WBbt:0005101; VA2 WBbt:0004870; ABplappppa WBbt:0004671; G cell WBbt:0008599; VD12 WBbt:0004587; Cpaapp WBbt:0006399; anterior ganglion WBbt:0005375; intestine WBbt:0005772; Caaaap WBbt:0006319; Caaaaa WBbt:0006076; Cpapaa WBbt:0006231; BDU WBbt:0006826; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; PLM WBbt:0005490; ABarppaapa WBbt:0006180; Cpaaaa WBbt:0006151; epithelial system WBbt:0005730; AIB WBbt:0006813; PQR WBbt:0004096; Caaapp WBbt:0006521; AVM WBbt:0003832; AQR WBbt:0003927; ABalaapppa WBbt:0006026; ray WBbt:0006941; ABpraapppp WBbt:0006608; AWA WBbt:0005670; SMB WBbt:0005355; ABplaapppp WBbt:0006477; ABalapaapa WBbt:0005981; nervous system WBbt:0005735; RIP WBbt:0006838; MI neuron WBbt:0003664; pharynx WBbt:0003681; ALM WBbt:0005406; ABpraapppa WBbt:0006244; Caaapa WBbt:0006502; lateral ganglion left WBbt:0005103; ASG WBbt:0005664; PVW WBbt:0008438; SDQ WBbt:0006844; W cell WBbt:0004583; ABarpppapa WBbt:0006433; Cpaaap WBbt:0006357; posterior lateral ganglion WBbt:0005465; male WBbt:0007850; muscular system WBbt:0005737; preanal ganglion WBbt:0005448; cephalic sheath cell WBbt:0008406
