node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
3927	[3927] cluster srh-181	WBGene00005396	srh-181	3113.52	0.776	False	cephalic sheath cell WBbt:0008406	nervous system WBbt:0005735
3927	[3927] cluster srh-181	WBGene00008015	fbxa-174	197.33	0.727	False	cephalic sheath cell WBbt:0008406	intestine WBbt:0005772; striated muscle WBbt:0005779; muscular system WBbt:0005737
3927	[3927] cluster srh-181	WBGene00015223	B0507.6	461.71	0.598	True	cephalic sheath cell WBbt:0008406	hermaphrodite WBbt:0007849; intestine WBbt:0005772; epithelial system WBbt:0005730; tail hypodermis WBbt:0006978; nervous system WBbt:0005735; somatic gonad WBbt:0005785; sex organ WBbt:0008422; striated muscle WBbt:0005779; uv1 WBbt:0006791; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; cephalic sheath cell WBbt:0008406
3927	[3927] cluster srh-181	WBGene00008301	pals-39	1954.21	0.586	False	cephalic sheath cell WBbt:0008406	intestine WBbt:0005772
3927	[3927] cluster srh-181	WBGene00015225	B0507.8	2719.34	0.573	True	cephalic sheath cell WBbt:0008406	VC6 WBbt:0004611; excretory system WBbt:0005736; VC3 WBbt:0004618; hermaphrodite WBbt:0007849; intestine WBbt:0005772; somatic nervous system WBbt:0005760; excretory cell WBbt:0005812; epithelial system WBbt:0005730; nervous system WBbt:0005735; VC1 WBbt:0004621; VC2 WBbt:0004619; VC4 WBbt:0004617; excretory secretory system WBbt:0006850; sex organ WBbt:0008422; striated muscle WBbt:0005779; muscular system WBbt:0005737; reproductive system WBbt:0005747; cephalic sheath cell WBbt:0008406
3927	[3927] cluster srh-181	WBGene00015227	ddn-1	1069.4	0.539	True	cephalic sheath cell WBbt:0008406	I5 neuron WBbt:0004740; MSpaaapa WBbt:0006241; excretory system WBbt:0005736; IL2VL WBbt:0004538; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; anterior ganglion WBbt:0005375; intestine WBbt:0005772; PVD WBbt:0006831; ASI WBbt:0005666; somatic nervous system WBbt:0005760; excretory cell WBbt:0005812; epithelial system WBbt:0005730; IL2DL WBbt:0004545; M5 neuron WBbt:0004465; nervous system WBbt:0005735; VC1 WBbt:0004621; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; coelomic system WBbt:0005749; thermosensory neuron WBbt:0005838; VC4 WBbt:0004617; excretory secretory system WBbt:0006850; lateral ganglion left WBbt:0005103; IL2VR WBbt:0004537; sex organ WBbt:0008422; SAB WBbt:0005396; ASG WBbt:0005664; striated muscle WBbt:0005779; IL2DR WBbt:0004543; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive system WBbt:0005747; cephalic sheath cell WBbt:0008406
3927	[3927] cluster srh-181	WBGene00022546	ZC196.2	371.32	0.522	False	cephalic sheath cell WBbt:0008406	intestine WBbt:0005772; coelomic system WBbt:0005749
3927	[3927] cluster srh-181	WBGene00011565	nhr-272	79.78	0.52	False	cephalic sheath cell WBbt:0008406	lateral ganglion right WBbt:0005101; thermosensory neuron WBbt:0005838; lateral ganglion left WBbt:0005103; ASG WBbt:0005664; ASK WBbt:0005668
3927	[3927] cluster srh-181	WBGene00022550	droe-8	168.05	0.487	True	cephalic sheath cell WBbt:0008406	I5 neuron WBbt:0004740; hermaphrodite WBbt:0007849; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; somatic gonad WBbt:0005785; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; sex organ WBbt:0008422; SAB WBbt:0005396; striated muscle WBbt:0005779; ALA WBbt:0003955; uv1 WBbt:0006791; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; cephalic sheath cell WBbt:0008406
3927	[3927] cluster srh-181	WBGene00008267	C53A5.9	336.1	0.441	False	cephalic sheath cell WBbt:0008406	I5 neuron WBbt:0004740; ABalpapaap WBbt:0006023; RIA WBbt:0006833; intestine WBbt:0005772; ABarappaap WBbt:0006103; DVA WBbt:0004823; somatic nervous system WBbt:0005760; AVK WBbt:0006823; FLP WBbt:0006828; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; dorso-rectal ganglion WBbt:0005212; lateral ganglion left WBbt:0005103; SAB WBbt:0005396; striated muscle WBbt:0005779; intestinal muscle WBbt:0005796; muscular system WBbt:0005737
3927	[3927] cluster srh-181	WBGene00004810	skr-4	218.55	0.415	False	cephalic sheath cell WBbt:0008406	intestine WBbt:0005772; gonadal primordium WBbt:0008366; nervous system WBbt:0005735; muscular system WBbt:0005737
3927	[3927] cluster srh-181	WBGene00044237	pals-9	15.28	0.373	True	cephalic sheath cell WBbt:0008406	PLM WBbt:0005490; epithelial system WBbt:0005730; nervous system WBbt:0005735; cephalic sheath cell WBbt:0008406
3927	[3927] cluster srh-181	WBGene00015226	B0507.9	168.05	0.355	False	cephalic sheath cell WBbt:0008406	excretory system WBbt:0005736; anterior ganglion WBbt:0005375; ILshDL WBbt:0004533; BDU WBbt:0006826; PVD WBbt:0006831; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; anterior arcade cell WBbt:0005794; PLM WBbt:0005490; excretory cell WBbt:0005812; epithelial system WBbt:0005730; OLL WBbt:0006847; nervous system WBbt:0005735; FLP WBbt:0006828; OL sheath cell WBbt:0008413; ALM WBbt:0005406; excretory secretory system WBbt:0006850; posterior lateral ganglion WBbt:0005465; outer labial quadrant sensillum WBbt:0005502
3927	[3927] cluster srh-181	WBGene00012673	dyf-17	187.99	0.314	False	cephalic sheath cell WBbt:0008406	ABalaappppa WBbt:0006560; ABplapaaaap WBbt:0006592; ABalappppaa WBbt:0006522; ADE WBbt:0005415; nociceptor neuron WBbt:0008434; AUA WBbt:0006817; ABalppapppa WBbt:0006463; ABprpaaappa WBbt:0006695; lateral ganglion right WBbt:0005101; ADF WBbt:0005660; osmosensory neuron WBbt:0008433; ABalapapapa WBbt:0006575; ABprapaaaap WBbt:0006184; ABprapppapp WBbt:0006743; ABplaaaaapp WBbt:0006428; ABpraaapppa WBbt:0006009; ABarapppppa WBbt:0006203; AWA WBbt:0005670; ABalapappaa WBbt:0006542; nervous system WBbt:0005735; ABalapaappa WBbt:0006196; ABplpaaappa WBbt:0006600; ABplapppapp WBbt:0005970; thermosensory neuron WBbt:0005838; lateral ganglion left WBbt:0005103; ASG WBbt:0005664; ABalppppppa WBbt:0006166; AWB WBbt:0005671; ABarpapaapp WBbt:0006075; ABalapppapa WBbt:0006339
