node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
3931	[3931] cluster ttr-3	WBGene00206388	K10C2.14	1677.19	0.803	True	ut2 WBbt:0006786	spermathecal-uterine junction WBbt:0006756; ut1 WBbt:0006785; hermaphrodite WBbt:0007849; ut2 WBbt:0006786; ut3 WBbt:0006787; epithelial system WBbt:0005730; somatic gonad WBbt:0005785; sex organ WBbt:0008422; uv2 WBbt:0006792; uterine seam cell WBbt:0006789; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
3931	[3931] cluster ttr-3	WBGene00003590	nex-3	2811.49	0.742	True	ut2 WBbt:0006786	XXX cell WBbt:0007855; ILshDR WBbt:0004531; IL socket cell WBbt:0008418; spermathecal-uterine junction WBbt:0006756; excretory system WBbt:0005736; CEPsoDR WBbt:0004919; CEPsoVR WBbt:0004917; ut1 WBbt:0006785; hermaphrodite WBbt:0007849; ILshVR WBbt:0004523; ADE sheath cell WBbt:0008411; anterior ganglion WBbt:0005375; ILshDL WBbt:0004533; amphid sheath cell WBbt:0006754; CAN WBbt:0006827; ILshL WBbt:0004529; ut2 WBbt:0006786; ut3 WBbt:0006787; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; ILshVL WBbt:0004525; CEPsoVL WBbt:0004918; tail hypodermis WBbt:0006978; nervous system WBbt:0005735; outer labial lateral sensillum WBbt:0005503; somatic gonad WBbt:0005785; OL sheath cell WBbt:0008413; excretory duct cell WBbt:0004540; rectal valve cell WBbt:0005797; excretory secretory system WBbt:0006850; excretory socket cell WBbt:0004534; sex organ WBbt:0008422; hyp3 WBbt:0004690; germ line WBbt:0005784; phasmid sheath cell WBbt:0006755; uv2 WBbt:0006792; CEPsoDL WBbt:0004921; outer labial quadrant sensillum WBbt:0005502; muscular system WBbt:0005737; uterine seam cell WBbt:0006789; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697; ILshR WBbt:0004527; cephalic sheath cell WBbt:0008406
3931	[3931] cluster ttr-3	WBGene00005133	srd-55	21.89	0.674	False	ut2 WBbt:0006786	hermaphrodite WBbt:0007849; epithelial system WBbt:0005730; nervous system WBbt:0005735; somatic gonad WBbt:0005785; lateral ganglion left WBbt:0005103; sex organ WBbt:0008422; AWB WBbt:0005671; uv1 WBbt:0006791; uterine seam cell WBbt:0006789; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
3931	[3931] cluster ttr-3	WBGene00016896	nep-4	261.59	0.658	True	ut2 WBbt:0006786	spermathecal-uterine junction WBbt:0006756; ut1 WBbt:0006785; hermaphrodite WBbt:0007849; ut2 WBbt:0006786; ut3 WBbt:0006787; epithelial system WBbt:0005730; AWA WBbt:0005670; nervous system WBbt:0005735; somatic gonad WBbt:0005785; lateral ganglion left WBbt:0005103; sex organ WBbt:0008422; uv2 WBbt:0006792; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
3931	[3931] cluster ttr-3	WBGene00010538	ttr-3	3926.68	0.633	True	ut2 WBbt:0006786	Cpapap WBbt:0006374; RME WBbt:0005399; Caappd WBbt:0005991; spermathecal-uterine junction WBbt:0006756; Cpaapa WBbt:0005886; AVE WBbt:0006819; K' cell WBbt:0004497; Cpappd WBbt:0006100; IL1VR WBbt:0004547; ut1 WBbt:0006785; IL1R WBbt:0004551; IL1DR WBbt:0004737; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; Cpaapp WBbt:0006399; anterior ganglion WBbt:0005375; Caaaap WBbt:0006319; Y cell WBbt:0004578; Caaaaa WBbt:0006076; Cpapaa WBbt:0006231; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; ut2 WBbt:0006786; ut3 WBbt:0006787; rectal gland cell WBbt:0005799; Cpaaaa WBbt:0006151; epithelial system WBbt:0005730; OLL WBbt:0006847; Caaapp WBbt:0006521; nervous system WBbt:0005735; outer labial lateral sensillum WBbt:0005503; somatic gonad WBbt:0005785; F cell WBbt:0004799; K cell WBbt:0004499; B cell WBbt:0003825; IL1VL WBbt:0004549; Caaapa WBbt:0006502; RIS WBbt:0005045; lateral ganglion left WBbt:0005103; ALN WBbt:0006851; sex organ WBbt:0008422; IL1DL WBbt:0004738; Cpaaap WBbt:0006357; IL1L WBbt:0004553; uv2 WBbt:0006792; U cell WBbt:0004942; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
3931	[3931] cluster ttr-3	WBGene00019622	K10C2.7	2072.51	0.612	True	ut2 WBbt:0006786	spermathecal-uterine junction WBbt:0006756; ut1 WBbt:0006785; corpus WBbt:0003733; hermaphrodite WBbt:0007849; ut2 WBbt:0006786; ut3 WBbt:0006787; epithelial system WBbt:0005730; somatic gonad WBbt:0005785; pharynx WBbt:0003681; sex organ WBbt:0008422; germ line WBbt:0005784; NSM WBbt:0003666; uv2 WBbt:0006792; uterine seam cell WBbt:0006789; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
3931	[3931] cluster ttr-3	WBGene00017867	slc-28.1	50.7	0.443	False	ut2 WBbt:0006786	ABprppppaa WBbt:0006642; ABplppppaa WBbt:0006109
3931	[3931] cluster ttr-3	WBGene00016360	C33G8.2	132.88	0.406	True	ut2 WBbt:0006786	spermathecal-uterine junction WBbt:0006756; excretory system WBbt:0005736; ut1 WBbt:0006785; hermaphrodite WBbt:0007849; anterior ganglion WBbt:0005375; ILshDL WBbt:0004533; anterior arcade cell WBbt:0005794; ut2 WBbt:0006786; ut3 WBbt:0006787; epithelial system WBbt:0005730; head muscle WBbt:0006761; somatic gonad WBbt:0005785; OL sheath cell WBbt:0008413; thermosensory neuron WBbt:0005838; excretory secretory system WBbt:0006850; excretory gland cell WBbt:0005776; sex organ WBbt:0008422; uv2 WBbt:0006792; outer labial quadrant sensillum WBbt:0005502; muscular system WBbt:0005737; uterine seam cell WBbt:0006789; reproductive tract WBbt:0005744
3931	[3931] cluster ttr-3	WBGene00044753	F49H12.7	58.69	0.301	True	ut2 WBbt:0006786	spermathecal-uterine junction WBbt:0006756; excretory system WBbt:0005736; ut1 WBbt:0006785; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; intestine WBbt:0005772; phasmid socket cell WBbt:0008410; ut2 WBbt:0006786; ut3 WBbt:0006787; epithelial system WBbt:0005730; ABpraaapppa WBbt:0006009; somatic gonad WBbt:0005785; excretory secretory system WBbt:0006850; lateral ganglion left WBbt:0005103; sex organ WBbt:0008422; ABalppppppa WBbt:0006166; germ line WBbt:0005784; phasmid sheath cell WBbt:0006755; uv2 WBbt:0006792; uv1 WBbt:0006791; AWCL WBbt:0003827; ASE WBbt:0005663; reproductive tract WBbt:0005744
3931	[3931] cluster ttr-3	WBGene00004005	pgp-11	144.73	0.275	True	ut2 WBbt:0006786	spermathecal-uterine junction WBbt:0006756; ADE WBbt:0005415; GLR WBbt:0005176; excretory system WBbt:0005736; ut1 WBbt:0006785; hermaphrodite WBbt:0007849; intestine WBbt:0005772; g1AL WBbt:0004532; ut2 WBbt:0006786; g1P WBbt:0004528; ut3 WBbt:0006787; excretory cell WBbt:0005812; g1AR WBbt:0004530; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; nervous system WBbt:0005735; somatic gonad WBbt:0005785; pharynx WBbt:0003681; excretory secretory system WBbt:0006850; excretory gland cell WBbt:0005776; sex organ WBbt:0008422; uv2 WBbt:0006792; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
