node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
3942	[3942] cluster rla-1	WBGene00015956	C18B2.5	761.53	0.866	True	intestine WBbt:0005772	spermathecal-uterine junction WBbt:0006756; K' cell WBbt:0004497; ut1 WBbt:0006785; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; intestine WBbt:0005772; ut2 WBbt:0006786; ut3 WBbt:0006787; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; somatic gonad WBbt:0005785; K cell WBbt:0004499; sex organ WBbt:0008422; uv3 WBbt:0006793; uv2 WBbt:0006792; ASE WBbt:0005663; muscular system WBbt:0005737; uterine seam cell WBbt:0006789; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
3942	[3942] cluster rla-1	WBGene00003877	pept-1	1009.78	0.864	True	intestine WBbt:0005772	intestine WBbt:0005772; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697
3942	[3942] cluster rla-1	WBGene00003786	npa-1	2275.86	0.855	True	intestine WBbt:0005772	AVF WBbt:0003851; DD1 WBbt:0004839; RIF WBbt:0006835; intestine WBbt:0005772; somatic nervous system WBbt:0005760; nervous system WBbt:0005735; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; RIG WBbt:0006836; PVP WBbt:0006832; germ line WBbt:0005784; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697; preanal ganglion WBbt:0005448
3942	[3942] cluster rla-1	WBGene00009259	hpo-34	679.61	0.85	True	intestine WBbt:0005772	I5 neuron WBbt:0004740; AVA WBbt:0005842; RMH WBbt:0006843; intestine WBbt:0005772; PDE socket cell WBbt:0008421; PVD WBbt:0006831; somatic nervous system WBbt:0005760; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; OLL WBbt:0006847; pharynx WBbt:0003681; lateral ganglion left WBbt:0005103; PVP WBbt:0006832; AVB WBbt:0005841; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697; preanal ganglion WBbt:0005448
3942	[3942] cluster rla-1	WBGene00002054	ifb-2	1796.27	0.85	True	intestine WBbt:0005772	intestine WBbt:0005772; pharynx WBbt:0003681; germ line WBbt:0005784; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
3942	[3942] cluster rla-1	WBGene00011439	T04F3.4	1607.33	0.845	True	intestine WBbt:0005772	hermaphrodite WBbt:0007849; anterior ganglion WBbt:0005375; intestine WBbt:0005772; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; nervous system WBbt:0005735; somatic gonad WBbt:0005785; rectal valve cell WBbt:0005797; sex organ WBbt:0008422; muscular system WBbt:0005737; uterine seam cell WBbt:0006789; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697; cephalic sheath cell WBbt:0008406
3942	[3942] cluster rla-1	WBGene00002067	ifp-1	741.95	0.842	True	intestine WBbt:0005772	HSN WBbt:0006830; intestine WBbt:0005772; somatic nervous system WBbt:0005760; pharynx WBbt:0003681; sex organ WBbt:0008422; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
3942	[3942] cluster rla-1	WBGene00000067	act-5	2090.07	0.838	True	intestine WBbt:0005772	hook sensillum WBbt:0006930; excretory system WBbt:0005736; intestine WBbt:0005772; excretory cell WBbt:0005812; rectal gland cell WBbt:0005799; ray WBbt:0006941; pharynx WBbt:0003681; thermosensory neuron WBbt:0005838; excretory secretory system WBbt:0006850; pharyngeal-intestinal valve WBbt:0005767; germ line WBbt:0005784; male WBbt:0007850; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
3942	[3942] cluster rla-1	WBGene00000081	ads-1	925.42	0.836	True	intestine WBbt:0005772	K' cell WBbt:0004497; intestine WBbt:0005772; Y cell WBbt:0004578; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; F cell WBbt:0004799; K cell WBbt:0004499; B cell WBbt:0003825; germ line WBbt:0005784; U cell WBbt:0004942; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
3942	[3942] cluster rla-1	WBGene00011222	R10H10.3	496.57	0.825	True	intestine WBbt:0005772	intestine WBbt:0005772; PVD WBbt:0006831; OLL WBbt:0006847; nervous system WBbt:0005735; pharynx WBbt:0003681; thermosensory neuron WBbt:0005838; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697
