node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
411	[411] cluster scl-6	WBGene00008028	scl-6	26880.22	0.666	True	g2 WBbt:0003710	intestine WBbt:0005772; g1P WBbt:0004528; epithelial system WBbt:0005730; g2 WBbt:0003710; pharynx WBbt:0003681; mc3 WBbt:0003707
411	[411] cluster scl-6	WBGene00008575	scl-24	210.64	0.569	True	g2 WBbt:0003710	epithelial system WBbt:0005730; g2 WBbt:0003710; pharynx WBbt:0003681; mc3 WBbt:0003707
411	[411] cluster scl-6	WBGene00018142	oac-22	344.6	0.565	True	g2 WBbt:0003710	RIB WBbt:0005834; lateral ganglion right WBbt:0005101; intestine WBbt:0005772; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; g2 WBbt:0003710; nervous system WBbt:0005735; pharynx WBbt:0003681; mc3 WBbt:0003707; lateral ganglion left WBbt:0005103
411	[411] cluster scl-6	WBGene00004114	pqn-25	1854.6	0.553	True	g2 WBbt:0003710	XXX cell WBbt:0007855; hermaphrodite WBbt:0007849; anchor cell WBbt:0004522; MSpapaapa WBbt:0006627; anterior ganglion WBbt:0005375; intestine WBbt:0005772; g1AL WBbt:0004532; BDU WBbt:0006826; somatic nervous system WBbt:0005760; g1P WBbt:0004528; MSaapaapa WBbt:0006494; g1AR WBbt:0004530; epithelial system WBbt:0005730; g2 WBbt:0003710; somatic gonad WBbt:0005785; pharynx WBbt:0003681; mc3 WBbt:0003707; ALM WBbt:0005406; MSaaaaapa WBbt:0006202; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
411	[411] cluster scl-6	WBGene00016199	C28H8.8	516.9	0.549	False	g2 WBbt:0003710	MSaapapa WBbt:0006323; MSpapapa WBbt:0006308; epithelial system WBbt:0005730; tail hypodermis WBbt:0006978
411	[411] cluster scl-6	WBGene00008627	hpx-2	52.66	0.535	False	g2 WBbt:0003710	epithelial system WBbt:0005730
411	[411] cluster scl-6	WBGene00021171	Y8A9A.2	1849.09	0.527	True	g2 WBbt:0003710	g1P WBbt:0004528; epithelial system WBbt:0005730; g2 WBbt:0003710; pharynx WBbt:0003681; mc3 WBbt:0003707
411	[411] cluster scl-6	WBGene00017200	F07C4.6	1915.23	0.519	True	g2 WBbt:0003710	intestine WBbt:0005772; g2 WBbt:0003710; pharynx WBbt:0003681
411	[411] cluster scl-6	WBGene00004157	pqn-75	3192.02	0.489	True	g2 WBbt:0003710	GLR WBbt:0005176; epithelial system WBbt:0005730; g2 WBbt:0003710; pharynx WBbt:0003681; mc3 WBbt:0003707; striated muscle WBbt:0005779; muscular system WBbt:0005737
411	[411] cluster scl-6	WBGene00016198	C28H8.7	64.61	0.467	False	g2 WBbt:0003710	nervous system WBbt:0005735; pharyngeal-intestinal valve WBbt:0005767; male WBbt:0007850
411	[411] cluster scl-6	WBGene00017194	F07C3.3	538.43	0.44	True	g2 WBbt:0003710	PHC WBbt:0008446; PVM WBbt:0004086; RIB WBbt:0005834; ABprapaaaa WBbt:0006648; g1AL WBbt:0004532; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; PLM WBbt:0005490; g1P WBbt:0004528; g1AR WBbt:0004530; epithelial system WBbt:0005730; g2 WBbt:0003710; AVM WBbt:0003832; tail hypodermis WBbt:0006978; nervous system WBbt:0005735; FLP WBbt:0006828; pharynx WBbt:0003681; mc3 WBbt:0003707; ALM WBbt:0005406; lateral ganglion left WBbt:0005103; ABplapaaaa WBbt:0006221; posterior lateral ganglion WBbt:0005465; male WBbt:0007850; muscular system WBbt:0005737
411	[411] cluster scl-6	WBGene00010604	nhr-199	82.55	0.338	True	g2 WBbt:0003710	g1AL WBbt:0004532; somatic nervous system WBbt:0005760; g1AR WBbt:0004530; epithelial system WBbt:0005730; g2 WBbt:0003710; VA11 WBbt:0004647; nervous system WBbt:0005735; pharynx WBbt:0003681; mc3 WBbt:0003707; thermosensory neuron WBbt:0005838
411	[411] cluster scl-6	WBGene00017469	F14F9.6	107.69	0.321	True	g2 WBbt:0003710	AVL WBbt:0003843; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; g2 WBbt:0003710; pharynx WBbt:0003681; mc3 WBbt:0003707
