node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
416	[416] cluster C04E6.12	WBGene00015426	C04E6.12	3161.04	0.718	True	pm6 WBbt:0003724	XXX cell WBbt:0007855; SIB WBbt:0005359; IL2L WBbt:0004541; spermathecal-uterine junction WBbt:0006756; SIA WBbt:0005361; IL2VL WBbt:0004538; hermaphrodite WBbt:0007849; anterior ganglion WBbt:0005375; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; IL2DL WBbt:0004545; somatic gonad WBbt:0005785; pharynx WBbt:0003681; mc3 WBbt:0003707; RIS WBbt:0005045; lateral ganglion left WBbt:0005103; sex organ WBbt:0008422; uv3 WBbt:0006793; pm6 WBbt:0003724; uv2 WBbt:0006792; IL2DR WBbt:0004543; muscular system WBbt:0005737; reproductive tract WBbt:0005744
416	[416] cluster C04E6.12	WBGene00001059	dpf-6	609.18	0.602	True	pm6 WBbt:0003724	hyp2 WBbt:0004692; intestine WBbt:0005772; PVD WBbt:0006831; anterior arcade cell WBbt:0005794; epithelial system WBbt:0005730; OLL WBbt:0006847; hyp12 WBbt:0004376; pharynx WBbt:0003681; posterior arcade cell WBbt:0005795; pharyngeal-intestinal valve WBbt:0005767; pm6 WBbt:0003724; muscular system WBbt:0005737
416	[416] cluster C04E6.12	WBGene00009155	lhfp-4	1021.31	0.552	True	pm6 WBbt:0003724	pm5 WBbt:0003737; pm8 WBbt:0004302; mc1 WBbt:0003709; mc2 WBbt:0003708; corpus WBbt:0003733; pm7 WBbt:0003721; pm1 WBbt:0003744; g1AL WBbt:0004532; pm4 WBbt:0003739; g1AR WBbt:0004530; epithelial system WBbt:0005730; g2 WBbt:0003710; pm2 WBbt:0003742; nervous system WBbt:0005735; pharynx WBbt:0003681; mc3 WBbt:0003707; pm6 WBbt:0003724; pm3 WBbt:0003740; muscular system WBbt:0005737
416	[416] cluster C04E6.12	WBGene00019544	miro-1	502.04	0.495	True	pm6 WBbt:0003724	pm8 WBbt:0004302; Q cell WBbt:0008598; corpus WBbt:0003733; lateral ganglion right WBbt:0005101; pm7 WBbt:0003721; intestine WBbt:0005772; PVD WBbt:0006831; OLL WBbt:0006847; AIZ WBbt:0005836; nervous system WBbt:0005735; pharynx WBbt:0003681; lateral ganglion left WBbt:0005103; germ line WBbt:0005784; striated muscle WBbt:0005779; pm6 WBbt:0003724; NSM WBbt:0003666; muscular system WBbt:0005737; reproductive system WBbt:0005747
416	[416] cluster C04E6.12	WBGene00009800	rrc-1	423.76	0.43	False	pm6 WBbt:0003724	PVN WBbt:0008275; SIB WBbt:0005359; AS11 WBbt:0003905; GLR WBbt:0005176; SIA WBbt:0005361; excretory system WBbt:0005736; RIA WBbt:0006833; VA10 WBbt:0004649; DA5 WBbt:0004863; VB2 WBbt:0004641; VA1 WBbt:0004872; DA4 WBbt:0004865; body wall WBbt:0005742; hermaphrodite WBbt:0007849; VA2 WBbt:0004870; anterior ganglion WBbt:0005375; ventral left quadrant body wall muscle WBbt:0005818; DA9 WBbt:0004857; PDB WBbt:0004385; VA12 WBbt:0004645; AS2 WBbt:0003924; PVD WBbt:0006831; DVA WBbt:0004823; somatic nervous system WBbt:0005760; excretory cell WBbt:0005812; AS3 WBbt:0003923; DA3 WBbt:0004867; epithelial system WBbt:0005730; OLL WBbt:0006847; VA11 WBbt:0004647; DA2 WBbt:0004869; VA3 WBbt:0004868; AS1 WBbt:0003925; VB3 WBbt:0004639; somatic gonad WBbt:0005785; retrovesicular ganglion WBbt:0005656; dorso-rectal ganglion WBbt:0005212; coelomic system WBbt:0005749; VA4 WBbt:0004866; excretory secretory system WBbt:0006850; lateral ganglion left WBbt:0005103; sex organ WBbt:0008422; SAB WBbt:0005396; striated muscle WBbt:0005779; VB1 WBbt:0004643; male WBbt:0007850; muscular system WBbt:0005737; uterine seam cell WBbt:0006789; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; preanal ganglion WBbt:0005448; cephalic sheath cell WBbt:0008406
416	[416] cluster C04E6.12	WBGene00011314	T01B7.9	306.92	0.419	True	pm6 WBbt:0003724	ABalppppapa WBbt:0006705; DA6 WBbt:0004861; VB5 WBbt:0004637; OLQ WBbt:0006848; VB7 WBbt:0004631; DA1 WBbt:0004871; AS11 WBbt:0003905; DA8 WBbt:0004858; I6 neuron WBbt:0004739; M3 neuron WBbt:0003754; VA10 WBbt:0004649; DB2 WBbt:0004845; DA5 WBbt:0004863; ABprpaaappa WBbt:0006695; VB2 WBbt:0004641; AIA WBbt:0006812; VA1 WBbt:0004872; DA4 WBbt:0004865; corpus WBbt:0003733; VA2 WBbt:0004870; VB9 WBbt:0004627; anterior ganglion WBbt:0005375; DA9 WBbt:0004857; PDB WBbt:0004385; DB6 WBbt:0004841; VA12 WBbt:0004645; BAG WBbt:0006825; PVD WBbt:0006831; ABalapapapa WBbt:0006575; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; phasmid socket cell WBbt:0008410; PLM WBbt:0005490; DA3 WBbt:0004867; epithelial system WBbt:0005730; OLL WBbt:0006847; DB7 WBbt:0004840; VA11 WBbt:0004647; DA2 WBbt:0004869; I1 neuron WBbt:0003649; M5 neuron WBbt:0004465; VA3 WBbt:0004868; nervous system WBbt:0005735; AS1 WBbt:0003925; outer labial lateral sensillum WBbt:0005503; VB3 WBbt:0004639; VB8 WBbt:0004629; VB4 WBbt:0004638; ABplpaaappa WBbt:0006600; pharynx WBbt:0003681; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; dorso-rectal ganglion WBbt:0005212; thermosensory neuron WBbt:0005838; VB6 WBbt:0004633; DB3 WBbt:0004844; RIS WBbt:0005045; VA4 WBbt:0004866; SAB WBbt:0005396; PDA WBbt:0004386; pm6 WBbt:0003724; VB1 WBbt:0004643; DA7 WBbt:0004859; DB5 WBbt:0004842; I3 neuron WBbt:0004742; I2 neuron WBbt:0003645; AIY WBbt:0005413; ABpraaapapa WBbt:0006404; outer labial quadrant sensillum WBbt:0005502; ABalapppapa WBbt:0006339; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697; preanal ganglion WBbt:0005448
416	[416] cluster C04E6.12	WBGene00004282	rab-30	198.66	0.403	False	pm6 WBbt:0003724	hermaphrodite WBbt:0007849; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; midbody WBbt:0005740; pharynx WBbt:0003681; sex organ WBbt:0008422; germ line WBbt:0005784; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
416	[416] cluster C04E6.12	WBGene00043466	R05G6.3	17.81	0.363	False	pm6 WBbt:0003724	XXX cell WBbt:0007855; MSpapaapa WBbt:0006627; anterior ganglion WBbt:0005375; g1AL WBbt:0004532; g1P WBbt:0004528; MSaapaapa WBbt:0006494; g1AR WBbt:0004530; epithelial system WBbt:0005730; pharynx WBbt:0003681
416	[416] cluster C04E6.12	WBGene00020279	glb-25	95.12	0.358	False	pm6 WBbt:0003724	nociceptor neuron WBbt:0008434; RIA WBbt:0006833; lateral ganglion right WBbt:0005101; ADF WBbt:0005660; osmosensory neuron WBbt:0008433; PVD WBbt:0006831; ASI WBbt:0005666; somatic nervous system WBbt:0005760; ABprapppapp WBbt:0006743; OLL WBbt:0006847; AWA WBbt:0005670; FLP WBbt:0006828; AWCR WBbt:0003826; ABplapppapp WBbt:0005970; lateral ganglion left WBbt:0005103; ASG WBbt:0005664; AWB WBbt:0005671; RIH WBbt:0003928; male WBbt:0007850; AWCL WBbt:0003827; muscular system WBbt:0005737; ASK WBbt:0005668; head mesodermal cell WBbt:0004697
416	[416] cluster C04E6.12	WBGene00006646	tsp-20	222.32	0.34	False	pm6 WBbt:0003724	SMD WBbt:0005353; RME WBbt:0005399; SIB WBbt:0005359; SIA WBbt:0005361; DD1 WBbt:0004839; RIB WBbt:0005834; AIA WBbt:0006812; AVL WBbt:0003843; ABplapapppp WBbt:0006209; Q cell WBbt:0008598; DD6 WBbt:0004824; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; RMDDR WBbt:0005038; RMDR WBbt:0005033; anterior ganglion WBbt:0005375; intestine WBbt:0005772; RIC WBbt:0006834; RIV WBbt:0006839; BDU WBbt:0006826; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; RMDVL WBbt:0005031; RMG WBbt:0006842; PLM WBbt:0005490; AIB WBbt:0006813; AVK WBbt:0006823; RMDL WBbt:0005037; SMB WBbt:0005355; RMDVR WBbt:0005029; nervous system WBbt:0005735; DD5 WBbt:0004825; VC1 WBbt:0004621; SAA WBbt:0005397; retrovesicular ganglion WBbt:0005656; dorso-rectal ganglion WBbt:0005212; ALM WBbt:0005406; AIN WBbt:0006815; VC4 WBbt:0004617; RID WBbt:0003938; lateral ganglion left WBbt:0005103; DD3 WBbt:0004837; DD2 WBbt:0004838; ALN WBbt:0006851; sex organ WBbt:0008422; PDA WBbt:0004386; AWB WBbt:0005671; ABprapapppp WBbt:0006021; AIY WBbt:0005413; male WBbt:0007850; DD4 WBbt:0004826; reproductive system WBbt:0005747; ASK WBbt:0005668; preanal ganglion WBbt:0005448; RMDDL WBbt:0005039
