node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
419	[419] cluster idpp-7	WBGene00011949	idpp-7	12630.96	0.78	True	posterior arcade cell WBbt:0005795	anterior arcade cell WBbt:0005794; epithelial system WBbt:0005730; posterior arcade cell WBbt:0005795; germ line WBbt:0005784; reproductive system WBbt:0005747
419	[419] cluster idpp-7	WBGene00004118	pqn-29	2384.56	0.75	False	posterior arcade cell WBbt:0005795	ut4 WBbt:0006788; hermaphrodite WBbt:0007849; intestine WBbt:0005772; epithelial system WBbt:0005730; g2 WBbt:0003710; somatic gonad WBbt:0005785; pharynx WBbt:0003681; coelomic system WBbt:0005749; thermosensory neuron WBbt:0005838; vm2 WBbt:0006918; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; ABaraappaa WBbt:0006636; intestinal muscle WBbt:0005796; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
419	[419] cluster idpp-7	WBGene00012614	Y38H6A.3	2411.41	0.737	False	posterior arcade cell WBbt:0005795	amphid sheath cell WBbt:0006754; epithelial system WBbt:0005730; nervous system WBbt:0005735
419	[419] cluster idpp-7	WBGene00017009	idpp-10	1481.16	0.725	True	posterior arcade cell WBbt:0005795	RME WBbt:0005399; SIA WBbt:0005361; I6 neuron WBbt:0004739; mc2 WBbt:0003708; hyp1 WBbt:0004694; hyp2 WBbt:0004692; corpus WBbt:0003733; pm1 WBbt:0003744; anterior ganglion WBbt:0005375; CAN WBbt:0006827; somatic nervous system WBbt:0005760; anterior arcade cell WBbt:0005794; pm4 WBbt:0003739; epithelial system WBbt:0005730; pm2 WBbt:0003742; I1 neuron WBbt:0003649; pharynx WBbt:0003681; pharyngeal epithelial cell WBbt:0005459; posterior arcade cell WBbt:0005795; pm6 WBbt:0003724; ALA WBbt:0003955; I3 neuron WBbt:0004742; pm3 WBbt:0003740; muscular system WBbt:0005737
419	[419] cluster idpp-7	WBGene00235279	Y67D8C.22	918.25	0.724	False	posterior arcade cell WBbt:0005795	lumbar ganglion right WBbt:0005601; PLM WBbt:0005490; nervous system WBbt:0005735; pharynx WBbt:0003681; ALM WBbt:0005406
419	[419] cluster idpp-7	WBGene00010926	M153.3	4477.96	0.695	True	posterior arcade cell WBbt:0005795	hyp1 WBbt:0004694; hyp2 WBbt:0004692; anterior arcade cell WBbt:0005794; epithelial system WBbt:0005730; pharynx WBbt:0003681; posterior arcade cell WBbt:0005795
419	[419] cluster idpp-7	WBGene00020893	T28C12.6	502.5	0.65	True	posterior arcade cell WBbt:0005795	spermathecal-uterine junction WBbt:0006756; ABplpppppp WBbt:0005960; ut1 WBbt:0006785; ABprppppaa WBbt:0006642; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; ABprpppppp WBbt:0006430; ADF WBbt:0005660; ut2 WBbt:0006786; ut3 WBbt:0006787; epithelial system WBbt:0005730; g2 WBbt:0003710; nervous system WBbt:0005735; ABplaapappp WBbt:0006387; somatic gonad WBbt:0005785; pharynx WBbt:0003681; posterior arcade cell WBbt:0005795; ABpraapappp WBbt:0005862; lateral ganglion left WBbt:0005103; sex organ WBbt:0008422; ABplppppaa WBbt:0006109; uv2 WBbt:0006792; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
419	[419] cluster idpp-7	WBGene00019756	lrpc-1	2792.59	0.636	True	posterior arcade cell WBbt:0005795	pm8 WBbt:0004302; mc1 WBbt:0003709; corpus WBbt:0003733; intestine WBbt:0005772; epithelial system WBbt:0005730; nervous system WBbt:0005735; pharynx WBbt:0003681; posterior arcade cell WBbt:0005795; muscular system WBbt:0005737
419	[419] cluster idpp-7	WBGene00015457	idpb-3	9075.88	0.631	False	posterior arcade cell WBbt:0005795	corpus WBbt:0003733; epithelial system WBbt:0005730; pharynx WBbt:0003681; striated muscle WBbt:0005779; pm6 WBbt:0003724; NSM WBbt:0003666; muscular system WBbt:0005737
419	[419] cluster idpp-7	WBGene00006487	zipt-17	438.78	0.629	False	posterior arcade cell WBbt:0005795	corpus WBbt:0003733; hermaphrodite WBbt:0007849; spermatheca WBbt:0005319; intestine WBbt:0005772; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; tail hypodermis WBbt:0006978; midbody WBbt:0005740; M5 neuron WBbt:0004465; muscle of the reproductive system WBbt:0005786; somatic gonad WBbt:0005785; MI neuron WBbt:0003664; pharynx WBbt:0003681; coelomic system WBbt:0005749; ALN WBbt:0006851; sex organ WBbt:0008422; muscular system WBbt:0005737; reproductive tract WBbt:0005744
