node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
431	[431] cluster ttn-1	WBGene00017065	D2092.4	1166.09	0.854	True	ventral left quadrant body wall muscle WBbt:0005818	vm1 WBbt:0006917; body wall WBbt:0005742; hermaphrodite WBbt:0007849; intestine WBbt:0005772; ventral left quadrant body wall muscle WBbt:0005818; head muscle WBbt:0006761; anal sphincter muscle WBbt:0005798; vm2 WBbt:0006918; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; germ line WBbt:0005784; striated muscle WBbt:0005779; intestinal muscle WBbt:0005796; uterine muscle WBbt:0005342; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697; rectal muscle WBbt:0005803
431	[431] cluster ttn-1	WBGene00003515	myo-3	1714.27	0.8	True	ventral left quadrant body wall muscle WBbt:0005818	vm1 WBbt:0006917; body wall WBbt:0005742; hermaphrodite WBbt:0007849; intestine WBbt:0005772; ventral left quadrant body wall muscle WBbt:0005818; PVD WBbt:0006831; OLL WBbt:0006847; nervous system WBbt:0005735; thermosensory neuron WBbt:0005838; anal sphincter muscle WBbt:0005798; vm2 WBbt:0006918; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; striated muscle WBbt:0005779; intestinal muscle WBbt:0005796; uterine muscle WBbt:0005342; male WBbt:0007850; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
431	[431] cluster ttn-1	WBGene00012875	Y45F10B.13	784.33	0.796	True	ventral left quadrant body wall muscle WBbt:0005818	vm1 WBbt:0006917; VC5 WBbt:0004613; GLR WBbt:0005176; body wall WBbt:0005742; hermaphrodite WBbt:0007849; intestine WBbt:0005772; ventral left quadrant body wall muscle WBbt:0005818; somatic nervous system WBbt:0005760; muscle of the reproductive system WBbt:0005786; somatic gonad WBbt:0005785; thermosensory neuron WBbt:0005838; VC4 WBbt:0004617; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; germ line WBbt:0005784; striated muscle WBbt:0005779; intestinal muscle WBbt:0005796; uterine muscle WBbt:0005342; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
431	[431] cluster ttn-1	WBGene00006584	tni-1	2222.72	0.795	True	ventral left quadrant body wall muscle WBbt:0005818	SMD WBbt:0005353; gonad arm WBbt:0008629; vm1 WBbt:0006917; VC5 WBbt:0004613; RIA WBbt:0006833; body wall WBbt:0005742; IL2VL WBbt:0004538; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; anterior ganglion WBbt:0005375; intestine WBbt:0005772; ventral left quadrant body wall muscle WBbt:0005818; DVB WBbt:0004822; somatic nervous system WBbt:0005760; PLM WBbt:0005490; epithelial system WBbt:0005730; head muscle WBbt:0006761; RMDL WBbt:0005037; IL2DL WBbt:0004545; muscle of the reproductive system WBbt:0005786; somatic gonad WBbt:0005785; dorso-rectal ganglion WBbt:0005212; VC4 WBbt:0004617; anal sphincter muscle WBbt:0005798; lateral ganglion left WBbt:0005103; IL2VR WBbt:0004537; vm2 WBbt:0006918; sex organ WBbt:0008422; PDA WBbt:0004386; anal depressor muscle WBbt:0004292; uv3 WBbt:0006793; striated muscle WBbt:0005779; intestinal muscle WBbt:0005796; IL2DR WBbt:0004543; uterine muscle WBbt:0005342; male WBbt:0007850; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; rectal muscle WBbt:0005803; preanal ganglion WBbt:0005448
431	[431] cluster ttn-1	WBGene00017657	F21C10.7	632.81	0.781	True	ventral left quadrant body wall muscle WBbt:0005818	vm1 WBbt:0006917; body wall WBbt:0005742; hermaphrodite WBbt:0007849; VD12 WBbt:0004587; intestine WBbt:0005772; ventral left quadrant body wall muscle WBbt:0005818; head muscle WBbt:0006761; muscle of the reproductive system WBbt:0005786; nervous system WBbt:0005735; somatic gonad WBbt:0005785; anal sphincter muscle WBbt:0005798; vm2 WBbt:0006918; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; germ line WBbt:0005784; striated muscle WBbt:0005779; intestinal muscle WBbt:0005796; uterine muscle WBbt:0005342; male WBbt:0007850; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697; preanal ganglion WBbt:0005448
431	[431] cluster ttn-1	WBGene00006436	ttn-1	6123.34	0.774	True	ventral left quadrant body wall muscle WBbt:0005818	vm1 WBbt:0006917; body wall WBbt:0005742; hermaphrodite WBbt:0007849; pm7 WBbt:0003721; intestine WBbt:0005772; ventral left quadrant body wall muscle WBbt:0005818; PVD WBbt:0006831; epithelial system WBbt:0005730; OLL WBbt:0006847; head muscle WBbt:0006761; g2 WBbt:0003710; pharynx WBbt:0003681; coelomic system WBbt:0005749; thermosensory neuron WBbt:0005838; anal sphincter muscle WBbt:0005798; vm2 WBbt:0006918; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; striated muscle WBbt:0005779; intestinal muscle WBbt:0005796; uterine muscle WBbt:0005342; muscular system WBbt:0005737; cephalic sheath cell WBbt:0008406
431	[431] cluster ttn-1	WBGene00004135	pqn-48	459.9	0.77	True	ventral left quadrant body wall muscle WBbt:0005818	gonad arm WBbt:0008629; vm1 WBbt:0006917; body wall WBbt:0005742; hermaphrodite WBbt:0007849; intestine WBbt:0005772; ventral left quadrant body wall muscle WBbt:0005818; ABpraaapppa WBbt:0006009; head muscle WBbt:0006761; ABplpaaaaa WBbt:0005893; muscle of the reproductive system WBbt:0005786; somatic gonad WBbt:0005785; ABprpaaaaa WBbt:0006027; coelomic system WBbt:0005749; anal sphincter muscle WBbt:0005798; vm2 WBbt:0006918; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; ABalppppppa WBbt:0006166; germ line WBbt:0005784; striated muscle WBbt:0005779; intestinal muscle WBbt:0005796; uterine muscle WBbt:0005342; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
431	[431] cluster ttn-1	WBGene00008191	C49A1.10	423.32	0.77	True	ventral left quadrant body wall muscle WBbt:0005818	vm1 WBbt:0006917; body wall WBbt:0005742; hermaphrodite WBbt:0007849; intestine WBbt:0005772; ventral left quadrant body wall muscle WBbt:0005818; PVD WBbt:0006831; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; OLL WBbt:0006847; AVK WBbt:0006823; muscle of the reproductive system WBbt:0005786; somatic gonad WBbt:0005785; posterior arcade cell WBbt:0005795; anal sphincter muscle WBbt:0005798; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; germ line WBbt:0005784; striated muscle WBbt:0005779; intestinal muscle WBbt:0005796; uterine muscle WBbt:0005342; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
431	[431] cluster ttn-1	WBGene00003929	pat-2	411.93	0.757	True	ventral left quadrant body wall muscle WBbt:0005818	gonad arm WBbt:0008629; hermaphrodite distal tip cell WBbt:0006863; vm1 WBbt:0006917; body wall WBbt:0005742; Q cell WBbt:0008598; hermaphrodite WBbt:0007849; ventral left quadrant body wall muscle WBbt:0005818; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; PLM WBbt:0005490; epithelial system WBbt:0005730; AVM WBbt:0003832; midbody WBbt:0005740; nervous system WBbt:0005735; somatic gonad WBbt:0005785; ALM WBbt:0005406; vm2 WBbt:0006918; sex organ WBbt:0008422; germ line WBbt:0005784; striated muscle WBbt:0005779; uterine muscle WBbt:0005342; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
431	[431] cluster ttn-1	WBGene00004113	pqn-24	615.06	0.748	True	ventral left quadrant body wall muscle WBbt:0005818	body wall WBbt:0005742; ventral left quadrant body wall muscle WBbt:0005818; head muscle WBbt:0006761; striated muscle WBbt:0005779; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697
