node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
432	[432] cluster rpl-7A	WBGene00004423	rpl-11.2	6554.44	0.613	True	M cell WBbt:0004489	MC neuron WBbt:0003638; gonad arm WBbt:0008629; hermaphrodite distal tip cell WBbt:0006863; dorsal uterine cell WBbt:0006782; ADE WBbt:0005415; GLR WBbt:0005176; excretory system WBbt:0005736; vulD WBbt:0006766; corpus WBbt:0003733; hermaphrodite WBbt:0007849; spermatheca WBbt:0005319; intestine WBbt:0005772; ADA WBbt:0006811; male distal tip cell WBbt:0006864; PVD WBbt:0006831; CAN WBbt:0006827; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; vulF WBbt:0006768; M2 neuron WBbt:0003634; vulC WBbt:0006765; excretory cell WBbt:0005812; M cell WBbt:0004489; epithelial system WBbt:0005730; OLL WBbt:0006847; I4 neuron WBbt:0004741; M1 neuron WBbt:0004488; vulA WBbt:0006762; midbody WBbt:0005740; muscle of the reproductive system WBbt:0005786; nervous system WBbt:0005735; somatic gonad WBbt:0005785; MI neuron WBbt:0003664; pharynx WBbt:0003681; vulB1 WBbt:0006763; excretory secretory system WBbt:0006850; excretory gland cell WBbt:0005776; RIG WBbt:0006836; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; RIH WBbt:0003928; NSM WBbt:0003666; vulE WBbt:0006767; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
432	[432] cluster rpl-7A	WBGene00009888	F49E2.5	908.58	0.568	True	M cell WBbt:0004489	PVC WBbt:0005840; hermaphrodite distal tip cell WBbt:0006863; AS11 WBbt:0003905; HSN WBbt:0006830; PVM WBbt:0004086; I5 neuron WBbt:0004740; GLR WBbt:0005176; Psub1 WBbt:0006874; IL2VL WBbt:0004538; hermaphrodite WBbt:0007849; anterior ganglion WBbt:0005375; AVD WBbt:0006818; male distal tip cell WBbt:0006864; DB6 WBbt:0004841; BAG WBbt:0006825; PVD WBbt:0006831; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; PLM WBbt:0005490; ABprapppaa WBbt:0006234; M cell WBbt:0004489; epithelial system WBbt:0005730; OLL WBbt:0006847; ABplapppaa WBbt:0005935; I4 neuron WBbt:0004741; DB7 WBbt:0004840; IL2DL WBbt:0004545; somatic gonad WBbt:0005785; PDE WBbt:0006747; pharynx WBbt:0003681; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; dorso-rectal ganglion WBbt:0005212; PVR WBbt:0004072; DB3 WBbt:0004844; IL2VR WBbt:0004537; sex organ WBbt:0008422; SAB WBbt:0005396; PVW WBbt:0008438; ABalaaaala WBbt:0005966; DB5 WBbt:0004842; posterior lateral ganglion WBbt:0005465; IL2DR WBbt:0004543; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697; Caapa WBbt:0006123; DVC WBbt:0004821; ABalaapaaa WBbt:0006732; preanal ganglion WBbt:0005448
432	[432] cluster rpl-7A	WBGene00001393	fat-1	305.72	0.519	False	M cell WBbt:0004489	DA6 WBbt:0004861; VB10 WBbt:0004625; VB5 WBbt:0004637; URB WBbt:0006845; VB7 WBbt:0004631; DA1 WBbt:0004871; ADE WBbt:0005415; PVM WBbt:0004086; VD8 WBbt:0004597; DA8 WBbt:0004858; URA WBbt:0005225; DB2 WBbt:0004845; VD10 WBbt:0004591; DA5 WBbt:0004863; VB2 WBbt:0004641; DA4 WBbt:0004865; hermaphrodite WBbt:0007849; VA2 WBbt:0004870; VB9 WBbt:0004627; intestine WBbt:0005772; ADA WBbt:0006811; DA9 WBbt:0004857; DB6 WBbt:0004841; VA12 WBbt:0004645; AS2 WBbt:0003924; lumbar ganglion right WBbt:0005601; CAN WBbt:0006827; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; PLM WBbt:0005490; AS3 WBbt:0003923; DA3 WBbt:0004867; epithelial system WBbt:0005730; AVM WBbt:0003832; DB7 WBbt:0004840; DA2 WBbt:0004869; VD11 WBbt:0004589; FLP WBbt:0006828; VB3 WBbt:0004639; VB8 WBbt:0004629; VB4 WBbt:0004638; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; ALM WBbt:0005406; VB6 WBbt:0004633; DB3 WBbt:0004844; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; VB1 WBbt:0004643; germline precursor cell WBbt:0006849; DA7 WBbt:0004859; DB5 WBbt:0004842; VB11 WBbt:0004623; VD9 WBbt:0004593; posterior lateral ganglion WBbt:0005465; uterine muscle WBbt:0005342; muscular system WBbt:0005737; reproductive system WBbt:0005747; preanal ganglion WBbt:0005448
432	[432] cluster rpl-7A	WBGene00004419	rpl-7A	15548.49	0.483	True	M cell WBbt:0004489	PHC WBbt:0008446; dorsal uterine cell WBbt:0006782; excretory system WBbt:0005736; AUA WBbt:0006817; AVJ WBbt:0006822; AWC-ON WBbt:0005832; vulD WBbt:0006766; body wall WBbt:0005742; AWC-OFF WBbt:0005833; hermaphrodite WBbt:0007849; pm7 WBbt:0003721; intestine WBbt:0005772; ventral left quadrant body wall muscle WBbt:0005818; RIC WBbt:0006834; PHB WBbt:0007808; PVD WBbt:0006831; CAN WBbt:0006827; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; vulF WBbt:0006768; vulC WBbt:0006765; excretory cell WBbt:0005812; M cell WBbt:0004489; epithelial system WBbt:0005730; OLL WBbt:0006847; vulA WBbt:0006762; AWA WBbt:0005670; midbody WBbt:0005740; nervous system WBbt:0005735; somatic gonad WBbt:0005785; pharynx WBbt:0003681; vulB1 WBbt:0006763; dorso-rectal ganglion WBbt:0005212; coelomic system WBbt:0005749; excretory secretory system WBbt:0006850; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; germ line WBbt:0005784; striated muscle WBbt:0005779; male WBbt:0007850; vulE WBbt:0006767; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; DVC WBbt:0004821
432	[432] cluster rpl-7A	WBGene00020612	arrd-22	52.65	0.429	False	M cell WBbt:0004489	AS7 WBbt:0003909; XXX cell WBbt:0007855; VC6 WBbt:0004611; AS4 WBbt:0003912; DB2 WBbt:0004845; VC3 WBbt:0004618; hermaphrodite WBbt:0007849; anchor cell WBbt:0004522; anterior ganglion WBbt:0005375; intestine WBbt:0005772; DB6 WBbt:0004841; PVD WBbt:0006831; AS8 WBbt:0003908; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; epithelial system WBbt:0005730; OLL WBbt:0006847; AS5 WBbt:0003911; DB7 WBbt:0004840; somatic gonad WBbt:0005785; VC1 WBbt:0004621; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; dorso-rectal ganglion WBbt:0005212; VC2 WBbt:0004619; DB3 WBbt:0004844; sex organ WBbt:0008422; striated muscle WBbt:0005779; germline precursor cell WBbt:0006849; DB5 WBbt:0004842; AS6 WBbt:0003910; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
432	[432] cluster rpl-7A	WBGene00009126	pyk-1	251.31	0.422	False	M cell WBbt:0004489	hermaphrodite WBbt:0007849; pm7 WBbt:0003721; PVD WBbt:0006831; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; OLL WBbt:0006847; nervous system WBbt:0005735; pharynx WBbt:0003681; PVR WBbt:0004072; sex organ WBbt:0008422; germ line WBbt:0005784; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
432	[432] cluster rpl-7A	WBGene00018060	arrd-18	57.72	0.397	True	M cell WBbt:0004489	DA6 WBbt:0004861; DA1 WBbt:0004871; I5 neuron WBbt:0004740; GLR WBbt:0005176; DA8 WBbt:0004858; DB2 WBbt:0004845; DA5 WBbt:0004863; DA4 WBbt:0004865; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; anchor cell WBbt:0004522; intestine WBbt:0005772; DA9 WBbt:0004857; DB6 WBbt:0004841; DVA WBbt:0004823; lumbar ganglion right WBbt:0005601; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; PLM WBbt:0005490; M cell WBbt:0004489; DA3 WBbt:0004867; DB7 WBbt:0004840; DA2 WBbt:0004869; FLP WBbt:0006828; somatic gonad WBbt:0005785; pharynx WBbt:0003681; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; dorso-rectal ganglion WBbt:0005212; ALM WBbt:0005406; coelomic system WBbt:0005749; thermosensory neuron WBbt:0005838; AIN WBbt:0006815; DB3 WBbt:0004844; lateral ganglion left WBbt:0005103; SAB WBbt:0005396; PVW WBbt:0008438; DA7 WBbt:0004859; DB5 WBbt:0004842; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; preanal ganglion WBbt:0005448
432	[432] cluster rpl-7A	WBGene00011054	arrd-13	69.96	0.394	False	M cell WBbt:0004489	DB2 WBbt:0004845; DB6 WBbt:0004841; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; epithelial system WBbt:0005730; DB7 WBbt:0004840; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; dorso-rectal ganglion WBbt:0005212; coelomic system WBbt:0005749; DB3 WBbt:0004844; RIS WBbt:0005045; germ line WBbt:0005784; striated muscle WBbt:0005779; PVW WBbt:0008438; germline precursor cell WBbt:0006849; DB5 WBbt:0004842; muscular system WBbt:0005737
432	[432] cluster rpl-7A	WBGene00000140	anc-1	924.46	0.368	True	M cell WBbt:0004489	MC neuron WBbt:0003638; gonad arm WBbt:0008629; DA6 WBbt:0004861; hermaphrodite distal tip cell WBbt:0006863; DA1 WBbt:0004871; vm1 WBbt:0006917; VC5 WBbt:0004613; HSN WBbt:0006830; DA8 WBbt:0004858; DB2 WBbt:0004845; DA5 WBbt:0004863; VB2 WBbt:0004641; DA4 WBbt:0004865; corpus WBbt:0003733; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; intestine WBbt:0005772; DVB WBbt:0004822; male distal tip cell WBbt:0006864; DA9 WBbt:0004857; DB6 WBbt:0004841; VA12 WBbt:0004645; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; PLM WBbt:0005490; M cell WBbt:0004489; DA3 WBbt:0004867; M1 neuron WBbt:0004488; DB7 WBbt:0004840; DA2 WBbt:0004869; M5 neuron WBbt:0004465; muscle of the reproductive system WBbt:0005786; somatic gonad WBbt:0005785; pharynx WBbt:0003681; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; dorso-rectal ganglion WBbt:0005212; thermosensory neuron WBbt:0005838; VC4 WBbt:0004617; DB3 WBbt:0004844; vm2 WBbt:0006918; sex organ WBbt:0008422; VB1 WBbt:0004643; DA7 WBbt:0004859; DB5 WBbt:0004842; I3 neuron WBbt:0004742; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697; preanal ganglion WBbt:0005448
432	[432] cluster rpl-7A	WBGene00001433	fkb-8	70.31	0.354	False	M cell WBbt:0004489	SIB WBbt:0005359; I5 neuron WBbt:0004740; SIA WBbt:0005361; excretory system WBbt:0005736; AVA WBbt:0005842; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; anchor cell WBbt:0004522; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; excretory cell WBbt:0005812; SMB WBbt:0005355; somatic gonad WBbt:0005785; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; excretory secretory system WBbt:0006850; lateral ganglion left WBbt:0005103; SAB WBbt:0005396; AVB WBbt:0005841; striated muscle WBbt:0005779; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
