node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
433	[433] cluster rbm-3.2	WBGene00011156	rbm-3.2	23407.53	0.93	False	germline precursor cell WBbt:0006849	ABplaapaap WBbt:0006518; hermaphrodite distal tip cell WBbt:0006863; URB WBbt:0006845; ABplpppppp WBbt:0005960; nociceptor neuron WBbt:0008434; excretory system WBbt:0005736; AUA WBbt:0006817; AVJ WBbt:0006822; ASJ WBbt:0005667; AWC-ON WBbt:0005832; Q cell WBbt:0008598; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; ABprpppppp WBbt:0006430; ADF WBbt:0005660; MSpapaapa WBbt:0006627; osmosensory neuron WBbt:0008433; intestine WBbt:0005772; RIC WBbt:0006834; ADA WBbt:0006811; male distal tip cell WBbt:0006864; ASI WBbt:0005666; CAN WBbt:0006827; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; MSaapaapa WBbt:0006494; M cell WBbt:0004489; I4 neuron WBbt:0004741; AWA WBbt:0005670; ABplpappaa WBbt:0006551; somatic gonad WBbt:0005785; pharynx WBbt:0003681; thermosensory neuron WBbt:0005838; excretory secretory system WBbt:0006850; excretory gland cell WBbt:0005776; ADL WBbt:0005661; RIG WBbt:0006836; ASG WBbt:0005664; germ line WBbt:0005784; striated muscle WBbt:0005779; AWB WBbt:0005671; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive tract WBbt:0005744; ASK WBbt:0005668; ABpraapaap WBbt:0006373
433	[433] cluster rbm-3.2	WBGene00011155	rbm-3.1	4411.92	0.855	True	germline precursor cell WBbt:0006849	ABplpppppp WBbt:0005960; nociceptor neuron WBbt:0008434; ASJ WBbt:0005667; hermaphrodite WBbt:0007849; ABprpppppp WBbt:0006430; ADF WBbt:0005660; osmosensory neuron WBbt:0008433; intestine WBbt:0005772; ASI WBbt:0005666; AWA WBbt:0005670; oocyte WBbt:0006797; ABplpappaa WBbt:0006551; pharynx WBbt:0003681; thermosensory neuron WBbt:0005838; ADL WBbt:0005661; ASG WBbt:0005664; germ line WBbt:0005784; striated muscle WBbt:0005779; AWB WBbt:0005671; germline precursor cell WBbt:0006849; male WBbt:0007850; ASE WBbt:0005663; muscular system WBbt:0005737; ASK WBbt:0005668; head mesodermal cell WBbt:0004697
433	[433] cluster rbm-3.2	WBGene00044638	F23A7.8	10193.63	0.804	True	germline precursor cell WBbt:0006849	VC5 WBbt:0004613; Psub1 WBbt:0006874; ut4 WBbt:0006788; corpus WBbt:0003733; hermaphrodite WBbt:0007849; PHB WBbt:0007808; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; I4 neuron WBbt:0004741; somatic gonad WBbt:0005785; pharynx WBbt:0003681; VC4 WBbt:0004617; sex organ WBbt:0008422; PVP WBbt:0006832; germ line WBbt:0005784; germline precursor cell WBbt:0006849; NSM WBbt:0003666; reproductive tract WBbt:0005744; preanal ganglion WBbt:0005448
433	[433] cluster rbm-3.2	WBGene00007785	tofu-1	615.08	0.788	True	germline precursor cell WBbt:0006849	VC5 WBbt:0004613; AVA WBbt:0005842; hermaphrodite WBbt:0007849; Y cell WBbt:0004578; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; AVK WBbt:0006823; PVR WBbt:0004072; VC4 WBbt:0004617; sex organ WBbt:0008422; germ line WBbt:0005784; germline precursor cell WBbt:0006849; reproductive system WBbt:0005747
433	[433] cluster rbm-3.2	WBGene00017982	hpo-18	458.86	0.774	False	germline precursor cell WBbt:0006849	lateral ganglion right WBbt:0005101; intestine WBbt:0005772; somatic nervous system WBbt:0005760; PLM WBbt:0005490; nervous system WBbt:0005735; retrovesicular ganglion WBbt:0005656; thermosensory neuron WBbt:0005838; VB1 WBbt:0004643; ASE WBbt:0005663
433	[433] cluster rbm-3.2	WBGene00000206	asb-1	434.28	0.743	True	germline precursor cell WBbt:0006849	Q cell WBbt:0008598; BAG WBbt:0006825; gonadal primordium WBbt:0008366; thermosensory neuron WBbt:0005838; germ line WBbt:0005784; germline precursor cell WBbt:0006849; reproductive system WBbt:0005747
433	[433] cluster rbm-3.2	WBGene00017549	pid-1	429.3	0.738	True	germline precursor cell WBbt:0006849	hermaphrodite WBbt:0007849; oocyte WBbt:0006797; nervous system WBbt:0005735; thermosensory neuron WBbt:0005838; RID WBbt:0003938; germ line WBbt:0005784; germline precursor cell WBbt:0006849; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
433	[433] cluster rbm-3.2	WBGene00003992	pgl-1	474.41	0.73	True	germline precursor cell WBbt:0006849	hermaphrodite WBbt:0007849; nervous system WBbt:0005735; germ line WBbt:0005784; germline precursor cell WBbt:0006849; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
433	[433] cluster rbm-3.2	WBGene00019631	K10D2.5	482.88	0.725	True	germline precursor cell WBbt:0006849	ABarapappa WBbt:0006309; Q cell WBbt:0008598; intestine WBbt:0005772; ABalpapppa WBbt:0006701; ABalpppppp WBbt:0006396; germ line WBbt:0005784; germline precursor cell WBbt:0006849; reproductive system WBbt:0005747; ABpraaappp WBbt:0006194
433	[433] cluster rbm-3.2	WBGene00012484	car-1	638.55	0.719	False	germline precursor cell WBbt:0006849	somatic cell WBbt:0008378; Q cell WBbt:0008598; gonadal primordium WBbt:0008366; germ line WBbt:0005784; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
