node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
436	[436] cluster sqt-3	WBGene00005018	sqt-3	42942.61	0.828	True	tail precursor cell WBbt:0008409	PVN WBbt:0008275; ABarpaappp WBbt:0006070; hyp6 WBbt:0004679; Cpapap WBbt:0006374; ABarpaappa WBbt:0005939; hyp5 WBbt:0004685; IL socket cell WBbt:0008418; Caappd WBbt:0005991; ABarpaapap WBbt:0006375; Cpaapa WBbt:0005886; GLR WBbt:0005176; excretory system WBbt:0005736; K' cell WBbt:0004497; Cpappd WBbt:0006100; postdeirid sensillum WBbt:0005471; ABplaapppa WBbt:0006735; ABprappppa WBbt:0006226; vulD WBbt:0006766; hyp1 WBbt:0004694; hyp2 WBbt:0004692; ut4 WBbt:0006788; hermaphrodite WBbt:0007849; ABplappppa WBbt:0004671; anchor cell WBbt:0004522; G cell WBbt:0008599; Cpaapp WBbt:0006399; anterior ganglion WBbt:0005375; Caaaap WBbt:0006319; ILshDL WBbt:0004533; hyp4 WBbt:0004687; PDE socket cell WBbt:0008421; Caaaaa WBbt:0006076; Cpapaa WBbt:0006231; phasmid socket cell WBbt:0008410; vulF WBbt:0006768; anterior arcade cell WBbt:0005794; PLM WBbt:0005490; ABarppaapa WBbt:0006180; amphid socket cell WBbt:0008379; vulC WBbt:0006765; Cpaaaa WBbt:0006151; epithelial system WBbt:0005730; hyp12 WBbt:0004376; Caaapp WBbt:0006521; tail hypodermis WBbt:0006978; ABpraapppp WBbt:0006608; vulA WBbt:0006762; midbody WBbt:0005740; ABplaapppp WBbt:0006477; nervous system WBbt:0005735; outer labial lateral sensillum WBbt:0005503; tail precursor cell WBbt:0008409; somatic gonad WBbt:0005785; OL sheath cell WBbt:0008413; vulB1 WBbt:0006763; excretory duct cell WBbt:0004540; ABpraapppa WBbt:0006244; Caaapa WBbt:0006502; posterior arcade cell WBbt:0005795; excretory secretory system WBbt:0006850; excretory socket cell WBbt:0004534; sex organ WBbt:0008422; hyp3 WBbt:0004690; phasmid sheath cell WBbt:0006755; W cell WBbt:0004583; ABarpppapa WBbt:0006433; Cpaaap WBbt:0006357; posterior lateral ganglion WBbt:0005465; outer labial quadrant sensillum WBbt:0005502; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; OL socket cell WBbt:0008419; PDE sheath cell WBbt:0008415
436	[436] cluster sqt-3	WBGene00007679	C18D11.1	247.36	0.606	False	tail precursor cell WBbt:0008409	hyp6 WBbt:0004679; hyp5 WBbt:0004685; IL socket cell WBbt:0008418; dorsal uterine cell WBbt:0006782; VC5 WBbt:0004613; excretory system WBbt:0005736; K' cell WBbt:0004497; postdeirid sensillum WBbt:0005471; vulD WBbt:0006766; hyp1 WBbt:0004694; hyp2 WBbt:0004692; ut4 WBbt:0006788; hermaphrodite WBbt:0007849; anterior ganglion WBbt:0005375; intestine WBbt:0005772; ILshDL WBbt:0004533; hyp4 WBbt:0004687; PDE socket cell WBbt:0008421; Y cell WBbt:0004578; somatic nervous system WBbt:0005760; phasmid socket cell WBbt:0008410; gonadal primordium WBbt:0008366; anterior arcade cell WBbt:0005794; PLM WBbt:0005490; amphid socket cell WBbt:0008379; vulC WBbt:0006765; epithelial system WBbt:0005730; hyp12 WBbt:0004376; tail hypodermis WBbt:0006978; vulA WBbt:0006762; midbody WBbt:0005740; nervous system WBbt:0005735; outer labial lateral sensillum WBbt:0005503; somatic gonad WBbt:0005785; F cell WBbt:0004799; OL sheath cell WBbt:0008413; K cell WBbt:0004499; vulB1 WBbt:0006763; B cell WBbt:0003825; excretory duct cell WBbt:0004540; VC4 WBbt:0004617; posterior arcade cell WBbt:0005795; excretory secretory system WBbt:0006850; excretory socket cell WBbt:0004534; sex organ WBbt:0008422; hyp3 WBbt:0004690; germline precursor cell WBbt:0006849; phasmid sheath cell WBbt:0006755; posterior lateral ganglion WBbt:0005465; CEPsoDL WBbt:0004921; U cell WBbt:0004942; outer labial quadrant sensillum WBbt:0005502; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; OL socket cell WBbt:0008419; PDE sheath cell WBbt:0008415
436	[436] cluster sqt-3	WBGene00007257	C01H6.8	655.2	0.599	True	tail precursor cell WBbt:0008409	ABarpaappp WBbt:0006070; hyp6 WBbt:0004679; ABarpaappa WBbt:0005939; hyp5 WBbt:0004685; ABarpaapap WBbt:0006375; excretory system WBbt:0005736; ABplaapppa WBbt:0006735; ABprappppa WBbt:0006226; ABplappppa WBbt:0004671; intestine WBbt:0005772; hyp4 WBbt:0004687; gonadal primordium WBbt:0008366; M2 neuron WBbt:0003634; ABarppaapa WBbt:0006180; epithelial system WBbt:0005730; ABpraapppp WBbt:0006608; ABplaapppp WBbt:0006477; nervous system WBbt:0005735; tail precursor cell WBbt:0008409; pharynx WBbt:0003681; excretory duct cell WBbt:0004540; ABpraapppa WBbt:0006244; excretory secretory system WBbt:0006850; excretory socket cell WBbt:0004534; ABarpppapa WBbt:0006433
436	[436] cluster sqt-3	WBGene00013385	Y62E10A.19	449.83	0.594	False	tail precursor cell WBbt:0008409	Cpapap WBbt:0006374; Caappd WBbt:0005991; Cpaapa WBbt:0005886; K' cell WBbt:0004497; Cpappd WBbt:0006100; hermaphrodite WBbt:0007849; anchor cell WBbt:0004522; G cell WBbt:0008599; Cpaapp WBbt:0006399; Caaaap WBbt:0006319; Y cell WBbt:0004578; Caaaaa WBbt:0006076; Cpapaa WBbt:0006231; gonadal primordium WBbt:0008366; PLM WBbt:0005490; rectal gland cell WBbt:0005799; Cpaaaa WBbt:0006151; epithelial system WBbt:0005730; Caaapp WBbt:0006521; nervous system WBbt:0005735; somatic gonad WBbt:0005785; F cell WBbt:0004799; pharynx WBbt:0003681; K cell WBbt:0004499; B cell WBbt:0003825; Caaapa WBbt:0006502; germline precursor cell WBbt:0006849; phasmid sheath cell WBbt:0006755; W cell WBbt:0004583; Cpaaap WBbt:0006357; U cell WBbt:0004942; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
436	[436] cluster sqt-3	WBGene00003497	mup-4	249.2	0.572	False	tail precursor cell WBbt:0008409	ABarpaappp WBbt:0006070; hyp6 WBbt:0004679; ABarpaappa WBbt:0005939; ILshDR WBbt:0004531; hyp5 WBbt:0004685; dorsal uterine cell WBbt:0006782; ABarpaapap WBbt:0006375; K' cell WBbt:0004497; ABplaapppa WBbt:0006735; ABprappppa WBbt:0006226; vulD WBbt:0006766; hyp2 WBbt:0004692; hermaphrodite WBbt:0007849; ILshVR WBbt:0004523; lateral ganglion right WBbt:0005101; ADE sheath cell WBbt:0008411; ABplappppa WBbt:0004671; anchor cell WBbt:0004522; G cell WBbt:0008599; anterior ganglion WBbt:0005375; ILshDL WBbt:0004533; hyp4 WBbt:0004687; Y cell WBbt:0004578; ILshL WBbt:0004529; ABarppaapa WBbt:0006180; vulC WBbt:0006765; epithelial system WBbt:0005730; hyp12 WBbt:0004376; ILshVL WBbt:0004525; tail hypodermis WBbt:0006978; ABpraapppp WBbt:0006608; vulA WBbt:0006762; midbody WBbt:0005740; ABplaapppp WBbt:0006477; nervous system WBbt:0005735; outer labial lateral sensillum WBbt:0005503; somatic gonad WBbt:0005785; F cell WBbt:0004799; OL sheath cell WBbt:0008413; pharynx WBbt:0003681; K cell WBbt:0004499; B cell WBbt:0003825; ABpraapppa WBbt:0006244; thermosensory neuron WBbt:0005838; sex organ WBbt:0008422; germ line WBbt:0005784; germline precursor cell WBbt:0006849; W cell WBbt:0004583; ABarpppapa WBbt:0006433; U cell WBbt:0004942; outer labial quadrant sensillum WBbt:0005502; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; ILshR WBbt:0004527; cephalic sheath cell WBbt:0008406
436	[436] cluster sqt-3	WBGene00001984	hog-1	290.45	0.519	False	tail precursor cell WBbt:0008409	hyp6 WBbt:0004679; AIM WBbt:0006814; hyp5 WBbt:0004685; excretory system WBbt:0005736; K' cell WBbt:0004497; CEPsoDR WBbt:0004919; CEPsoVR WBbt:0004917; AUA WBbt:0006817; hermaphrodite WBbt:0007849; ADE sheath cell WBbt:0008411; anterior ganglion WBbt:0005375; Y cell WBbt:0004578; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; vulF WBbt:0006768; amphid socket cell WBbt:0008379; epithelial system WBbt:0005730; hyp12 WBbt:0004376; CEPsoVL WBbt:0004918; tail hypodermis WBbt:0006978; midbody WBbt:0005740; nervous system WBbt:0005735; F cell WBbt:0004799; K cell WBbt:0004499; B cell WBbt:0003825; excretory secretory system WBbt:0006850; lateral ganglion left WBbt:0005103; excretory socket cell WBbt:0004534; sex organ WBbt:0008422; germline precursor cell WBbt:0006849; CEPsoDL WBbt:0004921; U cell WBbt:0004942; reproductive system WBbt:0005747
436	[436] cluster sqt-3	WBGene00018108	F36H5.10	63.1	0.519	False	tail precursor cell WBbt:0008409	ABplpppppp WBbt:0005960; Q cell WBbt:0008598; ABprpppppp WBbt:0006430; intestine WBbt:0005772; epithelial system WBbt:0005730; tail hypodermis WBbt:0006978; nervous system WBbt:0005735
436	[436] cluster sqt-3	WBGene00007252	mlt-2	78.01	0.511	False	tail precursor cell WBbt:0008409	PHC WBbt:0008446; Cpapap WBbt:0006374; Caappd WBbt:0005991; Cpaapa WBbt:0005886; PVM WBbt:0004086; Cpappd WBbt:0006100; hermaphrodite WBbt:0007849; Cpaapp WBbt:0006399; anterior ganglion WBbt:0005375; Caaaap WBbt:0006319; Caaaaa WBbt:0006076; Cpapaa WBbt:0006231; somatic nervous system WBbt:0005760; PLM WBbt:0005490; Cpaaaa WBbt:0006151; epithelial system WBbt:0005730; Caaapp WBbt:0006521; AVM WBbt:0003832; nervous system WBbt:0005735; RIP WBbt:0006838; FLP WBbt:0006828; VC1 WBbt:0004621; ALM WBbt:0005406; Caaapa WBbt:0006502; VC4 WBbt:0004617; sex organ WBbt:0008422; Cpaaap WBbt:0006357; posterior lateral ganglion WBbt:0005465; reproductive system WBbt:0005747
436	[436] cluster sqt-3	WBGene00008851	F15B9.8	687.21	0.505	False	tail precursor cell WBbt:0008409	ABarpaappp WBbt:0006070; hyp6 WBbt:0004679; Cpapap WBbt:0006374; SIB WBbt:0005359; ABarpaappa WBbt:0005939; hyp5 WBbt:0004685; Caappd WBbt:0005991; ABarpaapap WBbt:0006375; Cpaapa WBbt:0005886; SIA WBbt:0005361; excretory system WBbt:0005736; Cpappd WBbt:0006100; ABplaapppa WBbt:0006735; ABprappppa WBbt:0006226; corpus WBbt:0003733; hermaphrodite WBbt:0007849; ABplappppa WBbt:0004671; anchor cell WBbt:0004522; Cpaapp WBbt:0006399; intestine WBbt:0005772; Caaaap WBbt:0006319; hyp4 WBbt:0004687; Caaaaa WBbt:0006076; Cpapaa WBbt:0006231; DVA WBbt:0004823; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; vulF WBbt:0006768; ABarppaapa WBbt:0006180; Cpaaaa WBbt:0006151; epithelial system WBbt:0005730; hyp12 WBbt:0004376; Caaapp WBbt:0006521; tail hypodermis WBbt:0006978; ABpraapppp WBbt:0006608; AWA WBbt:0005670; midbody WBbt:0005740; ABplaapppp WBbt:0006477; nervous system WBbt:0005735; somatic gonad WBbt:0005785; pharynx WBbt:0003681; dorso-rectal ganglion WBbt:0005212; ABpraapppa WBbt:0006244; Caaapa WBbt:0006502; thermosensory neuron WBbt:0005838; excretory secretory system WBbt:0006850; lateral ganglion left WBbt:0005103; excretory socket cell WBbt:0004534; sex organ WBbt:0008422; RIH WBbt:0003928; germline precursor cell WBbt:0006849; NSM WBbt:0003666; ABarpppapa WBbt:0006433; Cpaaap WBbt:0006357; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
436	[436] cluster sqt-3	WBGene00012939	subs-4	199.13	0.492	True	tail precursor cell WBbt:0008409	hyp6 WBbt:0004679; hyp5 WBbt:0004685; excretory system WBbt:0005736; AVL WBbt:0003843; hermaphrodite WBbt:0007849; intestine WBbt:0005772; somatic nervous system WBbt:0005760; vulF WBbt:0006768; epithelial system WBbt:0005730; hyp12 WBbt:0004376; tail hypodermis WBbt:0006978; midbody WBbt:0005740; nervous system WBbt:0005735; tail precursor cell WBbt:0008409; excretory secretory system WBbt:0006850; excretory socket cell WBbt:0004534; sex organ WBbt:0008422; reproductive system WBbt:0005747
