node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
4512	[4512] cluster F18C5.9	WBGene00018429	F44E7.7	1703.24	0.905	True	excretory cell WBbt:0005812	excretory system WBbt:0005736; excretory cell WBbt:0005812; excretory secretory system WBbt:0006850
4512	[4512] cluster F18C5.9	WBGene00017562	F18C5.9	15764.03	0.876	True	excretory cell WBbt:0005812	excretory system WBbt:0005736; K' cell WBbt:0004497; Y cell WBbt:0004578; excretory cell WBbt:0005812; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; ABplpappaa WBbt:0006551; F cell WBbt:0004799; K cell WBbt:0004499; B cell WBbt:0003825; excretory duct cell WBbt:0004540; excretory secretory system WBbt:0006850; excretory socket cell WBbt:0004534; U cell WBbt:0004942
4512	[4512] cluster F18C5.9	WBGene00001621	glt-3	2141.75	0.868	True	excretory cell WBbt:0005812	excretory system WBbt:0005736; intestine WBbt:0005772; excretory cell WBbt:0005812; pharynx WBbt:0003681; excretory secretory system WBbt:0006850
4512	[4512] cluster F18C5.9	WBGene00020157	T02B11.6	1778.52	0.846	True	excretory cell WBbt:0005812	XXX cell WBbt:0007855; ILshDR WBbt:0004531; excretory system WBbt:0005736; K' cell WBbt:0004497; ILshVR WBbt:0004523; anterior ganglion WBbt:0005375; ILshDL WBbt:0004533; amphid sheath cell WBbt:0006754; Y cell WBbt:0004578; ILshL WBbt:0004529; anterior arcade cell WBbt:0005794; excretory cell WBbt:0005812; epithelial system WBbt:0005730; ILshVL WBbt:0004525; CEPsoVL WBbt:0004918; outer labial lateral sensillum WBbt:0005503; F cell WBbt:0004799; OL sheath cell WBbt:0008413; K cell WBbt:0004499; B cell WBbt:0003825; excretory secretory system WBbt:0006850; phasmid sheath cell WBbt:0006755; CEPsoDL WBbt:0004921; U cell WBbt:0004942; outer labial quadrant sensillum WBbt:0005502; ILshR WBbt:0004527
4512	[4512] cluster F18C5.9	WBGene00013697	dsbn-1	3585.75	0.838	True	excretory cell WBbt:0005812	excretory system WBbt:0005736; corpus WBbt:0003733; hermaphrodite WBbt:0007849; intestine WBbt:0005772; excretory cell WBbt:0005812; oocyte WBbt:0006797; nervous system WBbt:0005735; pharynx WBbt:0003681; thermosensory neuron WBbt:0005838; excretory secretory system WBbt:0006850; germ line WBbt:0005784; germline precursor cell WBbt:0006849; NSM WBbt:0003666; reproductive system WBbt:0005747
4512	[4512] cluster F18C5.9	WBGene00011868	best-18	1578.31	0.789	True	excretory cell WBbt:0005812	pm5 WBbt:0003737; I5 neuron WBbt:0004740; excretory system WBbt:0005736; AVA WBbt:0005842; hyp2 WBbt:0004692; corpus WBbt:0003733; amphid sheath cell WBbt:0006754; somatic nervous system WBbt:0005760; pm4 WBbt:0003739; excretory cell WBbt:0005812; epithelial system WBbt:0005730; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; excretory secretory system WBbt:0006850; pharyngeal-intestinal valve WBbt:0005767; SAB WBbt:0005396; phasmid sheath cell WBbt:0006755; pm3 WBbt:0003740; muscular system WBbt:0005737
4512	[4512] cluster F18C5.9	WBGene00010554	mlc-6	426.9	0.772	True	excretory cell WBbt:0005812	MC neuron WBbt:0003638; excretory system WBbt:0005736; AUA WBbt:0006817; corpus WBbt:0003733; lateral ganglion right WBbt:0005101; intestine WBbt:0005772; excretory cell WBbt:0005812; nervous system WBbt:0005735; pharynx WBbt:0003681; excretory secretory system WBbt:0006850; lateral ganglion left WBbt:0005103; excretory gland cell WBbt:0005776
4512	[4512] cluster F18C5.9	WBGene00004328	rdy-2	1398.03	0.763	True	excretory cell WBbt:0005812	ILshDR WBbt:0004531; excretory system WBbt:0005736; hyp1 WBbt:0004694; hyp2 WBbt:0004692; ILshVR WBbt:0004523; anterior ganglion WBbt:0005375; ILshDL WBbt:0004533; amphid sheath cell WBbt:0006754; ILshL WBbt:0004529; anterior arcade cell WBbt:0005794; excretory cell WBbt:0005812; epithelial system WBbt:0005730; ILshVL WBbt:0004525; CEPsoVL WBbt:0004918; tail hypodermis WBbt:0006978; nervous system WBbt:0005735; outer labial lateral sensillum WBbt:0005503; OL sheath cell WBbt:0008413; excretory duct cell WBbt:0004540; excretory secretory system WBbt:0006850; excretory socket cell WBbt:0004534; excretory gland cell WBbt:0005776; phasmid sheath cell WBbt:0006755; CEPsoDL WBbt:0004921; male WBbt:0007850; outer labial quadrant sensillum WBbt:0005502; ILshR WBbt:0004527; cephalic sheath cell WBbt:0008406
4512	[4512] cluster F18C5.9	WBGene00010718	K09C8.8	690.47	0.74	True	excretory cell WBbt:0005812	AVE WBbt:0006819; excretory system WBbt:0005736; ADF WBbt:0005660; excretory cell WBbt:0005812; epithelial system WBbt:0005730; nervous system WBbt:0005735; excretory duct cell WBbt:0004540; excretory secretory system WBbt:0006850; lateral ganglion left WBbt:0005103; excretory socket cell WBbt:0004534
4512	[4512] cluster F18C5.9	WBGene00015288	best-4	223.51	0.628	True	excretory cell WBbt:0005812	excretory system WBbt:0005736; excretory cell WBbt:0005812; epithelial system WBbt:0005730; nervous system WBbt:0005735; excretory secretory system WBbt:0006850; phasmid sheath cell WBbt:0006755
