node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
4580	[4580] cluster Y47G6A.15	WBGene00021791	Y51H7C.13	30288.88	0.873	True	uv2 WBbt:0006792	spermathecal-uterine junction WBbt:0006756; ut1 WBbt:0006785; corpus WBbt:0003733; hermaphrodite WBbt:0007849; amphid sheath cell WBbt:0006754; somatic nervous system WBbt:0005760; ut2 WBbt:0006786; ut3 WBbt:0006787; epithelial system WBbt:0005730; somatic gonad WBbt:0005785; ABprpaaaap WBbt:0006721; pharynx WBbt:0003681; dorso-rectal ganglion WBbt:0005212; ABplpaaaap WBbt:0006528; sex organ WBbt:0008422; NSM WBbt:0003666; uv2 WBbt:0006792; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; DVC WBbt:0004821
4580	[4580] cluster Y47G6A.15	WBGene00021641	Y47G6A.15	176472.1	0.842	True	uv2 WBbt:0006792	gonad arm WBbt:0008629; spermathecal-uterine junction WBbt:0006756; excretory system WBbt:0005736; ABalppappp WBbt:0006694; VA1 WBbt:0004872; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; spermatheca WBbt:0005319; intestine WBbt:0005772; ABalaapppp WBbt:0006461; RIV WBbt:0006839; CAN WBbt:0006827; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; ABalapaapp WBbt:0006504; epithelial system WBbt:0005730; ABarappppp WBbt:0006094; AVK WBbt:0006823; nervous system WBbt:0005735; ABalappppa WBbt:0006133; somatic gonad WBbt:0005785; retrovesicular ganglion WBbt:0005656; excretory secretory system WBbt:0006850; anal sphincter muscle WBbt:0005798; lateral ganglion left WBbt:0005103; excretory gland cell WBbt:0005776; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; uv3 WBbt:0006793; ASG WBbt:0005664; PVP WBbt:0006832; intestinal muscle WBbt:0005796; uv2 WBbt:0006792; PVT WBbt:0004070; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697; preanal ganglion WBbt:0005448
4580	[4580] cluster Y47G6A.15	WBGene00018227	nep-15	1669.54	0.816	False	uv2 WBbt:0006792	MSpaaapa WBbt:0006241; MSpaapaa WBbt:0006032; amphid sheath cell WBbt:0006754; epithelial system WBbt:0005730
4580	[4580] cluster Y47G6A.15	WBGene00021779	Y51H7C.1	4565.96	0.814	True	uv2 WBbt:0006792	spermathecal-uterine junction WBbt:0006756; ut1 WBbt:0006785; hermaphrodite WBbt:0007849; amphid sheath cell WBbt:0006754; ut2 WBbt:0006786; ut3 WBbt:0006787; epithelial system WBbt:0005730; somatic gonad WBbt:0005785; sex organ WBbt:0008422; uv3 WBbt:0006793; uv2 WBbt:0006792; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
4580	[4580] cluster Y47G6A.15	WBGene00000646	H17B01.2	6371.1	0.731	False	uv2 WBbt:0006792	hermaphrodite WBbt:0007849
4580	[4580] cluster Y47G6A.15	WBGene00012278	W05B10.3	827.44	0.661	True	uv2 WBbt:0006792	spermathecal-uterine junction WBbt:0006756; ut1 WBbt:0006785; hermaphrodite WBbt:0007849; ut2 WBbt:0006786; ut3 WBbt:0006787; epithelial system WBbt:0005730; somatic gonad WBbt:0005785; sex organ WBbt:0008422; uv2 WBbt:0006792; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
4580	[4580] cluster Y47G6A.15	WBGene00001560	gei-3	1087.83	0.558	False	uv2 WBbt:0006792	AS7 WBbt:0003909; AS4 WBbt:0003912; AWC-OFF WBbt:0005833; lateral ganglion right WBbt:0005101; intestine WBbt:0005772; PVD WBbt:0006831; AS8 WBbt:0003908; somatic nervous system WBbt:0005760; OLL WBbt:0006847; AS5 WBbt:0003911; AWCR WBbt:0003826; thermosensory neuron WBbt:0005838; RIS WBbt:0005045; lateral ganglion left WBbt:0005103; SAB WBbt:0005396; AS6 WBbt:0003910; AWCL WBbt:0003827; ASE WBbt:0005663; muscular system WBbt:0005737
4580	[4580] cluster Y47G6A.15	WBGene00003740	nlp-2	538.32	0.493	False	uv2 WBbt:0006792	hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; intestine WBbt:0005772; epithelial system WBbt:0005730; AWA WBbt:0005670; nervous system WBbt:0005735; somatic gonad WBbt:0005785; lateral ganglion left WBbt:0005103; sex organ WBbt:0008422; uv1 WBbt:0006791; muscular system WBbt:0005737; uterine seam cell WBbt:0006789; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
4580	[4580] cluster Y47G6A.15	WBGene00011643	slc-17.9	271.02	0.491	False	uv2 WBbt:0006792	hyp1 WBbt:0004694; hyp2 WBbt:0004692; hermaphrodite WBbt:0007849; anterior ganglion WBbt:0005375; Y cell WBbt:0004578; vulC WBbt:0006765; epithelial system WBbt:0005730; hyp12 WBbt:0004376; tail hypodermis WBbt:0006978; midbody WBbt:0005740; nervous system WBbt:0005735; OL sheath cell WBbt:0008413; B cell WBbt:0003825; posterior arcade cell WBbt:0005795; sex organ WBbt:0008422; outer labial quadrant sensillum WBbt:0005502; reproductive system WBbt:0005747
4580	[4580] cluster Y47G6A.15	WBGene00009649	F43C1.5	278.12	0.314	True	uv2 WBbt:0006792	dorsal uterine cell WBbt:0006782; spermathecal-uterine junction WBbt:0006756; vulD WBbt:0006766; hyp1 WBbt:0004694; hyp2 WBbt:0004692; ABprppppaa WBbt:0006642; hermaphrodite WBbt:0007849; vulF WBbt:0006768; vulC WBbt:0006765; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; vulA WBbt:0006762; midbody WBbt:0005740; somatic gonad WBbt:0005785; vulB1 WBbt:0006763; pharyngeal-intestinal valve WBbt:0005767; sex organ WBbt:0008422; uv3 WBbt:0006793; ABplppppaa WBbt:0006109; uv2 WBbt:0006792; vulE WBbt:0006767; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
4580	[4580] cluster Y47G6A.15	WBGene00019376	lipl-4	38.45	0.201	False	uv2 WBbt:0006792	intestine WBbt:0005772; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; SMB WBbt:0005355; nervous system WBbt:0005735; hyp3 WBbt:0004690; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697
4580	[4580] cluster Y47G6A.15	WBGene00018990	klf-1	96.22	0.156	False	uv2 WBbt:0006792	intestine WBbt:0005772; PVD WBbt:0006831; PLM WBbt:0005490; epithelial system WBbt:0005730; OLL WBbt:0006847; nervous system WBbt:0005735; thermosensory neuron WBbt:0005838; RID WBbt:0003938
