node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
5064	[5064] cluster C15A11.7	WBGene00009363	F33E2.7	18.49	0.707	False	P7.p WBbt:0006895	male WBbt:0007850
5064	[5064] cluster C15A11.7	WBGene00271821	T28C12.15	27.26	0.704	False	P7.p WBbt:0006895	hyp2 WBbt:0004692; amphid sheath cell WBbt:0006754; epithelial system WBbt:0005730; nervous system WBbt:0005735
5064	[5064] cluster C15A11.7	WBGene00003837	oat-1	718.46	0.643	False	P7.p WBbt:0006895	hyp2 WBbt:0004692; amphid sheath cell WBbt:0006754; epithelial system WBbt:0005730; nervous system WBbt:0005735; phasmid sheath cell WBbt:0006755
5064	[5064] cluster C15A11.7	WBGene00003764	nlp-26	709.69	0.639	True	P7.p WBbt:0006895	P7.pp WBbt:0006984; P6.p WBbt:0006894; P6.pp WBbt:0006988; intestine WBbt:0005772; P6.pa WBbt:0006987; epithelial system WBbt:0005730; P8.p WBbt:0006896; P5.p WBbt:0006893; P4.p WBbt:0006892; P7.p WBbt:0006895; P7.pa WBbt:0006983; P3.p WBbt:0006891
5064	[5064] cluster C15A11.7	WBGene00007599	C15A11.7	2383.5	0.583	False	P7.p WBbt:0006895	Cpapap WBbt:0006374; Caappd WBbt:0005991; Cpaapa WBbt:0005886; Cpappd WBbt:0006100; Cpaapp WBbt:0006399; Caaaap WBbt:0006319; Caaaaa WBbt:0006076; Cpapaa WBbt:0006231; Cpaaaa WBbt:0006151; epithelial system WBbt:0005730; hyp12 WBbt:0004376; Caaapp WBbt:0006521; Caaapa WBbt:0006502; Cpaaap WBbt:0006357
5064	[5064] cluster C15A11.7	WBGene00016683	C45G9.12	348.51	0.55	False	P7.p WBbt:0006895	PVC WBbt:0005840; AVE WBbt:0006819; excretory system WBbt:0005736; AVA WBbt:0005842; IL1DR WBbt:0004737; hermaphrodite WBbt:0007849; AVG WBbt:0003850; anchor cell WBbt:0004522; anterior ganglion WBbt:0005375; AVD WBbt:0006818; PVD WBbt:0006831; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; OLL WBbt:0006847; tail hypodermis WBbt:0006978; somatic gonad WBbt:0005785; retrovesicular ganglion WBbt:0005656; IL1VL WBbt:0004549; RIM WBbt:0005835; excretory secretory system WBbt:0006850; IL1DL WBbt:0004738; reproductive tract WBbt:0005744
5064	[5064] cluster C15A11.7	WBGene00219420	T19C4.24	122.68	0.516	False	P7.p WBbt:0006895	ABplpppaapa WBbt:0006503; ABprpppaapa WBbt:0006549
5064	[5064] cluster C15A11.7	WBGene00194738	Y46E12A.5	150.9	0.513	False	P7.p WBbt:0006895	epithelial system WBbt:0005730
5064	[5064] cluster C15A11.7	WBGene00011891	del-6	1010.45	0.494	False	P7.p WBbt:0006895	dorsal uterine cell WBbt:0006782; CEPsoDR WBbt:0004919; CEPsoVR WBbt:0004917; hyp2 WBbt:0004692; body wall WBbt:0005742; hermaphrodite WBbt:0007849; anterior ganglion WBbt:0005375; ventral left quadrant body wall muscle WBbt:0005818; PDE socket cell WBbt:0008421; epithelial system WBbt:0005730; hyp12 WBbt:0004376; CEPsoVL WBbt:0004918; somatic gonad WBbt:0005785; OL sheath cell WBbt:0008413; sex organ WBbt:0008422; hyp3 WBbt:0004690; striated muscle WBbt:0005779; CEPsoDL WBbt:0004921; outer labial quadrant sensillum WBbt:0005502; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
5064	[5064] cluster C15A11.7	WBGene00015435	C04E12.5	123.64	0.47	False	P7.p WBbt:0006895	excretory system WBbt:0005736; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; excretory duct cell WBbt:0004540; excretory secretory system WBbt:0006850; excretory socket cell WBbt:0004534; PVP WBbt:0006832; preanal ganglion WBbt:0005448
5064	[5064] cluster C15A11.7	WBGene00017962	fbxa-72	379.68	0.433	False	P7.p WBbt:0006895	Z1.p WBbt:0007023; body wall WBbt:0005742; corpus WBbt:0003733; hermaphrodite WBbt:0007849; intestine WBbt:0005772; ventral left quadrant body wall muscle WBbt:0005818; male distal tip cell WBbt:0006864; gonadal primordium WBbt:0008366; epithelial system WBbt:0005730; Z4.a WBbt:0007025; nervous system WBbt:0005735; somatic gonad WBbt:0005785; pharynx WBbt:0003681; sex organ WBbt:0008422; striated muscle WBbt:0005779; I2 neuron WBbt:0003645; uv1 WBbt:0006791; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
5064	[5064] cluster C15A11.7	WBGene00000905	daf-9	186.93	0.374	False	P7.p WBbt:0006895	XXX cell WBbt:0007855; excretory system WBbt:0005736; URA WBbt:0005225; IL1VR WBbt:0004547; IL1R WBbt:0004551; corpus WBbt:0003733; hermaphrodite WBbt:0007849; spermatheca WBbt:0005319; anterior ganglion WBbt:0005375; intestine WBbt:0005772; somatic nervous system WBbt:0005760; excretory cell WBbt:0005812; epithelial system WBbt:0005730; nervous system WBbt:0005735; pharynx WBbt:0003681; IL1VL WBbt:0004549; excretory secretory system WBbt:0006850; sex organ WBbt:0008422; NSM WBbt:0003666; IL1L WBbt:0004553; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
