node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
5075	[5075] cluster mam-5	WBGene00044542	CD4.11	519.89	0.522	False	anterior arcade cell WBbt:0005794	XXX cell WBbt:0007855; IL socket cell WBbt:0008418; dorsal uterine cell WBbt:0006782; hermaphrodite WBbt:0007849; anterior ganglion WBbt:0005375; epithelial system WBbt:0005730; CEPsoVL WBbt:0004918; nervous system WBbt:0005735; somatic gonad WBbt:0005785; sex organ WBbt:0008422; hyp3 WBbt:0004690; striated muscle WBbt:0005779; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
5075	[5075] cluster mam-5	WBGene00011572	mam-5	3087.43	0.498	True	anterior arcade cell WBbt:0005794	hyp6 WBbt:0004679; XXX cell WBbt:0007855; hyp5 WBbt:0004685; IL socket cell WBbt:0008418; excretory system WBbt:0005736; K' cell WBbt:0004497; CEPsoDR WBbt:0004919; CEPsoVR WBbt:0004917; postdeirid sensillum WBbt:0005471; vulD WBbt:0006766; hyp1 WBbt:0004694; hyp2 WBbt:0004692; ut4 WBbt:0006788; hermaphrodite WBbt:0007849; ADE sheath cell WBbt:0008411; anterior ganglion WBbt:0005375; ILshDL WBbt:0004533; hyp4 WBbt:0004687; PDE socket cell WBbt:0008421; Y cell WBbt:0004578; phasmid socket cell WBbt:0008410; anterior arcade cell WBbt:0005794; amphid socket cell WBbt:0008379; vulC WBbt:0006765; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; hyp12 WBbt:0004376; CEPsoVL WBbt:0004918; tail hypodermis WBbt:0006978; vulA WBbt:0006762; midbody WBbt:0005740; outer labial lateral sensillum WBbt:0005503; somatic gonad WBbt:0005785; F cell WBbt:0004799; OL sheath cell WBbt:0008413; K cell WBbt:0004499; vulB1 WBbt:0006763; B cell WBbt:0003825; excretory duct cell WBbt:0004540; posterior arcade cell WBbt:0005795; excretory secretory system WBbt:0006850; excretory socket cell WBbt:0004534; sex organ WBbt:0008422; hyp3 WBbt:0004690; phasmid sheath cell WBbt:0006755; posterior lateral ganglion WBbt:0005465; CEPsoDL WBbt:0004921; U cell WBbt:0004942; outer labial quadrant sensillum WBbt:0005502; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; OL socket cell WBbt:0008419; PDE sheath cell WBbt:0008415
5075	[5075] cluster mam-5	WBGene00009129	F25H5.7	1333.99	0.48	True	anterior arcade cell WBbt:0005794	hyp1 WBbt:0004694; hyp2 WBbt:0004692; corpus WBbt:0003733; pm1 WBbt:0003744; gonadal primordium WBbt:0008366; anterior arcade cell WBbt:0005794; epithelial system WBbt:0005730; pm2 WBbt:0003742; pharynx WBbt:0003681; posterior arcade cell WBbt:0005795; germ line WBbt:0005784; male WBbt:0007850; muscular system WBbt:0005737; reproductive system WBbt:0005747
5075	[5075] cluster mam-5	WBGene00194916	F35D2.6	547.51	0.452	True	anterior arcade cell WBbt:0005794	excretory system WBbt:0005736; anterior arcade cell WBbt:0005794; epithelial system WBbt:0005730; excretory secretory system WBbt:0006850; excretory gland cell WBbt:0005776
5075	[5075] cluster mam-5	WBGene00012467	arrd-8	130.17	0.445	True	anterior arcade cell WBbt:0005794	CEP WBbt:0005244; hyp1 WBbt:0004694; hyp2 WBbt:0004692; anterior ganglion WBbt:0005375; anterior arcade cell WBbt:0005794; epithelial system WBbt:0005730; FLP WBbt:0006828; posterior arcade cell WBbt:0005795
5075	[5075] cluster mam-5	WBGene00013264	Y57A10A.24	575.61	0.427	True	anterior arcade cell WBbt:0005794	hyp1 WBbt:0004694; hyp2 WBbt:0004692; hermaphrodite WBbt:0007849; anterior ganglion WBbt:0005375; intestine WBbt:0005772; somatic nervous system WBbt:0005760; anterior arcade cell WBbt:0005794; amphid socket cell WBbt:0008379; epithelial system WBbt:0005730; oocyte WBbt:0006797; RIS WBbt:0005045
5075	[5075] cluster mam-5	WBGene00008663	eak-6	225.4	0.425	False	anterior arcade cell WBbt:0005794	MC neuron WBbt:0003638; XXX cell WBbt:0007855; DA6 WBbt:0004861; DA1 WBbt:0004871; CEPsoDR WBbt:0004919; DA8 WBbt:0004858; CEPsoVR WBbt:0004917; DB2 WBbt:0004845; DA5 WBbt:0004863; DA4 WBbt:0004865; corpus WBbt:0003733; anterior ganglion WBbt:0005375; DA9 WBbt:0004857; DB6 WBbt:0004841; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; DA3 WBbt:0004867; epithelial system WBbt:0005730; M1 neuron WBbt:0004488; DB7 WBbt:0004840; CEPsoVL WBbt:0004918; DA2 WBbt:0004869; nervous system WBbt:0005735; pharynx WBbt:0003681; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; DB3 WBbt:0004844; NSM WBbt:0003666; DA7 WBbt:0004859; DB5 WBbt:0004842; CEPsoDL WBbt:0004921; preanal ganglion WBbt:0005448; cephalic sheath cell WBbt:0008406
5075	[5075] cluster mam-5	WBGene00005967	srx-76	125.83	0.389	False	anterior arcade cell WBbt:0005794	ILshDR WBbt:0004531; IL socket cell WBbt:0008418; GLR WBbt:0005176; CEPsoDR WBbt:0004919; CEPsoVR WBbt:0004917; ILshVR WBbt:0004523; lateral ganglion right WBbt:0005101; ADE sheath cell WBbt:0008411; anterior ganglion WBbt:0005375; ILshDL WBbt:0004533; amphid sheath cell WBbt:0006754; PDE socket cell WBbt:0008421; ILshL WBbt:0004529; phasmid socket cell WBbt:0008410; amphid socket cell WBbt:0008379; epithelial system WBbt:0005730; ILshVL WBbt:0004525; CEPsoVL WBbt:0004918; AWA WBbt:0005670; nervous system WBbt:0005735; outer labial lateral sensillum WBbt:0005503; OL sheath cell WBbt:0008413; lateral ganglion left WBbt:0005103; phasmid sheath cell WBbt:0006755; CEPsoDL WBbt:0004921; male WBbt:0007850; outer labial quadrant sensillum WBbt:0005502; ASE WBbt:0005663; muscular system WBbt:0005737; ADE socket cell WBbt:0008416; head mesodermal cell WBbt:0004697; OL socket cell WBbt:0008419; PDE sheath cell WBbt:0008415; ILshR WBbt:0004527; cephalic sheath cell WBbt:0008406
5075	[5075] cluster mam-5	WBGene00018307	dyla-1	536.52	0.38	False	anterior arcade cell WBbt:0005794	ABalppppapa WBbt:0006705; OLQ WBbt:0006848; ABplpaappa WBbt:0006670; vm1 WBbt:0006917; HSN WBbt:0006830; ABprpaappa WBbt:0005940; ABprpaaappa WBbt:0006695; hermaphrodite WBbt:0007849; anterior ganglion WBbt:0005375; intestine WBbt:0005772; BAG WBbt:0006825; ABalapapapa WBbt:0006575; somatic nervous system WBbt:0005760; OLL WBbt:0006847; outer labial lateral sensillum WBbt:0005503; ABplpaaappa WBbt:0006600; pharynx WBbt:0003681; vm2 WBbt:0006918; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; intestinal muscle WBbt:0005796; uterine muscle WBbt:0005342; ABpraaapapa WBbt:0006404; outer labial quadrant sensillum WBbt:0005502; ABalapppapa WBbt:0006339; muscular system WBbt:0005737; reproductive system WBbt:0005747
5075	[5075] cluster mam-5	WBGene00005313	srh-92	135.74	0.35	True	anterior arcade cell WBbt:0005794	anterior arcade cell WBbt:0005794; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; pharynx WBbt:0003681; posterior arcade cell WBbt:0005795
