node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
5086	[5086] cluster dyf-7	WBGene00044124	srsx-15	317.69	0.793	True	excretory cell WBbt:0005812	excretory system WBbt:0005736; Y cell WBbt:0004578; somatic nervous system WBbt:0005760; excretory cell WBbt:0005812; epithelial system WBbt:0005730; RIS WBbt:0005045; excretory secretory system WBbt:0006850
5086	[5086] cluster dyf-7	WBGene00018822	F54D12.9	2800.03	0.785	True	excretory cell WBbt:0005812	excretory system WBbt:0005736; K' cell WBbt:0004497; Y cell WBbt:0004578; excretory cell WBbt:0005812; epithelial system WBbt:0005730; F cell WBbt:0004799; K cell WBbt:0004499; B cell WBbt:0003825; excretory duct cell WBbt:0004540; excretory secretory system WBbt:0006850; excretory socket cell WBbt:0004534; male WBbt:0007850; U cell WBbt:0004942
5086	[5086] cluster dyf-7	WBGene00022767	ZK563.2	1139.43	0.74	True	excretory cell WBbt:0005812	hook sensillum WBbt:0006930; ILshDR WBbt:0004531; excretory system WBbt:0005736; ILshVR WBbt:0004523; anterior ganglion WBbt:0005375; ILshDL WBbt:0004533; amphid sheath cell WBbt:0006754; ILshL WBbt:0004529; excretory cell WBbt:0005812; epithelial system WBbt:0005730; ILshVL WBbt:0004525; CEPsoVL WBbt:0004918; ray WBbt:0006941; nervous system WBbt:0005735; outer labial lateral sensillum WBbt:0005503; OL sheath cell WBbt:0008413; excretory duct cell WBbt:0004540; excretory secretory system WBbt:0006850; excretory socket cell WBbt:0004534; excretory gland cell WBbt:0005776; hyp3 WBbt:0004690; phasmid sheath cell WBbt:0006755; CEPsoDL WBbt:0004921; male WBbt:0007850; outer labial quadrant sensillum WBbt:0005502; ILshR WBbt:0004527; cephalic sheath cell WBbt:0008406
5086	[5086] cluster dyf-7	WBGene00019850	srt-18	99.49	0.684	False	excretory cell WBbt:0005812	excretory system WBbt:0005736; epithelial system WBbt:0005730; excretory duct cell WBbt:0004540; excretory secretory system WBbt:0006850; excretory socket cell WBbt:0004534
5086	[5086] cluster dyf-7	WBGene00009619	npr-6	509.76	0.602	True	excretory cell WBbt:0005812	MC neuron WBbt:0003638; AIM WBbt:0006814; VC6 WBbt:0004611; IL2L WBbt:0004541; URB WBbt:0006845; M4 neuron WBbt:0004467; ADE WBbt:0005415; I5 neuron WBbt:0004740; excretory system WBbt:0005736; URA WBbt:0005225; URX WBbt:0006846; I6 neuron WBbt:0004739; M3 neuron WBbt:0003754; IL2VL WBbt:0004538; VC3 WBbt:0004618; corpus WBbt:0003733; IL2R WBbt:0004539; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; VD12 WBbt:0004587; anterior ganglion WBbt:0005375; intestine WBbt:0005772; ADA WBbt:0006811; VA12 WBbt:0004645; BDU WBbt:0006826; BAG WBbt:0006825; PVD WBbt:0006831; somatic nervous system WBbt:0005760; excretory cell WBbt:0005812; I4 neuron WBbt:0004741; IL2DL WBbt:0004545; I1 neuron WBbt:0003649; M5 neuron WBbt:0004465; nervous system WBbt:0005735; VC1 WBbt:0004621; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; dorso-rectal ganglion WBbt:0005212; VC2 WBbt:0004619; VC4 WBbt:0004617; RIS WBbt:0005045; excretory secretory system WBbt:0006850; lateral ganglion left WBbt:0005103; IL2VR WBbt:0004537; sex organ WBbt:0008422; SAB WBbt:0005396; PVW WBbt:0008438; NSM WBbt:0003666; posterior lateral ganglion WBbt:0005465; IL2DR WBbt:0004543; PVT WBbt:0004070; RIR WBbt:0005047; muscular system WBbt:0005737; reproductive system WBbt:0005747; ASK WBbt:0005668; head mesodermal cell WBbt:0004697; DVC WBbt:0004821; preanal ganglion WBbt:0005448
5086	[5086] cluster dyf-7	WBGene00019849	oac-40	571.97	0.566	False	excretory cell WBbt:0005812	excretory system WBbt:0005736; anterior ganglion WBbt:0005375; anterior arcade cell WBbt:0005794; amphid socket cell WBbt:0008379; epithelial system WBbt:0005730; nervous system WBbt:0005735; excretory duct cell WBbt:0004540; excretory secretory system WBbt:0006850; lateral ganglion left WBbt:0005103; excretory socket cell WBbt:0004534; hyp3 WBbt:0004690; AWB WBbt:0005671
5086	[5086] cluster dyf-7	WBGene00008068	sdz-6	237.44	0.555	True	excretory cell WBbt:0005812	ILshDR WBbt:0004531; excretory system WBbt:0005736; ILshVR WBbt:0004523; anterior ganglion WBbt:0005375; intestine WBbt:0005772; ILshDL WBbt:0004533; ILshL WBbt:0004529; excretory cell WBbt:0005812; epithelial system WBbt:0005730; ILshVL WBbt:0004525; outer labial lateral sensillum WBbt:0005503; OL sheath cell WBbt:0008413; excretory secretory system WBbt:0006850; outer labial quadrant sensillum WBbt:0005502; ILshR WBbt:0004527
5086	[5086] cluster dyf-7	WBGene00019866	R04B3.1	2802.15	0.554	False	excretory cell WBbt:0005812	IL socket cell WBbt:0008418; excretory system WBbt:0005736; CEPsoDR WBbt:0004919; CEPsoVR WBbt:0004917; Q cell WBbt:0008598; ADE sheath cell WBbt:0008411; anterior ganglion WBbt:0005375; amphid socket cell WBbt:0008379; epithelial system WBbt:0005730; CEPsoVL WBbt:0004918; nervous system WBbt:0005735; excretory duct cell WBbt:0004540; excretory secretory system WBbt:0006850; excretory socket cell WBbt:0004534; hyp3 WBbt:0004690; CEPsoDL WBbt:0004921
5086	[5086] cluster dyf-7	WBGene00001123	dyf-7	2840.62	0.466	True	excretory cell WBbt:0005812	ABalppppapa WBbt:0006705; ABalpppappp WBbt:0006623; gonad arm WBbt:0008629; ABalaappppa WBbt:0006560; ABpraaapppp WBbt:0005931; IL2L WBbt:0004541; OLQ WBbt:0006848; ABplapaaaap WBbt:0006592; spermathecal-uterine junction WBbt:0006756; ABalappppaa WBbt:0006522; ADE WBbt:0005415; excretory system WBbt:0005736; ABalppappp WBbt:0006694; URX WBbt:0006846; AUA WBbt:0006817; ABalppapppa WBbt:0006463; ABplpaaapp WBbt:0005877; ABprpaaappa WBbt:0006695; ABpraaaappp WBbt:0006247; RIB WBbt:0005834; CEP WBbt:0005244; AVL WBbt:0003843; IL2VL WBbt:0004538; Q cell WBbt:0008598; IL2R WBbt:0004539; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; spermatheca WBbt:0005319; ADF WBbt:0005660; anterior ganglion WBbt:0005375; ABalaapppp WBbt:0006461; PHB WBbt:0007808; PHA WBbt:0007807; BAG WBbt:0006825; lumbar ganglion right WBbt:0005601; ABalapapapa WBbt:0006575; somatic nervous system WBbt:0005760; ABprapaaaap WBbt:0006184; ABprapppapp WBbt:0006743; ABalapaapp WBbt:0006504; excretory cell WBbt:0005812; ABplaaaaapp WBbt:0006428; ABplpppaapa WBbt:0006503; epithelial system WBbt:0005730; OLL WBbt:0006847; ABarappppp WBbt:0006094; PQR WBbt:0004096; ABpraaapppa WBbt:0006009; ABalppppppp WBbt:0006599; ABarapppppa WBbt:0006203; IL2DL WBbt:0004545; AQR WBbt:0003927; ABalapapap WBbt:0005910; AWA WBbt:0005670; ABalapappaa WBbt:0006542; nervous system WBbt:0005735; ABplaapappp WBbt:0006387; ABalappppa WBbt:0006133; RIP WBbt:0006838; ABplpappaa WBbt:0006551; FLP WBbt:0006828; ABalapaappa WBbt:0006196; somatic gonad WBbt:0005785; ABprpppaapa WBbt:0006549; ABplpaaappa WBbt:0006600; PDE WBbt:0006747; PLN WBbt:0006855; dorso-rectal ganglion WBbt:0005212; ABprpaaapp WBbt:0005868; ABplapppapp WBbt:0005970; PVR WBbt:0004072; ABpraapappp WBbt:0005862; excretory secretory system WBbt:0006850; ABalapppap WBbt:0006015; lateral ganglion left WBbt:0005103; IL2VR WBbt:0004537; ALN WBbt:0006851; sex organ WBbt:0008422; uv3 WBbt:0006793; ASG WBbt:0005664; ABalppppppa WBbt:0006166; AWB WBbt:0005671; uv2 WBbt:0006792; IL2DR WBbt:0004543; ABarpapaapp WBbt:0006075; ABpraaapapa WBbt:0006404; ABalapppapa WBbt:0006339; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; ASK WBbt:0005668; Caapa WBbt:0006123; DVC WBbt:0004821
5086	[5086] cluster dyf-7	WBGene00043059	srab-26	56.51	0.457	True	excretory cell WBbt:0005812	excretory system WBbt:0005736; lateral ganglion right WBbt:0005101; DA9 WBbt:0004857; VA12 WBbt:0004645; somatic nervous system WBbt:0005760; excretory cell WBbt:0005812; VA11 WBbt:0004647; excretory secretory system WBbt:0006850; lateral ganglion left WBbt:0005103; PDA WBbt:0004386; ASK WBbt:0005668; preanal ganglion WBbt:0005448
