node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
5124	[5124] cluster C03C10.5	WBGene00018352	fbxc-20	5681.17	0.647	True	ABalppppaa WBbt:0006526	ABalpppappp WBbt:0006623; ABpraaapppp WBbt:0005931; ABplpaappa WBbt:0006670; ABprpaappa WBbt:0005940; nociceptor neuron WBbt:0008434; AUA WBbt:0006817; ASJ WBbt:0005667; ABpraaaappp WBbt:0006247; RIB WBbt:0005834; lateral ganglion right WBbt:0005101; ADF WBbt:0005660; osmosensory neuron WBbt:0008433; ABalppppaa WBbt:0006526; ABpraapapa WBbt:0005872; ASI WBbt:0005666; somatic nervous system WBbt:0005760; ABalpppppa WBbt:0006638; ABprapppaa WBbt:0006234; ABpraaappa WBbt:0006483; ABplpppaapa WBbt:0006503; AIB WBbt:0006813; ABpraaapppa WBbt:0006009; ABplapppaa WBbt:0005935; ABalppppppp WBbt:0006599; AWA WBbt:0005670; ABplaapappp WBbt:0006387; ABprpppaapa WBbt:0006549; pharynx WBbt:0003681; thermosensory neuron WBbt:0005838; ABplaapapa WBbt:0006120; ABpraapappp WBbt:0005862; lateral ganglion left WBbt:0005103; ADL WBbt:0005661; ABalpppppp WBbt:0006396; ABpraaapaa WBbt:0006114; ASG WBbt:0005664; ABalppppppa WBbt:0006166; PVP WBbt:0006832; AWB WBbt:0005671; male WBbt:0007850; ASE WBbt:0005663; ASK WBbt:0005668; preanal ganglion WBbt:0005448; ABpraaappp WBbt:0006194
5124	[5124] cluster C03C10.5	WBGene00010995	ceh-90	378.95	0.64	True	ABalppppaa WBbt:0006526	ABalpppappp WBbt:0006623; ABpraaapppp WBbt:0005931; ABpraaaappp WBbt:0006247; lateral ganglion right WBbt:0005101; ADF WBbt:0005660; intestine WBbt:0005772; ABalppppaa WBbt:0006526; ASI WBbt:0005666; somatic nervous system WBbt:0005760; ABalpppppa WBbt:0006638; ABpraaappa WBbt:0006483; ABpraaapppa WBbt:0006009; head muscle WBbt:0006761; ABalppppppp WBbt:0006599; AWA WBbt:0005670; nervous system WBbt:0005735; ABplaapappp WBbt:0006387; coelomic system WBbt:0005749; ABpraapappp WBbt:0005862; lateral ganglion left WBbt:0005103; ADL WBbt:0005661; ABalpppppp WBbt:0006396; ABpraaapaa WBbt:0006114; ASG WBbt:0005664; ABalppppppa WBbt:0006166; AWB WBbt:0005671; ASE WBbt:0005663; muscular system WBbt:0005737; ABpraaappp WBbt:0006194
5124	[5124] cluster C03C10.5	WBGene00019040	fbxb-19	837.99	0.578	True	ABalppppaa WBbt:0006526	ABalpppappp WBbt:0006623; ABpraaapppp WBbt:0005931; nociceptor neuron WBbt:0008434; ASJ WBbt:0005667; ABpraaaappp WBbt:0006247; lateral ganglion right WBbt:0005101; ADF WBbt:0005660; osmosensory neuron WBbt:0008433; ABalppppaa WBbt:0006526; ABpraapapa WBbt:0005872; ASI WBbt:0005666; ABalpppppa WBbt:0006638; ABpraaappa WBbt:0006483; ABpraaapppa WBbt:0006009; ABalppppppp WBbt:0006599; AWA WBbt:0005670; ABplaapappp WBbt:0006387; ABpraaaapa WBbt:0006376; AWCR WBbt:0003826; ABalpppapa WBbt:0005930; thermosensory neuron WBbt:0005838; ABplaapapa WBbt:0006120; ABpraapappp WBbt:0005862; lateral ganglion left WBbt:0005103; ADL WBbt:0005661; ABalpppppp WBbt:0006396; ABpraaapaa WBbt:0006114; ASG WBbt:0005664; ABalppppppa WBbt:0006166; AWB WBbt:0005671; AWCL WBbt:0003827; ASE WBbt:0005663; ASK WBbt:0005668; ABpraaappp WBbt:0006194
5124	[5124] cluster C03C10.5	WBGene00001950	hlh-3	888.32	0.564	True	ABalppppaa WBbt:0006526	ABalppppapa WBbt:0006705; ABplaaapp WBbt:0006136; ABalpppappp WBbt:0006623; VC6 WBbt:0004611; ABalaappppa WBbt:0006560; ABalppaa WBbt:0005944; P9 WBbt:0006778; OLQ WBbt:0006848; ABplapaaaap WBbt:0006592; ABplpaappa WBbt:0006670; ABalappppaa WBbt:0006522; ADE WBbt:0005415; HSN WBbt:0006830; ABprpaappa WBbt:0005940; P1 WBbt:0006770; P12 WBbt:0004409; P11 WBbt:0004410; ABalppappp WBbt:0006694; P2 WBbt:0006771; ABalppapppa WBbt:0006463; ABplpaaapp WBbt:0005877; ABprpaaappa WBbt:0006695; ABpraaaappp WBbt:0006247; CEP WBbt:0005244; AVL WBbt:0003843; Q cell WBbt:0008598; VC3 WBbt:0004618; corpus WBbt:0003733; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; P5 WBbt:0006774; ABprpppppp WBbt:0006430; anchor cell WBbt:0004522; ADF WBbt:0005660; MSpapaapa WBbt:0006627; ABalpaaa WBbt:0006557; ABalppppaa WBbt:0006526; P6 WBbt:0006775; ABalaapppp WBbt:0006461; PHB WBbt:0007808; ABpraapapa WBbt:0005872; PHA WBbt:0007807; BAG WBbt:0006825; lumbar ganglion right WBbt:0005601; ABalapapapa WBbt:0006575; somatic nervous system WBbt:0005760; ABprapaaaap WBbt:0006184; ABprapppapp WBbt:0006743; ABalpppppa WBbt:0006638; ABalapaapp WBbt:0006504; ABprpapaa WBbt:0006446; ABalpappaa WBbt:0006051; MSaapaapa WBbt:0006494; PVS WBbt:0007837; ABpraaappa WBbt:0006483; ABplaapap WBbt:0005887; ABplppaa WBbt:0006170; OLL WBbt:0006847; ABarappppp WBbt:0006094; PQR WBbt:0004096; P10 WBbt:0006779; ABpraaapppa WBbt:0006009; ABalppap WBbt:0006112; ABprppaaaap WBbt:0006283; I4 neuron WBbt:0004741; ABarapppppa WBbt:0006203; AQR WBbt:0003927; ABalapapap WBbt:0005910; ABalpapa WBbt:0006573; ABprpppap WBbt:0006237; AWA WBbt:0005670; P8 WBbt:0006777; ABalapappaa WBbt:0006542; ABarapaa WBbt:0006515; ABplpapa WBbt:0006087; ABplapaaap WBbt:0006317; nervous system WBbt:0005735; ABarappa WBbt:0006005; ABplaapappp WBbt:0006387; ABalappppa WBbt:0006133; ABalpppa WBbt:0006649; FLP WBbt:0006828; ABalapaappa WBbt:0006196; ABpraapa WBbt:0006302; somatic gonad WBbt:0005785; VC1 WBbt:0004621; ABpraaaapa WBbt:0006376; ABprpaapa WBbt:0006047; ABplpaaappa WBbt:0006600; PDE WBbt:0006747; pharynx WBbt:0003681; ABplaapaa WBbt:0005866; ABprpaaapp WBbt:0005868; ABalpppapa WBbt:0005930; VC2 WBbt:0004619; ABplapppapp WBbt:0005970; PVR WBbt:0004072; ABplpaaa WBbt:0006315; ABplaapapa WBbt:0006120; VC4 WBbt:0004617; ABpraapappp WBbt:0005862; ABarapapaa WBbt:0006001; ABarappp WBbt:0006524; ABalapppap WBbt:0006015; lateral ganglion left WBbt:0005103; ADL WBbt:0005661; ABplppap WBbt:0006028; ABalpppppp WBbt:0006396; ABprpppaa WBbt:0006552; ABplpppa WBbt:0006423; sex organ WBbt:0008422; ABpraaapaa WBbt:0006114; ASG WBbt:0005664; ABplppaaaap WBbt:0006414; ABalppppppa WBbt:0006166; germ line WBbt:0005784; AWB WBbt:0005671; ABalaaaala WBbt:0005966; ABplapappp WBbt:0006630; ABpraapp WBbt:0006335; ABpraaaa WBbt:0006442; NSM WBbt:0003666; P4 WBbt:0006773; ABprapappp WBbt:0006587; male WBbt:0007850; ABplpaap WBbt:0006077; ABpraaapapa WBbt:0006404; P7 WBbt:0006776; ABalapppapa WBbt:0006339; ABprapaaap WBbt:0005977; ABplpppp WBbt:0006647; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; ABalaapaaa WBbt:0006732; ABpraaappp WBbt:0006194
5124	[5124] cluster C03C10.5	WBGene00019039	fbxb-18	1236.57	0.559	True	ABalppppaa WBbt:0006526	ABalpppappp WBbt:0006623; ABpraaapppp WBbt:0005931; OLQ WBbt:0006848; ADE WBbt:0005415; nociceptor neuron WBbt:0008434; ABalppappp WBbt:0006694; ASJ WBbt:0005667; ABplpaaapp WBbt:0005877; ABpraaaappp WBbt:0006247; CEP WBbt:0005244; corpus WBbt:0003733; lateral ganglion right WBbt:0005101; ADF WBbt:0005660; osmosensory neuron WBbt:0008433; ABalppppaa WBbt:0006526; ABalaapppp WBbt:0006461; PHB WBbt:0007808; ABpraapapa WBbt:0005872; PHA WBbt:0007807; BAG WBbt:0006825; lumbar ganglion right WBbt:0005601; ASI WBbt:0005666; somatic nervous system WBbt:0005760; ABalpppppa WBbt:0006638; ABalapaapp WBbt:0006504; ABpraaappa WBbt:0006483; epithelial system WBbt:0005730; OLL WBbt:0006847; ABarappppp WBbt:0006094; PQR WBbt:0004096; ABpraaapppa WBbt:0006009; ABalppppppp WBbt:0006599; AQR WBbt:0003927; ABalapapap WBbt:0005910; AWA WBbt:0005670; ABplpaaaaa WBbt:0005893; ABplaapappp WBbt:0006387; ABalappppa WBbt:0006133; FLP WBbt:0006828; ABpraaaapa WBbt:0006376; ABprpaaaaa WBbt:0006027; PDE WBbt:0006747; pharynx WBbt:0003681; ABprpaaapp WBbt:0005868; ABalpppapa WBbt:0005930; PVR WBbt:0004072; thermosensory neuron WBbt:0005838; ABplaapapa WBbt:0006120; ABpraapappp WBbt:0005862; ABalapppap WBbt:0006015; lateral ganglion left WBbt:0005103; ADL WBbt:0005661; ABalpppppp WBbt:0006396; ABpraaapaa WBbt:0006114; ASG WBbt:0005664; ABalppppppa WBbt:0006166; AWB WBbt:0005671; NSM WBbt:0003666; ASE WBbt:0005663; ASK WBbt:0005668; ABpraaappp WBbt:0006194
5124	[5124] cluster C03C10.5	WBGene00007271	C03C10.5	18585.06	0.521	True	ABalppppaa WBbt:0006526	ABalppppapa WBbt:0006705; ABalpppappp WBbt:0006623; ABpraaapppp WBbt:0005931; ABplpaappa WBbt:0006670; ABplpapapa WBbt:0005908; ABprpaappa WBbt:0005940; nociceptor neuron WBbt:0008434; AUA WBbt:0006817; ASJ WBbt:0005667; ABpraaaappp WBbt:0006247; Q cell WBbt:0008598; ABplppaapa WBbt:0006205; lateral ganglion right WBbt:0005101; ADF WBbt:0005660; osmosensory neuron WBbt:0008433; intestine WBbt:0005772; ABalppppaa WBbt:0006526; ABpraapapa WBbt:0005872; ABaraapppaa WBbt:0006566; ASI WBbt:0005666; somatic nervous system WBbt:0005760; ABalpppppa WBbt:0006638; ABprapppaa WBbt:0006234; ABpraaappa WBbt:0006483; ABpraaapppa WBbt:0006009; ABplapppaa WBbt:0005935; ABalppppppp WBbt:0006599; ABprpapapa WBbt:0006487; AWA WBbt:0005670; ABplpaaaaa WBbt:0005893; nervous system WBbt:0005735; ABplaapappp WBbt:0006387; ABprpaaaaa WBbt:0006027; AWCR WBbt:0003826; SAA WBbt:0005397; pharynx WBbt:0003681; thermosensory neuron WBbt:0005838; ABplaapapa WBbt:0006120; ABprppaapa WBbt:0006079; ABpraapappp WBbt:0005862; lateral ganglion left WBbt:0005103; ADL WBbt:0005661; ABalpppppp WBbt:0006396; ABpraaapaa WBbt:0006114; ASG WBbt:0005664; ABalppppppa WBbt:0006166; AWB WBbt:0005671; ABpraaapapa WBbt:0006404; RIR WBbt:0005047; ABaraapapaa WBbt:0006455; AWCL WBbt:0003827; ASE WBbt:0005663; ASK WBbt:0005668; ABpraaappp WBbt:0006194
5124	[5124] cluster C03C10.5	WBGene00006399	tag-4	218.8	0.515	False	ABalppppaa WBbt:0006526	AS11 WBbt:0003905; VA1 WBbt:0004872; lateral ganglion right WBbt:0005101; ADF WBbt:0005660; ABpraapapa WBbt:0005872; PDB WBbt:0004385; VA12 WBbt:0004645; somatic nervous system WBbt:0005760; ABpraaapppa WBbt:0006009; AWA WBbt:0005670; VA3 WBbt:0004868; nervous system WBbt:0005735; ABplaapappp WBbt:0006387; retrovesicular ganglion WBbt:0005656; thermosensory neuron WBbt:0005838; ABplaapapa WBbt:0006120; ABpraapappp WBbt:0005862; lateral ganglion left WBbt:0005103; SAB WBbt:0005396; ASG WBbt:0005664; ABalppppppa WBbt:0006166; AWB WBbt:0005671; preanal ganglion WBbt:0005448
5124	[5124] cluster C03C10.5	WBGene00019055	F58F9.1	2113.34	0.499	False	ABalppppaa WBbt:0006526	ABalpppappp WBbt:0006623; ABpraaapppp WBbt:0005931; VB5 WBbt:0004637; OLQ WBbt:0006848; ABplapaaaap WBbt:0006592; VB7 WBbt:0004631; ADE WBbt:0005415; VD8 WBbt:0004597; DD1 WBbt:0004839; ASJ WBbt:0005667; AWC-ON WBbt:0005832; VD10 WBbt:0004591; ABpraaaappp WBbt:0006247; VD5 WBbt:0004601; RIB WBbt:0005834; CEP WBbt:0005244; AWC-OFF WBbt:0005833; DD6 WBbt:0004824; lateral ganglion right WBbt:0005101; VB9 WBbt:0004627; ADF WBbt:0005660; VD12 WBbt:0004587; VD13 WBbt:0004585; VD1 WBbt:0004609; VD4 WBbt:0004603; PHB WBbt:0007808; PHA WBbt:0007807; BAG WBbt:0006825; lumbar ganglion right WBbt:0005601; CAN WBbt:0006827; somatic nervous system WBbt:0005760; ABprapaaaap WBbt:0006184; OLL WBbt:0006847; PQR WBbt:0004096; VD7 WBbt:0004598; AVK WBbt:0006823; ABalppppppp WBbt:0006599; AQR WBbt:0003927; nervous system WBbt:0005735; DD5 WBbt:0004825; ABplaapappp WBbt:0006387; VD11 WBbt:0004589; FLP WBbt:0006828; VB8 WBbt:0004629; VD6 WBbt:0004599; VB4 WBbt:0004638; PDE WBbt:0006747; retrovesicular ganglion WBbt:0005656; PVR WBbt:0004072; thermosensory neuron WBbt:0005838; VB6 WBbt:0004633; VD3 WBbt:0004605; ABpraapappp WBbt:0005862; lateral ganglion left WBbt:0005103; DD3 WBbt:0004837; DD2 WBbt:0004838; VD2 WBbt:0004607; VB1 WBbt:0004643; AWB WBbt:0005671; VD9 WBbt:0004593; DD4 WBbt:0004826; ASE WBbt:0005663; ASK WBbt:0005668; preanal ganglion WBbt:0005448
5124	[5124] cluster C03C10.5	WBGene00269373	M01D1.12	1134.48	0.487	True	ABalppppaa WBbt:0006526	ABalppppapa WBbt:0006705; ABalpppappp WBbt:0006623; ABalaappppa WBbt:0006560; IL2L WBbt:0004541; OLQ WBbt:0006848; ABplpaappa WBbt:0006670; ABalappppaa WBbt:0006522; ADE WBbt:0005415; ABprpaappa WBbt:0005940; nociceptor neuron WBbt:0008434; ABalppappp WBbt:0006694; AUA WBbt:0006817; ABalppappa WBbt:0005975; ASJ WBbt:0005667; ABalppapppa WBbt:0006463; ABprpaaappa WBbt:0006695; ABpraaaappp WBbt:0006247; CEP WBbt:0005244; IL2VL WBbt:0004538; IL2R WBbt:0004539; ABplppaapa WBbt:0006205; lateral ganglion right WBbt:0005101; ADF WBbt:0005660; osmosensory neuron WBbt:0008433; anterior ganglion WBbt:0005375; ABalppppaa WBbt:0006526; ABalaapppp WBbt:0006461; ABarappppa WBbt:0006687; PHB WBbt:0007808; ABpraapapa WBbt:0005872; PHA WBbt:0007807; ABaraapppaa WBbt:0006566; BAG WBbt:0006825; lumbar ganglion right WBbt:0005601; ABalapapapa WBbt:0006575; ASI WBbt:0005666; somatic nervous system WBbt:0005760; ABalpppppa WBbt:0006638; ABalapaapp WBbt:0006504; ABprapppaa WBbt:0006234; ABalpappaa WBbt:0006051; ABpraaappa WBbt:0006483; ABplaaaaapp WBbt:0006428; OLL WBbt:0006847; ABarappppp WBbt:0006094; PQR WBbt:0004096; ABpraaapppa WBbt:0006009; ABplapppaa WBbt:0005935; ABarapppppa WBbt:0006203; IL2DL WBbt:0004545; AQR WBbt:0003927; AWA WBbt:0005670; ABplpaaaaa WBbt:0005893; ABalapappaa WBbt:0006542; nervous system WBbt:0005735; ABplaapappp WBbt:0006387; ABalappppa WBbt:0006133; FLP WBbt:0006828; ABalapaappa WBbt:0006196; ABprpaaaaa WBbt:0006027; AWCR WBbt:0003826; ABplpaaappa WBbt:0006600; PDE WBbt:0006747; PVR WBbt:0004072; thermosensory neuron WBbt:0005838; ABplaapapa WBbt:0006120; ABprppaapa WBbt:0006079; ABpraapappp WBbt:0005862; ABarapapaa WBbt:0006001; lateral ganglion left WBbt:0005103; IL2VR WBbt:0004537; ADL WBbt:0005661; ABpraaapaa WBbt:0006114; ASG WBbt:0005664; ABalppppppa WBbt:0006166; AWB WBbt:0005671; ABalaaaala WBbt:0005966; IL2DR WBbt:0004543; ABarpapaapp WBbt:0006075; ABpraaapapa WBbt:0006404; ABaraapapaa WBbt:0006455; AWCL WBbt:0003827; ABalapppapa WBbt:0006339; ASE WBbt:0005663; ASK WBbt:0005668; ABalaapaaa WBbt:0006732
5124	[5124] cluster C03C10.5	WBGene00020205	arrd-1	693.94	0.441	True	ABalppppaa WBbt:0006526	ABalpppappp WBbt:0006623; ABpraaapppp WBbt:0005931; OLQ WBbt:0006848; ABplpaappa WBbt:0006670; ADE WBbt:0005415; ABprpaappa WBbt:0005940; nociceptor neuron WBbt:0008434; ABalppappa WBbt:0005975; ASJ WBbt:0005667; ABpraaaappp WBbt:0006247; CEP WBbt:0005244; ABplppaapa WBbt:0006205; lateral ganglion right WBbt:0005101; ADF WBbt:0005660; osmosensory neuron WBbt:0008433; ABalppppaa WBbt:0006526; ABarappppa WBbt:0006687; PHB WBbt:0007808; ABpraapapa WBbt:0005872; PHA WBbt:0007807; BAG WBbt:0006825; lumbar ganglion right WBbt:0005601; ASI WBbt:0005666; somatic nervous system WBbt:0005760; ABalpppppa WBbt:0006638; ABprapppaa WBbt:0006234; ABpraaappa WBbt:0006483; OLL WBbt:0006847; PQR WBbt:0004096; ABplapppaa WBbt:0005935; ABalppppppp WBbt:0006599; AQR WBbt:0003927; AWA WBbt:0005670; nervous system WBbt:0005735; ABplaapappp WBbt:0006387; FLP WBbt:0006828; ABpraaaapa WBbt:0006376; PDE WBbt:0006747; ABalpppapa WBbt:0005930; PVR WBbt:0004072; thermosensory neuron WBbt:0005838; ABplaapapa WBbt:0006120; ABprppaapa WBbt:0006079; ABpraapappp WBbt:0005862; lateral ganglion left WBbt:0005103; ADL WBbt:0005661; ABalpppppp WBbt:0006396; ABpraaapaa WBbt:0006114; ASG WBbt:0005664; AWB WBbt:0005671; ASE WBbt:0005663; ASK WBbt:0005668; Caapa WBbt:0006123; ABpraaappp WBbt:0006194
