node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
5186	[5186] cluster cutl-18	WBGene00020728	T23E1.1	627.72	0.712	True	K cell WBbt:0004499	K' cell WBbt:0004497; amphid sheath cell WBbt:0006754; Y cell WBbt:0004578; epithelial system WBbt:0005730; F cell WBbt:0004799; K cell WBbt:0004499; B cell WBbt:0003825; thermosensory neuron WBbt:0005838; U cell WBbt:0004942
5186	[5186] cluster cutl-18	WBGene00009196	F28B1.2	146.79	0.635	False	K cell WBbt:0004499	germ line WBbt:0005784; male WBbt:0007850; reproductive system WBbt:0005747
5186	[5186] cluster cutl-18	WBGene00017570	F18E9.4	1268.42	0.617	True	K cell WBbt:0004499	hyp6 WBbt:0004679; hyp5 WBbt:0004685; IL socket cell WBbt:0008418; excretory system WBbt:0005736; K' cell WBbt:0004497; postdeirid sensillum WBbt:0005471; vulD WBbt:0006766; hyp1 WBbt:0004694; hyp2 WBbt:0004692; ut4 WBbt:0006788; hermaphrodite WBbt:0007849; ILshVR WBbt:0004523; anterior ganglion WBbt:0005375; RIC WBbt:0006834; ILshDL WBbt:0004533; hyp4 WBbt:0004687; PDE socket cell WBbt:0008421; Y cell WBbt:0004578; somatic nervous system WBbt:0005760; phasmid socket cell WBbt:0008410; anterior arcade cell WBbt:0005794; amphid socket cell WBbt:0008379; vulC WBbt:0006765; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; hyp12 WBbt:0004376; tail hypodermis WBbt:0006978; vulA WBbt:0006762; midbody WBbt:0005740; nervous system WBbt:0005735; outer labial lateral sensillum WBbt:0005503; somatic gonad WBbt:0005785; F cell WBbt:0004799; OL sheath cell WBbt:0008413; K cell WBbt:0004499; vulB1 WBbt:0006763; B cell WBbt:0003825; excretory duct cell WBbt:0004540; posterior arcade cell WBbt:0005795; excretory secretory system WBbt:0006850; lateral ganglion left WBbt:0005103; excretory socket cell WBbt:0004534; sex organ WBbt:0008422; hyp3 WBbt:0004690; phasmid sheath cell WBbt:0006755; posterior lateral ganglion WBbt:0005465; U cell WBbt:0004942; outer labial quadrant sensillum WBbt:0005502; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; OL socket cell WBbt:0008419; PDE sheath cell WBbt:0008415
5186	[5186] cluster cutl-18	WBGene00009830	cutl-18	11862.57	0.53	True	K cell WBbt:0004499	ABalpppappp WBbt:0006623; excretory system WBbt:0005736; K' cell WBbt:0004497; ABalapppaa WBbt:0006703; MSpaapaa WBbt:0006032; ABpraaaappp WBbt:0006247; ABprppppaa WBbt:0006642; ABplppaapa WBbt:0006205; ABplppppap WBbt:0005919; intestine WBbt:0005772; Y cell WBbt:0004578; BDU WBbt:0006826; DVA WBbt:0004823; somatic nervous system WBbt:0005760; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; ABplpaaaaa WBbt:0005893; tail precursor cell WBbt:0008409; F cell WBbt:0004799; ABprpaaaaa WBbt:0006027; K cell WBbt:0004499; B cell WBbt:0003825; excretory duct cell WBbt:0004540; dorso-rectal ganglion WBbt:0005212; ALM WBbt:0005406; ABprppaapa WBbt:0006079; excretory secretory system WBbt:0006850; excretory socket cell WBbt:0004534; PVP WBbt:0006832; ABplppppaa WBbt:0006109; ABplapappp WBbt:0006630; ABprapappp WBbt:0006587; U cell WBbt:0004942; ABprppppap WBbt:0006439; preanal ganglion WBbt:0005448
5186	[5186] cluster cutl-18	WBGene00006695	twk-45	422.53	0.529	False	K cell WBbt:0004499	PHC WBbt:0008446; PVM WBbt:0004086; anterior ganglion WBbt:0005375; gonadal primordium WBbt:0008366; rectal gland cell WBbt:0005799; nervous system WBbt:0005735; IL1L WBbt:0004553; posterior lateral ganglion WBbt:0005465; muscular system WBbt:0005737
5186	[5186] cluster cutl-18	WBGene00012716	Y39E4B.5	1166.22	0.523	True	K cell WBbt:0004499	K' cell WBbt:0004497; Psub1 WBbt:0006874; Z1.p WBbt:0007023; IL2VL WBbt:0004538; Q cell WBbt:0008598; ADE sheath cell WBbt:0008411; anterior ganglion WBbt:0005375; amphid sheath cell WBbt:0006754; male distal tip cell WBbt:0006864; Y cell WBbt:0004578; gonadal primordium WBbt:0008366; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; Z4.a WBbt:0007025; nervous system WBbt:0005735; F cell WBbt:0004799; pharynx WBbt:0003681; K cell WBbt:0004499; B cell WBbt:0003825; germ line WBbt:0005784; MSaaaaapa WBbt:0006202; IL2DR WBbt:0004543; U cell WBbt:0004942; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; cephalic sheath cell WBbt:0008406
5186	[5186] cluster cutl-18	WBGene00021309	Y32G9B.1	3379.46	0.519	True	K cell WBbt:0004499	PHC WBbt:0008446; hyp6 WBbt:0004679; PVC WBbt:0005840; ILshDR WBbt:0004531; hyp5 WBbt:0004685; IL socket cell WBbt:0008418; AVE WBbt:0006819; PVM WBbt:0004086; excretory system WBbt:0005736; K' cell WBbt:0004497; CEPsoDR WBbt:0004919; AVA WBbt:0005842; CEPsoVR WBbt:0004917; postdeirid sensillum WBbt:0005471; vulD WBbt:0006766; hyp1 WBbt:0004694; hyp2 WBbt:0004692; ut4 WBbt:0006788; hermaphrodite WBbt:0007849; ILshVR WBbt:0004523; AVG WBbt:0003850; ADE sheath cell WBbt:0008411; anchor cell WBbt:0004522; anterior ganglion WBbt:0005375; AVD WBbt:0006818; ILshDL WBbt:0004533; hyp4 WBbt:0004687; amphid sheath cell WBbt:0006754; PDE socket cell WBbt:0008421; Y cell WBbt:0004578; lumbar ganglion right WBbt:0005601; ILshL WBbt:0004529; somatic nervous system WBbt:0005760; phasmid socket cell WBbt:0008410; gonadal primordium WBbt:0008366; anterior arcade cell WBbt:0005794; RMG WBbt:0006842; PLM WBbt:0005490; amphid socket cell WBbt:0008379; vulC WBbt:0006765; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; hyp12 WBbt:0004376; ILshVL WBbt:0004525; AVM WBbt:0003832; CEPsoVL WBbt:0004918; tail hypodermis WBbt:0006978; vulA WBbt:0006762; midbody WBbt:0005740; oocyte WBbt:0006797; RIP WBbt:0006838; outer labial lateral sensillum WBbt:0005503; somatic gonad WBbt:0005785; F cell WBbt:0004799; OL sheath cell WBbt:0008413; K cell WBbt:0004499; retrovesicular ganglion WBbt:0005656; vulB1 WBbt:0006763; B cell WBbt:0003825; excretory duct cell WBbt:0004540; ALM WBbt:0005406; RIM WBbt:0005835; posterior arcade cell WBbt:0005795; excretory secretory system WBbt:0006850; excretory socket cell WBbt:0004534; sex organ WBbt:0008422; hyp3 WBbt:0004690; phasmid sheath cell WBbt:0006755; posterior lateral ganglion WBbt:0005465; CEPsoDL WBbt:0004921; U cell WBbt:0004942; outer labial quadrant sensillum WBbt:0005502; reproductive tract WBbt:0005744; OL socket cell WBbt:0008419; PDE sheath cell WBbt:0008415; ILshR WBbt:0004527; cephalic sheath cell WBbt:0008406
5186	[5186] cluster cutl-18	WBGene00271577	B0244.16	422.53	0.519	True	K cell WBbt:0004499	K' cell WBbt:0004497; amphid sheath cell WBbt:0006754; Y cell WBbt:0004578; epithelial system WBbt:0005730; F cell WBbt:0004799; K cell WBbt:0004499; B cell WBbt:0003825; U cell WBbt:0004942
5186	[5186] cluster cutl-18	WBGene00013528	Y73F8A.23	105.43	0.469	False	K cell WBbt:0004499	epithelial system WBbt:0005730; tail hypodermis WBbt:0006978
5186	[5186] cluster cutl-18	WBGene00011836	mam-4	827.23	0.416	True	K cell WBbt:0004499	excretory system WBbt:0005736; K' cell WBbt:0004497; hermaphrodite WBbt:0007849; anterior ganglion WBbt:0005375; Y cell WBbt:0004578; anterior arcade cell WBbt:0005794; amphid socket cell WBbt:0008379; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; head muscle WBbt:0006761; ABplpaaaaa WBbt:0005893; oocyte WBbt:0006797; F cell WBbt:0004799; ABprpaaaaa WBbt:0006027; K cell WBbt:0004499; B cell WBbt:0003825; excretory duct cell WBbt:0004540; excretory secretory system WBbt:0006850; excretory socket cell WBbt:0004534; anal depressor muscle WBbt:0004292; U cell WBbt:0004942; muscular system WBbt:0005737
