node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
5194	[5194] cluster F15G9.1	WBGene00194985	Y25C1A.14	8132.87	0.939	True	ut2 WBbt:0006786	spermathecal-uterine junction WBbt:0006756; ut1 WBbt:0006785; hermaphrodite WBbt:0007849; ut2 WBbt:0006786; ut3 WBbt:0006787; epithelial system WBbt:0005730; somatic gonad WBbt:0005785; sex organ WBbt:0008422; uv2 WBbt:0006792; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
5194	[5194] cluster F15G9.1	WBGene00020797	T25D3.3	1409.76	0.884	True	ut2 WBbt:0006786	spermathecal-uterine junction WBbt:0006756; ut1 WBbt:0006785; ABprppppaa WBbt:0006642; hermaphrodite WBbt:0007849; ABplppppap WBbt:0005919; intestine WBbt:0005772; g1AL WBbt:0004532; somatic nervous system WBbt:0005760; ABprapppaa WBbt:0006234; ut2 WBbt:0006786; g1P WBbt:0004528; ut3 WBbt:0006787; g1AR WBbt:0004530; epithelial system WBbt:0005730; g2 WBbt:0003710; ABplapppaa WBbt:0005935; nervous system WBbt:0005735; somatic gonad WBbt:0005785; F cell WBbt:0004799; pharynx WBbt:0003681; sex organ WBbt:0008422; PVP WBbt:0006832; ABplppppaa WBbt:0006109; ABalaaaala WBbt:0005966; uv2 WBbt:0006792; U cell WBbt:0004942; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; ABprppppap WBbt:0006439; ABalaapaaa WBbt:0006732; preanal ganglion WBbt:0005448
5194	[5194] cluster F15G9.1	WBGene00005180	srg-23	1157.23	0.845	False	ut2 WBbt:0006786	ILshDR WBbt:0004531; CEPsoDR WBbt:0004919; CEPsoVR WBbt:0004917; corpus WBbt:0003733; ILshVR WBbt:0004523; anterior ganglion WBbt:0005375; ILshDL WBbt:0004533; ILshL WBbt:0004529; amphid socket cell WBbt:0008379; epithelial system WBbt:0005730; ILshVL WBbt:0004525; CEPsoVL WBbt:0004918; outer labial lateral sensillum WBbt:0005503; OL sheath cell WBbt:0008413; pharynx WBbt:0003681; NSM WBbt:0003666; CEPsoDL WBbt:0004921; outer labial quadrant sensillum WBbt:0005502; ILshR WBbt:0004527
5194	[5194] cluster F15G9.1	WBGene00012869	Y45F10A.7	3377.46	0.804	False	ut2 WBbt:0006786	ABarpaappp WBbt:0006070; hyp6 WBbt:0004679; ABarpaappa WBbt:0005939; hyp5 WBbt:0004685; ABarpaapap WBbt:0006375; excretory system WBbt:0005736; ABplaapppa WBbt:0006735; ABprappppa WBbt:0006226; hyp1 WBbt:0004694; hyp2 WBbt:0004692; ABplappppa WBbt:0004671; anterior ganglion WBbt:0005375; hyp4 WBbt:0004687; Y cell WBbt:0004578; anterior arcade cell WBbt:0005794; ABarppaapa WBbt:0006180; amphid socket cell WBbt:0008379; excretory cell WBbt:0005812; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; ABpraapppp WBbt:0006608; ABplaapppp WBbt:0006477; ABpraapppa WBbt:0006244; thermosensory neuron WBbt:0005838; posterior arcade cell WBbt:0005795; excretory secretory system WBbt:0006850; ABarpppapa WBbt:0006433
5194	[5194] cluster F15G9.1	WBGene00019171	fipr-29	548.0	0.797	True	ut2 WBbt:0006786	spermathecal-uterine junction WBbt:0006756; ut1 WBbt:0006785; ABprpapppa WBbt:0005972; hermaphrodite WBbt:0007849; ut2 WBbt:0006786; ut3 WBbt:0006787; epithelial system WBbt:0005730; somatic gonad WBbt:0005785; sex organ WBbt:0008422; uv3 WBbt:0006793; germ line WBbt:0005784; uv2 WBbt:0006792; uterine seam cell WBbt:0006789; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
5194	[5194] cluster F15G9.1	WBGene00020786	T25B2.2	11168.74	0.781	True	ut2 WBbt:0006786	PHC WBbt:0008446; gonad arm WBbt:0008629; spermathecal-uterine junction WBbt:0006756; PVM WBbt:0004086; ut1 WBbt:0006785; corpus WBbt:0003733; hermaphrodite WBbt:0007849; spermatheca WBbt:0005319; somatic nervous system WBbt:0005760; M2 neuron WBbt:0003634; ut2 WBbt:0006786; ut3 WBbt:0006787; epithelial system WBbt:0005730; I1 neuron WBbt:0003649; nervous system WBbt:0005735; RIP WBbt:0006838; FLP WBbt:0006828; somatic gonad WBbt:0005785; pharynx WBbt:0003681; mc3 WBbt:0003707; dorso-rectal ganglion WBbt:0005212; pharyngeal-intestinal valve WBbt:0005767; sex organ WBbt:0008422; uv3 WBbt:0006793; RIH WBbt:0003928; posterior lateral ganglion WBbt:0005465; uv2 WBbt:0006792; uv1 WBbt:0006791; uterine seam cell WBbt:0006789; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
5194	[5194] cluster F15G9.1	WBGene00022391	prhg-1	1216.49	0.753	False	ut2 WBbt:0006786	PVC WBbt:0005840; hook sensillum WBbt:0006930; SIB WBbt:0005359; AVE WBbt:0006819; AVA WBbt:0005842; ASJ WBbt:0005667; I6 neuron WBbt:0004739; M3 neuron WBbt:0003754; RIA WBbt:0006833; AIA WBbt:0006812; corpus WBbt:0003733; lateral ganglion right WBbt:0005101; AVG WBbt:0003850; AVD WBbt:0006818; ADA WBbt:0006811; DVA WBbt:0004823; somatic nervous system WBbt:0005760; M2 neuron WBbt:0003634; AVK WBbt:0006823; M1 neuron WBbt:0004488; AIZ WBbt:0005836; ray WBbt:0006941; I1 neuron WBbt:0003649; nervous system WBbt:0005735; MI neuron WBbt:0003664; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; dorso-rectal ganglion WBbt:0005212; thermosensory neuron WBbt:0005838; AIN WBbt:0006815; RIM WBbt:0005835; lateral ganglion left WBbt:0005103; ADL WBbt:0005661; RIG WBbt:0006836; NSM WBbt:0003666; I3 neuron WBbt:0004742; I2 neuron WBbt:0003645; male WBbt:0007850; RMDDL WBbt:0005039
5194	[5194] cluster F15G9.1	WBGene00008865	F15G9.1	59650.77	0.731	False	ut2 WBbt:0006786	SMD WBbt:0005353; gonad arm WBbt:0008629; RME WBbt:0005399; AIM WBbt:0006814; SIB WBbt:0005359; DA6 WBbt:0004861; ABplapaaaap WBbt:0006592; DA1 WBbt:0004871; ADE WBbt:0005415; AVE WBbt:0006819; I5 neuron WBbt:0004740; SIA WBbt:0005361; VD8 WBbt:0004597; DA8 WBbt:0004858; AVA WBbt:0005842; AUA WBbt:0006817; DD1 WBbt:0004839; RIA WBbt:0006833; DB2 WBbt:0004845; VD10 WBbt:0004591; DA5 WBbt:0004863; RIB WBbt:0005834; AVL WBbt:0003843; DA4 WBbt:0004865; corpus WBbt:0003733; DD6 WBbt:0004824; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; spermatheca WBbt:0005319; anterior ganglion WBbt:0005375; intestine WBbt:0005772; RIC WBbt:0006834; AVD WBbt:0006818; DA9 WBbt:0004857; DB6 WBbt:0004841; RIV WBbt:0006839; AVH WBbt:0006821; BDU WBbt:0006826; PVD WBbt:0006831; lumbar ganglion right WBbt:0005601; CAN WBbt:0006827; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; ABprapaaaap WBbt:0006184; gonadal primordium WBbt:0008366; PLM WBbt:0005490; DA3 WBbt:0004867; epithelial system WBbt:0005730; OLL WBbt:0006847; AIB WBbt:0006813; AVK WBbt:0006823; DB7 WBbt:0004840; DA2 WBbt:0004869; SMB WBbt:0005355; DD5 WBbt:0004825; VD11 WBbt:0004589; FLP WBbt:0006828; pharynx WBbt:0003681; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; PLN WBbt:0006855; dorso-rectal ganglion WBbt:0005212; ALM WBbt:0005406; PVR WBbt:0004072; coelomic system WBbt:0005749; DB3 WBbt:0004844; RIS WBbt:0005045; RID WBbt:0003938; lateral ganglion left WBbt:0005103; DD3 WBbt:0004837; DD2 WBbt:0004838; ADL WBbt:0005661; ALN WBbt:0006851; SAB WBbt:0005396; AVB WBbt:0005841; hyp3 WBbt:0004690; RIH WBbt:0003928; NSM WBbt:0003666; DA7 WBbt:0004859; ALA WBbt:0003955; DB5 WBbt:0004842; VD9 WBbt:0004593; posterior lateral ganglion WBbt:0005465; DD4 WBbt:0004826; PVT WBbt:0004070; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; DVC WBbt:0004821; preanal ganglion WBbt:0005448
5194	[5194] cluster F15G9.1	WBGene00010686	K08F9.3	1538.61	0.683	False	ut2 WBbt:0006786	ABprppppaa WBbt:0006642; anterior ganglion WBbt:0005375; intestine WBbt:0005772; PLM WBbt:0005490; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; nervous system WBbt:0005735; ALM WBbt:0005406; pharyngeal-intestinal valve WBbt:0005767; ABplppppaa WBbt:0006109; germ line WBbt:0005784; reproductive system WBbt:0005747; cephalic sheath cell WBbt:0008406
5194	[5194] cluster F15G9.1	WBGene00004373	rme-1	6484.94	0.654	False	ut2 WBbt:0006786	gonad arm WBbt:0008629; HSN WBbt:0006830; Psub1 WBbt:0006874; hermaphrodite WBbt:0007849; anchor cell WBbt:0004522; intestine WBbt:0005772; PLM WBbt:0005490; muscle of the reproductive system WBbt:0005786; nervous system WBbt:0005735; somatic gonad WBbt:0005785; pharynx WBbt:0003681; coelomic system WBbt:0005749; thermosensory neuron WBbt:0005838; sex organ WBbt:0008422; germ line WBbt:0005784; EMS WBbt:0006876; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
