node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
5202	[5202] cluster Y59A8B.26	WBGene00012586	Y38E10A.8	1178.72	0.997	False	excretory gland cell WBbt:0005776	lateral ganglion right WBbt:0005101; thermosensory neuron WBbt:0005838; lateral ganglion left WBbt:0005103
5202	[5202] cluster Y59A8B.26	WBGene00045459	Y59A8B.26	98003.04	0.996	False	excretory gland cell WBbt:0005776	muscular system WBbt:0005737
5202	[5202] cluster Y59A8B.26	WBGene00012585	lips-15	81334.5	0.974	False	excretory gland cell WBbt:0005776	excretory system WBbt:0005736; Psub1 WBbt:0006874; hyp2 WBbt:0004692; amphid sheath cell WBbt:0006754; somatic nervous system WBbt:0005760; excretory cell WBbt:0005812; epithelial system WBbt:0005730; excretory secretory system WBbt:0006850; phasmid sheath cell WBbt:0006755
5202	[5202] cluster Y59A8B.26	WBGene00077445	Y51A2A.12	1273.95	0.966	False	excretory gland cell WBbt:0005776	epithelial system WBbt:0005730; striated muscle WBbt:0005779; muscular system WBbt:0005737
5202	[5202] cluster Y59A8B.26	WBGene00015825	C16C4.1	1208.32	0.961	True	excretory gland cell WBbt:0005776	excretory system WBbt:0005736; intestine WBbt:0005772; excretory secretory system WBbt:0006850; excretory gland cell WBbt:0005776
5202	[5202] cluster Y59A8B.26	WBGene00255469	C25G4.17	1609.57	0.953	True	excretory gland cell WBbt:0005776	excretory system WBbt:0005736; excretory secretory system WBbt:0006850; excretory gland cell WBbt:0005776
5202	[5202] cluster Y59A8B.26	WBGene00195232	F36D1.15	5266.22	0.948	True	excretory gland cell WBbt:0005776	excretory system WBbt:0005736; excretory secretory system WBbt:0006850; excretory gland cell WBbt:0005776
5202	[5202] cluster Y59A8B.26	WBGene00006251	str-220	248.24	0.931	True	excretory gland cell WBbt:0005776	excretory system WBbt:0005736; lateral ganglion right WBbt:0005101; gonadal primordium WBbt:0008366; excretory secretory system WBbt:0006850; lateral ganglion left WBbt:0005103; excretory gland cell WBbt:0005776; AWB WBbt:0005671
5202	[5202] cluster Y59A8B.26	WBGene00012587	Y38E10A.9	325.53	0.844	False	excretory gland cell WBbt:0005776	lateral ganglion right WBbt:0005101; thermosensory neuron WBbt:0005838; lateral ganglion left WBbt:0005103
5202	[5202] cluster Y59A8B.26	WBGene00044189	F36D3.14	6882.32	0.837	True	excretory gland cell WBbt:0005776	excretory system WBbt:0005736; excretory secretory system WBbt:0006850; excretory gland cell WBbt:0005776
