node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
5616	[5616] cluster hrg-2	WBGene00016283	zmp-3	347.98	0.627	True	hyp12 WBbt:0004376	hermaphrodite WBbt:0007849; anchor cell WBbt:0004522; epithelial system WBbt:0005730; hyp12 WBbt:0004376; nervous system WBbt:0005735; somatic gonad WBbt:0005785; thermosensory neuron WBbt:0005838; germ line WBbt:0005784; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
5616	[5616] cluster hrg-2	WBGene00006220	str-176	218.47	0.57	True	hyp12 WBbt:0004376	hyp2 WBbt:0004692; amphid sheath cell WBbt:0006754; epithelial system WBbt:0005730; hyp12 WBbt:0004376
5616	[5616] cluster hrg-2	WBGene00001782	gst-34	16.48	0.535	False	hyp12 WBbt:0004376	hyp2 WBbt:0004692; epithelial system WBbt:0005730
5616	[5616] cluster hrg-2	WBGene00010473	hrg-2	773.22	0.496	False	hyp12 WBbt:0004376	DD1 WBbt:0004839; PLM WBbt:0005490; epithelial system WBbt:0005730; retrovesicular ganglion WBbt:0005656; thermosensory neuron WBbt:0005838
5616	[5616] cluster hrg-2	WBGene00011674	cyp-13A8	101.63	0.449	False	hyp12 WBbt:0004376	PVC WBbt:0005840; AVE WBbt:0006819; AVA WBbt:0005842; AVG WBbt:0003850; AVD WBbt:0006818; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; RIM WBbt:0005835
5616	[5616] cluster hrg-2	WBGene00044292	F56D6.8	131.74	0.413	True	hyp12 WBbt:0004376	somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; hyp12 WBbt:0004376; VA11 WBbt:0004647; nervous system WBbt:0005735; striated muscle WBbt:0005779; muscular system WBbt:0005737
5616	[5616] cluster hrg-2	WBGene00007990	fipr-23	545.93	0.392	False	hyp12 WBbt:0004376	hyp2 WBbt:0004692; ADE sheath cell WBbt:0008411; epithelial system WBbt:0005730; nervous system WBbt:0005735
5616	[5616] cluster hrg-2	WBGene00007989	fipr-22	608.5	0.363	True	hyp12 WBbt:0004376	excretory system WBbt:0005736; hyp2 WBbt:0004692; excretory cell WBbt:0005812; epithelial system WBbt:0005730; hyp12 WBbt:0004376; nervous system WBbt:0005735; excretory secretory system WBbt:0006850
5616	[5616] cluster hrg-2	WBGene00044472	dct-8	93.32	0.315	True	hyp12 WBbt:0004376	gonadal primordium WBbt:0008366; epithelial system WBbt:0005730; hyp12 WBbt:0004376
5616	[5616] cluster hrg-2	WBGene00044525	Y73C8B.5	71.39	0.246	False	hyp12 WBbt:0004376	somatic nervous system WBbt:0005760; AVK WBbt:0006823; nervous system WBbt:0005735
