node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
5626	[5626] cluster egl-1	WBGene00019858	R03H10.6	248.5	0.462	False	URX WBbt:0006846	dorsal uterine cell WBbt:0006782; pm8 WBbt:0004302; Z1.p WBbt:0007023; vulD WBbt:0006766; Q cell WBbt:0008598; ut4 WBbt:0006788; hermaphrodite WBbt:0007849; anterior ganglion WBbt:0005375; intestine WBbt:0005772; male distal tip cell WBbt:0006864; gonadal primordium WBbt:0008366; vulF WBbt:0006768; vulC WBbt:0006765; epithelial system WBbt:0005730; Z4.a WBbt:0007025; CEPsoVL WBbt:0004918; vulA WBbt:0006762; midbody WBbt:0005740; nervous system WBbt:0005735; somatic gonad WBbt:0005785; pharynx WBbt:0003681; vulB1 WBbt:0006763; coelomic system WBbt:0005749; thermosensory neuron WBbt:0005838; sex organ WBbt:0008422; germ line WBbt:0005784; striated muscle WBbt:0005779; intestinal muscle WBbt:0005796; vulE WBbt:0006767; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; cephalic sheath cell WBbt:0008406
5626	[5626] cluster egl-1	WBGene00001170	egl-1	1987.97	0.436	True	URX WBbt:0006846	ABalppppapa WBbt:0006705; ABalpppappp WBbt:0006623; ABalaappppa WBbt:0006560; IL socket cell WBbt:0008418; OLQ WBbt:0006848; ABalappppaa WBbt:0006522; HSN WBbt:0006830; pm8 WBbt:0004302; ABalppappp WBbt:0006694; URX WBbt:0006846; ABalppapppa WBbt:0006463; ABplpaaapp WBbt:0005877; DB2 WBbt:0004845; ABprpaaappa WBbt:0006695; ABpraaaappp WBbt:0006247; ABplapapppp WBbt:0006209; ABprapaaaa WBbt:0006648; ABplppaapa WBbt:0006205; ADE sheath cell WBbt:0008411; anterior ganglion WBbt:0005375; intestine WBbt:0005772; ABalaapppp WBbt:0006461; amphid sheath cell WBbt:0006754; PDE socket cell WBbt:0008421; ABalappaap WBbt:0006727; g1AL WBbt:0004532; DB6 WBbt:0004841; ABalapapapa WBbt:0006575; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; phasmid socket cell WBbt:0008410; gonadal primordium WBbt:0008366; ABalapaapp WBbt:0006504; ABalpappaa WBbt:0006051; amphid socket cell WBbt:0008379; g1P WBbt:0004528; g1AR WBbt:0004530; epithelial system WBbt:0005730; ABarappppp WBbt:0006094; ABprppaaaap WBbt:0006283; DB7 WBbt:0004840; ABarapppppa WBbt:0006203; ABalapapap WBbt:0005910; ABalaapppa WBbt:0006026; ABalapappaa WBbt:0006542; ABalapaapa WBbt:0005981; ABplaapappp WBbt:0006387; ABalappppa WBbt:0006133; ABplpappaa WBbt:0006551; ABalapaappa WBbt:0006196; ABprpppapa WBbt:0006044; OL sheath cell WBbt:0008413; ABplpaaappa WBbt:0006600; pharynx WBbt:0003681; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; ABprpaaapp WBbt:0005868; ABprppaapa WBbt:0006079; DB3 WBbt:0004844; ABpraapappp WBbt:0005862; ABarapapaa WBbt:0006001; ABalapppap WBbt:0006015; RID WBbt:0003938; lateral ganglion left WBbt:0005103; ABplapaaaa WBbt:0006221; ABplpppapa WBbt:0006488; sex organ WBbt:0008422; ABplppaaaap WBbt:0006414; germ line WBbt:0005784; ABalaaaala WBbt:0005966; ABplapappp WBbt:0006630; intestinal muscle WBbt:0005796; phasmid sheath cell WBbt:0006755; ALA WBbt:0003955; DB5 WBbt:0004842; ABprapappp WBbt:0006587; ABprapapppp WBbt:0006021; male WBbt:0007850; ABpraaapapa WBbt:0006404; AWCL WBbt:0003827; outer labial quadrant sensillum WBbt:0005502; ABalapppapa WBbt:0006339; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive system WBbt:0005747; ADE socket cell WBbt:0008416; OL socket cell WBbt:0008419; PDE sheath cell WBbt:0008415; ABalaapaaa WBbt:0006732; cephalic sheath cell WBbt:0008406
5626	[5626] cluster egl-1	WBGene00001552	gcy-32	248.5	0.412	True	URX WBbt:0006846	XXX cell WBbt:0007855; URX WBbt:0006846; Q cell WBbt:0008598; anterior ganglion WBbt:0005375; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; PQR WBbt:0004096; AQR WBbt:0003927; nervous system WBbt:0005735; RIP WBbt:0006838; PVP WBbt:0006832; preanal ganglion WBbt:0005448
5626	[5626] cluster egl-1	WBGene00206513	B0244.15	50.12	0.407	False	URX WBbt:0006846	anterior ganglion WBbt:0005375; intestine WBbt:0005772; epithelial system WBbt:0005730; nervous system WBbt:0005735; ABarpaaa WBbt:0006398; cephalic sheath cell WBbt:0008406
5626	[5626] cluster egl-1	WBGene00001557	gcy-37	298.2	0.39	True	URX WBbt:0006846	PHC WBbt:0008446; ADE WBbt:0005415; PVM WBbt:0004086; URA WBbt:0005225; URX WBbt:0006846; postdeirid sensillum WBbt:0005471; Q cell WBbt:0008598; anterior ganglion WBbt:0005375; BDU WBbt:0006826; PVD WBbt:0006831; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; PQR WBbt:0004096; AVK WBbt:0006823; AVM WBbt:0003832; AQR WBbt:0003927; RIP WBbt:0006838; PDE WBbt:0006747; ALM WBbt:0005406; thermosensory neuron WBbt:0005838; lateral ganglion left WBbt:0005103; posterior lateral ganglion WBbt:0005465
5626	[5626] cluster egl-1	WBGene00001554	gcy-34	298.2	0.364	True	URX WBbt:0006846	VC6 WBbt:0004611; URX WBbt:0006846; ABplapapppp WBbt:0006209; Q cell WBbt:0008598; hermaphrodite WBbt:0007849; VD12 WBbt:0004587; anterior ganglion WBbt:0005375; RIV WBbt:0006839; BDU WBbt:0006826; ABarppaapp WBbt:0006393; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; ABarpppapp WBbt:0006572; RMG WBbt:0006842; PLM WBbt:0005490; PQR WBbt:0004096; AQR WBbt:0003927; SMB WBbt:0005355; nervous system WBbt:0005735; RIP WBbt:0006838; VC1 WBbt:0004621; SAA WBbt:0005397; ALM WBbt:0005406; lateral ganglion left WBbt:0005103; ALN WBbt:0006851; sex organ WBbt:0008422; RIH WBbt:0003928; ABprapapppp WBbt:0006021; reproductive system WBbt:0005747; preanal ganglion WBbt:0005448
5626	[5626] cluster egl-1	WBGene00014166	ZK945.4	248.5	0.317	False	URX WBbt:0006846	AVA WBbt:0005842; hermaphrodite WBbt:0007849; gonadal primordium WBbt:0008366; oocyte WBbt:0006797; nervous system WBbt:0005735; coelomic system WBbt:0005749; germ line WBbt:0005784; striated muscle WBbt:0005779; germline precursor cell WBbt:0006849; muscular system WBbt:0005737; reproductive system WBbt:0005747
5626	[5626] cluster egl-1	WBGene00005690	sru-27	74.55	0.317	False	URX WBbt:0006846	hyp6 WBbt:0004679; ILshDR WBbt:0004531; hyp5 WBbt:0004685; IL socket cell WBbt:0008418; I5 neuron WBbt:0004740; excretory system WBbt:0005736; K' cell WBbt:0004497; postdeirid sensillum WBbt:0005471; vulD WBbt:0006766; hyp1 WBbt:0004694; hyp2 WBbt:0004692; ut4 WBbt:0006788; corpus WBbt:0003733; hermaphrodite WBbt:0007849; ILshVR WBbt:0004523; ADE sheath cell WBbt:0008411; anterior ganglion WBbt:0005375; ILshDL WBbt:0004533; hyp4 WBbt:0004687; amphid sheath cell WBbt:0006754; PDE socket cell WBbt:0008421; lumbar ganglion right WBbt:0005601; ASI WBbt:0005666; ILshL WBbt:0004529; somatic nervous system WBbt:0005760; phasmid socket cell WBbt:0008410; anterior arcade cell WBbt:0005794; PLM WBbt:0005490; amphid socket cell WBbt:0008379; vulC WBbt:0006765; epithelial system WBbt:0005730; hyp12 WBbt:0004376; ILshVL WBbt:0004525; CEPsoVL WBbt:0004918; tail hypodermis WBbt:0006978; vulA WBbt:0006762; midbody WBbt:0005740; outer labial lateral sensillum WBbt:0005503; somatic gonad WBbt:0005785; OL sheath cell WBbt:0008413; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; vulB1 WBbt:0006763; excretory duct cell WBbt:0004540; ALM WBbt:0005406; posterior arcade cell WBbt:0005795; excretory secretory system WBbt:0006850; lateral ganglion left WBbt:0005103; excretory socket cell WBbt:0004534; sex organ WBbt:0008422; SAB WBbt:0005396; hyp3 WBbt:0004690; NSM WBbt:0003666; phasmid sheath cell WBbt:0006755; posterior lateral ganglion WBbt:0005465; CEPsoDL WBbt:0004921; outer labial quadrant sensillum WBbt:0005502; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; OL socket cell WBbt:0008419; PDE sheath cell WBbt:0008415; ILshR WBbt:0004527; cephalic sheath cell WBbt:0008406
5626	[5626] cluster egl-1	WBGene00021485	Y40A1A.3	24.85	0.302	False	URX WBbt:0006846	IL socket cell WBbt:0008418; CEPsoDR WBbt:0004919; ABalapppaa WBbt:0006703; CEPsoVR WBbt:0004917; ADE sheath cell WBbt:0008411; anterior ganglion WBbt:0005375; intestine WBbt:0005772; amphid sheath cell WBbt:0006754; PDE socket cell WBbt:0008421; phasmid socket cell WBbt:0008410; amphid socket cell WBbt:0008379; ABplpppaapa WBbt:0006503; epithelial system WBbt:0005730; CEPsoVL WBbt:0004918; ABprpppaapa WBbt:0006549; OL sheath cell WBbt:0008413; intestinal muscle WBbt:0005796; phasmid sheath cell WBbt:0006755; CEPsoDL WBbt:0004921; muscular system WBbt:0005737; ADE socket cell WBbt:0008416; head mesodermal cell WBbt:0004697; OL socket cell WBbt:0008419; PDE sheath cell WBbt:0008415; cephalic sheath cell WBbt:0008406
5626	[5626] cluster egl-1	WBGene00016448	C35D10.12	275.45	0.297	True	URX WBbt:0006846	hook sensillum WBbt:0006930; URB WBbt:0006845; VC5 WBbt:0004613; ADE WBbt:0005415; PVM WBbt:0004086; nociceptor neuron WBbt:0008434; URX WBbt:0006846; AUA WBbt:0006817; ASJ WBbt:0005667; RIA WBbt:0006833; CEP WBbt:0005244; AIA WBbt:0006812; corpus WBbt:0003733; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; anchor cell WBbt:0004522; ADF WBbt:0005660; osmosensory neuron WBbt:0008433; anterior ganglion WBbt:0005375; ADA WBbt:0006811; BAG WBbt:0006825; PVD WBbt:0006831; lumbar ganglion right WBbt:0005601; ASI WBbt:0005666; somatic nervous system WBbt:0005760; PLM WBbt:0005490; M2 neuron WBbt:0003634; epithelial system WBbt:0005730; OLL WBbt:0006847; AIB WBbt:0006813; AVM WBbt:0003832; ray WBbt:0006941; AWA WBbt:0005670; I1 neuron WBbt:0003649; FLP WBbt:0006828; somatic gonad WBbt:0005785; AWCR WBbt:0003826; pharynx WBbt:0003681; ALM WBbt:0005406; thermosensory neuron WBbt:0005838; VC4 WBbt:0004617; RID WBbt:0003938; lateral ganglion left WBbt:0005103; sex organ WBbt:0008422; uv3 WBbt:0006793; ASG WBbt:0005664; AWB WBbt:0005671; posterior lateral ganglion WBbt:0005465; AIY WBbt:0005413; male WBbt:0007850; PVT WBbt:0004070; RIR WBbt:0005047; AWCL WBbt:0003827; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive tract WBbt:0005744; head mesodermal cell WBbt:0004697; preanal ganglion WBbt:0005448
