node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
5629	[5629] cluster tsp-7	WBGene00001612	glr-1	1041.05	0.643	True	RMDR WBbt:0005033	SMD WBbt:0005353; PVC WBbt:0005840; RME WBbt:0005399; VC6 WBbt:0004611; AVE WBbt:0006819; URY WBbt:0005346; AVA WBbt:0005842; AVJ WBbt:0006822; RIA WBbt:0006833; RIB WBbt:0005834; AVL WBbt:0003843; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; AVG WBbt:0003850; VD12 WBbt:0004587; RMDDR WBbt:0005038; RMDR WBbt:0005033; anterior ganglion WBbt:0005375; AVD WBbt:0006818; DVA WBbt:0004823; lumbar ganglion right WBbt:0005601; PVQ WBbt:0006976; somatic nervous system WBbt:0005760; RMDVL WBbt:0005031; RMG WBbt:0006842; PLM WBbt:0005490; AIB WBbt:0006813; PQR WBbt:0004096; M1 neuron WBbt:0004488; RMDL WBbt:0005037; RMF WBbt:0006841; SMB WBbt:0005355; RMDVR WBbt:0005029; spermathecal-uterine valve cell WBbt:0008217; somatic gonad WBbt:0005785; VC1 WBbt:0004621; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; dorso-rectal ganglion WBbt:0005212; RIM WBbt:0005835; RIS WBbt:0005045; lateral ganglion left WBbt:0005103; RIG WBbt:0006836; sex organ WBbt:0008422; AVB WBbt:0005841; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; DVC WBbt:0004821; preanal ganglion WBbt:0005448; RMDDL WBbt:0005039
5629	[5629] cluster tsp-7	WBGene00006633	tsp-7	5040.01	0.534	True	RMDR WBbt:0005033	SMD WBbt:0005353; AS7 WBbt:0003909; RME WBbt:0005399; DA6 WBbt:0004861; VB10 WBbt:0004625; VC6 WBbt:0004611; VB5 WBbt:0004637; OLQ WBbt:0006848; VB7 WBbt:0004631; DA1 WBbt:0004871; AS11 WBbt:0003905; I5 neuron WBbt:0004740; VD8 WBbt:0004597; DA8 WBbt:0004858; DD1 WBbt:0004839; AS4 WBbt:0003912; AWC-ON WBbt:0005832; VA10 WBbt:0004649; DB2 WBbt:0004845; VD10 WBbt:0004591; DA5 WBbt:0004863; VD5 WBbt:0004601; VB2 WBbt:0004641; VA8 WBbt:0004653; VA1 WBbt:0004872; AVL WBbt:0003843; DA4 WBbt:0004865; VC3 WBbt:0004618; AWC-OFF WBbt:0005833; DD6 WBbt:0004824; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; VA2 WBbt:0004870; VB9 WBbt:0004627; AVG WBbt:0003850; VD12 WBbt:0004587; VD13 WBbt:0004585; RMDR WBbt:0005033; anterior ganglion WBbt:0005375; RIC WBbt:0006834; VD1 WBbt:0004609; AS9 WBbt:0003907; ADA WBbt:0006811; VD4 WBbt:0004603; DA9 WBbt:0004857; PDB WBbt:0004385; DB6 WBbt:0004841; RIV WBbt:0006839; VA12 WBbt:0004645; AS2 WBbt:0003924; PVD WBbt:0006831; DVA WBbt:0004823; AS8 WBbt:0003908; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; AS3 WBbt:0003923; DA3 WBbt:0004867; OLL WBbt:0006847; VA5 WBbt:0004864; VD7 WBbt:0004598; M1 neuron WBbt:0004488; RMDL WBbt:0005037; AS5 WBbt:0003911; DB7 WBbt:0004840; AIZ WBbt:0005836; VA11 WBbt:0004647; DA2 WBbt:0004869; SMB WBbt:0005355; VA3 WBbt:0004868; nervous system WBbt:0005735; DD5 WBbt:0004825; AS1 WBbt:0003925; VD11 WBbt:0004589; VA9 WBbt:0004651; VB3 WBbt:0004639; VC1 WBbt:0004621; VB8 WBbt:0004629; VD6 WBbt:0004599; VB4 WBbt:0004638; SAA WBbt:0005397; pharynx WBbt:0003681; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; VA6 WBbt:0004862; PLN WBbt:0006855; dorso-rectal ganglion WBbt:0005212; VC2 WBbt:0004619; AIN WBbt:0006815; VB6 WBbt:0004633; VD3 WBbt:0004605; DB3 WBbt:0004844; VA4 WBbt:0004866; RID WBbt:0003938; lateral ganglion left WBbt:0005103; DD3 WBbt:0004837; DD2 WBbt:0004838; VD2 WBbt:0004607; ALN WBbt:0006851; sex organ WBbt:0008422; SAB WBbt:0005396; PDA WBbt:0004386; AVB WBbt:0005841; VA7 WBbt:0004860; VB1 WBbt:0004643; SDQ WBbt:0006844; DA7 WBbt:0004859; DB5 WBbt:0004842; AS6 WBbt:0003910; VB11 WBbt:0004623; VD9 WBbt:0004593; posterior lateral ganglion WBbt:0005465; male WBbt:0007850; DD4 WBbt:0004826; outer labial quadrant sensillum WBbt:0005502; reproductive system WBbt:0005747; AS10 WBbt:0003906; preanal ganglion WBbt:0005448
5629	[5629] cluster tsp-7	WBGene00009799	lgc-47	1310.67	0.503	True	RMDR WBbt:0005033	ABalppppapa WBbt:0006705; SMD WBbt:0005353; MC neuron WBbt:0003638; SIB WBbt:0005359; DA6 WBbt:0004861; IL2L WBbt:0004541; DA1 WBbt:0004871; SIA WBbt:0005361; DA8 WBbt:0004858; AVA WBbt:0005842; AVJ WBbt:0006822; M3 neuron WBbt:0003754; RIA WBbt:0006833; DB2 WBbt:0004845; DA5 WBbt:0004863; RIB WBbt:0005834; CEP WBbt:0005244; VA1 WBbt:0004872; DA4 WBbt:0004865; IL2VL WBbt:0004538; corpus WBbt:0003733; IL2R WBbt:0004539; lateral ganglion right WBbt:0005101; VD12 WBbt:0004587; RMDDR WBbt:0005038; RMDR WBbt:0005033; anterior ganglion WBbt:0005375; AS9 WBbt:0003907; DA9 WBbt:0004857; DB6 WBbt:0004841; RIV WBbt:0006839; DVA WBbt:0004823; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; RMDVL WBbt:0005031; DA3 WBbt:0004867; OLL WBbt:0006847; AIB WBbt:0006813; RMDL WBbt:0005037; DB7 WBbt:0004840; IL2DL WBbt:0004545; DA2 WBbt:0004869; RMF WBbt:0006841; SMB WBbt:0005355; RMDVR WBbt:0005029; nervous system WBbt:0005735; outer labial lateral sensillum WBbt:0005503; SAA WBbt:0005397; pharynx WBbt:0003681; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; dorso-rectal ganglion WBbt:0005212; RIM WBbt:0005835; DB3 WBbt:0004844; RIS WBbt:0005045; RID WBbt:0003938; lateral ganglion left WBbt:0005103; IL2VR WBbt:0004537; AVB WBbt:0005841; NSM WBbt:0003666; DA7 WBbt:0004859; DB5 WBbt:0004842; IL2DR WBbt:0004543; male WBbt:0007850; ABpraaapapa WBbt:0006404; ASE WBbt:0005663; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697; AS10 WBbt:0003906; preanal ganglion WBbt:0005448; RMDDL WBbt:0005039
5629	[5629] cluster tsp-7	WBGene00013043	arrd-16	368.13	0.479	False	RMDR WBbt:0005033	PVC WBbt:0005840; OLQ WBbt:0006848; AVE WBbt:0006819; URY WBbt:0005346; AVA WBbt:0005842; AVG WBbt:0003850; anterior ganglion WBbt:0005375; AVD WBbt:0006818; BAG WBbt:0006825; DVA WBbt:0004823; somatic nervous system WBbt:0005760; OLL WBbt:0006847; outer labial lateral sensillum WBbt:0005503; retrovesicular ganglion WBbt:0005656; dorso-rectal ganglion WBbt:0005212; RIM WBbt:0005835; ALA WBbt:0003955; outer labial quadrant sensillum WBbt:0005502; DVC WBbt:0004821
5629	[5629] cluster tsp-7	WBGene00007799	nrx-1	638.64	0.464	True	RMDR WBbt:0005033	SMD WBbt:0005353; RME WBbt:0005399; AIM WBbt:0006814; DA6 WBbt:0004861; VB10 WBbt:0004625; VC6 WBbt:0004611; VB5 WBbt:0004637; IL2L WBbt:0004541; VB7 WBbt:0004631; DA1 WBbt:0004871; AS11 WBbt:0003905; SIA WBbt:0005361; DA8 WBbt:0004858; URX WBbt:0006846; AUA WBbt:0006817; RIA WBbt:0006833; DB2 WBbt:0004845; DA5 WBbt:0004863; VB2 WBbt:0004641; CEP WBbt:0005244; AIA WBbt:0006812; VA1 WBbt:0004872; DA4 WBbt:0004865; IL2VL WBbt:0004538; VC3 WBbt:0004618; corpus WBbt:0003733; IL2R WBbt:0004539; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; VB9 WBbt:0004627; RMDDR WBbt:0005038; RMDR WBbt:0005033; anterior ganglion WBbt:0005375; AVD WBbt:0006818; DA9 WBbt:0004857; PDB WBbt:0004385; DB6 WBbt:0004841; RIV WBbt:0006839; VA12 WBbt:0004645; BAG WBbt:0006825; PVD WBbt:0006831; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; RMDVL WBbt:0005031; PLM WBbt:0005490; DA3 WBbt:0004867; OLL WBbt:0006847; AVK WBbt:0006823; I4 neuron WBbt:0004741; RMDL WBbt:0005037; DB7 WBbt:0004840; AIZ WBbt:0005836; IL2DL WBbt:0004545; DA2 WBbt:0004869; SMB WBbt:0005355; oocyte WBbt:0006797; RMDVR WBbt:0005029; FLP WBbt:0006828; VB3 WBbt:0004639; VC1 WBbt:0004621; VB8 WBbt:0004629; AWCR WBbt:0003826; VB4 WBbt:0004638; SAA WBbt:0005397; pharynx WBbt:0003681; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; VC2 WBbt:0004619; VB6 WBbt:0004633; DB3 WBbt:0004844; RIS WBbt:0005045; lateral ganglion left WBbt:0005103; IL2VR WBbt:0004537; sex organ WBbt:0008422; VB1 WBbt:0004643; SDQ WBbt:0006844; NSM WBbt:0003666; DA7 WBbt:0004859; ALA WBbt:0003955; DB5 WBbt:0004842; VB11 WBbt:0004623; posterior lateral ganglion WBbt:0005465; IL2DR WBbt:0004543; male WBbt:0007850; AWCL WBbt:0003827; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697; preanal ganglion WBbt:0005448; RMDDL WBbt:0005039
5629	[5629] cluster tsp-7	WBGene00007856	C31H5.5	711.63	0.456	True	RMDR WBbt:0005033	SMD WBbt:0005353; RME WBbt:0005399; SIB WBbt:0005359; DA6 WBbt:0004861; VC6 WBbt:0004611; OLQ WBbt:0006848; DA1 WBbt:0004871; ADE WBbt:0005415; AVE WBbt:0006819; I5 neuron WBbt:0004740; SIA WBbt:0005361; K' cell WBbt:0004497; DA8 WBbt:0004858; AVA WBbt:0005842; IL1VR WBbt:0004547; IL1R WBbt:0004551; RIA WBbt:0006833; DB2 WBbt:0004845; DA5 WBbt:0004863; IL1DR WBbt:0004737; RIB WBbt:0005834; CEP WBbt:0005244; AVL WBbt:0003843; DA4 WBbt:0004865; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; RMDDR WBbt:0005038; RMDR WBbt:0005033; anterior ganglion WBbt:0005375; intestine WBbt:0005772; AVD WBbt:0006818; Y cell WBbt:0004578; DA9 WBbt:0004857; DB6 WBbt:0004841; RIV WBbt:0006839; AVH WBbt:0006821; PVD WBbt:0006831; DVA WBbt:0004823; lumbar ganglion right WBbt:0005601; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; RMDVL WBbt:0005031; DA3 WBbt:0004867; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; OLL WBbt:0006847; AIB WBbt:0006813; AVK WBbt:0006823; RMDL WBbt:0005037; DB7 WBbt:0004840; DA2 WBbt:0004869; SMB WBbt:0005355; RMDVR WBbt:0005029; nervous system WBbt:0005735; outer labial lateral sensillum WBbt:0005503; VC1 WBbt:0004621; F cell WBbt:0004799; pharynx WBbt:0003681; K cell WBbt:0004499; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; B cell WBbt:0003825; IL1VL WBbt:0004549; dorso-rectal ganglion WBbt:0005212; thermosensory neuron WBbt:0005838; RIM WBbt:0005835; DB3 WBbt:0004844; RID WBbt:0003938; lateral ganglion left WBbt:0005103; ALN WBbt:0006851; sex organ WBbt:0008422; SAB WBbt:0005396; AVB WBbt:0005841; DA7 WBbt:0004859; IL1DL WBbt:0004738; DB5 WBbt:0004842; IL1L WBbt:0004553; U cell WBbt:0004942; outer labial quadrant sensillum WBbt:0005502; muscular system WBbt:0005737; reproductive system WBbt:0005747; DVC WBbt:0004821; preanal ganglion WBbt:0005448; RMDDL WBbt:0005039
5629	[5629] cluster tsp-7	WBGene00019828	R02E12.4	693.85	0.426	False	RMDR WBbt:0005033	SIB WBbt:0005359; OLQ WBbt:0006848; GLR WBbt:0005176; SIA WBbt:0005361; URY WBbt:0005346; corpus WBbt:0003733; anterior ganglion WBbt:0005375; intestine WBbt:0005772; BAG WBbt:0006825; somatic nervous system WBbt:0005760; M2 neuron WBbt:0003634; OLL WBbt:0006847; nervous system WBbt:0005735; outer labial lateral sensillum WBbt:0005503; pharynx WBbt:0003681; lateral ganglion left WBbt:0005103; NSM WBbt:0003666; PVT WBbt:0004070; outer labial quadrant sensillum WBbt:0005502; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697; preanal ganglion WBbt:0005448
5629	[5629] cluster tsp-7	WBGene00002177	jkk-1	543.99	0.424	True	RMDR WBbt:0005033	SMD WBbt:0005353; RME WBbt:0005399; AIM WBbt:0006814; SIB WBbt:0005359; DA6 WBbt:0004861; URB WBbt:0006845; OLQ WBbt:0006848; DA1 WBbt:0004871; AVE WBbt:0006819; HSN WBbt:0006830; I5 neuron WBbt:0004740; GLR WBbt:0005176; SIA WBbt:0005361; AVF WBbt:0003851; DA8 WBbt:0004858; URY WBbt:0005346; URA WBbt:0005225; AUA WBbt:0006817; DD1 WBbt:0004839; AVJ WBbt:0006822; I6 neuron WBbt:0004739; M3 neuron WBbt:0003754; RIA WBbt:0006833; DB2 WBbt:0004845; DA5 WBbt:0004863; RIB WBbt:0005834; CEP WBbt:0005244; AIA WBbt:0006812; DA4 WBbt:0004865; corpus WBbt:0003733; DD6 WBbt:0004824; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; AVG WBbt:0003850; RMDDR WBbt:0005038; RMDR WBbt:0005033; anterior ganglion WBbt:0005375; RIC WBbt:0006834; DA9 WBbt:0004857; DB6 WBbt:0004841; RIV WBbt:0006839; BDU WBbt:0006826; BAG WBbt:0006825; DVA WBbt:0004823; lumbar ganglion right WBbt:0005601; CAN WBbt:0006827; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; RMDVL WBbt:0005031; PLM WBbt:0005490; DA3 WBbt:0004867; epithelial system WBbt:0005730; AIB WBbt:0006813; AVK WBbt:0006823; I4 neuron WBbt:0004741; RMDL WBbt:0005037; DB7 WBbt:0004840; AIZ WBbt:0005836; DA2 WBbt:0004869; I1 neuron WBbt:0003649; SMB WBbt:0005355; RMDVR WBbt:0005029; nervous system WBbt:0005735; DD5 WBbt:0004825; FLP WBbt:0006828; spermathecal-uterine valve cell WBbt:0008217; somatic gonad WBbt:0005785; pharynx WBbt:0003681; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; dorso-rectal ganglion WBbt:0005212; ALM WBbt:0005406; thermosensory neuron WBbt:0005838; AIN WBbt:0006815; RIM WBbt:0005835; DB3 WBbt:0004844; RIS WBbt:0005045; lateral ganglion left WBbt:0005103; DD3 WBbt:0004837; DD2 WBbt:0004838; ALN WBbt:0006851; sex organ WBbt:0008422; SAB WBbt:0005396; PVP WBbt:0006832; AVB WBbt:0005841; RIH WBbt:0003928; NSM WBbt:0003666; DA7 WBbt:0004859; ALA WBbt:0003955; DB5 WBbt:0004842; I3 neuron WBbt:0004742; I2 neuron WBbt:0003645; AIY WBbt:0005413; DD4 WBbt:0004826; outer labial quadrant sensillum WBbt:0005502; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697; DVC WBbt:0004821; preanal ganglion WBbt:0005448; RMDDL WBbt:0005039; cephalic sheath cell WBbt:0008406
5629	[5629] cluster tsp-7	WBGene00013028	efhc-1	157.35	0.421	False	RMDR WBbt:0005033	OLQ WBbt:0006848; ADE WBbt:0005415; URA WBbt:0005225; postdeirid sensillum WBbt:0005471; CEP WBbt:0005244; anterior ganglion WBbt:0005375; somatic nervous system WBbt:0005760; AVK WBbt:0006823; ray WBbt:0006941; PDE WBbt:0006747; posterior lateral ganglion WBbt:0005465; male WBbt:0007850; outer labial quadrant sensillum WBbt:0005502
5629	[5629] cluster tsp-7	WBGene00010587	sol-2	338.21	0.416	True	RMDR WBbt:0005033	SMD WBbt:0005353; PVC WBbt:0005840; RME WBbt:0005399; AIM WBbt:0006814; XXX cell WBbt:0007855; SIB WBbt:0005359; VC6 WBbt:0004611; AVE WBbt:0006819; GLR WBbt:0005176; SIA WBbt:0005361; AVA WBbt:0005842; RMH WBbt:0006843; AVJ WBbt:0006822; RIA WBbt:0006833; AVL WBbt:0003843; VC3 WBbt:0004618; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; AVG WBbt:0003850; RMDDR WBbt:0005038; RMDR WBbt:0005033; anterior ganglion WBbt:0005375; AVD WBbt:0006818; DVB WBbt:0004822; RIV WBbt:0006839; AVH WBbt:0006821; DVA WBbt:0004823; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; RMDVL WBbt:0005031; RMG WBbt:0006842; PVS WBbt:0007837; epithelial system WBbt:0005730; AIB WBbt:0006813; AVK WBbt:0006823; I4 neuron WBbt:0004741; RMDL WBbt:0005037; AIZ WBbt:0005836; SMB WBbt:0005355; RMDVR WBbt:0005029; nervous system WBbt:0005735; VC1 WBbt:0004621; SAA WBbt:0005397; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; dorso-rectal ganglion WBbt:0005212; VC2 WBbt:0004619; AIN WBbt:0006815; RIM WBbt:0005835; VC4 WBbt:0004617; RIS WBbt:0005045; RID WBbt:0003938; lateral ganglion left WBbt:0005103; sex organ WBbt:0008422; AVB WBbt:0005841; RIH WBbt:0003928; SDQ WBbt:0006844; posterior lateral ganglion WBbt:0005465; male WBbt:0007850; muscular system WBbt:0005737; reproductive system WBbt:0005747; RMDDL WBbt:0005039
