node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
5829	[5829] cluster clec-196	WBGene00019473	cyp-35A5	220.24	0.634	False	ABarpaappp WBbt:0006070	GLR WBbt:0005176; lateral ganglion right WBbt:0005101; intestine WBbt:0005772; AIZ WBbt:0005836; lateral ganglion left WBbt:0005103; intestinal muscle WBbt:0005796; muscular system WBbt:0005737; rectal muscle WBbt:0005803
5829	[5829] cluster clec-196	WBGene00013875	cest-2.1	578.54	0.558	False	ABarpaappp WBbt:0006070	intestine WBbt:0005772
5829	[5829] cluster clec-196	WBGene00044280	W02A2.9	350.88	0.513	False	ABarpaappp WBbt:0006070	ABplpppppp WBbt:0005960; I6 neuron WBbt:0004739; ABprppppaa WBbt:0006642; corpus WBbt:0003733; ABprpppppp WBbt:0006430; pm1 WBbt:0003744; anterior ganglion WBbt:0005375; intestine WBbt:0005772; PVD WBbt:0006831; gonadal primordium WBbt:0008366; pm4 WBbt:0003739; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; OLL WBbt:0006847; pm2 WBbt:0003742; nervous system WBbt:0005735; pharynx WBbt:0003681; rectal valve cell WBbt:0005797; thermosensory neuron WBbt:0005838; posterior arcade cell WBbt:0005795; pharyngeal-intestinal valve WBbt:0005767; ABplppppaa WBbt:0006109; pm6 WBbt:0003724; NSM WBbt:0003666; I3 neuron WBbt:0004742; CEPsoDL WBbt:0004921; pm3 WBbt:0003740; muscular system WBbt:0005737
5829	[5829] cluster clec-196	WBGene00013905	ugt-4	595.74	0.509	False	ABarpaappp WBbt:0006070	spermathecal-uterine junction WBbt:0006756; ut1 WBbt:0006785; hermaphrodite WBbt:0007849; intestine WBbt:0005772; ut2 WBbt:0006786; ut3 WBbt:0006787; epithelial system WBbt:0005730; hyp12 WBbt:0004376; nervous system WBbt:0005735; somatic gonad WBbt:0005785; pharynx WBbt:0003681; sex organ WBbt:0008422; uv2 WBbt:0006792; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
5829	[5829] cluster clec-196	WBGene00015887	C17C3.1	893.83	0.508	True	ABarpaappp WBbt:0006070	ABarpaappp WBbt:0006070; Cpapap WBbt:0006374; ABarpaappa WBbt:0005939; Caappd WBbt:0005991; ABarpaapap WBbt:0006375; Cpaapa WBbt:0005886; Cpappd WBbt:0006100; ABplaapppa WBbt:0006735; ABprappppa WBbt:0006226; ABplappppa WBbt:0004671; Cpaapp WBbt:0006399; intestine WBbt:0005772; Caaaap WBbt:0006319; Caaaaa WBbt:0006076; Cpapaa WBbt:0006231; PVD WBbt:0006831; ABarppaapa WBbt:0006180; Cpaaaa WBbt:0006151; OLL WBbt:0006847; Caaapp WBbt:0006521; ABpraapppp WBbt:0006608; ABplaapppp WBbt:0006477; ABpraapppa WBbt:0006244; Caaapa WBbt:0006502; ABarpppapa WBbt:0006433; Cpaaap WBbt:0006357
5829	[5829] cluster clec-196	WBGene00012494	nhr-232	384.93	0.487	False	ABarpaappp WBbt:0006070	AVA WBbt:0005842; ut4 WBbt:0006788; hermaphrodite WBbt:0007849; anterior ganglion WBbt:0005375; intestine WBbt:0005772; epithelial system WBbt:0005730; CEPsoVL WBbt:0004918; somatic gonad WBbt:0005785; sex organ WBbt:0008422; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697; cephalic sheath cell WBbt:0008406
5829	[5829] cluster clec-196	WBGene00014192	nhr-246	187.76	0.482	False	ABarpaappp WBbt:0006070	K' cell WBbt:0004497; intestine WBbt:0005772; epithelial system WBbt:0005730; K cell WBbt:0004499
5829	[5829] cluster clec-196	WBGene00009156	clec-196	13572.28	0.479	True	ABarpaappp WBbt:0006070	ABarpaappp WBbt:0006070; hyp6 WBbt:0004679; Cpapap WBbt:0006374; ABarpaappa WBbt:0005939; hyp5 WBbt:0004685; Caappd WBbt:0005991; ABarpaapap WBbt:0006375; Cpaapa WBbt:0005886; nociceptor neuron WBbt:0008434; Cpappd WBbt:0006100; ASJ WBbt:0005667; ABplaapppa WBbt:0006735; ABprappppa WBbt:0006226; ABplappppa WBbt:0004671; G cell WBbt:0008599; ADF WBbt:0005660; osmosensory neuron WBbt:0008433; Cpaapp WBbt:0006399; intestine WBbt:0005772; Caaaap WBbt:0006319; hyp4 WBbt:0004687; Caaaaa WBbt:0006076; Cpapaa WBbt:0006231; ASI WBbt:0005666; gonadal primordium WBbt:0008366; ABarppaapa WBbt:0006180; Cpaaaa WBbt:0006151; epithelial system WBbt:0005730; Caaapp WBbt:0006521; ABpraapppp WBbt:0006608; AWA WBbt:0005670; ABplaapppp WBbt:0006477; nervous system WBbt:0005735; pharynx WBbt:0003681; ABpraapppa WBbt:0006244; Caaapa WBbt:0006502; thermosensory neuron WBbt:0005838; RID WBbt:0003938; ADL WBbt:0005661; ASG WBbt:0005664; AWB WBbt:0005671; W cell WBbt:0004583; ABarpppapa WBbt:0006433; Cpaaap WBbt:0006357; ASE WBbt:0005663; muscular system WBbt:0005737; ASK WBbt:0005668; cephalic sheath cell WBbt:0008406
5829	[5829] cluster clec-196	WBGene00003769	nlp-31	7400.41	0.474	True	ABarpaappp WBbt:0006070	ABarpaappp WBbt:0006070; hyp6 WBbt:0004679; Cpapap WBbt:0006374; ABarpaappa WBbt:0005939; hyp5 WBbt:0004685; Caappd WBbt:0005991; ABarpaapap WBbt:0006375; Cpaapa WBbt:0005886; Cpappd WBbt:0006100; ABplaapppa WBbt:0006735; ABprappppa WBbt:0006226; ABplappppa WBbt:0004671; Cpaapp WBbt:0006399; intestine WBbt:0005772; Caaaap WBbt:0006319; hyp4 WBbt:0004687; Caaaaa WBbt:0006076; Cpapaa WBbt:0006231; PLM WBbt:0005490; ABarppaapa WBbt:0006180; Cpaaaa WBbt:0006151; epithelial system WBbt:0005730; hyp12 WBbt:0004376; Caaapp WBbt:0006521; ABpraapppp WBbt:0006608; ABplaapppp WBbt:0006477; nervous system WBbt:0005735; pharynx WBbt:0003681; ABpraapppa WBbt:0006244; Caaapa WBbt:0006502; thermosensory neuron WBbt:0005838; ABarpppapa WBbt:0006433; Cpaaap WBbt:0006357; muscular system WBbt:0005737
5829	[5829] cluster clec-196	WBGene00011002	nhr-205	155.79	0.435	False	ABarpaappp WBbt:0006070	intestine WBbt:0005772; gonadal primordium WBbt:0008366; epithelial system WBbt:0005730
