node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
6187	[6187] cluster Y55D5A.1	WBGene00016254	fbxb-114	789.91	0.702	True	ASI WBbt:0005666	ASJ WBbt:0005667; lateral ganglion right WBbt:0005101; ASI WBbt:0005666; AWA WBbt:0005670; nervous system WBbt:0005735; AWCR WBbt:0003826; pharynx WBbt:0003681; thermosensory neuron WBbt:0005838; lateral ganglion left WBbt:0005103; ASG WBbt:0005664; AWB WBbt:0005671; AWCL WBbt:0003827; ASE WBbt:0005663; ASK WBbt:0005668
6187	[6187] cluster Y55D5A.1	WBGene00011659	T09E11.10	28.1	0.667	False	ASI WBbt:0005666	lateral ganglion right WBbt:0005101; lateral ganglion left WBbt:0005103; ADL WBbt:0005661
6187	[6187] cluster Y55D5A.1	WBGene00017156	F01E11.3	1442.3	0.638	True	ASI WBbt:0005666	hook sensillum WBbt:0006930; IL2L WBbt:0004541; OLQ WBbt:0006848; ADE WBbt:0005415; nociceptor neuron WBbt:0008434; IL1VR WBbt:0004547; URX WBbt:0006846; ASJ WBbt:0005667; IL1R WBbt:0004551; IL1DR WBbt:0004737; ABprpaaappa WBbt:0006695; CEP WBbt:0005244; IL2VL WBbt:0004538; IL2R WBbt:0004539; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; ADF WBbt:0005660; osmosensory neuron WBbt:0008433; anterior ganglion WBbt:0005375; BAG WBbt:0006825; ABalapapapa WBbt:0006575; ASI WBbt:0005666; somatic nervous system WBbt:0005760; OLL WBbt:0006847; IL2DL WBbt:0004545; ray WBbt:0006941; oocyte WBbt:0006797; nervous system WBbt:0005735; RIP WBbt:0006838; outer labial lateral sensillum WBbt:0005503; AWCR WBbt:0003826; ABplpaaappa WBbt:0006600; IL1VL WBbt:0004549; thermosensory neuron WBbt:0005838; lateral ganglion left WBbt:0005103; IL2VR WBbt:0004537; ADL WBbt:0005661; ASG WBbt:0005664; AWB WBbt:0005671; IL1DL WBbt:0004738; IL1L WBbt:0004553; IL2DR WBbt:0004543; male WBbt:0007850; AWCL WBbt:0003827; outer labial quadrant sensillum WBbt:0005502; ABalapppapa WBbt:0006339; ASE WBbt:0005663; muscular system WBbt:0005737; ASK WBbt:0005668; head mesodermal cell WBbt:0004697
6187	[6187] cluster Y55D5A.1	WBGene00007191	lgc-20	1800.06	0.609	True	ASI WBbt:0005666	ABalppppapa WBbt:0006705; ABalpppappp WBbt:0006623; hook sensillum WBbt:0006930; ABalaappppa WBbt:0006560; IL2L WBbt:0004541; OLQ WBbt:0006848; ABplapaaaap WBbt:0006592; ABalappppaa WBbt:0006522; ADE WBbt:0005415; nociceptor neuron WBbt:0008434; URA WBbt:0005225; IL1VR WBbt:0004547; postdeirid sensillum WBbt:0005471; ASJ WBbt:0005667; IL1R WBbt:0004551; ABalppapppa WBbt:0006463; IL1DR WBbt:0004737; ABprpaaappa WBbt:0006695; ABpraaaappp WBbt:0006247; CEP WBbt:0005244; IL2VL WBbt:0004538; IL2R WBbt:0004539; lateral ganglion right WBbt:0005101; ADF WBbt:0005660; osmosensory neuron WBbt:0008433; anterior ganglion WBbt:0005375; PHB WBbt:0007808; PHA WBbt:0007807; BAG WBbt:0006825; ABalapapapa WBbt:0006575; ASI WBbt:0005666; somatic nervous system WBbt:0005760; ABprapaaaap WBbt:0006184; ABprapppapp WBbt:0006743; ABplaaaaapp WBbt:0006428; OLL WBbt:0006847; AVK WBbt:0006823; ABarapppppa WBbt:0006203; IL2DL WBbt:0004545; ray WBbt:0006941; AWA WBbt:0005670; ABalapappaa WBbt:0006542; nervous system WBbt:0005735; outer labial lateral sensillum WBbt:0005503; ABalapaappa WBbt:0006196; AWCR WBbt:0003826; ABplpaaappa WBbt:0006600; PDE WBbt:0006747; IL1VL WBbt:0004549; ABplapppapp WBbt:0005970; thermosensory neuron WBbt:0005838; lateral ganglion left WBbt:0005103; IL2VR WBbt:0004537; ADL WBbt:0005661; ASG WBbt:0005664; AWB WBbt:0005671; IL1DL WBbt:0004738; IL1L WBbt:0004553; posterior lateral ganglion WBbt:0005465; IL2DR WBbt:0004543; male WBbt:0007850; ABarpapaapp WBbt:0006075; ABpraaapapa WBbt:0006404; AWCL WBbt:0003827; outer labial quadrant sensillum WBbt:0005502; ABalapppapa WBbt:0006339; ASE WBbt:0005663; ASK WBbt:0005668
6187	[6187] cluster Y55D5A.1	WBGene00012826	dyf-19	934.16	0.602	True	ASI WBbt:0005666	hook sensillum WBbt:0006930; IL2L WBbt:0004541; ADE WBbt:0005415; nociceptor neuron WBbt:0008434; ASJ WBbt:0005667; CEP WBbt:0005244; IL2VL WBbt:0004538; IL2R WBbt:0004539; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; anchor cell WBbt:0004522; ADF WBbt:0005660; osmosensory neuron WBbt:0008433; anterior ganglion WBbt:0005375; PHB WBbt:0007808; PHA WBbt:0007807; BAG WBbt:0006825; ASI WBbt:0005666; gonadal primordium WBbt:0008366; IL2DL WBbt:0004545; ray WBbt:0006941; AWA WBbt:0005670; somatic gonad WBbt:0005785; AWCR WBbt:0003826; thermosensory neuron WBbt:0005838; lateral ganglion left WBbt:0005103; IL2VR WBbt:0004537; ADL WBbt:0005661; ASG WBbt:0005664; AWB WBbt:0005671; IL2DR WBbt:0004543; male WBbt:0007850; AWCL WBbt:0003827; ASE WBbt:0005663; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; ASK WBbt:0005668
6187	[6187] cluster Y55D5A.1	WBGene00019975	flp-34	2827.61	0.575	False	ASI WBbt:0005666	hook sensillum WBbt:0006930; URB WBbt:0006845; HSN WBbt:0006830; ASJ WBbt:0005667; I6 neuron WBbt:0004739; CEP WBbt:0005244; corpus WBbt:0003733; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; ADF WBbt:0005660; PHB WBbt:0007808; PHA WBbt:0007807; BDU WBbt:0006826; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; M2 neuron WBbt:0003634; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; ray WBbt:0006941; I1 neuron WBbt:0003649; midbody WBbt:0005740; somatic gonad WBbt:0005785; MI neuron WBbt:0003664; pharynx WBbt:0003681; PLN WBbt:0006855; AIN WBbt:0006815; RIS WBbt:0005045; lateral ganglion left WBbt:0005103; ADL WBbt:0005661; ALN WBbt:0006851; sex organ WBbt:0008422; ASG WBbt:0005664; PVW WBbt:0008438; RIH WBbt:0003928; NSM WBbt:0003666; I3 neuron WBbt:0004742; I2 neuron WBbt:0003645; uv1 WBbt:0006791; male WBbt:0007850; RIR WBbt:0005047; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
6187	[6187] cluster Y55D5A.1	WBGene00021915	Y55D5A.1	2921.8	0.563	True	ASI WBbt:0005666	ABalpppappp WBbt:0006623; nociceptor neuron WBbt:0008434; URX WBbt:0006846; ASJ WBbt:0005667; ABpraaaappp WBbt:0006247; Q cell WBbt:0008598; ABprppppaa WBbt:0006642; corpus WBbt:0003733; lateral ganglion right WBbt:0005101; ADF WBbt:0005660; osmosensory neuron WBbt:0008433; anterior ganglion WBbt:0005375; intestine WBbt:0005772; PHB WBbt:0007808; PHA WBbt:0007807; BAG WBbt:0006825; PVD WBbt:0006831; lumbar ganglion right WBbt:0005601; ASI WBbt:0005666; somatic nervous system WBbt:0005760; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; OLL WBbt:0006847; AWA WBbt:0005670; ABplaapappp WBbt:0006387; AWCR WBbt:0003826; pharynx WBbt:0003681; thermosensory neuron WBbt:0005838; ABpraapappp WBbt:0005862; lateral ganglion left WBbt:0005103; ADL WBbt:0005661; ASG WBbt:0005664; ABplppppaa WBbt:0006109; AWB WBbt:0005671; NSM WBbt:0003666; AWCL WBbt:0003827; ASE WBbt:0005663; ASK WBbt:0005668
6187	[6187] cluster Y55D5A.1	WBGene00016328	pde-5	268.12	0.56	True	ASI WBbt:0005666	URX WBbt:0006846; I6 neuron WBbt:0004739; corpus WBbt:0003733; lateral ganglion right WBbt:0005101; anterior ganglion WBbt:0005375; BAG WBbt:0006825; ASI WBbt:0005666; somatic nervous system WBbt:0005760; M2 neuron WBbt:0003634; I1 neuron WBbt:0003649; RIP WBbt:0006838; AWCR WBbt:0003826; pharynx WBbt:0003681; thermosensory neuron WBbt:0005838; lateral ganglion left WBbt:0005103; I3 neuron WBbt:0004742; AWCL WBbt:0003827; ASE WBbt:0005663
6187	[6187] cluster Y55D5A.1	WBGene00015528	C06E2.2	47.09	0.544	False	ASI WBbt:0005666	lateral ganglion right WBbt:0005101; ADF WBbt:0005660; AWA WBbt:0005670; lateral ganglion left WBbt:0005103
6187	[6187] cluster Y55D5A.1	WBGene00010349	dyf-18	1067.93	0.538	True	ASI WBbt:0005666	hook sensillum WBbt:0006930; IL2L WBbt:0004541; OLQ WBbt:0006848; ABplapaaaap WBbt:0006592; ADE WBbt:0005415; URA WBbt:0005225; IL1VR WBbt:0004547; URX WBbt:0006846; postdeirid sensillum WBbt:0005471; IL1R WBbt:0004551; IL1DR WBbt:0004737; CEP WBbt:0005244; IL2VL WBbt:0004538; Q cell WBbt:0008598; IL2R WBbt:0004539; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; ADF WBbt:0005660; anterior ganglion WBbt:0005375; PHB WBbt:0007808; PDB WBbt:0004385; PHA WBbt:0007807; BAG WBbt:0006825; lumbar ganglion right WBbt:0005601; ASI WBbt:0005666; somatic nervous system WBbt:0005760; ABprapaaaap WBbt:0006184; OLL WBbt:0006847; PQR WBbt:0004096; AVK WBbt:0006823; IL2DL WBbt:0004545; AQR WBbt:0003927; ray WBbt:0006941; AWA WBbt:0005670; AS1 WBbt:0003925; RIP WBbt:0006838; outer labial lateral sensillum WBbt:0005503; AWCR WBbt:0003826; PDE WBbt:0006747; retrovesicular ganglion WBbt:0005656; IL1VL WBbt:0004549; thermosensory neuron WBbt:0005838; VC4 WBbt:0004617; lateral ganglion left WBbt:0005103; IL2VR WBbt:0004537; sex organ WBbt:0008422; ASG WBbt:0005664; AWB WBbt:0005671; IL1DL WBbt:0004738; IL1L WBbt:0004553; posterior lateral ganglion WBbt:0005465; IL2DR WBbt:0004543; male WBbt:0007850; AWCL WBbt:0003827; outer labial quadrant sensillum WBbt:0005502; ASE WBbt:0005663; reproductive system WBbt:0005747; ASK WBbt:0005668; preanal ganglion WBbt:0005448
6187	[6187] cluster Y55D5A.1	WBGene00003642	nhr-52	394.16	0.505	True	ASI WBbt:0005666	nociceptor neuron WBbt:0008434; lateral ganglion right WBbt:0005101; ADF WBbt:0005660; osmosensory neuron WBbt:0008433; ASI WBbt:0005666; AWA WBbt:0005670; nervous system WBbt:0005735; AWCR WBbt:0003826; thermosensory neuron WBbt:0005838; lateral ganglion left WBbt:0005103; ADL WBbt:0005661; AWCL WBbt:0003827; ASE WBbt:0005663; ASK WBbt:0005668
6187	[6187] cluster Y55D5A.1	WBGene00000485	che-3	892.41	0.487	True	ASI WBbt:0005666	PVC WBbt:0005840; IL2L WBbt:0004541; OLQ WBbt:0006848; ADE WBbt:0005415; nociceptor neuron WBbt:0008434; URA WBbt:0005225; IL1VR WBbt:0004547; URX WBbt:0006846; postdeirid sensillum WBbt:0005471; ASJ WBbt:0005667; IL1R WBbt:0004551; IL1DR WBbt:0004737; CEP WBbt:0005244; IL2VL WBbt:0004538; IL2R WBbt:0004539; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; anchor cell WBbt:0004522; ADF WBbt:0005660; osmosensory neuron WBbt:0008433; anterior ganglion WBbt:0005375; AVD WBbt:0006818; PHB WBbt:0007808; PHA WBbt:0007807; BAG WBbt:0006825; lumbar ganglion right WBbt:0005601; ASI WBbt:0005666; somatic nervous system WBbt:0005760; ABprapppapp WBbt:0006743; OLL WBbt:0006847; PQR WBbt:0004096; AVK WBbt:0006823; I4 neuron WBbt:0004741; IL2DL WBbt:0004545; AQR WBbt:0003927; AWA WBbt:0005670; nervous system WBbt:0005735; RIP WBbt:0006838; outer labial lateral sensillum WBbt:0005503; FLP WBbt:0006828; somatic gonad WBbt:0005785; PDE WBbt:0006747; pharynx WBbt:0003681; IL1VL WBbt:0004549; ABplapppapp WBbt:0005970; coelomic system WBbt:0005749; thermosensory neuron WBbt:0005838; lateral ganglion left WBbt:0005103; IL2VR WBbt:0004537; ADL WBbt:0005661; ASG WBbt:0005664; AWB WBbt:0005671; IL1DL WBbt:0004738; IL1L WBbt:0004553; posterior lateral ganglion WBbt:0005465; IL2DR WBbt:0004543; outer labial quadrant sensillum WBbt:0005502; ASE WBbt:0005663; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; ASK WBbt:0005668
6187	[6187] cluster Y55D5A.1	WBGene00013929	clec-93	23.55	0.473	False	ASI WBbt:0005666	somatic nervous system WBbt:0005760; AVK WBbt:0006823; nervous system WBbt:0005735
6187	[6187] cluster Y55D5A.1	WBGene00012026	srz-100	94.19	0.455	False	ASI WBbt:0005666	lateral ganglion right WBbt:0005101; intestine WBbt:0005772; nervous system WBbt:0005735; lateral ganglion left WBbt:0005103; ADL WBbt:0005661
