node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
619	[619] cluster abf-6	WBGene00194868	M03C11.9	65.88	0.574	False	mc2 WBbt:0003708	somatic nervous system WBbt:0005760; RIR WBbt:0005047
619	[619] cluster abf-6	WBGene00000017	abf-6	3667.11	0.545	True	mc2 WBbt:0003708	mc2 WBbt:0003708; corpus WBbt:0003733; pm1 WBbt:0003744; anterior ganglion WBbt:0005375; pm4 WBbt:0003739; epithelial system WBbt:0005730; pm2 WBbt:0003742; pharynx WBbt:0003681; pharyngeal epithelial cell WBbt:0005459; posterior arcade cell WBbt:0005795; pm6 WBbt:0003724; CEPsoDL WBbt:0004921; pm3 WBbt:0003740; muscular system WBbt:0005737
619	[619] cluster abf-6	WBGene00002021	hsp-17	2569.17	0.465	True	mc2 WBbt:0003708	excretory system WBbt:0005736; mc1 WBbt:0003709; mc2 WBbt:0003708; corpus WBbt:0003733; lateral ganglion right WBbt:0005101; pm7 WBbt:0003721; pm1 WBbt:0003744; intestine WBbt:0005772; PVD WBbt:0006831; pm4 WBbt:0003739; excretory cell WBbt:0005812; epithelial system WBbt:0005730; OLL WBbt:0006847; pm2 WBbt:0003742; FLP WBbt:0006828; pharynx WBbt:0003681; mc3 WBbt:0003707; pharyngeal epithelial cell WBbt:0005459; excretory secretory system WBbt:0006850; pm6 WBbt:0003724; pm3 WBbt:0003740; ASE WBbt:0005663; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697
619	[619] cluster abf-6	WBGene00020793	T25D1.1	109.79	0.462	False	mc2 WBbt:0003708	nervous system WBbt:0005735; thermosensory neuron WBbt:0005838; striated muscle WBbt:0005779; muscular system WBbt:0005737
619	[619] cluster abf-6	WBGene00270321	Y41C4A.32	2120.61	0.427	False	mc2 WBbt:0003708	excretory system WBbt:0005736; nervous system WBbt:0005735; PLN WBbt:0006855; coelomic system WBbt:0005749; excretory secretory system WBbt:0006850; excretory gland cell WBbt:0005776; ALN WBbt:0006851
619	[619] cluster abf-6	WBGene00016504	C37C3.12	746.6	0.384	True	mc2 WBbt:0003708	I6 neuron WBbt:0004739; M3 neuron WBbt:0003754; mc2 WBbt:0003708; hyp1 WBbt:0004694; hyp2 WBbt:0004692; corpus WBbt:0003733; pm7 WBbt:0003721; pm1 WBbt:0003744; anterior ganglion WBbt:0005375; g1AL WBbt:0004532; pm4 WBbt:0003739; g1P WBbt:0004528; g1AR WBbt:0004530; epithelial system WBbt:0005730; g2 WBbt:0003710; pm2 WBbt:0003742; I1 neuron WBbt:0003649; pharynx WBbt:0003681; mc3 WBbt:0003707; pharyngeal epithelial cell WBbt:0005459; posterior arcade cell WBbt:0005795; excretory secretory system WBbt:0006850; pm6 WBbt:0003724; NSM WBbt:0003666; I3 neuron WBbt:0004742; I2 neuron WBbt:0003645; CEPsoDL WBbt:0004921; pm3 WBbt:0003740; muscular system WBbt:0005737
619	[619] cluster abf-6	WBGene00007358	lact-6	109.79	0.378	True	mc2 WBbt:0003708	mc2 WBbt:0003708; hyp2 WBbt:0004692; corpus WBbt:0003733; intestine WBbt:0005772; amphid sheath cell WBbt:0006754; Y cell WBbt:0004578; epithelial system WBbt:0005730; nervous system WBbt:0005735; pharynx WBbt:0003681; pharyngeal epithelial cell WBbt:0005459; excretory secretory system WBbt:0006850; phasmid sheath cell WBbt:0006755
619	[619] cluster abf-6	WBGene00017705	F22E5.6	355.62	0.361	False	mc2 WBbt:0003708	pm8 WBbt:0004302; intestine WBbt:0005772; nervous system WBbt:0005735; pharynx WBbt:0003681; thermosensory neuron WBbt:0005838; germ line WBbt:0005784; striated muscle WBbt:0005779; muscular system WBbt:0005737; reproductive system WBbt:0005747
619	[619] cluster abf-6	WBGene00022478	fbxa-35	136.9	0.339	False	mc2 WBbt:0003708	dorsal uterine cell WBbt:0006782; hermaphrodite WBbt:0007849; anterior ganglion WBbt:0005375; PLM WBbt:0005490; epithelial system WBbt:0005730; CEPsoVL WBbt:0004918; somatic gonad WBbt:0005785; sex organ WBbt:0008422; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
619	[619] cluster abf-6	WBGene00010597	K06A4.7	351.34	0.308	True	mc2 WBbt:0003708	mc1 WBbt:0003709; mc2 WBbt:0003708; corpus WBbt:0003733; anterior ganglion WBbt:0005375; intestine WBbt:0005772; epithelial system WBbt:0005730; nervous system WBbt:0005735; pharynx WBbt:0003681; posterior arcade cell WBbt:0005795; excretory secretory system WBbt:0006850; CEPsoDL WBbt:0004921
