node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
6227	[6227] cluster R107.5	WBGene00219796	C03D6.9	491.82	0.655	False	Q cell WBbt:0008598	OLQ WBbt:0006848; ABplpaappa WBbt:0006670; ADE WBbt:0005415; ABprpaappa WBbt:0005940; MSpaaapa WBbt:0006241; nociceptor neuron WBbt:0008434; MSaapapa WBbt:0006323; ABalapppaa WBbt:0006703; ABalppappa WBbt:0005975; ASJ WBbt:0005667; CEP WBbt:0005244; ABarapappa WBbt:0006309; ADF WBbt:0005660; osmosensory neuron WBbt:0008433; ABalpapppa WBbt:0006701; ABarappppa WBbt:0006687; PHB WBbt:0007808; PHA WBbt:0007807; BAG WBbt:0006825; lumbar ganglion right WBbt:0005601; ASI WBbt:0005666; somatic nervous system WBbt:0005760; ABalpppppa WBbt:0006638; ABpraaappa WBbt:0006483; MSpapapa WBbt:0006308; OLL WBbt:0006847; PQR WBbt:0004096; AQR WBbt:0003927; AWA WBbt:0005670; ABplpaaaaa WBbt:0005893; nervous system WBbt:0005735; FLP WBbt:0006828; ABprpaaaaa WBbt:0006027; PDE WBbt:0006747; ABaraapapp WBbt:0005999; PVR WBbt:0004072; thermosensory neuron WBbt:0005838; ADL WBbt:0005661; ABalpppppp WBbt:0006396; ASG WBbt:0005664; ABaraappaa WBbt:0006636; striated muscle WBbt:0005779; AWB WBbt:0005671; ABaraapppp WBbt:0006127; ABalaaaala WBbt:0005966; ASE WBbt:0005663; muscular system WBbt:0005737; ASK WBbt:0005668; ABalaapaaa WBbt:0006732; ABpraaappp WBbt:0006194
6227	[6227] cluster R107.5	WBGene00077773	F25H5.10	339.18	0.596	False	Q cell WBbt:0008598	hermaphrodite WBbt:0007849; intestine WBbt:0005772; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; oocyte WBbt:0006797; nervous system WBbt:0005735; posterior arcade cell WBbt:0005795; PVP WBbt:0006832; preanal ganglion WBbt:0005448
6227	[6227] cluster R107.5	WBGene00044069	hat-1	866.31	0.586	True	Q cell WBbt:0008598	ABplaapaap WBbt:0006518; ABprpaapap WBbt:0006105; Q cell WBbt:0008598; ABprapaaaa WBbt:0006648; ABalappaap WBbt:0006727; gonadal primordium WBbt:0008366; ABplapaaap WBbt:0006317; ABplpaapap WBbt:0006556; coelomic system WBbt:0005749; ABplapaaaa WBbt:0006221; germ line WBbt:0005784; ABprapaaap WBbt:0005977; reproductive system WBbt:0005747; ABpraapaap WBbt:0006373
6227	[6227] cluster R107.5	WBGene00017162	ddx-23	1656.82	0.53	True	Q cell WBbt:0008598	pm8 WBbt:0004302; AVA WBbt:0005842; Q cell WBbt:0008598; hermaphrodite WBbt:0007849; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; epithelial system WBbt:0005730; pharynx WBbt:0003681; sex organ WBbt:0008422; germ line WBbt:0005784; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
6227	[6227] cluster R107.5	WBGene00021345	Y37B11A.3	668.19	0.524	False	Q cell WBbt:0008598	ABplpppaaa WBbt:0006025; dorsal uterine cell WBbt:0006782; pm8 WBbt:0004302; MSaapapa WBbt:0006323; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; anterior ganglion WBbt:0005375; somatic nervous system WBbt:0005760; PLM WBbt:0005490; ABprpppaaa WBbt:0006063; MSpapapa WBbt:0006308; epithelial system WBbt:0005730; AVK WBbt:0006823; CEPsoVL WBbt:0004918; somatic gonad WBbt:0005785; pharynx WBbt:0003681; thermosensory neuron WBbt:0005838; sex organ WBbt:0008422; germ line WBbt:0005784; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive tract WBbt:0005744
6227	[6227] cluster R107.5	WBGene00007400	bud-31	1329.76	0.49	True	Q cell WBbt:0008598	ABarapappa WBbt:0006309; Q cell WBbt:0008598; corpus WBbt:0003733; hermaphrodite WBbt:0007849; intestine WBbt:0005772; ABalpapppa WBbt:0006701; ABarppaapp WBbt:0006393; ABarpppapp WBbt:0006572; ABplpaaaaa WBbt:0005893; oocyte WBbt:0006797; nervous system WBbt:0005735; ABprpaaaaa WBbt:0006027; pharynx WBbt:0003681; germ line WBbt:0005784; NSM WBbt:0003666; reproductive system WBbt:0005747
6227	[6227] cluster R107.5	WBGene00001235	elb-1	1034.6	0.48	True	Q cell WBbt:0008598	Q cell WBbt:0008598; hermaphrodite WBbt:0007849; anchor cell WBbt:0004522; intestine WBbt:0005772; somatic gonad WBbt:0005785; germ line WBbt:0005784; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
6227	[6227] cluster R107.5	WBGene00007625	C16C10.4	1430.54	0.479	True	Q cell WBbt:0008598	Q cell WBbt:0008598; hermaphrodite WBbt:0007849; intestine WBbt:0005772; PVD WBbt:0006831; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; epithelial system WBbt:0005730; OLL WBbt:0006847; midbody WBbt:0005740; pharynx WBbt:0003681; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; germ line WBbt:0005784; striated muscle WBbt:0005779; muscular system WBbt:0005737; reproductive system WBbt:0005747
6227	[6227] cluster R107.5	WBGene00185048	urm-1	1000.65	0.474	False	Q cell WBbt:0008598	PLM WBbt:0005490; epithelial system WBbt:0005730; nervous system WBbt:0005735; thermosensory neuron WBbt:0005838; germ line WBbt:0005784; reproductive system WBbt:0005747
6227	[6227] cluster R107.5	WBGene00016803	bath-42	1494.74	0.472	True	Q cell WBbt:0008598	MSaapapa WBbt:0006323; Q cell WBbt:0008598; hermaphrodite WBbt:0007849; intestine WBbt:0005772; PLM WBbt:0005490; MSpapapa WBbt:0006308; epithelial system WBbt:0005730; oocyte WBbt:0006797; pharynx WBbt:0003681; coelomic system WBbt:0005749; thermosensory neuron WBbt:0005838; sex organ WBbt:0008422; germ line WBbt:0005784; striated muscle WBbt:0005779; muscular system WBbt:0005737; reproductive system WBbt:0005747
