node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
638	[638] cluster T19D7.5	WBGene00020573	T19D7.5	641.7	0.504	False	PDA WBbt:0004386	RME WBbt:0005399; VC5 WBbt:0004613; ADE WBbt:0005415; AVE WBbt:0006819; AVF WBbt:0003851; URY WBbt:0005346; RIA WBbt:0006833; RIB WBbt:0005834; CEP WBbt:0005244; AIA WBbt:0006812; AVL WBbt:0003843; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; anterior ganglion WBbt:0005375; intestine WBbt:0005772; DVB WBbt:0004822; PVD WBbt:0006831; lumbar ganglion right WBbt:0005601; PVQ WBbt:0006976; somatic nervous system WBbt:0005760; OLL WBbt:0006847; PQR WBbt:0004096; M1 neuron WBbt:0004488; AQR WBbt:0003927; outer labial lateral sensillum WBbt:0005503; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; dorso-rectal ganglion WBbt:0005212; thermosensory neuron WBbt:0005838; AIN WBbt:0006815; VC4 WBbt:0004617; RIS WBbt:0005045; RID WBbt:0003938; lateral ganglion left WBbt:0005103; sex organ WBbt:0008422; AIY WBbt:0005413; reproductive system WBbt:0005747
638	[638] cluster T19D7.5	WBGene00019874	R05C11.2	193.43	0.456	False	PDA WBbt:0004386	AVA WBbt:0005842; somatic nervous system WBbt:0005760; AVK WBbt:0006823; nervous system WBbt:0005735; germ line WBbt:0005784; reproductive system WBbt:0005747
638	[638] cluster T19D7.5	WBGene00016858	C50H11.13	82.9	0.435	False	PDA WBbt:0004386	VC6 WBbt:0004611; AVE WBbt:0006819; RIA WBbt:0006833; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; RIV WBbt:0006839; somatic nervous system WBbt:0005760; ABplpppaapa WBbt:0006503; SMB WBbt:0005355; VC1 WBbt:0004621; ABprpppaapa WBbt:0006549; SAA WBbt:0005397; retrovesicular ganglion WBbt:0005656; lateral ganglion left WBbt:0005103; RIG WBbt:0006836; sex organ WBbt:0008422; AVB WBbt:0005841
638	[638] cluster T19D7.5	WBGene00011570	sre-28	27.63	0.426	False	PDA WBbt:0004386	intestine WBbt:0005772
638	[638] cluster T19D7.5	WBGene00000135	amt-3	227.2	0.393	True	PDA WBbt:0004386	hook sensillum WBbt:0006930; OLQ WBbt:0006848; ADE WBbt:0005415; URA WBbt:0005225; IL1VR WBbt:0004547; RMH WBbt:0006843; postdeirid sensillum WBbt:0005471; IL1R WBbt:0004551; RIA WBbt:0006833; IL1DR WBbt:0004737; CEP WBbt:0005244; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; RMDR WBbt:0005033; anterior ganglion WBbt:0005375; intestine WBbt:0005772; PHB WBbt:0007808; DA9 WBbt:0004857; PHA WBbt:0007807; VA12 WBbt:0004645; BAG WBbt:0006825; somatic nervous system WBbt:0005760; PLM WBbt:0005490; M2 neuron WBbt:0003634; OLL WBbt:0006847; AVK WBbt:0006823; RMDL WBbt:0005037; ray WBbt:0006941; outer labial lateral sensillum WBbt:0005503; PDE WBbt:0006747; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; IL1VL WBbt:0004549; dorso-rectal ganglion WBbt:0005212; thermosensory neuron WBbt:0005838; RID WBbt:0003938; lateral ganglion left WBbt:0005103; RIG WBbt:0006836; sex organ WBbt:0008422; PDA WBbt:0004386; IL1DL WBbt:0004738; IL1L WBbt:0004553; posterior lateral ganglion WBbt:0005465; male WBbt:0007850; outer labial quadrant sensillum WBbt:0005502; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive system WBbt:0005747; preanal ganglion WBbt:0005448; RMDDL WBbt:0005039
638	[638] cluster T19D7.5	WBGene00044791	bnc-1	497.4	0.381	True	PDA WBbt:0004386	VB10 WBbt:0004625; VB5 WBbt:0004637; VB7 WBbt:0004631; DA1 WBbt:0004871; VA10 WBbt:0004649; VB2 WBbt:0004641; VA8 WBbt:0004653; VA1 WBbt:0004872; VA2 WBbt:0004870; VB9 WBbt:0004627; DA9 WBbt:0004857; VA12 WBbt:0004645; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; M2 neuron WBbt:0003634; DA3 WBbt:0004867; VA5 WBbt:0004864; VA11 WBbt:0004647; VA3 WBbt:0004868; nervous system WBbt:0005735; AS1 WBbt:0003925; VA9 WBbt:0004651; VB3 WBbt:0004639; VB8 WBbt:0004629; VB4 WBbt:0004638; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; VA6 WBbt:0004862; VB6 WBbt:0004633; VA4 WBbt:0004866; SAB WBbt:0005396; PDA WBbt:0004386; VA7 WBbt:0004860; VB1 WBbt:0004643; VB11 WBbt:0004623; male WBbt:0007850; preanal ganglion WBbt:0005448
638	[638] cluster T19D7.5	WBGene00006671	twk-17	350.0	0.299	True	PDA WBbt:0004386	PHC WBbt:0008446; PVC WBbt:0005840; DA6 WBbt:0004861; DA1 WBbt:0004871; vm1 WBbt:0006917; ADE WBbt:0005415; AVE WBbt:0006819; AS11 WBbt:0003905; PVM WBbt:0004086; I5 neuron WBbt:0004740; DA8 WBbt:0004858; URY WBbt:0005346; AVA WBbt:0005842; IL1VR WBbt:0004547; URX WBbt:0006846; IL1R WBbt:0004551; DB2 WBbt:0004845; DA5 WBbt:0004863; IL1DR WBbt:0004737; RIB WBbt:0005834; CEP WBbt:0005244; VA1 WBbt:0004872; DA4 WBbt:0004865; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; AVG WBbt:0003850; anterior ganglion WBbt:0005375; intestine WBbt:0005772; AVD WBbt:0006818; DA9 WBbt:0004857; PDB WBbt:0004385; DB6 WBbt:0004841; RIV WBbt:0006839; VA12 WBbt:0004645; BDU WBbt:0006826; PVD WBbt:0006831; PVQ WBbt:0006976; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; RMG WBbt:0006842; PVS WBbt:0007837; DA3 WBbt:0004867; OLL WBbt:0006847; AVK WBbt:0006823; AVM WBbt:0003832; DB7 WBbt:0004840; DA2 WBbt:0004869; nervous system WBbt:0005735; AS1 WBbt:0003925; RIP WBbt:0006838; pharynx WBbt:0003681; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; IL1VL WBbt:0004549; dorso-rectal ganglion WBbt:0005212; RIM WBbt:0005835; DB3 WBbt:0004844; anal sphincter muscle WBbt:0005798; lateral ganglion left WBbt:0005103; ALN WBbt:0006851; vm2 WBbt:0006918; sex organ WBbt:0008422; PDA WBbt:0004386; anal depressor muscle WBbt:0004292; PVW WBbt:0008438; intestinal muscle WBbt:0005796; DA7 WBbt:0004859; IL1DL WBbt:0004738; DB5 WBbt:0004842; IL1L WBbt:0004553; posterior lateral ganglion WBbt:0005465; male WBbt:0007850; muscular system WBbt:0005737; reproductive system WBbt:0005747; preanal ganglion WBbt:0005448
638	[638] cluster T19D7.5	WBGene00006694	twk-44	27.63	0.224	False	PDA WBbt:0004386	GLR WBbt:0005176; ASI WBbt:0005666; somatic nervous system WBbt:0005760; AVK WBbt:0006823; nervous system WBbt:0005735; thermosensory neuron WBbt:0005838; lateral ganglion left WBbt:0005103; muscular system WBbt:0005737
638	[638] cluster T19D7.5	WBGene00000706	col-132	61.4	0.209	False	PDA WBbt:0004386	MC neuron WBbt:0003638; ABpraapaaa WBbt:0005888; MSpaaapa WBbt:0006241; ABplaapaaa WBbt:0006069; corpus WBbt:0003733; lateral ganglion right WBbt:0005101; AIZ WBbt:0005836; nervous system WBbt:0005735; pharynx WBbt:0003681; lateral ganglion left WBbt:0005103
638	[638] cluster T19D7.5	WBGene00009387	glb-15	85.97	0.185	True	PDA WBbt:0004386	DA6 WBbt:0004861; DA1 WBbt:0004871; AS11 WBbt:0003905; excretory system WBbt:0005736; DA8 WBbt:0004858; AVA WBbt:0005842; AUA WBbt:0006817; AVJ WBbt:0006822; RIA WBbt:0006833; DB2 WBbt:0004845; DA5 WBbt:0004863; VA1 WBbt:0004872; DA4 WBbt:0004865; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; VD12 WBbt:0004587; LUA WBbt:0008031; DA9 WBbt:0004857; PDB WBbt:0004385; DB6 WBbt:0004841; VA12 WBbt:0004645; AVH WBbt:0006821; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; phasmid socket cell WBbt:0008410; DA3 WBbt:0004867; epithelial system WBbt:0005730; DB7 WBbt:0004840; DA2 WBbt:0004869; nervous system WBbt:0005735; somatic gonad WBbt:0005785; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; PLN WBbt:0006855; dorso-rectal ganglion WBbt:0005212; thermosensory neuron WBbt:0005838; DB3 WBbt:0004844; excretory secretory system WBbt:0006850; lateral ganglion left WBbt:0005103; sex organ WBbt:0008422; PDA WBbt:0004386; uv3 WBbt:0006793; DA7 WBbt:0004859; DB5 WBbt:0004842; ASE WBbt:0005663; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; preanal ganglion WBbt:0005448
