node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
642	[642] cluster mec-17	WBGene00003171	mec-7	83104.82	0.945	True	AVM WBbt:0003832	PHC WBbt:0008446; RME WBbt:0005399; DA6 WBbt:0004861; DA1 WBbt:0004871; PVM WBbt:0004086; AVF WBbt:0003851; DA8 WBbt:0004858; ABprapaaapa WBbt:0006633; DD1 WBbt:0004839; DB2 WBbt:0004845; DA5 WBbt:0004863; DA4 WBbt:0004865; ABplapapppp WBbt:0006209; DD6 WBbt:0004824; lateral ganglion right WBbt:0005101; anterior ganglion WBbt:0005375; Y cell WBbt:0004578; DA9 WBbt:0004857; DB6 WBbt:0004841; RIV WBbt:0006839; BDU WBbt:0006826; ABarppaapp WBbt:0006393; PVD WBbt:0006831; DVA WBbt:0004823; lumbar ganglion right WBbt:0005601; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; ABarpppapp WBbt:0006572; PLM WBbt:0005490; PVS WBbt:0007837; DA3 WBbt:0004867; epithelial system WBbt:0005730; OLL WBbt:0006847; AVM WBbt:0003832; DB7 WBbt:0004840; DA2 WBbt:0004869; nervous system WBbt:0005735; DD5 WBbt:0004825; RIP WBbt:0006838; FLP WBbt:0006828; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; PLN WBbt:0006855; dorso-rectal ganglion WBbt:0005212; ALM WBbt:0005406; PVR WBbt:0004072; thermosensory neuron WBbt:0005838; DB3 WBbt:0004844; lateral ganglion left WBbt:0005103; DD3 WBbt:0004837; DD2 WBbt:0004838; ALN WBbt:0006851; PVW WBbt:0008438; ABplapappp WBbt:0006630; DA7 WBbt:0004859; ALA WBbt:0003955; DB5 WBbt:0004842; posterior lateral ganglion WBbt:0005465; ABprapappp WBbt:0006587; ABprapapppp WBbt:0006021; male WBbt:0007850; DD4 WBbt:0004826; ABplapaaapa WBbt:0006061; ASE WBbt:0005663; preanal ganglion WBbt:0005448
642	[642] cluster mec-17	WBGene00003179	mec-18	6726.47	0.929	True	AVM WBbt:0003832	PHC WBbt:0008446; PVM WBbt:0004086; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; anterior ganglion WBbt:0005375; BDU WBbt:0006826; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; PLM WBbt:0005490; epithelial system WBbt:0005730; AVM WBbt:0003832; nervous system WBbt:0005735; RIP WBbt:0006838; FLP WBbt:0006828; somatic gonad WBbt:0005785; ALM WBbt:0005406; thermosensory neuron WBbt:0005838; sex organ WBbt:0008422; uv3 WBbt:0006793; posterior lateral ganglion WBbt:0005465; ASE WBbt:0005663; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
642	[642] cluster mec-17	WBGene00003178	mec-17	106816.21	0.916	True	AVM WBbt:0003832	PHC WBbt:0008446; PVM WBbt:0004086; ABprapaaaa WBbt:0006648; anterior ganglion WBbt:0005375; BDU WBbt:0006826; PVD WBbt:0006831; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; PLM WBbt:0005490; OLL WBbt:0006847; AVM WBbt:0003832; nervous system WBbt:0005735; RIP WBbt:0006838; FLP WBbt:0006828; ALM WBbt:0005406; ABplapaaaa WBbt:0006221; ALN WBbt:0006851; posterior lateral ganglion WBbt:0005465
642	[642] cluster mec-17	WBGene00003471	mtd-1	9603.11	0.916	True	AVM WBbt:0003832	PHC WBbt:0008446; PVM WBbt:0004086; lateral ganglion right WBbt:0005101; anterior ganglion WBbt:0005375; BDU WBbt:0006826; PVD WBbt:0006831; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; PLM WBbt:0005490; AVM WBbt:0003832; nervous system WBbt:0005735; RIP WBbt:0006838; FLP WBbt:0006828; dorso-rectal ganglion WBbt:0005212; ALM WBbt:0005406; PVR WBbt:0004072; thermosensory neuron WBbt:0005838; posterior lateral ganglion WBbt:0005465; ASE WBbt:0005663
642	[642] cluster mec-17	WBGene00003175	mec-12	60261.37	0.901	True	AVM WBbt:0003832	ABalppppapa WBbt:0006705; PHC WBbt:0008446; PVC WBbt:0005840; MC neuron WBbt:0003638; DA6 WBbt:0004861; VB10 WBbt:0004625; VC6 WBbt:0004611; VB5 WBbt:0004637; OLQ WBbt:0006848; VB7 WBbt:0004631; DA1 WBbt:0004871; AVE WBbt:0006819; HSN WBbt:0006830; PVM WBbt:0004086; I5 neuron WBbt:0004740; SIA WBbt:0005361; DA8 WBbt:0004858; AVA WBbt:0005842; AVJ WBbt:0006822; VA10 WBbt:0004649; ABplpaaapp WBbt:0005877; DB2 WBbt:0004845; DA5 WBbt:0004863; ABprpaaappa WBbt:0006695; VD5 WBbt:0004601; VB2 WBbt:0004641; VA8 WBbt:0004653; VA1 WBbt:0004872; AVL WBbt:0003843; DA4 WBbt:0004865; ABplapapppp WBbt:0006209; VC3 WBbt:0004618; corpus WBbt:0003733; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; VA2 WBbt:0004870; VB9 WBbt:0004627; MSpaaaaa WBbt:0006363; anterior ganglion WBbt:0005375; intestine WBbt:0005772; AVD WBbt:0006818; AS9 WBbt:0003907; VD4 WBbt:0004603; DA9 WBbt:0004857; DB6 WBbt:0004841; RIV WBbt:0006839; PHA WBbt:0007807; VA12 WBbt:0004645; ABaraapppaa WBbt:0006566; AVH WBbt:0006821; BDU WBbt:0006826; PVD WBbt:0006831; DVA WBbt:0004823; lumbar ganglion right WBbt:0005601; ABalapapapa WBbt:0006575; CAN WBbt:0006827; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; PLM WBbt:0005490; DA3 WBbt:0004867; OLL WBbt:0006847; VA5 WBbt:0004864; VD7 WBbt:0004598; AVK WBbt:0006823; AVM WBbt:0003832; DB7 WBbt:0004840; ABalapapap WBbt:0005910; VA11 WBbt:0004647; DA2 WBbt:0004869; VA3 WBbt:0004868; nervous system WBbt:0005735; RIP WBbt:0006838; FLP WBbt:0006828; VA9 WBbt:0004651; VB3 WBbt:0004639; spermathecal-uterine valve cell WBbt:0008217; somatic gonad WBbt:0005785; VC1 WBbt:0004621; VB8 WBbt:0004629; VD6 WBbt:0004599; VB4 WBbt:0004638; ABplpaaappa WBbt:0006600; pharynx WBbt:0003681; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; VA6 WBbt:0004862; PLN WBbt:0006855; dorso-rectal ganglion WBbt:0005212; ABprpaaapp WBbt:0005868; ALM WBbt:0005406; VC2 WBbt:0004619; PVR WBbt:0004072; thermosensory neuron WBbt:0005838; VB6 WBbt:0004633; VD3 WBbt:0004605; DB3 WBbt:0004844; RIS WBbt:0005045; VA4 WBbt:0004866; ABalapppap WBbt:0006015; RID WBbt:0003938; lateral ganglion left WBbt:0005103; ALN WBbt:0006851; sex organ WBbt:0008422; PVP WBbt:0006832; AVB WBbt:0005841; VA7 WBbt:0004860; PVW WBbt:0008438; VB1 WBbt:0004643; NSM WBbt:0003666; DA7 WBbt:0004859; ALA WBbt:0003955; DB5 WBbt:0004842; VB11 WBbt:0004623; posterior lateral ganglion WBbt:0005465; ABprapapppp WBbt:0006021; male WBbt:0007850; ABpraaapapa WBbt:0006404; PVT WBbt:0004070; ABaraapapaa WBbt:0006455; outer labial quadrant sensillum WBbt:0005502; ABalapppapa WBbt:0006339; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697; AS10 WBbt:0003906; DVC WBbt:0004821; preanal ganglion WBbt:0005448
642	[642] cluster mec-17	WBGene00004926	snt-6	1184.58	0.819	True	AVM WBbt:0003832	PHC WBbt:0008446; hook sensillum WBbt:0006930; URB WBbt:0006845; PVM WBbt:0004086; I5 neuron WBbt:0004740; URX WBbt:0006846; AUA WBbt:0006817; RIB WBbt:0005834; corpus WBbt:0003733; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; anterior ganglion WBbt:0005375; ADA WBbt:0006811; PVD WBbt:0006831; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; RMG WBbt:0006842; PLM WBbt:0005490; epithelial system WBbt:0005730; OLL WBbt:0006847; AVM WBbt:0003832; ray WBbt:0006941; AWA WBbt:0005670; nervous system WBbt:0005735; DD5 WBbt:0004825; RIP WBbt:0006838; FLP WBbt:0006828; somatic gonad WBbt:0005785; pharynx WBbt:0003681; ALM WBbt:0005406; thermosensory neuron WBbt:0005838; VC4 WBbt:0004617; lateral ganglion left WBbt:0005103; ADL WBbt:0005661; sex organ WBbt:0008422; uv3 WBbt:0006793; NSM WBbt:0003666; ALA WBbt:0003955; posterior lateral ganglion WBbt:0005465; male WBbt:0007850; DD4 WBbt:0004826; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
642	[642] cluster mec-17	WBGene00013752	nlp-69	856.12	0.766	True	AVM WBbt:0003832	IL2L WBbt:0004541; ADE WBbt:0005415; PVM WBbt:0004086; URA WBbt:0005225; postdeirid sensillum WBbt:0005471; IL2VL WBbt:0004538; IL2R WBbt:0004539; lateral ganglion right WBbt:0005101; anterior ganglion WBbt:0005375; DA9 WBbt:0004857; VA12 WBbt:0004645; DVA WBbt:0004823; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; PLM WBbt:0005490; AVK WBbt:0006823; AVM WBbt:0003832; IL2DL WBbt:0004545; nervous system WBbt:0005735; FLP WBbt:0006828; PDE WBbt:0006747; dorso-rectal ganglion WBbt:0005212; ALM WBbt:0005406; PVR WBbt:0004072; lateral ganglion left WBbt:0005103; PDA WBbt:0004386; posterior lateral ganglion WBbt:0005465; IL2DR WBbt:0004543; ASE WBbt:0005663; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697; preanal ganglion WBbt:0005448
642	[642] cluster mec-17	WBGene00018338	F42A9.9	381.89	0.744	True	AVM WBbt:0003832	PHC WBbt:0008446; DA6 WBbt:0004861; M4 neuron WBbt:0004467; DA1 WBbt:0004871; PVM WBbt:0004086; AVF WBbt:0003851; DA8 WBbt:0004858; AUA WBbt:0006817; DB2 WBbt:0004845; DA5 WBbt:0004863; RIB WBbt:0005834; DA4 WBbt:0004865; corpus WBbt:0003733; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; anterior ganglion WBbt:0005375; AVD WBbt:0006818; ADA WBbt:0006811; DA9 WBbt:0004857; DB6 WBbt:0004841; AS2 WBbt:0003924; BDU WBbt:0006826; ABarppaapp WBbt:0006393; lumbar ganglion right WBbt:0005601; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; ABarpppapp WBbt:0006572; PLM WBbt:0005490; AS3 WBbt:0003923; DA3 WBbt:0004867; AVM WBbt:0003832; DB7 WBbt:0004840; DA2 WBbt:0004869; AS1 WBbt:0003925; RIP WBbt:0006838; FLP WBbt:0006828; pharynx WBbt:0003681; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; ALM WBbt:0005406; thermosensory neuron WBbt:0005838; VC4 WBbt:0004617; DB3 WBbt:0004844; lateral ganglion left WBbt:0005103; sex organ WBbt:0008422; VB1 WBbt:0004643; RIH WBbt:0003928; DA7 WBbt:0004859; DB5 WBbt:0004842; posterior lateral ganglion WBbt:0005465; reproductive system WBbt:0005747; preanal ganglion WBbt:0005448; RMDDL WBbt:0005039
642	[642] cluster mec-17	WBGene00006665	twk-10	555.86	0.742	True	AVM WBbt:0003832	PVN WBbt:0008275; PHC WBbt:0008446; PVM WBbt:0004086; GLR WBbt:0005176; anterior ganglion WBbt:0005375; intestine WBbt:0005772; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; PLM WBbt:0005490; epithelial system WBbt:0005730; AVM WBbt:0003832; nervous system WBbt:0005735; RIP WBbt:0006838; ALM WBbt:0005406; PVR WBbt:0004072; hyp3 WBbt:0004690; posterior lateral ganglion WBbt:0005465; muscular system WBbt:0005737
642	[642] cluster mec-17	WBGene00006237	str-204	280.9	0.737	True	AVM WBbt:0003832	PVM WBbt:0004086; DD1 WBbt:0004839; I6 neuron WBbt:0004739; ut4 WBbt:0006788; hermaphrodite WBbt:0007849; RIF WBbt:0006835; MSpaaaaa WBbt:0006363; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; PLM WBbt:0005490; epithelial system WBbt:0005730; AVM WBbt:0003832; somatic gonad WBbt:0005785; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; ALM WBbt:0005406; sex organ WBbt:0008422; germ line WBbt:0005784; striated muscle WBbt:0005779; posterior lateral ganglion WBbt:0005465; muscular system WBbt:0005737; reproductive tract WBbt:0005744
