node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
6440	[6440] cluster T16G12.12	WBGene00219314	C05B5.17	588.08	0.665	True	hermaphrodite distal tip cell WBbt:0006863	gonad arm WBbt:0008629; hermaphrodite distal tip cell WBbt:0006863; hermaphrodite WBbt:0007849; anchor cell WBbt:0004522; nervous system WBbt:0005735; somatic gonad WBbt:0005785; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
6440	[6440] cluster T16G12.12	WBGene00019557	K09C6.3	32.67	0.531	False	hermaphrodite distal tip cell WBbt:0006863	corpus WBbt:0003733; nervous system WBbt:0005735; pharynx WBbt:0003681; thermosensory neuron WBbt:0005838; NSM WBbt:0003666
6440	[6440] cluster T16G12.12	WBGene00010825	M01G12.14	642.42	0.522	True	hermaphrodite distal tip cell WBbt:0006863	gonad arm WBbt:0008629; hermaphrodite distal tip cell WBbt:0006863; I5 neuron WBbt:0004740; AVA WBbt:0005842; Z1.p WBbt:0007023; hermaphrodite WBbt:0007849; male distal tip cell WBbt:0006864; somatic nervous system WBbt:0005760; Z4.a WBbt:0007025; muscle of the reproductive system WBbt:0005786; nervous system WBbt:0005735; FLP WBbt:0006828; somatic gonad WBbt:0005785; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; coelomic system WBbt:0005749; thermosensory neuron WBbt:0005838; SAB WBbt:0005396; germ line WBbt:0005784; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
6440	[6440] cluster T16G12.12	WBGene00269433	T16G12.12	1829.59	0.484	True	hermaphrodite distal tip cell WBbt:0006863	gonad arm WBbt:0008629; hermaphrodite distal tip cell WBbt:0006863; I5 neuron WBbt:0004740; hermaphrodite WBbt:0007849; male distal tip cell WBbt:0006864; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; somatic gonad WBbt:0005785; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; SAB WBbt:0005396; germ line WBbt:0005784; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
6440	[6440] cluster T16G12.12	WBGene00009326	F32D8.1	326.71	0.462	False	hermaphrodite distal tip cell WBbt:0006863	PVC WBbt:0005840; XXX cell WBbt:0007855; VC6 WBbt:0004611; IL2L WBbt:0004541; OLQ WBbt:0006848; ADE WBbt:0005415; AVE WBbt:0006819; nociceptor neuron WBbt:0008434; URY WBbt:0005346; URA WBbt:0005225; postdeirid sensillum WBbt:0005471; ASJ WBbt:0005667; IL1DR WBbt:0004737; IL2VL WBbt:0004538; IL2R WBbt:0004539; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; AVG WBbt:0003850; anchor cell WBbt:0004522; osmosensory neuron WBbt:0008433; anterior ganglion WBbt:0005375; LUA WBbt:0008031; PVD WBbt:0006831; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; OLL WBbt:0006847; AVK WBbt:0006823; IL2DL WBbt:0004545; outer labial lateral sensillum WBbt:0005503; somatic gonad WBbt:0005785; VC1 WBbt:0004621; PDE WBbt:0006747; retrovesicular ganglion WBbt:0005656; IL1VL WBbt:0004549; dorso-rectal ganglion WBbt:0005212; thermosensory neuron WBbt:0005838; lateral ganglion left WBbt:0005103; IL2VR WBbt:0004537; sex organ WBbt:0008422; ASG WBbt:0005664; AWB WBbt:0005671; IL1DL WBbt:0004738; posterior lateral ganglion WBbt:0005465; IL2DR WBbt:0004543; male WBbt:0007850; PVT WBbt:0004070; outer labial quadrant sensillum WBbt:0005502; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; DVC WBbt:0004821; preanal ganglion WBbt:0005448
6440	[6440] cluster T16G12.12	WBGene00019970	R08F11.7	65.34	0.459	False	hermaphrodite distal tip cell WBbt:0006863	nociceptor neuron WBbt:0008434; ut4 WBbt:0006788; hermaphrodite WBbt:0007849; spermatheca WBbt:0005319; osmosensory neuron WBbt:0008433; epithelial system WBbt:0005730; g2 WBbt:0003710; somatic gonad WBbt:0005785; pharynx WBbt:0003681; mc3 WBbt:0003707; lateral ganglion left WBbt:0005103; sex organ WBbt:0008422; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
6440	[6440] cluster T16G12.12	WBGene00007327	C05C9.3	163.36	0.383	True	hermaphrodite distal tip cell WBbt:0006863	gonad arm WBbt:0008629; hermaphrodite distal tip cell WBbt:0006863; hermaphrodite WBbt:0007849; ASI WBbt:0005666; CAN WBbt:0006827; epithelial system WBbt:0005730; nervous system WBbt:0005735; somatic gonad WBbt:0005785; thermosensory neuron WBbt:0005838; lateral ganglion left WBbt:0005103; sex organ WBbt:0008422; germ line WBbt:0005784; uv1 WBbt:0006791; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
6440	[6440] cluster T16G12.12	WBGene00001956	hlh-12	838.45	0.358	True	hermaphrodite distal tip cell WBbt:0006863	gonad arm WBbt:0008629; linker cell WBbt:0005062; hermaphrodite distal tip cell WBbt:0006863; Q cell WBbt:0008598; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; anchor cell WBbt:0004522; AVD WBbt:0006818; male distal tip cell WBbt:0006864; nervous system WBbt:0005735; somatic gonad WBbt:0005785; lateral ganglion left WBbt:0005103; male WBbt:0007850; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
6440	[6440] cluster T16G12.12	WBGene00011380	T02E1.8	1176.16	0.352	True	hermaphrodite distal tip cell WBbt:0006863	PVC WBbt:0005840; gonad arm WBbt:0008629; hook sensillum WBbt:0006930; RME WBbt:0005399; AIM WBbt:0006814; ABplpppaaa WBbt:0006025; VB5 WBbt:0004637; IL socket cell WBbt:0008418; hermaphrodite distal tip cell WBbt:0006863; VB7 WBbt:0004631; HSN WBbt:0006830; ABalaaaarr WBbt:0006500; ABprapaaapa WBbt:0006633; Z1.p WBbt:0007023; ABalaaaarl WBbt:0005945; RIB WBbt:0005834; CEP WBbt:0005244; AVL WBbt:0003843; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; VB9 WBbt:0004627; ADE sheath cell WBbt:0008411; anchor cell WBbt:0004522; anterior ganglion WBbt:0005375; AVD WBbt:0006818; amphid sheath cell WBbt:0006754; PDE socket cell WBbt:0008421; male distal tip cell WBbt:0006864; somatic nervous system WBbt:0005760; phasmid socket cell WBbt:0008410; ABprpppaaa WBbt:0006063; amphid socket cell WBbt:0008379; epithelial system WBbt:0005730; Z4.a WBbt:0007025; g2 WBbt:0003710; ray WBbt:0006941; ABplapaaap WBbt:0006317; nervous system WBbt:0005735; ABplaapappp WBbt:0006387; FLP WBbt:0006828; spermathecal-uterine valve cell WBbt:0008217; somatic gonad WBbt:0005785; VC1 WBbt:0004621; VB8 WBbt:0004629; OL sheath cell WBbt:0008413; VB4 WBbt:0004638; pharynx WBbt:0003681; thermosensory neuron WBbt:0005838; AIN WBbt:0006815; VB6 WBbt:0004633; VC4 WBbt:0004617; RIS WBbt:0005045; ABpraapappp WBbt:0005862; lateral ganglion left WBbt:0005103; sex organ WBbt:0008422; PVP WBbt:0006832; AWB WBbt:0005671; ABalaaaala WBbt:0005966; phasmid sheath cell WBbt:0006755; male WBbt:0007850; ABplapaaapa WBbt:0006061; ASE WBbt:0005663; muscular system WBbt:0005737; ABprapaaap WBbt:0005977; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; ADE socket cell WBbt:0008416; head mesodermal cell WBbt:0004697; OL socket cell WBbt:0008419; PDE sheath cell WBbt:0008415; ABalaapaaa WBbt:0006732; preanal ganglion WBbt:0005448; cephalic sheath cell WBbt:0008406
6440	[6440] cluster T16G12.12	WBGene00017475	F14H12.8	294.04	0.346	True	hermaphrodite distal tip cell WBbt:0006863	gonad arm WBbt:0008629; hermaphrodite distal tip cell WBbt:0006863; GLR WBbt:0005176; Z1.p WBbt:0007023; Q cell WBbt:0008598; hermaphrodite WBbt:0007849; male distal tip cell WBbt:0006864; gonadal primordium WBbt:0008366; Z4.a WBbt:0007025; muscle of the reproductive system WBbt:0005786; somatic gonad WBbt:0005785; germ line WBbt:0005784; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
6440	[6440] cluster T16G12.12	WBGene00019321	K02E10.7	196.03	0.314	True	hermaphrodite distal tip cell WBbt:0006863	gonad arm WBbt:0008629; hermaphrodite distal tip cell WBbt:0006863; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; AVG WBbt:0003850; anchor cell WBbt:0004522; anterior ganglion WBbt:0005375; ADA WBbt:0006811; BAG WBbt:0006825; lumbar ganglion right WBbt:0005601; ASI WBbt:0005666; somatic nervous system WBbt:0005760; RMG WBbt:0006842; nervous system WBbt:0005735; somatic gonad WBbt:0005785; retrovesicular ganglion WBbt:0005656; PVR WBbt:0004072; thermosensory neuron WBbt:0005838; AIN WBbt:0006815; RIS WBbt:0005045; lateral ganglion left WBbt:0005103; RIG WBbt:0006836; ASE WBbt:0005663; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; ASK WBbt:0005668
6440	[6440] cluster T16G12.12	WBGene00014216	ZK1086.2	98.01	0.268	True	hermaphrodite distal tip cell WBbt:0006863	gonad arm WBbt:0008629; hermaphrodite distal tip cell WBbt:0006863; hermaphrodite WBbt:0007849; anchor cell WBbt:0004522; somatic nervous system WBbt:0005760; AVK WBbt:0006823; nervous system WBbt:0005735; somatic gonad WBbt:0005785; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
6440	[6440] cluster T16G12.12	WBGene00044527	Y39H10B.2	173.36	0.263	False	hermaphrodite distal tip cell WBbt:0006863	spermathecal-uterine junction WBbt:0006756; excretory system WBbt:0005736; ut1 WBbt:0006785; Z1.p WBbt:0007023; hermaphrodite WBbt:0007849; intestine WBbt:0005772; male distal tip cell WBbt:0006864; gonadal primordium WBbt:0008366; ut2 WBbt:0006786; ut3 WBbt:0006787; excretory cell WBbt:0005812; epithelial system WBbt:0005730; Z4.a WBbt:0007025; muscle of the reproductive system WBbt:0005786; somatic gonad WBbt:0005785; excretory secretory system WBbt:0006850; sex organ WBbt:0008422; uv3 WBbt:0006793; striated muscle WBbt:0005779; uv2 WBbt:0006792; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
