node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
6449	[6449] cluster asp-6	WBGene00004020	pho-1	923.43	0.718	True	intestine WBbt:0005772	GLR WBbt:0005176; lateral ganglion right WBbt:0005101; intestine WBbt:0005772; PVD WBbt:0006831; OLL WBbt:0006847; nervous system WBbt:0005735; ASE WBbt:0005663; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697
6449	[6449] cluster asp-6	WBGene00012529	Y32F6A.4	227.43	0.677	True	intestine WBbt:0005772	ABplpppaaa WBbt:0006025; VB5 WBbt:0004637; VB7 WBbt:0004631; I5 neuron WBbt:0004740; DD1 WBbt:0004839; VA10 WBbt:0004649; VB2 WBbt:0004641; AIA WBbt:0006812; VA1 WBbt:0004872; AVL WBbt:0003843; corpus WBbt:0003733; VA2 WBbt:0004870; VB9 WBbt:0004627; intestine WBbt:0005772; DA9 WBbt:0004857; VA12 WBbt:0004645; PVD WBbt:0006831; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; PLM WBbt:0005490; ABprpppaaa WBbt:0006063; OLL WBbt:0006847; AIB WBbt:0006813; AVK WBbt:0006823; VA11 WBbt:0004647; VA3 WBbt:0004868; AS1 WBbt:0003925; VB3 WBbt:0004639; VB8 WBbt:0004629; MI neuron WBbt:0003664; VB4 WBbt:0004638; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; ALM WBbt:0005406; VB6 WBbt:0004633; VA4 WBbt:0004866; lateral ganglion left WBbt:0005103; ABarpaaa WBbt:0006398; SAB WBbt:0005396; VB1 WBbt:0004643; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697; preanal ganglion WBbt:0005448
6449	[6449] cluster asp-6	WBGene00010050	F54D5.4	382.7	0.667	True	intestine WBbt:0005772	pm7 WBbt:0003721; intestine WBbt:0005772; pharynx WBbt:0003681; germ line WBbt:0005784; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697
6449	[6449] cluster asp-6	WBGene00000219	asp-6	3021.32	0.661	True	intestine WBbt:0005772	intestine WBbt:0005772; PVD WBbt:0006831; epithelial system WBbt:0005730; OLL WBbt:0006847; pharynx WBbt:0003681; coelomic system WBbt:0005749; thermosensory neuron WBbt:0005838; germ line WBbt:0005784; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
6449	[6449] cluster asp-6	WBGene00017969	ctsa-3.1	1283.73	0.64	True	intestine WBbt:0005772	pm7 WBbt:0003721; intestine WBbt:0005772; rectal gland cell WBbt:0005799; pharynx WBbt:0003681; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697
6449	[6449] cluster asp-6	WBGene00009394	clec-63	1514.05	0.639	True	intestine WBbt:0005772	intestine WBbt:0005772; pharynx WBbt:0003681; thermosensory neuron WBbt:0005838; germ line WBbt:0005784; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
6449	[6449] cluster asp-6	WBGene00010769	asah-1	958.41	0.628	True	intestine WBbt:0005772	ut4 WBbt:0006788; hermaphrodite WBbt:0007849; intestine WBbt:0005772; PVD WBbt:0006831; lumbar ganglion right WBbt:0005601; PLM WBbt:0005490; epithelial system WBbt:0005730; OLL WBbt:0006847; nervous system WBbt:0005735; somatic gonad WBbt:0005785; ALM WBbt:0005406; sex organ WBbt:0008422; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
6449	[6449] cluster asp-6	WBGene00021160	gba-4	368.56	0.614	True	intestine WBbt:0005772	intestine WBbt:0005772; CAN WBbt:0006827
6449	[6449] cluster asp-6	WBGene00009396	clec-65	206.6	0.611	True	intestine WBbt:0005772	K' cell WBbt:0004497; anterior ganglion WBbt:0005375; intestine WBbt:0005772; PVD WBbt:0006831; epithelial system WBbt:0005730; OLL WBbt:0006847; nervous system WBbt:0005735; pharynx WBbt:0003681; K cell WBbt:0004499; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697; cephalic sheath cell WBbt:0008406
6449	[6449] cluster asp-6	WBGene00015050	clec-51	273.23	0.61	True	intestine WBbt:0005772	GLR WBbt:0005176; intestine WBbt:0005772; nervous system WBbt:0005735; germ line WBbt:0005784; muscular system WBbt:0005737; reproductive system WBbt:0005747
