node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
6472	[6472] cluster glh-1	WBGene00018665	bath-4	225.49	0.779	True	germ line WBbt:0005784	hermaphrodite WBbt:0007849; ABalaapppa WBbt:0006026; ABalapaapa WBbt:0005981; oocyte WBbt:0006797; germ line WBbt:0005784; germline precursor cell WBbt:0006849; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
6472	[6472] cluster glh-1	WBGene00012565	fbxa-210	279.86	0.774	True	germ line WBbt:0005784	ABplapapppp WBbt:0006209; BDU WBbt:0006826; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; PLM WBbt:0005490; ALM WBbt:0005406; germ line WBbt:0005784; germline precursor cell WBbt:0006849; ABprapapppp WBbt:0006021; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
6472	[6472] cluster glh-1	WBGene00019598	K09H9.7	540.44	0.769	True	germ line WBbt:0005784	intestine WBbt:0005772; pharynx WBbt:0003681; germ line WBbt:0005784; germline precursor cell WBbt:0006849
6472	[6472] cluster glh-1	WBGene00007195	thoc-7	656.65	0.756	True	germ line WBbt:0005784	ABplpapppa WBbt:0006225; hermaphrodite WBbt:0007849; MSpaaaaa WBbt:0006363; intestine WBbt:0005772; gonadal primordium WBbt:0008366; oocyte WBbt:0006797; nervous system WBbt:0005735; thermosensory neuron WBbt:0005838; ABaraappaa WBbt:0006636; germ line WBbt:0005784; germline precursor cell WBbt:0006849; reproductive system WBbt:0005747
6472	[6472] cluster glh-1	WBGene00021378	Y37E11B.6	722.32	0.747	True	germ line WBbt:0005784	Q cell WBbt:0008598; hermaphrodite WBbt:0007849; intestine WBbt:0005772; oocyte WBbt:0006797; germ line WBbt:0005784; germline precursor cell WBbt:0006849; muscular system WBbt:0005737
6472	[6472] cluster glh-1	WBGene00010194	btb-19	253.7	0.747	True	germ line WBbt:0005784	Psub1 WBbt:0006874; corpus WBbt:0003733; pharynx WBbt:0003681; germ line WBbt:0005784; germline precursor cell WBbt:0006849; NSM WBbt:0003666; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697
6472	[6472] cluster glh-1	WBGene00007087	B0001.2	678.23	0.744	True	germ line WBbt:0005784	gonad arm WBbt:0008629; Psub1 WBbt:0006874; hermaphrodite WBbt:0007849; gonadal primordium WBbt:0008366; muscle of the reproductive system WBbt:0005786; somatic gonad WBbt:0005785; germ line WBbt:0005784; striated muscle WBbt:0005779; germline precursor cell WBbt:0006849; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
6472	[6472] cluster glh-1	WBGene00086551	D2005.7	394.38	0.742	True	germ line WBbt:0005784	hermaphrodite WBbt:0007849; oocyte WBbt:0006797; pharynx WBbt:0003681; germ line WBbt:0005784; germline precursor cell WBbt:0006849; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
6472	[6472] cluster glh-1	WBGene00013193	Y54E2A.8	700.61	0.742	True	germ line WBbt:0005784	ASJ WBbt:0005667; lateral ganglion right WBbt:0005101; coelomic system WBbt:0005749; lateral ganglion left WBbt:0005103; germ line WBbt:0005784; germline precursor cell WBbt:0006849; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
6472	[6472] cluster glh-1	WBGene00018659	F52C6.2	256.99	0.741	True	germ line WBbt:0005784	hermaphrodite WBbt:0007849; oocyte WBbt:0006797; thermosensory neuron WBbt:0005838; germ line WBbt:0005784; germline precursor cell WBbt:0006849; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
