node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
6474	[6474] cluster spig-9	WBGene00010515	K02E11.6	2737.11	0.947	True	amphid sheath cell WBbt:0006754	amphid sheath cell WBbt:0006754; epithelial system WBbt:0005730; nervous system WBbt:0005735
6474	[6474] cluster spig-9	WBGene00010514	K02E11.5	2425.28	0.947	True	amphid sheath cell WBbt:0006754	RIB WBbt:0005834; amphid sheath cell WBbt:0006754; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; epithelial system WBbt:0005730; nervous system WBbt:0005735; thermosensory neuron WBbt:0005838; lateral ganglion left WBbt:0005103; pharyngeal-intestinal valve WBbt:0005767
6474	[6474] cluster spig-9	WBGene00017376	F11C7.2	8386.67	0.943	True	amphid sheath cell WBbt:0006754	RME WBbt:0005399; anterior ganglion WBbt:0005375; amphid sheath cell WBbt:0006754; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; nervous system WBbt:0005735; phasmid sheath cell WBbt:0006755
6474	[6474] cluster spig-9	WBGene00019092	F59A7.5	4875.74	0.937	True	amphid sheath cell WBbt:0006754	PVC WBbt:0005840; AIM WBbt:0006814; AVE WBbt:0006819; AVA WBbt:0005842; RMH WBbt:0006843; lateral ganglion right WBbt:0005101; AVG WBbt:0003850; AVD WBbt:0006818; amphid sheath cell WBbt:0006754; DA9 WBbt:0004857; VA12 WBbt:0004645; somatic nervous system WBbt:0005760; PLM WBbt:0005490; epithelial system WBbt:0005730; nervous system WBbt:0005735; retrovesicular ganglion WBbt:0005656; thermosensory neuron WBbt:0005838; RIM WBbt:0005835; lateral ganglion left WBbt:0005103; preanal ganglion WBbt:0005448
6474	[6474] cluster spig-9	WBGene00014091	srlf-32	17040.42	0.93	True	amphid sheath cell WBbt:0006754	amphid sheath cell WBbt:0006754; PLM WBbt:0005490; epithelial system WBbt:0005730; g2 WBbt:0003710; pharynx WBbt:0003681; thermosensory neuron WBbt:0005838
6474	[6474] cluster spig-9	WBGene00022093	Y69A2AR.22	11761.73	0.93	True	amphid sheath cell WBbt:0006754	amphid sheath cell WBbt:0006754; anterior arcade cell WBbt:0005794; PLM WBbt:0005490; epithelial system WBbt:0005730; nervous system WBbt:0005735; thermosensory neuron WBbt:0005838
6474	[6474] cluster spig-9	WBGene00018692	F52E1.2	2823.03	0.927	True	amphid sheath cell WBbt:0006754	amphid sheath cell WBbt:0006754; PLM WBbt:0005490; epithelial system WBbt:0005730; thermosensory neuron WBbt:0005838; phasmid sheath cell WBbt:0006755
6474	[6474] cluster spig-9	WBGene00020589	T19H12.3	5071.69	0.927	True	amphid sheath cell WBbt:0006754	amphid sheath cell WBbt:0006754; epithelial system WBbt:0005730; phasmid sheath cell WBbt:0006755
6474	[6474] cluster spig-9	WBGene00010513	K02E11.4	1811.5	0.927	True	amphid sheath cell WBbt:0006754	AVE WBbt:0006819; intestine WBbt:0005772; amphid sheath cell WBbt:0006754; PLM WBbt:0005490; epithelial system WBbt:0005730; nervous system WBbt:0005735; thermosensory neuron WBbt:0005838
6474	[6474] cluster spig-9	WBGene00022230	Y73B6A.3	2711.4	0.926	True	amphid sheath cell WBbt:0006754	mc2 WBbt:0003708; corpus WBbt:0003733; pm7 WBbt:0003721; amphid sheath cell WBbt:0006754; pm4 WBbt:0003739; epithelial system WBbt:0005730; pm2 WBbt:0003742; nervous system WBbt:0005735; pharynx WBbt:0003681; coelomic system WBbt:0005749; pharyngeal epithelial cell WBbt:0005459; pm3 WBbt:0003740; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697
6474	[6474] cluster spig-9	WBGene00045390	spig-7	458.45	0.922	True	amphid sheath cell WBbt:0006754	anterior ganglion WBbt:0005375; intestine WBbt:0005772; amphid sheath cell WBbt:0006754; BAG WBbt:0006825; PLM WBbt:0005490; epithelial system WBbt:0005730; nervous system WBbt:0005735; thermosensory neuron WBbt:0005838; anal depressor muscle WBbt:0004292; intestinal muscle WBbt:0005796; muscular system WBbt:0005737
6474	[6474] cluster spig-9	WBGene00016362	spig-10	9494.96	0.919	True	amphid sheath cell WBbt:0006754	anterior ganglion WBbt:0005375; intestine WBbt:0005772; amphid sheath cell WBbt:0006754; lumbar ganglion right WBbt:0005601; PLM WBbt:0005490; epithelial system WBbt:0005730; thermosensory neuron WBbt:0005838; ALN WBbt:0006851; cephalic sheath cell WBbt:0008406
6474	[6474] cluster spig-9	WBGene00021875	Y54G2A.10	6520.25	0.915	True	amphid sheath cell WBbt:0006754	AUA WBbt:0006817; lateral ganglion right WBbt:0005101; intestine WBbt:0005772; amphid sheath cell WBbt:0006754; epithelial system WBbt:0005730; RID WBbt:0003938; lateral ganglion left WBbt:0005103; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697
6474	[6474] cluster spig-9	WBGene00011708	T11B7.5	5637.88	0.915	True	amphid sheath cell WBbt:0006754	amphid sheath cell WBbt:0006754; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; AVK WBbt:0006823
6474	[6474] cluster spig-9	WBGene00009577	F40F8.4	12213.15	0.913	True	amphid sheath cell WBbt:0006754	intestine WBbt:0005772; amphid sheath cell WBbt:0006754; epithelial system WBbt:0005730; nervous system WBbt:0005735; thermosensory neuron WBbt:0005838
6474	[6474] cluster spig-9	WBGene00011072	tag-209	3918.78	0.91	True	amphid sheath cell WBbt:0006754	intestine WBbt:0005772; amphid sheath cell WBbt:0006754; epithelial system WBbt:0005730
6474	[6474] cluster spig-9	WBGene00010512	K02E11.3	2426.99	0.909	True	amphid sheath cell WBbt:0006754	amphid sheath cell WBbt:0006754; epithelial system WBbt:0005730; nervous system WBbt:0005735
6474	[6474] cluster spig-9	WBGene00009995	spig-9	33616.2	0.908	True	amphid sheath cell WBbt:0006754	corpus WBbt:0003733; amphid sheath cell WBbt:0006754; anterior arcade cell WBbt:0005794; PLM WBbt:0005490; epithelial system WBbt:0005730; pharynx WBbt:0003681; thermosensory neuron WBbt:0005838; NSM WBbt:0003666; phasmid sheath cell WBbt:0006755
6474	[6474] cluster spig-9	WBGene00021274	Y23H5B.3	686.39	0.907	True	amphid sheath cell WBbt:0006754	excretory system WBbt:0005736; amphid sheath cell WBbt:0006754; phasmid socket cell WBbt:0008410; excretory cell WBbt:0005812; epithelial system WBbt:0005730; excretory duct cell WBbt:0004540; excretory secretory system WBbt:0006850; excretory socket cell WBbt:0004534; phasmid sheath cell WBbt:0006755
