node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
6735	[6735] cluster fkh-4	WBGene00000434	ceh-9	1384.63	0.755	True	RMDDR WBbt:0005038	PVN WBbt:0008275; GLR WBbt:0005176; AVA WBbt:0005842; ASJ WBbt:0005667; lateral ganglion right WBbt:0005101; ADF WBbt:0005660; RMDDR WBbt:0005038; RMDR WBbt:0005033; intestine WBbt:0005772; RIV WBbt:0006839; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; RMDVL WBbt:0005031; PQR WBbt:0004096; head muscle WBbt:0006761; RMDL WBbt:0005037; SMB WBbt:0005355; RMDVR WBbt:0005029; nervous system WBbt:0005735; SAA WBbt:0005397; lateral ganglion left WBbt:0005103; ALN WBbt:0006851; AWB WBbt:0005671; RIH WBbt:0003928; male WBbt:0007850; muscular system WBbt:0005737; RMDDL WBbt:0005039
6735	[6735] cluster fkh-4	WBGene00016237	C29H12.6	1139.13	0.558	True	RMDDR WBbt:0005038	SMD WBbt:0005353; AIM WBbt:0006814; SIB WBbt:0005359; DA6 WBbt:0004861; VB10 WBbt:0004625; VC6 WBbt:0004611; DA1 WBbt:0004871; VC5 WBbt:0004613; ADE WBbt:0005415; AVE WBbt:0006819; I5 neuron WBbt:0004740; SIA WBbt:0005361; excretory system WBbt:0005736; DA8 WBbt:0004858; AVA WBbt:0005842; DD1 WBbt:0004839; AVJ WBbt:0006822; AWC-ON WBbt:0005832; RIA WBbt:0006833; DB2 WBbt:0004845; DA5 WBbt:0004863; VB2 WBbt:0004641; RIB WBbt:0005834; VA1 WBbt:0004872; DA4 WBbt:0004865; corpus WBbt:0003733; DD6 WBbt:0004824; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; AVG WBbt:0003850; anchor cell WBbt:0004522; VD12 WBbt:0004587; RMDDR WBbt:0005038; RMDR WBbt:0005033; anterior ganglion WBbt:0005375; RIC WBbt:0006834; AVD WBbt:0006818; DA9 WBbt:0004857; DB6 WBbt:0004841; RIV WBbt:0006839; BAG WBbt:0006825; PVD WBbt:0006831; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; RMDVL WBbt:0005031; DA3 WBbt:0004867; epithelial system WBbt:0005730; OLL WBbt:0006847; AIB WBbt:0006813; AVK WBbt:0006823; I4 neuron WBbt:0004741; M1 neuron WBbt:0004488; RMDL WBbt:0005037; DB7 WBbt:0004840; AIZ WBbt:0005836; DA2 WBbt:0004869; RMF WBbt:0006841; SMB WBbt:0005355; RMDVR WBbt:0005029; nervous system WBbt:0005735; DD5 WBbt:0004825; somatic gonad WBbt:0005785; VC1 WBbt:0004621; pharynx WBbt:0003681; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; thermosensory neuron WBbt:0005838; RIM WBbt:0005835; VC4 WBbt:0004617; DB3 WBbt:0004844; excretory secretory system WBbt:0006850; RID WBbt:0003938; lateral ganglion left WBbt:0005103; DD3 WBbt:0004837; DD2 WBbt:0004838; excretory gland cell WBbt:0005776; sex organ WBbt:0008422; SAB WBbt:0005396; PVP WBbt:0006832; AVB WBbt:0005841; AWB WBbt:0005671; NSM WBbt:0003666; DA7 WBbt:0004859; ALA WBbt:0003955; DB5 WBbt:0004842; VB11 WBbt:0004623; DD4 WBbt:0004826; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697; preanal ganglion WBbt:0005448; RMDDL WBbt:0005039
6735	[6735] cluster fkh-4	WBGene00002991	lin-2	906.45	0.555	True	RMDDR WBbt:0005038	SMD WBbt:0005353; RME WBbt:0005399; AIM WBbt:0006814; SIB WBbt:0005359; AVE WBbt:0006819; AS11 WBbt:0003905; HSN WBbt:0006830; I5 neuron WBbt:0004740; VD8 WBbt:0004597; AVA WBbt:0005842; IL1VR WBbt:0004547; AVJ WBbt:0006822; IL1R WBbt:0004551; RIA WBbt:0006833; VA10 WBbt:0004649; DB2 WBbt:0004845; VD10 WBbt:0004591; IL1DR WBbt:0004737; VB2 WBbt:0004641; RIB WBbt:0005834; AIA WBbt:0006812; VA1 WBbt:0004872; corpus WBbt:0003733; lateral ganglion right WBbt:0005101; VA2 WBbt:0004870; RMDDR WBbt:0005038; RMDR WBbt:0005033; anterior ganglion WBbt:0005375; RIC WBbt:0006834; AVD WBbt:0006818; DA9 WBbt:0004857; DB6 WBbt:0004841; RIV WBbt:0006839; VA12 WBbt:0004645; AVH WBbt:0006821; DVA WBbt:0004823; CAN WBbt:0006827; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; RMDVL WBbt:0005031; epithelial system WBbt:0005730; AIB WBbt:0006813; AVK WBbt:0006823; ABprppaaaap WBbt:0006283; RMDL WBbt:0005037; DB7 WBbt:0004840; VA11 WBbt:0004647; SMB WBbt:0005355; VA3 WBbt:0004868; RMDVR WBbt:0005029; AS1 WBbt:0003925; VD11 WBbt:0004589; VB3 WBbt:0004639; SAA WBbt:0005397; pharynx WBbt:0003681; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; IL1VL WBbt:0004549; dorso-rectal ganglion WBbt:0005212; thermosensory neuron WBbt:0005838; RIM WBbt:0005835; DB3 WBbt:0004844; VA4 WBbt:0004866; lateral ganglion left WBbt:0005103; sex organ WBbt:0008422; SAB WBbt:0005396; ABplppaaaap WBbt:0006414; AVB WBbt:0005841; striated muscle WBbt:0005779; VB1 WBbt:0004643; AWB WBbt:0005671; RIH WBbt:0003928; NSM WBbt:0003666; IL1DL WBbt:0004738; DB5 WBbt:0004842; IL1L WBbt:0004553; VD9 WBbt:0004593; male WBbt:0007850; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697; preanal ganglion WBbt:0005448; RMDDL WBbt:0005039; cephalic sheath cell WBbt:0008406
6735	[6735] cluster fkh-4	WBGene00006064	sto-2	774.85	0.529	True	RMDDR WBbt:0005038	PVC WBbt:0005840; XXX cell WBbt:0007855; DA6 WBbt:0004861; OLQ WBbt:0006848; DA1 WBbt:0004871; ADE WBbt:0005415; AVE WBbt:0006819; DA8 WBbt:0004858; AVA WBbt:0005842; DD1 WBbt:0004839; RIA WBbt:0006833; DB2 WBbt:0004845; DA5 WBbt:0004863; CEP WBbt:0005244; AIA WBbt:0006812; AVL WBbt:0003843; DA4 WBbt:0004865; DD6 WBbt:0004824; lateral ganglion right WBbt:0005101; AVG WBbt:0003850; VD12 WBbt:0004587; RMDDR WBbt:0005038; RMDR WBbt:0005033; anterior ganglion WBbt:0005375; DA9 WBbt:0004857; PDB WBbt:0004385; DB6 WBbt:0004841; RIV WBbt:0006839; VA12 WBbt:0004645; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; RMDVL WBbt:0005031; RMG WBbt:0006842; PLM WBbt:0005490; DA3 WBbt:0004867; epithelial system WBbt:0005730; RMDL WBbt:0005037; DB7 WBbt:0004840; AIZ WBbt:0005836; DA2 WBbt:0004869; SMB WBbt:0005355; RMDVR WBbt:0005029; nervous system WBbt:0005735; DD5 WBbt:0004825; AS1 WBbt:0003925; SAA WBbt:0005397; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; PLN WBbt:0006855; dorso-rectal ganglion WBbt:0005212; thermosensory neuron WBbt:0005838; RIM WBbt:0005835; DB3 WBbt:0004844; RID WBbt:0003938; lateral ganglion left WBbt:0005103; DD3 WBbt:0004837; DD2 WBbt:0004838; ALN WBbt:0006851; RIH WBbt:0003928; DA7 WBbt:0004859; DB5 WBbt:0004842; AIY WBbt:0005413; DD4 WBbt:0004826; outer labial quadrant sensillum WBbt:0005502; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697; DVC WBbt:0004821; preanal ganglion WBbt:0005448; RMDDL WBbt:0005039
6735	[6735] cluster fkh-4	WBGene00013574	lron-13	438.89	0.518	True	RMDDR WBbt:0005038	SMD WBbt:0005353; PVC WBbt:0005840; RME WBbt:0005399; AIM WBbt:0006814; SIB WBbt:0005359; SIA WBbt:0005361; URY WBbt:0005346; AVA WBbt:0005842; RMH WBbt:0006843; AVJ WBbt:0006822; lateral ganglion right WBbt:0005101; RMDDR WBbt:0005038; RMDR WBbt:0005033; anterior ganglion WBbt:0005375; AVD WBbt:0006818; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; RMDVL WBbt:0005031; OLL WBbt:0006847; AIB WBbt:0006813; RMDL WBbt:0005037; RMDVR WBbt:0005029; nervous system WBbt:0005735; outer labial lateral sensillum WBbt:0005503; pharynx WBbt:0003681; RIM WBbt:0005835; lateral ganglion left WBbt:0005103; ALN WBbt:0006851; RMDDL WBbt:0005039
6735	[6735] cluster fkh-4	WBGene00001436	fkh-4	1637.36	0.487	False	RMDDR WBbt:0005038	ABaraaaa WBbt:0006360; ABplaaapa WBbt:0006680; ABplaaapp WBbt:0006136; ABplaapaap WBbt:0006518; XXX cell WBbt:0007855; ABpraapaaa WBbt:0005888; ABalppaa WBbt:0005944; ABprppppp WBbt:0005983; ABplpappp WBbt:0006390; ABprappp WBbt:0006702; ABprpaappa WBbt:0005940; Eala WBbt:0006104; ABalpapaap WBbt:0006023; Epla WBbt:0006661; ABplpaapa WBbt:0006115; ABprpaapap WBbt:0006105; ABalaaaa WBbt:0006427; ABaraapp WBbt:0006153; ABplaapaaa WBbt:0006069; ABplppppa WBbt:0006352; ABplpppaa WBbt:0006222; ABplpppap WBbt:0006665; body wall WBbt:0005742; ABprapaap WBbt:0006624; ABpraapaa WBbt:0006108; ABplaaaap WBbt:0006625; ABplaappa WBbt:0006519; ABplpapp WBbt:0006420; ABpraaap WBbt:0006534; anterior ganglion WBbt:0005375; ABalpaaa WBbt:0006557; Caap WBbt:0005921; ABalappa WBbt:0006157; ABarppapp WBbt:0006240; ABprpappp WBbt:0005847; ABprapap WBbt:0006678; ABplapppp WBbt:0006656; ABprapapa WBbt:0006510; ABprpapaa WBbt:0006446; ABplpappa WBbt:0006232; ABprpppaaa WBbt:0006063; ABaraaap WBbt:0005861; Epra WBbt:0006321; ABplaapap WBbt:0005887; epithelial system WBbt:0005730; ABprppaa WBbt:0005984; ABalppap WBbt:0006112; Eplp WBbt:0006496; ABaraapa WBbt:0005853; ABalpapa WBbt:0006573; ABprpppap WBbt:0006237; ABplpapa WBbt:0006087; ABplaaaaa WBbt:0006348; ABalpppa WBbt:0006649; ABarpppap WBbt:0006251; ABpraapa WBbt:0006302; ABprpppapa WBbt:0006044; ABarpapaaa WBbt:0006207; ABprpaaaap WBbt:0006721; ABplaapaa WBbt:0005866; ABplpaaa WBbt:0006315; ABplaapapa WBbt:0006120; ABprapapp WBbt:0006290; ABprppap WBbt:0006346; ABprpapa WBbt:0006259; ABplppap WBbt:0006028; ABarpaaa WBbt:0006398; ABprpppaa WBbt:0006552; ABplpppa WBbt:0006423; ABpraapap WBbt:0006062; ABalpaap WBbt:0005934; ABalaapa WBbt:0006130; MSpppp WBbt:0006409; ABaraappaa WBbt:0006636; germ line WBbt:0005784; striated muscle WBbt:0005779; ABaraapppp WBbt:0006127; Eprp WBbt:0006507; ABarpapa WBbt:0006603; ABpraapp WBbt:0006335; ABprpaap WBbt:0006253; ABplappp WBbt:0006470; ABpraaaa WBbt:0006442; ABalaaap WBbt:0005982; ABplaappp WBbt:0005948; ABarpppaa WBbt:0006041; ABplppppp WBbt:0006574; Earp WBbt:0006646; ABplpaap WBbt:0006077; ABalaapp WBbt:0006553; ABplapapp WBbt:0006413; muscular system WBbt:0005737; ABprpaaa WBbt:0006167; ABplpppp WBbt:0006647; ABprpppp WBbt:0006179; ABprappa WBbt:0006269; reproductive system WBbt:0005747; ABpraapaap WBbt:0006373; Eara WBbt:0006161; ABprpappa WBbt:0006088
6735	[6735] cluster fkh-4	WBGene00206389	C29F7.10	591.27	0.478	False	RMDDR WBbt:0005038	epithelial system WBbt:0005730; germ line WBbt:0005784; reproductive system WBbt:0005747
6735	[6735] cluster fkh-4	WBGene00003976	pes-1	651.91	0.462	False	RMDDR WBbt:0005038	MSaaap WBbt:0006160; ABaraaaa WBbt:0006360; ABplaaapa WBbt:0006680; ABplaaapp WBbt:0006136; MSppaa WBbt:0006531; dorsal uterine cell WBbt:0006782; ABalppaa WBbt:0005944; ABplpappp WBbt:0006390; ABprappp WBbt:0006702; ABpraappp WBbt:0006270; ABplpaapa WBbt:0006115; MSaapp WBbt:0006425; ABalaaaa WBbt:0006427; ABaraapp WBbt:0006153; body wall WBbt:0005742; hermaphrodite WBbt:0007849; ABpraapaa WBbt:0006108; ABplaaaap WBbt:0006625; ABplaappa WBbt:0006519; ABplpapp WBbt:0006420; ABpraaap WBbt:0006534; intestine WBbt:0005772; ventral left quadrant body wall muscle WBbt:0005818; ABalpaaa WBbt:0006557; ABprpappp WBbt:0005847; BDU WBbt:0006826; ABarppaapp WBbt:0006393; BAG WBbt:0006825; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; ABarpppapp WBbt:0006572; ABprpapaa WBbt:0006446; ABplpappa WBbt:0006232; ABaraaap WBbt:0005861; ABplaapap WBbt:0005887; MSappp WBbt:0006125; epithelial system WBbt:0005730; ABprppaa WBbt:0005984; ABalppap WBbt:0006112; ABaraapa WBbt:0005853; ABalpapa WBbt:0006573; ABarapaa WBbt:0006515; ABplpapa WBbt:0006087; nervous system WBbt:0005735; ABarappa WBbt:0006005; ABplaaaaa WBbt:0006348; ABalpppa WBbt:0006649; ABpraapa WBbt:0006302; somatic gonad WBbt:0005785; ABprpppa WBbt:0005943; ABprpaapa WBbt:0006047; pharynx WBbt:0003681; ABpraappa WBbt:0006035; ABplaapaa WBbt:0005866; ALM WBbt:0005406; ABplpaaa WBbt:0006315; ABarappp WBbt:0006524; ABprppap WBbt:0006346; MSapp WBbt:0006036; ABprpapa WBbt:0006259; ABplpppa WBbt:0006423; sex organ WBbt:0008422; ABpraapap WBbt:0006062; ABalpaap WBbt:0005934; ABalaapa WBbt:0006130; MSpppp WBbt:0006409; striated muscle WBbt:0005779; MSappa WBbt:0006717; ABpraapp WBbt:0006335; ABprpaap WBbt:0006253; ABplappp WBbt:0006470; ABpraaaa WBbt:0006442; ABalaaap WBbt:0005982; ABplaappp WBbt:0005948; male WBbt:0007850; ABplpaap WBbt:0006077; ABalaapp WBbt:0006553; muscular system WBbt:0005737; ABprpaaa WBbt:0006167; ABplpppp WBbt:0006647; ABprpppp WBbt:0006179; reproductive tract WBbt:0005744; ABprappa WBbt:0006269; reproductive system WBbt:0005747; MSapa WBbt:0005898; ABprpappa WBbt:0006088
6735	[6735] cluster fkh-4	WBGene00012391	Y6B3B.7	740.89	0.458	True	RMDDR WBbt:0005038	PVN WBbt:0008275; RME WBbt:0005399; AIM WBbt:0006814; GLR WBbt:0005176; AVJ WBbt:0006822; RIA WBbt:0006833; RIB WBbt:0005834; AVL WBbt:0003843; IL2VL WBbt:0004538; lateral ganglion right WBbt:0005101; RMDDR WBbt:0005038; RMDR WBbt:0005033; anterior ganglion WBbt:0005375; intestine WBbt:0005772; DVB WBbt:0004822; BDU WBbt:0006826; DVA WBbt:0004823; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; RMDVL WBbt:0005031; PLM WBbt:0005490; AIB WBbt:0006813; M1 neuron WBbt:0004488; RMDL WBbt:0005037; IL2DL WBbt:0004545; RMDVR WBbt:0005029; nervous system WBbt:0005735; pharynx WBbt:0003681; dorso-rectal ganglion WBbt:0005212; ALM WBbt:0005406; RIM WBbt:0005835; lateral ganglion left WBbt:0005103; IL2VR WBbt:0004537; ALN WBbt:0006851; RIH WBbt:0003928; IL2DR WBbt:0004543; muscular system WBbt:0005737; RMDDL WBbt:0005039
6735	[6735] cluster fkh-4	WBGene00018281	tbc-18	595.08	0.453	True	RMDDR WBbt:0005038	SMD WBbt:0005353; RME WBbt:0005399; AIM WBbt:0006814; AVE WBbt:0006819; I5 neuron WBbt:0004740; GLR WBbt:0005176; AVA WBbt:0005842; AUA WBbt:0006817; DD1 WBbt:0004839; RIA WBbt:0006833; RIB WBbt:0005834; AIA WBbt:0006812; corpus WBbt:0003733; DD6 WBbt:0004824; lateral ganglion right WBbt:0005101; AVG WBbt:0003850; RMDDR WBbt:0005038; RMDR WBbt:0005033; anterior ganglion WBbt:0005375; intestine WBbt:0005772; RIV WBbt:0006839; BAG WBbt:0006825; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; RMDVL WBbt:0005031; PLM WBbt:0005490; epithelial system WBbt:0005730; AIB WBbt:0006813; AVK WBbt:0006823; RMDL WBbt:0005037; RMDVR WBbt:0005029; DD5 WBbt:0004825; FLP WBbt:0006828; AWCR WBbt:0003826; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; PVR WBbt:0004072; thermosensory neuron WBbt:0005838; RIM WBbt:0005835; RIS WBbt:0005045; RID WBbt:0003938; lateral ganglion left WBbt:0005103; DD3 WBbt:0004837; DD2 WBbt:0004838; ALN WBbt:0006851; SAB WBbt:0005396; PVP WBbt:0006832; VB1 WBbt:0004643; AWB WBbt:0005671; NSM WBbt:0003666; ALA WBbt:0003955; AIY WBbt:0005413; DD4 WBbt:0004826; AWCL WBbt:0003827; muscular system WBbt:0005737; preanal ganglion WBbt:0005448; RMDDL WBbt:0005039; cephalic sheath cell WBbt:0008406
