node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
6769	[6769] cluster nxt-1	WBGene00019387	K04F1.8	11.21	0.577	False	ABalappaap WBbt:0006727	male WBbt:0007850
6769	[6769] cluster nxt-1	WBGene00022674	ZK177.9	439.65	0.559	False	ABalappaap WBbt:0006727	pm8 WBbt:0004302; intestine WBbt:0005772; pharynx WBbt:0003681; coelomic system WBbt:0005749; germ line WBbt:0005784; striated muscle WBbt:0005779; intestinal muscle WBbt:0005796; muscular system WBbt:0005737; reproductive system WBbt:0005747
6769	[6769] cluster nxt-1	WBGene00018751	F53C3.7	97.01	0.491	False	ABalappaap WBbt:0006727	Z1.p WBbt:0007023; male distal tip cell WBbt:0006864; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; Z4.a WBbt:0007025; AVK WBbt:0006823; ABprpppapa WBbt:0006044; ABprpaaaap WBbt:0006721; ABplpaaaap WBbt:0006528; MSpppaaa WBbt:0005951; ABplpppapa WBbt:0006488; MSaaaaapa WBbt:0006202; male WBbt:0007850; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
6769	[6769] cluster nxt-1	WBGene00005056	sra-30	11.21	0.438	False	ABalappaap WBbt:0006727	nervous system WBbt:0005735
6769	[6769] cluster nxt-1	WBGene00012455	Y17D7C.1	280.19	0.373	True	ABalappaap WBbt:0006727	ABalppppapa WBbt:0006705; ABalappapa WBbt:0006412; ABalppappp WBbt:0006694; RIA WBbt:0006833; DB2 WBbt:0004845; ABalapaaaa WBbt:0006002; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; ABalaapppp WBbt:0006461; ABalappaap WBbt:0006727; DB6 WBbt:0004841; BAG WBbt:0006825; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; ABalapaapp WBbt:0006504; M cell WBbt:0004489; ABarappppp WBbt:0006094; DB7 WBbt:0004840; ABalaapppa WBbt:0006026; ABalapaapa WBbt:0005981; ABalappppa WBbt:0006133; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; DB3 WBbt:0004844; lateral ganglion left WBbt:0005103; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; DB5 WBbt:0004842; uterine muscle WBbt:0005342; ABpraaapapa WBbt:0006404; muscular system WBbt:0005737; reproductive system WBbt:0005747
6769	[6769] cluster nxt-1	WBGene00016829	sre-54	44.83	0.359	False	ABalappaap WBbt:0006727	corpus WBbt:0003733; PHB WBbt:0007808; PHA WBbt:0007807; pharynx WBbt:0003681; striated muscle WBbt:0005779; NSM WBbt:0003666; muscular system WBbt:0005737
6769	[6769] cluster nxt-1	WBGene00018371	ess-2	547.7	0.354	False	ABalappaap WBbt:0006727	Q cell WBbt:0008598; corpus WBbt:0003733; hermaphrodite WBbt:0007849; epithelial system WBbt:0005730; oocyte WBbt:0006797; ABprpaaaap WBbt:0006721; pharynx WBbt:0003681; ABplpaaaap WBbt:0006528; germ line WBbt:0005784; striated muscle WBbt:0005779; NSM WBbt:0003666; muscular system WBbt:0005737; reproductive system WBbt:0005747
6769	[6769] cluster nxt-1	WBGene00019221	H20J04.6	180.97	0.333	False	ABalappaap WBbt:0006727	ABplpaappa WBbt:0006670; ABprpaappa WBbt:0005940; ABalppappa WBbt:0005975; corpus WBbt:0003733; MSpapaapa WBbt:0006627; ABarappppa WBbt:0006687; MSaapaapa WBbt:0006494; ABplpaaaaa WBbt:0005893; nervous system WBbt:0005735; ABprpaaaaa WBbt:0006027; pharynx WBbt:0003681; NSM WBbt:0003666
6769	[6769] cluster nxt-1	WBGene00016864	C52A10.3	168.11	0.332	False	ABalappaap WBbt:0006727	AVE WBbt:0006819; nociceptor neuron WBbt:0008434; ASJ WBbt:0005667; CEP WBbt:0005244; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; ADF WBbt:0005660; osmosensory neuron WBbt:0008433; anterior ganglion WBbt:0005375; AVD WBbt:0006818; lumbar ganglion right WBbt:0005601; ASI WBbt:0005666; CAN WBbt:0006827; somatic nervous system WBbt:0005760; ABplaaaaapp WBbt:0006428; AWA WBbt:0005670; oocyte WBbt:0006797; dorso-rectal ganglion WBbt:0005212; PVR WBbt:0004072; thermosensory neuron WBbt:0005838; anal sphincter muscle WBbt:0005798; lateral ganglion left WBbt:0005103; ADL WBbt:0005661; ABalpppppp WBbt:0006396; ASG WBbt:0005664; germ line WBbt:0005784; AWB WBbt:0005671; ABplapappp WBbt:0006630; ABprapappp WBbt:0006587; ABarpapaapp WBbt:0006075; ASE WBbt:0005663; muscular system WBbt:0005737; ASK WBbt:0005668; DVC WBbt:0004821; ABpraaappp WBbt:0006194
6769	[6769] cluster nxt-1	WBGene00006242	str-209	22.41	0.32	False	ABalappaap WBbt:0006727	ABalpapaap WBbt:0006023; ABarappaap WBbt:0006103
6769	[6769] cluster nxt-1	WBGene00017583	F19B10.1	338.97	0.303	True	ABalappaap WBbt:0006727	ABalappapa WBbt:0006412; OLQ WBbt:0006848; ADE WBbt:0005415; AVE WBbt:0006819; I5 neuron WBbt:0004740; GLR WBbt:0005176; DD1 WBbt:0004839; Z1.p WBbt:0007023; CEP WBbt:0005244; ABalapaaaa WBbt:0006002; Q cell WBbt:0008598; male distal tip cell WBbt:0006864; ABalappaap WBbt:0006727; PHB WBbt:0007808; PHA WBbt:0007807; BAG WBbt:0006825; PVD WBbt:0006831; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; OLL WBbt:0006847; PQR WBbt:0004096; Z4.a WBbt:0007025; AQR WBbt:0003927; ABalaapppa WBbt:0006026; ABalapaapa WBbt:0005981; nervous system WBbt:0005735; FLP WBbt:0006828; PDE WBbt:0006747; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; PVR WBbt:0004072; thermosensory neuron WBbt:0005838; SAB WBbt:0005396; germ line WBbt:0005784; striated muscle WBbt:0005779; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
6769	[6769] cluster nxt-1	WBGene00015160	B0361.6	603.18	0.298	False	ABalappaap WBbt:0006727	excretory system WBbt:0005736; hermaphrodite WBbt:0007849; spermatheca WBbt:0005319; intestine WBbt:0005772; excretory cell WBbt:0005812; muscle of the reproductive system WBbt:0005786; nervous system WBbt:0005735; somatic gonad WBbt:0005785; pharynx WBbt:0003681; excretory secretory system WBbt:0006850; germ line WBbt:0005784; striated muscle WBbt:0005779; germline precursor cell WBbt:0006849; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
6769	[6769] cluster nxt-1	WBGene00004085	pph-4.1	669.51	0.297	False	ABalappaap WBbt:0006727	Psub1 WBbt:0006874; Q cell WBbt:0008598; gonadal primordium WBbt:0008366; PLM WBbt:0005490; ABplpaaapa WBbt:0006093; ABprpaaapa WBbt:0006149; nervous system WBbt:0005735; ABarpapaaa WBbt:0006207; germ line WBbt:0005784; ABplaaaaaa WBbt:0006330; reproductive system WBbt:0005747
