node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
7019	[7019] cluster msra-1	WBGene00011487	T05E12.6	1091.4	0.697	True	intestine WBbt:0005772	I5 neuron WBbt:0004740; intestine WBbt:0005772; ABaraapppaa WBbt:0006566; somatic nervous system WBbt:0005760; nervous system WBbt:0005735; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; SAB WBbt:0005396; RIH WBbt:0003928; ABaraapapaa WBbt:0006455
7019	[7019] cluster msra-1	WBGene00018393	msra-1	2352.22	0.646	True	intestine WBbt:0005772	SIB WBbt:0005359; VC5 WBbt:0004613; ABplapapppp WBbt:0006209; Q cell WBbt:0008598; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; intestine WBbt:0005772; BDU WBbt:0006826; ABarppaapp WBbt:0006393; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; ABarpppapp WBbt:0006572; PLM WBbt:0005490; epithelial system WBbt:0005730; ALM WBbt:0005406; PVR WBbt:0004072; thermosensory neuron WBbt:0005838; VC4 WBbt:0004617; lateral ganglion left WBbt:0005103; sex organ WBbt:0008422; ABprapapppp WBbt:0006021; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive system WBbt:0005747
7019	[7019] cluster msra-1	WBGene00005444	srh-237	159.21	0.64	True	intestine WBbt:0005772	intestine WBbt:0005772
7019	[7019] cluster msra-1	WBGene00008097	ugt-15	171.41	0.6	True	intestine WBbt:0005772	ut4 WBbt:0006788; hermaphrodite WBbt:0007849; intestine WBbt:0005772; epithelial system WBbt:0005730; somatic gonad WBbt:0005785; sex organ WBbt:0008422; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
7019	[7019] cluster msra-1	WBGene00004062	pmp-5	938.55	0.55	True	intestine WBbt:0005772	hermaphrodite WBbt:0007849; intestine WBbt:0005772; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; muscle of the reproductive system WBbt:0005786; nervous system WBbt:0005735; somatic gonad WBbt:0005785; pharynx WBbt:0003681; sex organ WBbt:0008422; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
7019	[7019] cluster msra-1	WBGene00011184	R09H10.7	355.55	0.511	True	intestine WBbt:0005772	excretory system WBbt:0005736; hyp2 WBbt:0004692; intestine WBbt:0005772; amphid sheath cell WBbt:0006754; g1AL WBbt:0004532; g1P WBbt:0004528; excretory cell WBbt:0005812; g1AR WBbt:0004530; epithelial system WBbt:0005730; pharynx WBbt:0003681; coelomic system WBbt:0005749; excretory secretory system WBbt:0006850; phasmid sheath cell WBbt:0006755
7019	[7019] cluster msra-1	WBGene00017364	clec-7	59.69	0.437	True	intestine WBbt:0005772	intestine WBbt:0005772; PVD WBbt:0006831; OLL WBbt:0006847; nervous system WBbt:0005735
7019	[7019] cluster msra-1	WBGene00013750	Y113G7A.13	45.67	0.406	True	intestine WBbt:0005772	intestine WBbt:0005772
7019	[7019] cluster msra-1	WBGene00015052	clec-52	188.15	0.392	True	intestine WBbt:0005772	gonad arm WBbt:0008629; XXX cell WBbt:0007855; hermaphrodite distal tip cell WBbt:0006863; GLR WBbt:0005176; hermaphrodite WBbt:0007849; anterior ganglion WBbt:0005375; intestine WBbt:0005772; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; nervous system WBbt:0005735; somatic gonad WBbt:0005785; pharynx WBbt:0003681; coelomic system WBbt:0005749; PVP WBbt:0006832; male WBbt:0007850; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; preanal ganglion WBbt:0005448
7019	[7019] cluster msra-1	WBGene00005941	srx-50	31.66	0.345	False	intestine WBbt:0005772	nociceptor neuron WBbt:0008434; ASJ WBbt:0005667; AWC-ON WBbt:0005832; ADF WBbt:0005660; osmosensory neuron WBbt:0008433; ASI WBbt:0005666; AWA WBbt:0005670; nervous system WBbt:0005735; thermosensory neuron WBbt:0005838; lateral ganglion left WBbt:0005103; ADL WBbt:0005661; ASG WBbt:0005664; AWB WBbt:0005671; AWCL WBbt:0003827; ASE WBbt:0005663; ASK WBbt:0005668
7019	[7019] cluster msra-1	WBGene00017301	hach-1	820.07	0.302	True	intestine WBbt:0005772	hermaphrodite WBbt:0007849; intestine WBbt:0005772; PLM WBbt:0005490; nervous system WBbt:0005735; germ line WBbt:0005784; muscular system WBbt:0005737; reproductive system WBbt:0005747
7019	[7019] cluster msra-1	WBGene00284848	M02E1.4	59.69	0.279	False	intestine WBbt:0005772	SMD WBbt:0005353; lateral ganglion right WBbt:0005101; RIV WBbt:0006839; somatic nervous system WBbt:0005760; SMB WBbt:0005355; SAA WBbt:0005397; lateral ganglion left WBbt:0005103; male WBbt:0007850
7019	[7019] cluster msra-1	WBGene00077684	Y26D4A.21	31.66	0.269	True	intestine WBbt:0005772	intestine WBbt:0005772; pharynx WBbt:0003681; muscular system WBbt:0005737
