node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
7054	[7054] cluster bath-36	WBGene00013569	bath-36	1013.86	0.681	False	germline precursor cell WBbt:0006849	I5 neuron WBbt:0004740; somatic nervous system WBbt:0005760; AVK WBbt:0006823; nervous system WBbt:0005735; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; SAB WBbt:0005396; germ line WBbt:0005784; striated muscle WBbt:0005779; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
7054	[7054] cluster bath-36	WBGene00009222	fbxa-95	343.59	0.623	True	germline precursor cell WBbt:0006849	intestine WBbt:0005772; Y cell WBbt:0004578; epithelial system WBbt:0005730; germ line WBbt:0005784; germline precursor cell WBbt:0006849; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
7054	[7054] cluster bath-36	WBGene00009225	fbxa-94	123.15	0.584	True	germline precursor cell WBbt:0006849	I5 neuron WBbt:0004740; intestine WBbt:0005772; somatic nervous system WBbt:0005760; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; SAB WBbt:0005396; germline precursor cell WBbt:0006849; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697
7054	[7054] cluster bath-36	WBGene00017141	EEED8.13	78.32	0.554	False	germline precursor cell WBbt:0006849	germ line WBbt:0005784; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
7054	[7054] cluster bath-36	WBGene00003083	lst-1	728.97	0.535	False	germline precursor cell WBbt:0006849	gonad arm WBbt:0008629; XXX cell WBbt:0007855; ABprppppaa WBbt:0006642; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; ADF WBbt:0005660; anterior ganglion WBbt:0005375; intestine WBbt:0005772; gonadal primordium WBbt:0008366; epithelial system WBbt:0005730; oocyte WBbt:0006797; nervous system WBbt:0005735; pharynx WBbt:0003681; lateral ganglion left WBbt:0005103; ABplppppaa WBbt:0006109; germ line WBbt:0005784; AWB WBbt:0005671; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
7054	[7054] cluster bath-36	WBGene00012104	sygl-1	852.5	0.525	True	germline precursor cell WBbt:0006849	gonad arm WBbt:0008629; hermaphrodite WBbt:0007849; oocyte WBbt:0006797; nervous system WBbt:0005735; germ line WBbt:0005784; germline precursor cell WBbt:0006849; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
7054	[7054] cluster bath-36	WBGene00015843	C16C8.5	189.98	0.501	True	germline precursor cell WBbt:0006849	I5 neuron WBbt:0004740; hermaphrodite WBbt:0007849; somatic nervous system WBbt:0005760; oocyte WBbt:0006797; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; thermosensory neuron WBbt:0005838; SAB WBbt:0005396; germ line WBbt:0005784; germline precursor cell WBbt:0006849; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697
7054	[7054] cluster bath-36	WBGene00077585	T01G5.8	54.92	0.456	True	germline precursor cell WBbt:0006849	ABalppappp WBbt:0006694; ABplppaapa WBbt:0006205; ABalaapppp WBbt:0006461; ABalapaapp WBbt:0006504; ABarappppp WBbt:0006094; ABalappppa WBbt:0006133; ABprppaapa WBbt:0006079; germline precursor cell WBbt:0006849
7054	[7054] cluster bath-36	WBGene00016169	C27F2.7	141.11	0.399	True	germline precursor cell WBbt:0006849	I5 neuron WBbt:0004740; G cell WBbt:0008599; intestine WBbt:0005772; somatic nervous system WBbt:0005760; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; nervous system WBbt:0005735; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; SAB WBbt:0005396; germ line WBbt:0005784; germline precursor cell WBbt:0006849; W cell WBbt:0004583; reproductive system WBbt:0005747
7054	[7054] cluster bath-36	WBGene00050936	ZK856.16	186.57	0.391	False	germline precursor cell WBbt:0006849	ABprapaaaa WBbt:0006648; hermaphrodite WBbt:0007849; anchor cell WBbt:0004522; ABplppppap WBbt:0005919; somatic gonad WBbt:0005785; thermosensory neuron WBbt:0005838; ABplapaaaa WBbt:0006221; germ line WBbt:0005784; reproductive tract WBbt:0005744; ABprppppap WBbt:0006439
7054	[7054] cluster bath-36	WBGene00021269	Y23H5A.2	140.94	0.373	False	germline precursor cell WBbt:0006849	PVC WBbt:0005840; OLQ WBbt:0006848; ADE WBbt:0005415; AVE WBbt:0006819; nociceptor neuron WBbt:0008434; AVA WBbt:0005842; ABalppappp WBbt:0006694; ASJ WBbt:0005667; ABplpaaapp WBbt:0005877; CEP WBbt:0005244; Q cell WBbt:0008598; hermaphrodite WBbt:0007849; ABplppaapa WBbt:0006205; AVG WBbt:0003850; ADF WBbt:0005660; osmosensory neuron WBbt:0008433; intestine WBbt:0005772; AVD WBbt:0006818; ABalaapppp WBbt:0006461; PHB WBbt:0007808; PHA WBbt:0007807; BAG WBbt:0006825; lumbar ganglion right WBbt:0005601; ASI WBbt:0005666; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; ABalapaapp WBbt:0006504; OLL WBbt:0006847; ABarappppp WBbt:0006094; PQR WBbt:0004096; AQR WBbt:0003927; ABalapapap WBbt:0005910; AWA WBbt:0005670; oocyte WBbt:0006797; ABalappppa WBbt:0006133; FLP WBbt:0006828; PDE WBbt:0006747; retrovesicular ganglion WBbt:0005656; ABprpaaapp WBbt:0005868; PVR WBbt:0004072; thermosensory neuron WBbt:0005838; RIM WBbt:0005835; ABprppaapa WBbt:0006079; ABalapppap WBbt:0006015; ADL WBbt:0005661; ASG WBbt:0005664; germ line WBbt:0005784; AWB WBbt:0005671; ABplapappp WBbt:0006630; ABprapappp WBbt:0006587; ASE WBbt:0005663; ASK WBbt:0005668
7054	[7054] cluster bath-36	WBGene00007065	pot-3	105.69	0.366	False	germline precursor cell WBbt:0006849	hermaphrodite WBbt:0007849; PDE socket cell WBbt:0008421; phasmid socket cell WBbt:0008410; epithelial system WBbt:0005730; oocyte WBbt:0006797; nervous system WBbt:0005735; ABaraapapp WBbt:0005999; B cell WBbt:0003825; coelomic system WBbt:0005749; germ line WBbt:0005784; ABaraapppp WBbt:0006127; reproductive system WBbt:0005747
7054	[7054] cluster bath-36	WBGene00017101	E02H9.3	115.4	0.364	True	germline precursor cell WBbt:0006849	intestine WBbt:0005772; nervous system WBbt:0005735; germline precursor cell WBbt:0006849; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697
7054	[7054] cluster bath-36	WBGene00016767	C49C8.3	61.04	0.362	True	germline precursor cell WBbt:0006849	hermaphrodite WBbt:0007849; intestine WBbt:0005772; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; AVK WBbt:0006823; oocyte WBbt:0006797; somatic gonad WBbt:0005785; sex organ WBbt:0008422; germ line WBbt:0005784; germline precursor cell WBbt:0006849; uv1 WBbt:0006791; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
7054	[7054] cluster bath-36	WBGene00009576	F40F8.3	91.36	0.349	False	germline precursor cell WBbt:0006849	I5 neuron WBbt:0004740; intestine WBbt:0005772; gonadal primordium WBbt:0008366; epithelial system WBbt:0005730; pharynx WBbt:0003681; thermosensory neuron WBbt:0005838; pharyngeal-intestinal valve WBbt:0005767; germ line WBbt:0005784; reproductive system WBbt:0005747
7054	[7054] cluster bath-36	WBGene00016383	zgpa-1	148.28	0.338	False	germline precursor cell WBbt:0006849	hermaphrodite WBbt:0007849; anchor cell WBbt:0004522; intestine WBbt:0005772; PVD WBbt:0006831; OLL WBbt:0006847; oocyte WBbt:0006797; somatic gonad WBbt:0005785; thermosensory neuron WBbt:0005838; germ line WBbt:0005784; reproductive tract WBbt:0005744
7054	[7054] cluster bath-36	WBGene00020183	T03D3.5	80.62	0.325	False	germline precursor cell WBbt:0006849	hermaphrodite WBbt:0007849; lumbar ganglion right WBbt:0005601; PLM WBbt:0005490; oocyte WBbt:0006797; germ line WBbt:0005784; striated muscle WBbt:0005779; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697
7054	[7054] cluster bath-36	WBGene00021867	Y54F10BM.13	133.49	0.309	False	germline precursor cell WBbt:0006849	Z1.p WBbt:0007023; hermaphrodite WBbt:0007849; male distal tip cell WBbt:0006864; gonadal primordium WBbt:0008366; Z4.a WBbt:0007025; oocyte WBbt:0006797; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
7054	[7054] cluster bath-36	WBGene00016262	C30F12.3	59.16	0.305	False	germline precursor cell WBbt:0006849	Psub1 WBbt:0006874; AIA WBbt:0006812; ASI WBbt:0005666; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; nervous system WBbt:0005735; F cell WBbt:0004799; lateral ganglion left WBbt:0005103; AWB WBbt:0005671; AIY WBbt:0005413; U cell WBbt:0004942; cephalic sheath cell WBbt:0008406
7054	[7054] cluster bath-36	WBGene00016341	mtq-2	105.76	0.298	True	germline precursor cell WBbt:0006849	pm8 WBbt:0004302; I5 neuron WBbt:0004740; DB2 WBbt:0004845; hermaphrodite WBbt:0007849; pm7 WBbt:0003721; RIC WBbt:0006834; DB6 WBbt:0004841; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; DB7 WBbt:0004840; SMB WBbt:0005355; M5 neuron WBbt:0004465; somatic gonad WBbt:0005785; pharynx WBbt:0003681; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; PLN WBbt:0006855; DB3 WBbt:0004844; lateral ganglion left WBbt:0005103; ALN WBbt:0006851; sex organ WBbt:0008422; SAB WBbt:0005396; germ line WBbt:0005784; VB1 WBbt:0004643; germline precursor cell WBbt:0006849; SDQ WBbt:0006844; DB5 WBbt:0004842; posterior lateral ganglion WBbt:0005465; uv1 WBbt:0006791; muscular system WBbt:0005737; reproductive tract WBbt:0005744
7054	[7054] cluster bath-36	WBGene00015642	C09E7.8	109.94	0.298	True	germline precursor cell WBbt:0006849	Q cell WBbt:0008598; lateral ganglion right WBbt:0005101; intestine WBbt:0005772; gonadal primordium WBbt:0008366; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; pharynx WBbt:0003681; germ line WBbt:0005784; germline precursor cell WBbt:0006849; ASE WBbt:0005663
7054	[7054] cluster bath-36	WBGene00044917	F40F8.12	62.39	0.298	False	germline precursor cell WBbt:0006849	hook sensillum WBbt:0006930; IL2L WBbt:0004541; IL2VL WBbt:0004538; Q cell WBbt:0008598; IL2R WBbt:0004539; anterior ganglion WBbt:0005375; intestine WBbt:0005772; IL2DL WBbt:0004545; ray WBbt:0006941; nervous system WBbt:0005735; IL2VR WBbt:0004537; IL2DR WBbt:0004543; male WBbt:0007850
7054	[7054] cluster bath-36	WBGene00012640	Y38H8A.7	57.22	0.272	True	germline precursor cell WBbt:0006849	hermaphrodite WBbt:0007849; oocyte WBbt:0006797; germline precursor cell WBbt:0006849
7054	[7054] cluster bath-36	WBGene00021797	plep-1	21.02	0.266	False	germline precursor cell WBbt:0006849	excretory system WBbt:0005736; ABprapaaaa WBbt:0006648; anterior ganglion WBbt:0005375; ILshDL WBbt:0004533; anterior arcade cell WBbt:0005794; excretory cell WBbt:0005812; epithelial system WBbt:0005730; OL sheath cell WBbt:0008413; excretory secretory system WBbt:0006850; ABplapaaaa WBbt:0006221; outer labial quadrant sensillum WBbt:0005502
7054	[7054] cluster bath-36	WBGene00021374	Y37E11B.1	96.88	0.242	False	germline precursor cell WBbt:0006849	DA6 WBbt:0004861; I5 neuron WBbt:0004740; DA8 WBbt:0004858; PVD WBbt:0006831; somatic nervous system WBbt:0005760; OLL WBbt:0006847; FLP WBbt:0006828; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; thermosensory neuron WBbt:0005838; SAB WBbt:0005396; DA7 WBbt:0004859; preanal ganglion WBbt:0005448
7054	[7054] cluster bath-36	WBGene00219399	Y55F3AM.21	23.41	0.239	False	germline precursor cell WBbt:0006849	ABpraaapppp WBbt:0005931; ABprapppapp WBbt:0006743; anterior arcade cell WBbt:0005794; epithelial system WBbt:0005730; ABalppppppp WBbt:0006599; ABplapppapp WBbt:0005970; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697
7054	[7054] cluster bath-36	WBGene00044493	Y54G2A.50	66.99	0.236	False	germline precursor cell WBbt:0006849	nervous system WBbt:0005735; germ line WBbt:0005784; MSaaaaapa WBbt:0006202; reproductive system WBbt:0005747
7054	[7054] cluster bath-36	WBGene00007114	mttu-1	44.38	0.228	True	germline precursor cell WBbt:0006849	hermaphrodite WBbt:0007849; gonadal primordium WBbt:0008366; oocyte WBbt:0006797; nervous system WBbt:0005735; thermosensory neuron WBbt:0005838; germ line WBbt:0005784; striated muscle WBbt:0005779; germline precursor cell WBbt:0006849; muscular system WBbt:0005737; reproductive system WBbt:0005747
7054	[7054] cluster bath-36	WBGene00008370	D1054.1	138.89	0.193	False	germline precursor cell WBbt:0006849	hermaphrodite WBbt:0007849; spermatheca WBbt:0005319; intestine WBbt:0005772; PVD WBbt:0006831; OLL WBbt:0006847; oocyte WBbt:0006797; germ line WBbt:0005784; intestinal muscle WBbt:0005796; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697; rectal muscle WBbt:0005803
7054	[7054] cluster bath-36	WBGene00021755	hpo-38	22.01	0.188	False	germline precursor cell WBbt:0006849	SIB WBbt:0005359; SIA WBbt:0005361; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; g2 WBbt:0003710; AWA WBbt:0005670; pharynx WBbt:0003681; mc3 WBbt:0003707; lateral ganglion left WBbt:0005103; pharyngeal-intestinal valve WBbt:0005767; germ line WBbt:0005784; reproductive system WBbt:0005747
7054	[7054] cluster bath-36	WBGene00000543	clp-2	65.76	0.187	False	germline precursor cell WBbt:0006849	intestine WBbt:0005772; epithelial system WBbt:0005730; g2 WBbt:0003710; ABplapaaap WBbt:0006317; pharynx WBbt:0003681; germ line WBbt:0005784; muscular system WBbt:0005737; ABprapaaap WBbt:0005977; reproductive system WBbt:0005747
7054	[7054] cluster bath-36	WBGene00001162	efl-2	33.4	0.166	False	germline precursor cell WBbt:0006849	hermaphrodite WBbt:0007849; spermatheca WBbt:0005319; intestine WBbt:0005772; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; head muscle WBbt:0006761; ABplapaaap WBbt:0006317; nervous system WBbt:0005735; pharynx WBbt:0003681; PVR WBbt:0004072; thermosensory neuron WBbt:0005838; germ line WBbt:0005784; muscular system WBbt:0005737; ABprapaaap WBbt:0005977; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
7054	[7054] cluster bath-36	WBGene00050947	K07C5.13	31.82	0.152	False	germline precursor cell WBbt:0006849	ABplaapaap WBbt:0006518; ABplppaapa WBbt:0006205; ABprppaapa WBbt:0006079; ABpraapaap WBbt:0006373
