node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
7055	[7055] cluster erh-1	WBGene00021658	Y48G1A.2	839.28	0.78	True	germ line WBbt:0005784	CEPsoDR WBbt:0004919; CEPsoVR WBbt:0004917; hermaphrodite WBbt:0007849; anterior ganglion WBbt:0005375; epithelial system WBbt:0005730; CEPsoVL WBbt:0004918; oocyte WBbt:0006797; nervous system WBbt:0005735; thermosensory neuron WBbt:0005838; germ line WBbt:0005784; germline precursor cell WBbt:0006849; CEPsoDL WBbt:0004921; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
7055	[7055] cluster erh-1	WBGene00007109	edg-1	380.83	0.692	True	germ line WBbt:0005784	hermaphrodite WBbt:0007849; oocyte WBbt:0006797; germ line WBbt:0005784; germline precursor cell WBbt:0006849; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
7055	[7055] cluster erh-1	WBGene00001482	fog-2	243.1	0.678	True	germ line WBbt:0005784	ABplpppaaa WBbt:0006025; I5 neuron WBbt:0004740; somatic nervous system WBbt:0005760; ABprpppaaa WBbt:0006063; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; thermosensory neuron WBbt:0005838; SAB WBbt:0005396; germ line WBbt:0005784; germline precursor cell WBbt:0006849; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
7055	[7055] cluster erh-1	WBGene00020951	sna-1	1523.28	0.677	True	germ line WBbt:0005784	somatic cell WBbt:0008378; hermaphrodite WBbt:0007849; intestine WBbt:0005772; oocyte WBbt:0006797; nervous system WBbt:0005735; ABpraaaapa WBbt:0006376; ABalpppapa WBbt:0005930; germ line WBbt:0005784; germline precursor cell WBbt:0006849; reproductive system WBbt:0005747
7055	[7055] cluster erh-1	WBGene00011892	erh-1	2384.56	0.663	True	germ line WBbt:0005784	Q cell WBbt:0008598; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; gonadal primordium WBbt:0008366; epithelial system WBbt:0005730; oocyte WBbt:0006797; thermosensory neuron WBbt:0005838; germ line WBbt:0005784; germline precursor cell WBbt:0006849; ASE WBbt:0005663; reproductive system WBbt:0005747
7055	[7055] cluster erh-1	WBGene00022830	ZK973.1	628.43	0.656	True	germ line WBbt:0005784	rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; pharynx WBbt:0003681; germ line WBbt:0005784; germline precursor cell WBbt:0006849; muscular system WBbt:0005737; reproductive system WBbt:0005747
7055	[7055] cluster erh-1	WBGene00045407	T07D4.5	498.96	0.652	True	germ line WBbt:0005784	ABprapaaaa WBbt:0006648; hermaphrodite WBbt:0007849; ABalpppppa WBbt:0006638; ABpraaappa WBbt:0006483; oocyte WBbt:0006797; thermosensory neuron WBbt:0005838; ABplapaaaa WBbt:0006221; germ line WBbt:0005784; reproductive system WBbt:0005747
7055	[7055] cluster erh-1	WBGene00015150	B0336.13	458.72	0.649	True	germ line WBbt:0005784	I5 neuron WBbt:0004740; Q cell WBbt:0008598; hermaphrodite WBbt:0007849; somatic nervous system WBbt:0005760; oocyte WBbt:0006797; nervous system WBbt:0005735; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; SAB WBbt:0005396; germ line WBbt:0005784; reproductive system WBbt:0005747
7055	[7055] cluster erh-1	WBGene00011271	flad-1	400.01	0.649	True	germ line WBbt:0005784	Q cell WBbt:0008598; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; PVD WBbt:0006831; DVA WBbt:0004823; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; OLL WBbt:0006847; AVK WBbt:0006823; oocyte WBbt:0006797; dorso-rectal ganglion WBbt:0005212; germ line WBbt:0005784; germline precursor cell WBbt:0006849; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive system WBbt:0005747
7055	[7055] cluster erh-1	WBGene00015095	B0261.7	585.25	0.626	True	germ line WBbt:0005784	I5 neuron WBbt:0004740; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; nervous system WBbt:0005735; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; SAB WBbt:0005396; germ line WBbt:0005784; germline precursor cell WBbt:0006849; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697; Psub3 WBbt:0006875
