node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
7060	[7060] cluster dct-16	WBGene00012615	dct-16	93957.11	0.927	True	intestine WBbt:0005772	I5 neuron WBbt:0004740; ASJ WBbt:0005667; I6 neuron WBbt:0004739; corpus WBbt:0003733; lateral ganglion right WBbt:0005101; intestine WBbt:0005772; somatic nervous system WBbt:0005760; M2 neuron WBbt:0003634; epithelial system WBbt:0005730; g2 WBbt:0003710; I1 neuron WBbt:0003649; M5 neuron WBbt:0004465; ABplapaaap WBbt:0006317; nervous system WBbt:0005735; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; mc3 WBbt:0003707; lateral ganglion left WBbt:0005103; SAB WBbt:0005396; germ line WBbt:0005784; MSaaaaapa WBbt:0006202; I3 neuron WBbt:0004742; I2 neuron WBbt:0003645; muscular system WBbt:0005737; ABprapaaap WBbt:0005977; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
7060	[7060] cluster dct-16	WBGene00018195	btb-16	679.95	0.701	True	intestine WBbt:0005772	GLR WBbt:0005176; intestine WBbt:0005772; ABarppaapp WBbt:0006393; PVD WBbt:0006831; ABarpppapp WBbt:0006572; epithelial system WBbt:0005730; OLL WBbt:0006847; nervous system WBbt:0005735; rectal valve cell WBbt:0005797; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697
7060	[7060] cluster dct-16	WBGene00001243	elo-5	1927.5	0.677	True	intestine WBbt:0005772	I5 neuron WBbt:0004740; GLR WBbt:0005176; intestine WBbt:0005772; PVD WBbt:0006831; somatic nervous system WBbt:0005760; OLL WBbt:0006847; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; SAB WBbt:0005396; germ line WBbt:0005784; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
7060	[7060] cluster dct-16	WBGene00016649	fbxc-1	2064.06	0.66	True	intestine WBbt:0005772	intestine WBbt:0005772
7060	[7060] cluster dct-16	WBGene00019073	fbxc-3	2033.35	0.654	True	intestine WBbt:0005772	intestine WBbt:0005772
7060	[7060] cluster dct-16	WBGene00018435	btb-9	428.51	0.651	True	intestine WBbt:0005772	intestine WBbt:0005772; thermosensory neuron WBbt:0005838; striated muscle WBbt:0005779; muscular system WBbt:0005737
7060	[7060] cluster dct-16	WBGene00016648	fbxc-2	1958.75	0.648	True	intestine WBbt:0005772	intestine WBbt:0005772
7060	[7060] cluster dct-16	WBGene00016646	fbxc-5	1893.68	0.635	True	intestine WBbt:0005772	intestine WBbt:0005772
7060	[7060] cluster dct-16	WBGene00017727	F22H10.3	2864.23	0.632	True	intestine WBbt:0005772	spermathecal-uterine junction WBbt:0006756; K' cell WBbt:0004497; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; intestine WBbt:0005772; Y cell WBbt:0004578; PVD WBbt:0006831; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; OLL WBbt:0006847; muscle of the reproductive system WBbt:0005786; nervous system WBbt:0005735; somatic gonad WBbt:0005785; F cell WBbt:0004799; K cell WBbt:0004499; B cell WBbt:0003825; dorso-rectal ganglion WBbt:0005212; rectal valve cell WBbt:0005797; PVR WBbt:0004072; thermosensory neuron WBbt:0005838; pharyngeal-intestinal valve WBbt:0005767; sex organ WBbt:0008422; uv3 WBbt:0006793; germ line WBbt:0005784; PVW WBbt:0008438; uv2 WBbt:0006792; U cell WBbt:0004942; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
7060	[7060] cluster dct-16	WBGene00016647	fbxc-4	1934.38	0.627	True	intestine WBbt:0005772	intestine WBbt:0005772
