node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
7199	[7199] cluster ptb-1	WBGene00019684	K12H6.4	412.94	0.842	True	lateral ganglion right WBbt:0005101	AVE WBbt:0006819; RIA WBbt:0006833; lateral ganglion right WBbt:0005101; somatic nervous system WBbt:0005760; AIB WBbt:0006813; SMB WBbt:0005355; nervous system WBbt:0005735; lateral ganglion left WBbt:0005103; male WBbt:0007850
7199	[7199] cluster ptb-1	WBGene00019689	K12H6.9	338.34	0.831	True	lateral ganglion right WBbt:0005101	RIA WBbt:0006833; lateral ganglion right WBbt:0005101; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; AIB WBbt:0006813; SMB WBbt:0005355; nervous system WBbt:0005735; lateral ganglion left WBbt:0005103; ALN WBbt:0006851; germ line WBbt:0005784; male WBbt:0007850; reproductive system WBbt:0005747
7199	[7199] cluster ptb-1	WBGene00005610	srj-22	5.11	0.577	True	lateral ganglion right WBbt:0005101	lateral ganglion right WBbt:0005101; somatic nervous system WBbt:0005760; AWA WBbt:0005670; AWCR WBbt:0003826; lateral ganglion left WBbt:0005103; male WBbt:0007850; AWCL WBbt:0003827
7199	[7199] cluster ptb-1	WBGene00019856	R03H10.4	20.43	0.56	False	lateral ganglion right WBbt:0005101	germ line WBbt:0005784; male WBbt:0007850; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
7199	[7199] cluster ptb-1	WBGene00001548	gcy-23	435.55	0.534	True	lateral ganglion right WBbt:0005101	lateral ganglion right WBbt:0005101; PLM WBbt:0005490; thermosensory neuron WBbt:0005838; lateral ganglion left WBbt:0005103; ASE WBbt:0005663
7199	[7199] cluster ptb-1	WBGene00016160	C27D6.1	644.27	0.532	True	lateral ganglion right WBbt:0005101	OLQ WBbt:0006848; K' cell WBbt:0004497; CEP WBbt:0005244; AVL WBbt:0003843; lateral ganglion right WBbt:0005101; RMDDR WBbt:0005038; RMDR WBbt:0005033; anterior ganglion WBbt:0005375; Y cell WBbt:0004578; somatic nervous system WBbt:0005760; RMDVL WBbt:0005031; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; RMDL WBbt:0005037; RMDVR WBbt:0005029; nervous system WBbt:0005735; F cell WBbt:0004799; K cell WBbt:0004499; B cell WBbt:0003825; lateral ganglion left WBbt:0005103; U cell WBbt:0004942; outer labial quadrant sensillum WBbt:0005502; RMDDL WBbt:0005039
7199	[7199] cluster ptb-1	WBGene00001535	gcy-8	356.36	0.52	True	lateral ganglion right WBbt:0005101	lateral ganglion right WBbt:0005101; PLM WBbt:0005490; thermosensory neuron WBbt:0005838; lateral ganglion left WBbt:0005103; ASE WBbt:0005663
7199	[7199] cluster ptb-1	WBGene00012616	dct-14	381.26	0.511	True	lateral ganglion right WBbt:0005101	AUA WBbt:0006817; ASJ WBbt:0005667; lateral ganglion right WBbt:0005101; ASI WBbt:0005666; nervous system WBbt:0005735; lateral ganglion left WBbt:0005103
7199	[7199] cluster ptb-1	WBGene00021897	ser-6	153.16	0.489	True	lateral ganglion right WBbt:0005101	SMD WBbt:0005353; RME WBbt:0005399; SIB WBbt:0005359; URB WBbt:0006845; ADE WBbt:0005415; PVM WBbt:0004086; SIA WBbt:0005361; URA WBbt:0005225; IL1DR WBbt:0004737; CEP WBbt:0005244; AVL WBbt:0003843; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; RMDDR WBbt:0005038; RMDR WBbt:0005033; anterior ganglion WBbt:0005375; intestine WBbt:0005772; RIC WBbt:0006834; AVD WBbt:0006818; DVB WBbt:0004822; AS9 WBbt:0003907; DA9 WBbt:0004857; VA12 WBbt:0004645; BDU WBbt:0006826; DVA WBbt:0004823; lumbar ganglion right WBbt:0005601; ASI WBbt:0005666; somatic nervous system WBbt:0005760; RMDVL WBbt:0005031; PLM WBbt:0005490; RMDL WBbt:0005037; AVM WBbt:0003832; AIZ WBbt:0005836; SMB WBbt:0005355; RMDVR WBbt:0005029; IL1VL WBbt:0004549; dorso-rectal ganglion WBbt:0005212; ALM WBbt:0005406; RIS WBbt:0005045; RID WBbt:0003938; lateral ganglion left WBbt:0005103; ADL WBbt:0005661; ALN WBbt:0006851; PDA WBbt:0004386; striated muscle WBbt:0005779; AWB WBbt:0005671; RIH WBbt:0003928; SDQ WBbt:0006844; IL1DL WBbt:0004738; ALA WBbt:0003955; posterior lateral ganglion WBbt:0005465; male WBbt:0007850; RIR WBbt:0005047; ASE WBbt:0005663; muscular system WBbt:0005737; AS10 WBbt:0003906; preanal ganglion WBbt:0005448; RMDDL WBbt:0005039
7199	[7199] cluster ptb-1	WBGene00011426	T04C10.3	132.68	0.489	False	lateral ganglion right WBbt:0005101	OLQ WBbt:0006848; anterior ganglion WBbt:0005375; nervous system WBbt:0005735; outer labial quadrant sensillum WBbt:0005502
