node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
733	[733] cluster rpl-41.2	WBGene00012179	W01D2.1	7170.73	0.934	True	germ line WBbt:0005784	PVC WBbt:0005840; gonad arm WBbt:0008629; hermaphrodite distal tip cell WBbt:0006863; IL2L WBbt:0004541; URB WBbt:0006845; URX WBbt:0006846; corpus WBbt:0003733; IL2R WBbt:0004539; hermaphrodite WBbt:0007849; anchor cell WBbt:0004522; spermatheca WBbt:0005319; anterior ganglion WBbt:0005375; intestine WBbt:0005772; ADA WBbt:0006811; male distal tip cell WBbt:0006864; PDB WBbt:0004385; CAN WBbt:0006827; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; M2 neuron WBbt:0003634; M cell WBbt:0004489; I4 neuron WBbt:0004741; nervous system WBbt:0005735; somatic gonad WBbt:0005785; pharynx WBbt:0003681; RID WBbt:0003938; germ line WBbt:0005784; RIH WBbt:0003928; NSM WBbt:0003666; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; preanal ganglion WBbt:0005448
733	[733] cluster rpl-41.2	WBGene00004443	rpl-29	4313.16	0.915	True	germ line WBbt:0005784	PVC WBbt:0005840; hermaphrodite distal tip cell WBbt:0006863; VC5 WBbt:0004613; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; intestine WBbt:0005772; ADA WBbt:0006811; male distal tip cell WBbt:0006864; CAN WBbt:0006827; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; M2 neuron WBbt:0003634; M cell WBbt:0004489; somatic gonad WBbt:0005785; pharynx WBbt:0003681; VC4 WBbt:0004617; RID WBbt:0003938; RIG WBbt:0006836; sex organ WBbt:0008422; germ line WBbt:0005784; RIH WBbt:0003928; ASE WBbt:0005663; reproductive tract WBbt:0005744
733	[733] cluster rpl-41.2	WBGene00004498	rps-29	4993.92	0.915	True	germ line WBbt:0005784	PVC WBbt:0005840; gonad arm WBbt:0008629; hermaphrodite distal tip cell WBbt:0006863; ADE WBbt:0005415; PVM WBbt:0004086; excretory system WBbt:0005736; corpus WBbt:0003733; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; spermatheca WBbt:0005319; intestine WBbt:0005772; ADA WBbt:0006811; male distal tip cell WBbt:0006864; PDB WBbt:0004385; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; M2 neuron WBbt:0003634; excretory cell WBbt:0005812; M cell WBbt:0004489; I4 neuron WBbt:0004741; M1 neuron WBbt:0004488; midbody WBbt:0005740; muscle of the reproductive system WBbt:0005786; nervous system WBbt:0005735; somatic gonad WBbt:0005785; MI neuron WBbt:0003664; pharynx WBbt:0003681; PVR WBbt:0004072; excretory secretory system WBbt:0006850; RIG WBbt:0006836; sex organ WBbt:0008422; germ line WBbt:0005784; RIH WBbt:0003928; intestinal muscle WBbt:0005796; NSM WBbt:0003666; posterior lateral ganglion WBbt:0005465; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; preanal ganglion WBbt:0005448
733	[733] cluster rpl-41.2	WBGene00023068	rpl-41.2	14825.85	0.911	True	germ line WBbt:0005784	gonad arm WBbt:0008629; hermaphrodite distal tip cell WBbt:0006863; VC5 WBbt:0004613; ADE WBbt:0005415; excretory system WBbt:0005736; AVL WBbt:0003843; corpus WBbt:0003733; hermaphrodite WBbt:0007849; anchor cell WBbt:0004522; spermatheca WBbt:0005319; intestine WBbt:0005772; ADA WBbt:0006811; male distal tip cell WBbt:0006864; PDB WBbt:0004385; CAN WBbt:0006827; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; M2 neuron WBbt:0003634; M cell WBbt:0004489; M1 neuron WBbt:0004488; AIZ WBbt:0005836; muscle of the reproductive system WBbt:0005786; somatic gonad WBbt:0005785; MI neuron WBbt:0003664; pharynx WBbt:0003681; VC4 WBbt:0004617; excretory secretory system WBbt:0006850; RID WBbt:0003938; excretory gland cell WBbt:0005776; RIG WBbt:0006836; sex organ WBbt:0008422; germ line WBbt:0005784; RIH WBbt:0003928; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; preanal ganglion WBbt:0005448
733	[733] cluster rpl-41.2	WBGene00004497	rps-28	4026.68	0.909	True	germ line WBbt:0005784	gonad arm WBbt:0008629; hermaphrodite distal tip cell WBbt:0006863; URB WBbt:0006845; VC5 WBbt:0004613; ADE WBbt:0005415; excretory system WBbt:0005736; corpus WBbt:0003733; hermaphrodite WBbt:0007849; spermatheca WBbt:0005319; intestine WBbt:0005772; male distal tip cell WBbt:0006864; PDB WBbt:0004385; PVD WBbt:0006831; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; M2 neuron WBbt:0003634; M cell WBbt:0004489; OLL WBbt:0006847; I4 neuron WBbt:0004741; M1 neuron WBbt:0004488; muscle of the reproductive system WBbt:0005786; nervous system WBbt:0005735; somatic gonad WBbt:0005785; MI neuron WBbt:0003664; pharynx WBbt:0003681; VC4 WBbt:0004617; excretory secretory system WBbt:0006850; RID WBbt:0003938; excretory gland cell WBbt:0005776; RIG WBbt:0006836; sex organ WBbt:0008422; germ line WBbt:0005784; RIH WBbt:0003928; NSM WBbt:0003666; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; preanal ganglion WBbt:0005448
733	[733] cluster rpl-41.2	WBGene00004496	rps-27	6068.39	0.907	True	germ line WBbt:0005784	gonad arm WBbt:0008629; SIB WBbt:0005359; hermaphrodite distal tip cell WBbt:0006863; SIA WBbt:0005361; excretory system WBbt:0005736; corpus WBbt:0003733; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; spermatheca WBbt:0005319; intestine WBbt:0005772; DVB WBbt:0004822; male distal tip cell WBbt:0006864; PDB WBbt:0004385; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; M2 neuron WBbt:0003634; excretory cell WBbt:0005812; M cell WBbt:0004489; epithelial system WBbt:0005730; I4 neuron WBbt:0004741; nervous system WBbt:0005735; somatic gonad WBbt:0005785; MI neuron WBbt:0003664; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; dorso-rectal ganglion WBbt:0005212; thermosensory neuron WBbt:0005838; excretory secretory system WBbt:0006850; RIG WBbt:0006836; sex organ WBbt:0008422; anal depressor muscle WBbt:0004292; germ line WBbt:0005784; VB1 WBbt:0004643; NSM WBbt:0003666; uterine muscle WBbt:0005342; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; preanal ganglion WBbt:0005448
733	[733] cluster rpl-41.2	WBGene00004452	rpl-38	5296.25	0.907	True	germ line WBbt:0005784	PVC WBbt:0005840; MC neuron WBbt:0003638; gonad arm WBbt:0008629; hermaphrodite distal tip cell WBbt:0006863; URB WBbt:0006845; VC5 WBbt:0004613; ADE WBbt:0005415; excretory system WBbt:0005736; URX WBbt:0006846; AUA WBbt:0006817; CEP WBbt:0005244; corpus WBbt:0003733; hermaphrodite WBbt:0007849; anchor cell WBbt:0004522; spermatheca WBbt:0005319; intestine WBbt:0005772; DVB WBbt:0004822; ADA WBbt:0006811; male distal tip cell WBbt:0006864; PDB WBbt:0004385; VA12 WBbt:0004645; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; M2 neuron WBbt:0003634; M cell WBbt:0004489; I4 neuron WBbt:0004741; M1 neuron WBbt:0004488; muscle of the reproductive system WBbt:0005786; nervous system WBbt:0005735; somatic gonad WBbt:0005785; MI neuron WBbt:0003664; pharynx WBbt:0003681; dorso-rectal ganglion WBbt:0005212; VC4 WBbt:0004617; excretory secretory system WBbt:0006850; RID WBbt:0003938; excretory gland cell WBbt:0005776; RIG WBbt:0006836; sex organ WBbt:0008422; germ line WBbt:0005784; RIH WBbt:0003928; NSM WBbt:0003666; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; preanal ganglion WBbt:0005448
733	[733] cluster rpl-41.2	WBGene00004490	rps-21	3577.39	0.906	True	germ line WBbt:0005784	gonad arm WBbt:0008629; hermaphrodite distal tip cell WBbt:0006863; URB WBbt:0006845; PVM WBbt:0004086; excretory system WBbt:0005736; corpus WBbt:0003733; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; spermatheca WBbt:0005319; intestine WBbt:0005772; ADA WBbt:0006811; male distal tip cell WBbt:0006864; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; M2 neuron WBbt:0003634; excretory cell WBbt:0005812; M cell WBbt:0004489; epithelial system WBbt:0005730; I4 neuron WBbt:0004741; nervous system WBbt:0005735; somatic gonad WBbt:0005785; pharynx WBbt:0003681; thermosensory neuron WBbt:0005838; excretory secretory system WBbt:0006850; RIG WBbt:0006836; anal depressor muscle WBbt:0004292; germ line WBbt:0005784; RIH WBbt:0003928; intestinal muscle WBbt:0005796; posterior lateral ganglion WBbt:0005465; I3 neuron WBbt:0004742; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
733	[733] cluster rpl-41.2	WBGene00004453	rpl-39	4776.29	0.901	True	germ line WBbt:0005784	MC neuron WBbt:0003638; gonad arm WBbt:0008629; XXX cell WBbt:0007855; corpus WBbt:0003733; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; spermatheca WBbt:0005319; anterior ganglion WBbt:0005375; intestine WBbt:0005772; ADA WBbt:0006811; PDB WBbt:0004385; CAN WBbt:0006827; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; PLM WBbt:0005490; M2 neuron WBbt:0003634; M cell WBbt:0004489; epithelial system WBbt:0005730; nervous system WBbt:0005735; MI neuron WBbt:0003664; pharynx WBbt:0003681; thermosensory neuron WBbt:0005838; RID WBbt:0003938; RIG WBbt:0006836; germ line WBbt:0005784; RIH WBbt:0003928; male WBbt:0007850; ASE WBbt:0005663; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; preanal ganglion WBbt:0005448
733	[733] cluster rpl-41.2	WBGene00002064	iff-1	4745.44	0.9	True	germ line WBbt:0005784	SIB WBbt:0005359; SIA WBbt:0005361; intestine WBbt:0005772; somatic nervous system WBbt:0005760; germ line WBbt:0005784; striated muscle WBbt:0005779; germline precursor cell WBbt:0006849; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
