node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
738	[738] cluster dpy-14	WBGene00001075	dpy-14	65865.1	0.828	True	ABarpppapa WBbt:0006433	ABarpaappp WBbt:0006070; hyp6 WBbt:0004679; Cpapap WBbt:0006374; ABarpaappa WBbt:0005939; hyp5 WBbt:0004685; Caappd WBbt:0005991; ABarpaapap WBbt:0006375; Cpaapa WBbt:0005886; nociceptor neuron WBbt:0008434; Cpappd WBbt:0006100; ASJ WBbt:0005667; RIA WBbt:0006833; ABplaapppa WBbt:0006735; ABprappppa WBbt:0006226; ABplappppa WBbt:0004671; G cell WBbt:0008599; ADF WBbt:0005660; osmosensory neuron WBbt:0008433; Cpaapp WBbt:0006399; anterior ganglion WBbt:0005375; Caaaap WBbt:0006319; hyp4 WBbt:0004687; Caaaaa WBbt:0006076; Cpapaa WBbt:0006231; ILshL WBbt:0004529; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; ABarppaapa WBbt:0006180; Cpaaaa WBbt:0006151; epithelial system WBbt:0005730; Caaapp WBbt:0006521; tail hypodermis WBbt:0006978; ABpraapppp WBbt:0006608; ABplaapppp WBbt:0006477; nervous system WBbt:0005735; tail precursor cell WBbt:0008409; ABpraapppa WBbt:0006244; Caaapa WBbt:0006502; thermosensory neuron WBbt:0005838; lateral ganglion left WBbt:0005103; germ line WBbt:0005784; W cell WBbt:0004583; ABarpppapa WBbt:0006433; Cpaaap WBbt:0006357; outer labial quadrant sensillum WBbt:0005502; ASE WBbt:0005663; reproductive system WBbt:0005747; ASK WBbt:0005668; OL socket cell WBbt:0008419; cephalic sheath cell WBbt:0008406
738	[738] cluster dpy-14	WBGene00021095	mlt-8	1686.63	0.769	True	ABarpppapa WBbt:0006433	ABarpaappp WBbt:0006070; hyp6 WBbt:0004679; Cpapap WBbt:0006374; ABarpaappa WBbt:0005939; hyp5 WBbt:0004685; IL socket cell WBbt:0008418; Caappd WBbt:0005991; ABarpaapap WBbt:0006375; Cpaapa WBbt:0005886; excretory system WBbt:0005736; K' cell WBbt:0004497; Cpappd WBbt:0006100; postdeirid sensillum WBbt:0005471; ABplaapppa WBbt:0006735; ABprappppa WBbt:0006226; vulD WBbt:0006766; hyp1 WBbt:0004694; hyp2 WBbt:0004692; ut4 WBbt:0006788; hermaphrodite WBbt:0007849; ADE sheath cell WBbt:0008411; ABplappppa WBbt:0004671; G cell WBbt:0008599; Cpaapp WBbt:0006399; anterior ganglion WBbt:0005375; Caaaap WBbt:0006319; ILshDL WBbt:0004533; hyp4 WBbt:0004687; PDE socket cell WBbt:0008421; Y cell WBbt:0004578; Caaaaa WBbt:0006076; Cpapaa WBbt:0006231; phasmid socket cell WBbt:0008410; vulF WBbt:0006768; anterior arcade cell WBbt:0005794; PLM WBbt:0005490; ABarppaapa WBbt:0006180; amphid socket cell WBbt:0008379; vulC WBbt:0006765; rectal gland cell WBbt:0005799; Cpaaaa WBbt:0006151; epithelial system WBbt:0005730; hyp12 WBbt:0004376; Caaapp WBbt:0006521; tail hypodermis WBbt:0006978; ABpraapppp WBbt:0006608; vulA WBbt:0006762; midbody WBbt:0005740; ABplaapppp WBbt:0006477; outer labial lateral sensillum WBbt:0005503; somatic gonad WBbt:0005785; F cell WBbt:0004799; OL sheath cell WBbt:0008413; K cell WBbt:0004499; vulB1 WBbt:0006763; B cell WBbt:0003825; excretory duct cell WBbt:0004540; ABpraapppa WBbt:0006244; Caaapa WBbt:0006502; posterior arcade cell WBbt:0005795; excretory secretory system WBbt:0006850; excretory socket cell WBbt:0004534; sex organ WBbt:0008422; hyp3 WBbt:0004690; phasmid sheath cell WBbt:0006755; W cell WBbt:0004583; ABarpppapa WBbt:0006433; Cpaaap WBbt:0006357; posterior lateral ganglion WBbt:0005465; U cell WBbt:0004942; outer labial quadrant sensillum WBbt:0005502; reproductive tract WBbt:0005744; OL socket cell WBbt:0008419; PDE sheath cell WBbt:0008415
738	[738] cluster dpy-14	WBGene00016422	noah-1	4888.64	0.763	True	ABarpppapa WBbt:0006433	ABarpaappp WBbt:0006070; hyp6 WBbt:0004679; Cpapap WBbt:0006374; ABarpaappa WBbt:0005939; hyp5 WBbt:0004685; Caappd WBbt:0005991; ABarpaapap WBbt:0006375; Cpaapa WBbt:0005886; Cpappd WBbt:0006100; ABplaapppa WBbt:0006735; ABprappppa WBbt:0006226; vulD WBbt:0006766; hyp2 WBbt:0004692; hermaphrodite WBbt:0007849; ABplappppa WBbt:0004671; G cell WBbt:0008599; Cpaapp WBbt:0006399; anterior ganglion WBbt:0005375; Caaaap WBbt:0006319; hyp4 WBbt:0004687; Y cell WBbt:0004578; Caaaaa WBbt:0006076; Cpapaa WBbt:0006231; PVD WBbt:0006831; gonadal primordium WBbt:0008366; vulB2 WBbt:0006764; ABarppaapa WBbt:0006180; vulC WBbt:0006765; Cpaaaa WBbt:0006151; epithelial system WBbt:0005730; OLL WBbt:0006847; hyp12 WBbt:0004376; Caaapp WBbt:0006521; tail hypodermis WBbt:0006978; ABpraapppp WBbt:0006608; vulA WBbt:0006762; midbody WBbt:0005740; ABplaapppp WBbt:0006477; tail precursor cell WBbt:0008409; OL sheath cell WBbt:0008413; vulB1 WBbt:0006763; B cell WBbt:0003825; ABpraapppa WBbt:0006244; Caaapa WBbt:0006502; sex organ WBbt:0008422; W cell WBbt:0004583; ABarpppapa WBbt:0006433; Cpaaap WBbt:0006357; outer labial quadrant sensillum WBbt:0005502
738	[738] cluster dpy-14	WBGene00001828	hch-1	2275.65	0.746	True	ABarpppapa WBbt:0006433	ABarpaappp WBbt:0006070; hyp6 WBbt:0004679; Cpapap WBbt:0006374; ABarpaappa WBbt:0005939; hyp5 WBbt:0004685; Caappd WBbt:0005991; ABarpaapap WBbt:0006375; Cpaapa WBbt:0005886; Cpappd WBbt:0006100; ABplaapppa WBbt:0006735; ABprappppa WBbt:0006226; ABplappppa WBbt:0004671; G cell WBbt:0008599; Cpaapp WBbt:0006399; Caaaap WBbt:0006319; hyp4 WBbt:0004687; RIV WBbt:0006839; Caaaaa WBbt:0006076; Cpapaa WBbt:0006231; somatic nervous system WBbt:0005760; ABarppaapa WBbt:0006180; Cpaaaa WBbt:0006151; epithelial system WBbt:0005730; Caaapp WBbt:0006521; ABpraapppp WBbt:0006608; SMB WBbt:0005355; ABplaapppp WBbt:0006477; tail precursor cell WBbt:0008409; SAA WBbt:0005397; ABpraapppa WBbt:0006244; Caaapa WBbt:0006502; lateral ganglion left WBbt:0005103; germ line WBbt:0005784; W cell WBbt:0004583; ABarpppapa WBbt:0006433; Cpaaap WBbt:0006357; reproductive system WBbt:0005747
738	[738] cluster dpy-14	WBGene00009926	noah-2	3731.91	0.746	True	ABarpppapa WBbt:0006433	ABarpaappp WBbt:0006070; hyp6 WBbt:0004679; Cpapap WBbt:0006374; ABarpaappa WBbt:0005939; hyp5 WBbt:0004685; IL socket cell WBbt:0008418; Caappd WBbt:0005991; ABarpaapap WBbt:0006375; Cpaapa WBbt:0005886; excretory system WBbt:0005736; K' cell WBbt:0004497; Cpappd WBbt:0006100; postdeirid sensillum WBbt:0005471; ABplaapppa WBbt:0006735; ABprappppa WBbt:0006226; vulD WBbt:0006766; hyp1 WBbt:0004694; hyp2 WBbt:0004692; ut4 WBbt:0006788; hermaphrodite WBbt:0007849; ABplappppa WBbt:0004671; G cell WBbt:0008599; Cpaapp WBbt:0006399; anterior ganglion WBbt:0005375; Caaaap WBbt:0006319; ILshDL WBbt:0004533; hyp4 WBbt:0004687; PDE socket cell WBbt:0008421; Y cell WBbt:0004578; Caaaaa WBbt:0006076; Cpapaa WBbt:0006231; PVD WBbt:0006831; phasmid socket cell WBbt:0008410; anterior arcade cell WBbt:0005794; ABarppaapa WBbt:0006180; amphid socket cell WBbt:0008379; vulC WBbt:0006765; Cpaaaa WBbt:0006151; epithelial system WBbt:0005730; OLL WBbt:0006847; hyp12 WBbt:0004376; Caaapp WBbt:0006521; tail hypodermis WBbt:0006978; ABpraapppp WBbt:0006608; vulA WBbt:0006762; midbody WBbt:0005740; ABplaapppp WBbt:0006477; oocyte WBbt:0006797; nervous system WBbt:0005735; outer labial lateral sensillum WBbt:0005503; tail precursor cell WBbt:0008409; somatic gonad WBbt:0005785; F cell WBbt:0004799; OL sheath cell WBbt:0008413; K cell WBbt:0004499; vulB1 WBbt:0006763; B cell WBbt:0003825; excretory duct cell WBbt:0004540; ABpraapppa WBbt:0006244; Caaapa WBbt:0006502; posterior arcade cell WBbt:0005795; excretory secretory system WBbt:0006850; excretory socket cell WBbt:0004534; sex organ WBbt:0008422; hyp3 WBbt:0004690; phasmid sheath cell WBbt:0006755; W cell WBbt:0004583; ABarpppapa WBbt:0006433; Cpaaap WBbt:0006357; posterior lateral ganglion WBbt:0005465; male WBbt:0007850; U cell WBbt:0004942; outer labial quadrant sensillum WBbt:0005502; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; OL socket cell WBbt:0008419; PDE sheath cell WBbt:0008415
738	[738] cluster dpy-14	WBGene00001069	dpy-7	1441.88	0.743	True	ABarpppapa WBbt:0006433	ABarpaappp WBbt:0006070; hyp6 WBbt:0004679; Cpapap WBbt:0006374; ABarpaappa WBbt:0005939; hyp5 WBbt:0004685; Caappd WBbt:0005991; ABarpaapap WBbt:0006375; P9 WBbt:0006778; Cpaapa WBbt:0005886; GLR WBbt:0005176; P1 WBbt:0006770; P12 WBbt:0004409; P11 WBbt:0004410; Cpappd WBbt:0006100; P2 WBbt:0006771; ABplaapppa WBbt:0006735; ABprappppa WBbt:0006226; P5 WBbt:0006774; ABplappppa WBbt:0004671; G cell WBbt:0008599; Cpaapp WBbt:0006399; intestine WBbt:0005772; Caaaap WBbt:0006319; LUA WBbt:0008031; P6 WBbt:0006775; hyp4 WBbt:0004687; Caaaaa WBbt:0006076; Cpapaa WBbt:0006231; ABarppaapa WBbt:0006180; Cpaaaa WBbt:0006151; epithelial system WBbt:0005730; P10 WBbt:0006779; Caaapp WBbt:0006521; tail hypodermis WBbt:0006978; ABpraapppp WBbt:0006608; P8 WBbt:0006777; ABplaapppp WBbt:0006477; nervous system WBbt:0005735; ABpraapppa WBbt:0006244; Caaapa WBbt:0006502; W cell WBbt:0004583; ABarpppapa WBbt:0006433; Cpaaap WBbt:0006357; P4 WBbt:0006773; male WBbt:0007850; P7 WBbt:0006776; muscular system WBbt:0005737
738	[738] cluster dpy-14	WBGene00001076	dpy-17	14327.91	0.741	True	ABarpppapa WBbt:0006433	ABarpaappp WBbt:0006070; hyp6 WBbt:0004679; Cpapap WBbt:0006374; ABarpaappa WBbt:0005939; hyp5 WBbt:0004685; Caappd WBbt:0005991; ABarpaapap WBbt:0006375; Cpaapa WBbt:0005886; pm8 WBbt:0004302; Cpappd WBbt:0006100; ABplaapppa WBbt:0006735; ABprappppa WBbt:0006226; ABplappppa WBbt:0004671; G cell WBbt:0008599; Cpaapp WBbt:0006399; intestine WBbt:0005772; Caaaap WBbt:0006319; hyp4 WBbt:0004687; Caaaaa WBbt:0006076; Cpapaa WBbt:0006231; gonadal primordium WBbt:0008366; ABarppaapa WBbt:0006180; Cpaaaa WBbt:0006151; epithelial system WBbt:0005730; Caaapp WBbt:0006521; tail hypodermis WBbt:0006978; ABpraapppp WBbt:0006608; ABplaapppp WBbt:0006477; nervous system WBbt:0005735; tail precursor cell WBbt:0008409; pharynx WBbt:0003681; ABpraapppa WBbt:0006244; Caaapa WBbt:0006502; germ line WBbt:0005784; intestinal muscle WBbt:0005796; W cell WBbt:0004583; ABarpppapa WBbt:0006433; Cpaaap WBbt:0006357; muscular system WBbt:0005737; reproductive system WBbt:0005747
738	[738] cluster dpy-14	WBGene00000928	dao-2	6545.19	0.73	True	ABarpppapa WBbt:0006433	ABarpaappp WBbt:0006070; Cpapap WBbt:0006374; ABarpaappa WBbt:0005939; Caappd WBbt:0005991; ABarpaapap WBbt:0006375; Cpaapa WBbt:0005886; Cpappd WBbt:0006100; ABplaapppa WBbt:0006735; ABprappppa WBbt:0006226; ABplappppa WBbt:0004671; G cell WBbt:0008599; Cpaapp WBbt:0006399; intestine WBbt:0005772; Caaaap WBbt:0006319; Caaaaa WBbt:0006076; Cpapaa WBbt:0006231; PLM WBbt:0005490; ABarppaapa WBbt:0006180; Cpaaaa WBbt:0006151; epithelial system WBbt:0005730; Caaapp WBbt:0006521; tail hypodermis WBbt:0006978; ABpraapppp WBbt:0006608; ABplaapppp WBbt:0006477; ABpraapppa WBbt:0006244; Caaapa WBbt:0006502; W cell WBbt:0004583; ABarpppapa WBbt:0006433; Cpaaap WBbt:0006357
738	[738] cluster dpy-14	WBGene00001065	dpy-3	1599.59	0.729	True	ABarpppapa WBbt:0006433	ABarpaappp WBbt:0006070; hyp6 WBbt:0004679; Cpapap WBbt:0006374; ABarpaappa WBbt:0005939; hyp5 WBbt:0004685; Caappd WBbt:0005991; ABarpaapap WBbt:0006375; Cpaapa WBbt:0005886; Cpappd WBbt:0006100; ABplaapppa WBbt:0006735; ABprappppa WBbt:0006226; ABplappppa WBbt:0004671; G cell WBbt:0008599; Cpaapp WBbt:0006399; intestine WBbt:0005772; Caaaap WBbt:0006319; hyp4 WBbt:0004687; Caaaaa WBbt:0006076; Cpapaa WBbt:0006231; ABarppaapa WBbt:0006180; Cpaaaa WBbt:0006151; epithelial system WBbt:0005730; Caaapp WBbt:0006521; tail hypodermis WBbt:0006978; ABpraapppp WBbt:0006608; ABplaapppp WBbt:0006477; ABpraapppa WBbt:0006244; Caaapa WBbt:0006502; W cell WBbt:0004583; ABarpppapa WBbt:0006433; Cpaaap WBbt:0006357; male WBbt:0007850
738	[738] cluster dpy-14	WBGene00000695	col-121	1231.36	0.722	True	ABarpppapa WBbt:0006433	ABarpaappp WBbt:0006070; hyp6 WBbt:0004679; Cpapap WBbt:0006374; ABarpaappa WBbt:0005939; hyp5 WBbt:0004685; Caappd WBbt:0005991; ABarpaapap WBbt:0006375; Cpaapa WBbt:0005886; Cpappd WBbt:0006100; ABplaapppa WBbt:0006735; ABprappppa WBbt:0006226; ABplappppa WBbt:0004671; Cpaapp WBbt:0006399; Caaaap WBbt:0006319; hyp4 WBbt:0004687; Caaaaa WBbt:0006076; Cpapaa WBbt:0006231; ABarppaapa WBbt:0006180; Cpaaaa WBbt:0006151; epithelial system WBbt:0005730; Caaapp WBbt:0006521; tail hypodermis WBbt:0006978; ABpraapppp WBbt:0006608; ABplaapppp WBbt:0006477; nervous system WBbt:0005735; ABpraapppa WBbt:0006244; Caaapa WBbt:0006502; ABarpppapa WBbt:0006433; Cpaaap WBbt:0006357
