node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
739	[739] cluster cut-2	WBGene00009041	cut-3	4996.78	0.812	False	tail hypodermis WBbt:0006978	I5 neuron WBbt:0004740; AVJ WBbt:0006822; VA10 WBbt:0004649; VB2 WBbt:0004641; VA1 WBbt:0004872; hermaphrodite WBbt:0007849; VA2 WBbt:0004870; DA9 WBbt:0004857; VA12 WBbt:0004645; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; VA11 WBbt:0004647; VA3 WBbt:0004868; nervous system WBbt:0005735; AS1 WBbt:0003925; VB3 WBbt:0004639; spermathecal-uterine valve cell WBbt:0008217; somatic gonad WBbt:0005785; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; RIM WBbt:0005835; VA4 WBbt:0004866; lateral ganglion left WBbt:0005103; VB1 WBbt:0004643; germline precursor cell WBbt:0006849; male WBbt:0007850; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; preanal ganglion WBbt:0005448
739	[739] cluster cut-2	WBGene00009983	cut-2	64432.12	0.806	True	tail hypodermis WBbt:0006978	hyp6 WBbt:0004679; hyp5 WBbt:0004685; excretory system WBbt:0005736; K' cell WBbt:0004497; hermaphrodite WBbt:0007849; anchor cell WBbt:0004522; intestine WBbt:0005772; Y cell WBbt:0004578; vulF WBbt:0006768; epithelial system WBbt:0005730; hyp12 WBbt:0004376; tail hypodermis WBbt:0006978; midbody WBbt:0005740; nervous system WBbt:0005735; somatic gonad WBbt:0005785; F cell WBbt:0004799; K cell WBbt:0004499; B cell WBbt:0003825; excretory secretory system WBbt:0006850; excretory socket cell WBbt:0004534; sex organ WBbt:0008422; germline precursor cell WBbt:0006849; U cell WBbt:0004942; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
739	[739] cluster cut-2	WBGene00011508	T05H10.3	24416.96	0.797	True	tail hypodermis WBbt:0006978	Cpapap WBbt:0006374; Caappd WBbt:0005991; Cpaapa WBbt:0005886; Cpappd WBbt:0006100; Cpaapp WBbt:0006399; intestine WBbt:0005772; Caaaap WBbt:0006319; Caaaaa WBbt:0006076; Cpapaa WBbt:0006231; Cpaaaa WBbt:0006151; epithelial system WBbt:0005730; Caaapp WBbt:0006521; tail hypodermis WBbt:0006978; Caaapa WBbt:0006502; germline precursor cell WBbt:0006849; Cpaaap WBbt:0006357
739	[739] cluster cut-2	WBGene00018297	F41F3.3	23803.29	0.726	True	tail hypodermis WBbt:0006978	hyp6 WBbt:0004679; hyp5 WBbt:0004685; excretory system WBbt:0005736; hermaphrodite WBbt:0007849; anchor cell WBbt:0004522; intestine WBbt:0005772; somatic nervous system WBbt:0005760; vulF WBbt:0006768; anterior arcade cell WBbt:0005794; epithelial system WBbt:0005730; hyp12 WBbt:0004376; tail hypodermis WBbt:0006978; midbody WBbt:0005740; somatic gonad WBbt:0005785; thermosensory neuron WBbt:0005838; AIN WBbt:0006815; excretory secretory system WBbt:0006850; lateral ganglion left WBbt:0005103; excretory socket cell WBbt:0004534; sex organ WBbt:0008422; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
739	[739] cluster cut-2	WBGene00015339	C02E7.6	35037.95	0.714	True	tail hypodermis WBbt:0006978	hyp6 WBbt:0004679; hyp5 WBbt:0004685; excretory system WBbt:0005736; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; anchor cell WBbt:0004522; intestine WBbt:0005772; somatic nervous system WBbt:0005760; vulF WBbt:0006768; PLM WBbt:0005490; epithelial system WBbt:0005730; hyp12 WBbt:0004376; tail hypodermis WBbt:0006978; midbody WBbt:0005740; nervous system WBbt:0005735; somatic gonad WBbt:0005785; pharynx WBbt:0003681; thermosensory neuron WBbt:0005838; excretory secretory system WBbt:0006850; excretory socket cell WBbt:0004534; sex organ WBbt:0008422; germline precursor cell WBbt:0006849; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
739	[739] cluster cut-2	WBGene00009528	F38A6.4	817.1	0.69	True	tail hypodermis WBbt:0006978	K' cell WBbt:0004497; Y cell WBbt:0004578; PLM WBbt:0005490; epithelial system WBbt:0005730; tail hypodermis WBbt:0006978; nervous system WBbt:0005735; F cell WBbt:0004799; K cell WBbt:0004499; B cell WBbt:0003825; thermosensory neuron WBbt:0005838; germline precursor cell WBbt:0006849; U cell WBbt:0004942
739	[739] cluster cut-2	WBGene00016700	C46A5.4	313.53	0.682	False	tail hypodermis WBbt:0006978	Q cell WBbt:0008598; intestine WBbt:0005772; epithelial system WBbt:0005730
739	[739] cluster cut-2	WBGene00004120	pqn-32	1196.49	0.649	True	tail hypodermis WBbt:0006978	hyp6 WBbt:0004679; hyp5 WBbt:0004685; IL socket cell WBbt:0008418; excretory system WBbt:0005736; K' cell WBbt:0004497; postdeirid sensillum WBbt:0005471; vulD WBbt:0006766; hyp1 WBbt:0004694; hyp2 WBbt:0004692; ut4 WBbt:0006788; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; ADE sheath cell WBbt:0008411; anterior ganglion WBbt:0005375; intestine WBbt:0005772; ILshDL WBbt:0004533; hyp4 WBbt:0004687; PDE socket cell WBbt:0008421; Y cell WBbt:0004578; PVD WBbt:0006831; somatic nervous system WBbt:0005760; phasmid socket cell WBbt:0008410; vulF WBbt:0006768; anterior arcade cell WBbt:0005794; PLM WBbt:0005490; amphid socket cell WBbt:0008379; vulC WBbt:0006765; epithelial system WBbt:0005730; OLL WBbt:0006847; hyp12 WBbt:0004376; tail hypodermis WBbt:0006978; vulA WBbt:0006762; midbody WBbt:0005740; outer labial lateral sensillum WBbt:0005503; somatic gonad WBbt:0005785; VC1 WBbt:0004621; F cell WBbt:0004799; OL sheath cell WBbt:0008413; K cell WBbt:0004499; vulB1 WBbt:0006763; B cell WBbt:0003825; excretory duct cell WBbt:0004540; thermosensory neuron WBbt:0005838; VC4 WBbt:0004617; posterior arcade cell WBbt:0005795; excretory secretory system WBbt:0006850; lateral ganglion left WBbt:0005103; excretory socket cell WBbt:0004534; sex organ WBbt:0008422; uv3 WBbt:0006793; hyp3 WBbt:0004690; phasmid sheath cell WBbt:0006755; posterior lateral ganglion WBbt:0005465; U cell WBbt:0004942; outer labial quadrant sensillum WBbt:0005502; ASE WBbt:0005663; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; OL socket cell WBbt:0008419; PDE sheath cell WBbt:0008415
739	[739] cluster cut-2	WBGene00007425	cht-5	2215.21	0.64	False	tail hypodermis WBbt:0006978	AUA WBbt:0006817; AIA WBbt:0006812; epithelial system WBbt:0005730; nervous system WBbt:0005735; posterior arcade cell WBbt:0005795; lateral ganglion left WBbt:0005103; germline precursor cell WBbt:0006849
739	[739] cluster cut-2	WBGene00017483	lgc-22	723.87	0.634	True	tail hypodermis WBbt:0006978	hyp2 WBbt:0004692; epithelial system WBbt:0005730; tail hypodermis WBbt:0006978; germline precursor cell WBbt:0006849
