node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
7530	[7530] cluster cdc-25.2	WBGene00017249	fbxb-108	423.11	0.657	True	ABalpapaap WBbt:0006023	ABplpapapa WBbt:0005908; nociceptor neuron WBbt:0008434; ABalaaaarr WBbt:0006500; ABalpapaap WBbt:0006023; ASJ WBbt:0005667; ABalaaaarl WBbt:0005945; ABplppaapa WBbt:0006205; lateral ganglion right WBbt:0005101; ADF WBbt:0005660; osmosensory neuron WBbt:0008433; ABarappaap WBbt:0006103; ASI WBbt:0005666; ABprpapapa WBbt:0006487; AWA WBbt:0005670; nervous system WBbt:0005735; thermosensory neuron WBbt:0005838; ABprppaapa WBbt:0006079; lateral ganglion left WBbt:0005103; ADL WBbt:0005661; ASG WBbt:0005664; AWB WBbt:0005671; ABalaaaala WBbt:0005966; ASE WBbt:0005663; ASK WBbt:0005668; ABalaapaaa WBbt:0006732
7530	[7530] cluster cdc-25.2	WBGene00019420	fbxb-46	717.43	0.598	False	ABalpapaap WBbt:0006023	MC neuron WBbt:0003638; pm8 WBbt:0004302; corpus WBbt:0003733; nervous system WBbt:0005735; pharynx WBbt:0003681; muscular system WBbt:0005737
7530	[7530] cluster cdc-25.2	WBGene00021542	Y43B11AL.1	624.64	0.595	True	ABalpapaap WBbt:0006023	SMD WBbt:0005353; ABalappapa WBbt:0006412; RME WBbt:0005399; AIM WBbt:0006814; DA6 WBbt:0004861; DA1 WBbt:0004871; ABalpapaap WBbt:0006023; DA8 WBbt:0004858; ABalapppaa WBbt:0006703; AVA WBbt:0005842; AVJ WBbt:0006822; DA5 WBbt:0004863; DA4 WBbt:0004865; ABalapaaaa WBbt:0006002; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; anterior ganglion WBbt:0005375; AVD WBbt:0006818; DA9 WBbt:0004857; ABarappaap WBbt:0006103; somatic nervous system WBbt:0005760; DA3 WBbt:0004867; ABplpppaapa WBbt:0006503; epithelial system WBbt:0005730; ABalaapppa WBbt:0006026; DA2 WBbt:0004869; ABalapaapa WBbt:0005981; oocyte WBbt:0006797; nervous system WBbt:0005735; ABprpppaapa WBbt:0006549; retrovesicular ganglion WBbt:0005656; lateral ganglion left WBbt:0005103; ABalaaaala WBbt:0005966; DA7 WBbt:0004859; ALA WBbt:0003955; ABalaapaaa WBbt:0006732; preanal ganglion WBbt:0005448
7530	[7530] cluster cdc-25.2	WBGene00000387	cdc-25.2	827.08	0.48	False	ABalpapaap WBbt:0006023	OLQ WBbt:0006848; ABplpapapa WBbt:0005908; ADE WBbt:0005415; ABalapppaa WBbt:0006703; ABprapaaapa WBbt:0006633; ABprpaapap WBbt:0006105; CEP WBbt:0005244; VA1 WBbt:0004872; Q cell WBbt:0008598; ABprapaaaa WBbt:0006648; hermaphrodite WBbt:0007849; intestine WBbt:0005772; PHB WBbt:0007808; PHA WBbt:0007807; VA12 WBbt:0004645; BAG WBbt:0006825; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; ABalpppppa WBbt:0006638; PLM WBbt:0005490; ABpraaappa WBbt:0006483; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; OLL WBbt:0006847; PQR WBbt:0004096; ABplpaaapa WBbt:0006093; ABprpapapa WBbt:0006487; AQR WBbt:0003927; ABprpaaapa WBbt:0006149; midbody WBbt:0005740; muscle of the reproductive system WBbt:0005786; oocyte WBbt:0006797; nervous system WBbt:0005735; FLP WBbt:0006828; ABplpaapap WBbt:0006556; ABprpppapa WBbt:0006044; ABarpapaaa WBbt:0006207; PDE WBbt:0006747; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; PVR WBbt:0004072; ABplapaaaa WBbt:0006221; ABalpppppp WBbt:0006396; ABplpppapa WBbt:0006488; sex organ WBbt:0008422; germ line WBbt:0005784; ABalaaaala WBbt:0005966; ABplaaaaaa WBbt:0006330; male WBbt:0007850; ABplapaaapa WBbt:0006061; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; ABalaapaaa WBbt:0006732; preanal ganglion WBbt:0005448; ABpraaappp WBbt:0006194
7530	[7530] cluster cdc-25.2	WBGene00018458	fbxb-30	234.7	0.461	False	ABalpapaap WBbt:0006023	MSpapaapa WBbt:0006627; MSaapaapa WBbt:0006494; g2 WBbt:0003710; pharynx WBbt:0003681
7530	[7530] cluster cdc-25.2	WBGene00009546	fbxb-3	198.45	0.46	False	ABalpapaap WBbt:0006023	MC neuron WBbt:0003638; corpus WBbt:0003733; ABprapaaaa WBbt:0006648; ADE sheath cell WBbt:0008411; ABalappaap WBbt:0006727; gonadal primordium WBbt:0008366; epithelial system WBbt:0005730; nervous system WBbt:0005735; F cell WBbt:0004799; pharynx WBbt:0003681; ABplapaaaa WBbt:0006221; U cell WBbt:0004942
7530	[7530] cluster cdc-25.2	WBGene00011389	T02G6.6	21.64	0.456	False	ABalpapaap WBbt:0006023	corpus WBbt:0003733; nervous system WBbt:0005735; pharynx WBbt:0003681; NSM WBbt:0003666
7530	[7530] cluster cdc-25.2	WBGene00019952	fbxb-74	776.51	0.438	False	ABalpapaap WBbt:0006023	RME WBbt:0005399; ABpraapaaa WBbt:0005888; VC5 WBbt:0004613; CEPsoDR WBbt:0004919; ABalapppaa WBbt:0006703; CEPsoVR WBbt:0004917; ABalppappp WBbt:0006694; ABplaapaaa WBbt:0006069; Q cell WBbt:0008598; hermaphrodite WBbt:0007849; anterior ganglion WBbt:0005375; ABalaapppp WBbt:0006461; PDE socket cell WBbt:0008421; somatic nervous system WBbt:0005760; ABalapaapp WBbt:0006504; epithelial system WBbt:0005730; ABarappppp WBbt:0006094; ABplpaaapa WBbt:0006093; CEPsoVL WBbt:0004918; ABprpaaapa WBbt:0006149; ABalappppa WBbt:0006133; ABarpapaaa WBbt:0006207; VC4 WBbt:0004617; MSpppaaa WBbt:0005951; ABarpaaa WBbt:0006398; sex organ WBbt:0008422; ABplaaaaaa WBbt:0006330; ALA WBbt:0003955; CEPsoDL WBbt:0004921; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
7530	[7530] cluster cdc-25.2	WBGene00045058	gadr-5	204.24	0.424	True	ABalpapaap WBbt:0006023	ABplaapaap WBbt:0006518; IL socket cell WBbt:0008418; ABpraapaaa WBbt:0005888; ABalpapaap WBbt:0006023; ABplaapaaa WBbt:0006069; ADE sheath cell WBbt:0008411; ABplppppap WBbt:0005919; amphid sheath cell WBbt:0006754; PDE socket cell WBbt:0008421; ABarappaap WBbt:0006103; lumbar ganglion right WBbt:0005601; phasmid socket cell WBbt:0008410; PLM WBbt:0005490; amphid socket cell WBbt:0008379; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; F cell WBbt:0004799; OL sheath cell WBbt:0008413; hyp3 WBbt:0004690; phasmid sheath cell WBbt:0006755; U cell WBbt:0004942; ADE socket cell WBbt:0008416; ABpraapaap WBbt:0006373; ABprppppap WBbt:0006439; OL socket cell WBbt:0008419; PDE sheath cell WBbt:0008415; cephalic sheath cell WBbt:0008406
7530	[7530] cluster cdc-25.2	WBGene00271706	D2089.8	241.8	0.293	False	ABalpapaap WBbt:0006023	dorsal uterine cell WBbt:0006782; hermaphrodite WBbt:0007849; epithelial system WBbt:0005730; somatic gonad WBbt:0005785; sex organ WBbt:0008422; germ line WBbt:0005784; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
