node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
7533	[7533] cluster hnd-1	WBGene00001981	hnd-1	7334.09	0.814	False	body wall WBbt:0005742	GLR WBbt:0005176; hermaphrodite WBbt:0007849; Ep WBbt:0006612; Capp WBbt:0006098; Cppa WBbt:0006168; Caap WBbt:0005921; ABplapppp WBbt:0006656; gonadal primordium WBbt:0008366; ABprpapaa WBbt:0006446; MSappp WBbt:0006125; Cppp WBbt:0006268; oocyte WBbt:0006797; nervous system WBbt:0005735; ABarappa WBbt:0006005; ABalpppa WBbt:0006649; ABprpppa WBbt:0005943; pharynx WBbt:0003681; thermosensory neuron WBbt:0005838; ABarappp WBbt:0006524; MSapp WBbt:0006036; ABprpapa WBbt:0006259; MSpapp WBbt:0006201; germ line WBbt:0005784; striated muscle WBbt:0005779; MSappa WBbt:0006717; Capa WBbt:0006444; ABalaapp WBbt:0006553; muscular system WBbt:0005737; ABprpppp WBbt:0006179; reproductive system WBbt:0005747; MSapa WBbt:0005898
7533	[7533] cluster hnd-1	WBGene00044563	T26C11.8	31.9	0.707	False	body wall WBbt:0005742	corpus WBbt:0003733; hermaphrodite WBbt:0007849; somatic nervous system WBbt:0005760; nervous system WBbt:0005735; pharynx WBbt:0003681; VC4 WBbt:0004617; sex organ WBbt:0008422; NSM WBbt:0003666; reproductive system WBbt:0005747
7533	[7533] cluster hnd-1	WBGene00021174	fbxb-99	279.88	0.691	True	body wall WBbt:0005742	ABplpppppp WBbt:0005960; body wall WBbt:0005742; ABprpppppp WBbt:0006430; ABplppppap WBbt:0005919; ventral left quadrant body wall muscle WBbt:0005818; DVA WBbt:0004823; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; B cell WBbt:0003825; dorso-rectal ganglion WBbt:0005212; anal sphincter muscle WBbt:0005798; striated muscle WBbt:0005779; muscular system WBbt:0005737; ABprppppap WBbt:0006439
7533	[7533] cluster hnd-1	WBGene00018810	F54D10.9	25.38	0.619	False	body wall WBbt:0005742	somatic nervous system WBbt:0005760; nervous system WBbt:0005735; RIH WBbt:0003928
7533	[7533] cluster hnd-1	WBGene00086562	T02G6.11	108.03	0.607	False	body wall WBbt:0005742	corpus WBbt:0003733; gonadal primordium WBbt:0008366; nervous system WBbt:0005735; pharynx WBbt:0003681; NSM WBbt:0003666
7533	[7533] cluster hnd-1	WBGene00021719	fbxb-104	1349.36	0.599	False	body wall WBbt:0005742	XXX cell WBbt:0007855; nociceptor neuron WBbt:0008434; ASJ WBbt:0005667; ADF WBbt:0005660; osmosensory neuron WBbt:0008433; anterior ganglion WBbt:0005375; intestine WBbt:0005772; ASI WBbt:0005666; epithelial system WBbt:0005730; AWA WBbt:0005670; nervous system WBbt:0005735; pharynx WBbt:0003681; thermosensory neuron WBbt:0005838; ADL WBbt:0005661; ASG WBbt:0005664; striated muscle WBbt:0005779; AWB WBbt:0005671; ASE WBbt:0005663; muscular system WBbt:0005737; ASK WBbt:0005668
7533	[7533] cluster hnd-1	WBGene00021717	sdz-32	330.63	0.592	False	body wall WBbt:0005742	AVJ WBbt:0006822; lateral ganglion right WBbt:0005101; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; lateral ganglion left WBbt:0005103; striated muscle WBbt:0005779; muscular system WBbt:0005737
7533	[7533] cluster hnd-1	WBGene00009415	F35E2.8	502.47	0.519	False	body wall WBbt:0005742	K' cell WBbt:0004497; hermaphrodite WBbt:0007849; anchor cell WBbt:0004522; epithelial system WBbt:0005730; somatic gonad WBbt:0005785; K cell WBbt:0004499; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
7533	[7533] cluster hnd-1	WBGene00011982	T24C2.3	31.9	0.468	False	body wall WBbt:0005742	ABaraapapp WBbt:0005999; ABaraapppp WBbt:0006127
7533	[7533] cluster hnd-1	WBGene00021716	fbxb-112	114.56	0.459	False	body wall WBbt:0005742	ABplaapaap WBbt:0006518; ABpraapaap WBbt:0006373
7533	[7533] cluster hnd-1	WBGene00019926	fbxc-27	152.99	0.458	True	body wall WBbt:0005742	body wall WBbt:0005742; ventral left quadrant body wall muscle WBbt:0005818; striated muscle WBbt:0005779; muscular system WBbt:0005737
7533	[7533] cluster hnd-1	WBGene00018094	F36F12.3	101.51	0.448	False	body wall WBbt:0005742	lateral ganglion right WBbt:0005101; somatic nervous system WBbt:0005760; AIN WBbt:0006815; lateral ganglion left WBbt:0005103; germ line WBbt:0005784; reproductive system WBbt:0005747
7533	[7533] cluster hnd-1	WBGene00008009	fbxa-171	25.38	0.442	False	body wall WBbt:0005742	I5 neuron WBbt:0004740; somatic nervous system WBbt:0005760; AVK WBbt:0006823; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; SAB WBbt:0005396
7533	[7533] cluster hnd-1	WBGene00021484	Y40A1A.2	25.38	0.432	False	body wall WBbt:0005742	ABalapppaa WBbt:0006703; ABplpappaa WBbt:0006551; Caapa WBbt:0006123
