node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
7543	[7543] cluster C36B1.11	WBGene00007978	C36B1.11	1022.22	0.698	True	germline precursor cell WBbt:0006849	RME WBbt:0005399; IL2L WBbt:0004541; IL2VL WBbt:0004538; IL2R WBbt:0004539; hermaphrodite WBbt:0007849; anterior ganglion WBbt:0005375; somatic nervous system WBbt:0005760; IL2DL WBbt:0004545; SMB WBbt:0005355; oocyte WBbt:0006797; nervous system WBbt:0005735; IL2VR WBbt:0004537; germ line WBbt:0005784; germline precursor cell WBbt:0006849; IL2DR WBbt:0004543; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
7543	[7543] cluster C36B1.11	WBGene00008238	C50F4.16	323.26	0.528	True	germline precursor cell WBbt:0006849	Q cell WBbt:0008598; PLM WBbt:0005490; thermosensory neuron WBbt:0005838; germ line WBbt:0005784; germline precursor cell WBbt:0006849; reproductive system WBbt:0005747
7543	[7543] cluster C36B1.11	WBGene00016390	ttc-1	326.29	0.502	True	germline precursor cell WBbt:0006849	Q cell WBbt:0008598; intestine WBbt:0005772; rectal gland cell WBbt:0005799; thermosensory neuron WBbt:0005838; germ line WBbt:0005784; germline precursor cell WBbt:0006849; muscular system WBbt:0005737
7543	[7543] cluster C36B1.11	WBGene00001645	gly-20	262.36	0.497	True	germline precursor cell WBbt:0006849	GLR WBbt:0005176; K' cell WBbt:0004497; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; Y cell WBbt:0004578; somatic nervous system WBbt:0005760; PLM WBbt:0005490; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; AVK WBbt:0006823; oocyte WBbt:0006797; F cell WBbt:0004799; K cell WBbt:0004499; B cell WBbt:0003825; coelomic system WBbt:0005749; germ line WBbt:0005784; RIH WBbt:0003928; germline precursor cell WBbt:0006849; AIY WBbt:0005413; U cell WBbt:0004942; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
7543	[7543] cluster C36B1.11	WBGene00015922	C17H11.2	126.57	0.473	True	germline precursor cell WBbt:0006849	GLR WBbt:0005176; Q cell WBbt:0008598; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; ADF WBbt:0005660; ABpraapapa WBbt:0005872; PVD WBbt:0006831; gonadal primordium WBbt:0008366; epithelial system WBbt:0005730; OLL WBbt:0006847; ABpraaapppa WBbt:0006009; AWA WBbt:0005670; oocyte WBbt:0006797; ABplaapappp WBbt:0006387; FLP WBbt:0006828; F cell WBbt:0004799; ABplaapapa WBbt:0006120; ABpraapappp WBbt:0005862; lateral ganglion left WBbt:0005103; ASG WBbt:0005664; ABalppppppa WBbt:0006166; AWB WBbt:0005671; germline precursor cell WBbt:0006849; U cell WBbt:0004942; muscular system WBbt:0005737
7543	[7543] cluster C36B1.11	WBGene00001813	haf-3	292.67	0.438	True	germline precursor cell WBbt:0006849	hermaphrodite WBbt:0007849; spermatheca WBbt:0005319; intestine WBbt:0005772; oocyte WBbt:0006797; germ line WBbt:0005784; germline precursor cell WBbt:0006849; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
7543	[7543] cluster C36B1.11	WBGene00020824	pdtf-1	378.81	0.424	True	germline precursor cell WBbt:0006849	Q cell WBbt:0008598; hermaphrodite WBbt:0007849; oocyte WBbt:0006797; germ line WBbt:0005784; germline precursor cell WBbt:0006849; reproductive system WBbt:0005747; Psub3 WBbt:0006875
7543	[7543] cluster C36B1.11	WBGene00019077	zipt-11	340.69	0.421	True	germline precursor cell WBbt:0006849	Q cell WBbt:0008598; corpus WBbt:0003733; ABprapaaaa WBbt:0006648; hermaphrodite WBbt:0007849; PVD WBbt:0006831; g1P WBbt:0004528; epithelial system WBbt:0005730; OLL WBbt:0006847; oocyte WBbt:0006797; pharynx WBbt:0003681; ABplapaaaa WBbt:0006221; germ line WBbt:0005784; germline precursor cell WBbt:0006849; NSM WBbt:0003666; reproductive system WBbt:0005747
7543	[7543] cluster C36B1.11	WBGene00000236	bag-1	350.13	0.421	True	germline precursor cell WBbt:0006849	Q cell WBbt:0008598; corpus WBbt:0003733; hermaphrodite WBbt:0007849; intestine WBbt:0005772; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; AVK WBbt:0006823; oocyte WBbt:0006797; pharynx WBbt:0003681; germ line WBbt:0005784; germline precursor cell WBbt:0006849; NSM WBbt:0003666; reproductive system WBbt:0005747
7543	[7543] cluster C36B1.11	WBGene00012431	Y11D7A.7	150.77	0.415	True	germline precursor cell WBbt:0006849	ABalappapa WBbt:0006412; ABalaaaarr WBbt:0006500; ABprapaaapa WBbt:0006633; Z1.p WBbt:0007023; ABalaaaarl WBbt:0005945; RIB WBbt:0005834; ABalapaaaa WBbt:0006002; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; ABplppppap WBbt:0005919; male distal tip cell WBbt:0006864; somatic nervous system WBbt:0005760; gonadal primordium WBbt:0008366; ABplaaaaapp WBbt:0006428; Z4.a WBbt:0007025; oocyte WBbt:0006797; thermosensory neuron WBbt:0005838; lateral ganglion left WBbt:0005103; germ line WBbt:0005784; ABalaaaala WBbt:0005966; germline precursor cell WBbt:0006849; ABarpapaapp WBbt:0006075; ABplapaaapa WBbt:0006061; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; ABprppppap WBbt:0006439; ABalaapaaa WBbt:0006732
