node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
7544	[7544] cluster aldo-2	WBGene00006902	vet-6	1011.99	0.911	False	ABarappppa WBbt:0006687	corpus WBbt:0003733; intestine WBbt:0005772; BAG WBbt:0006825; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; F cell WBbt:0004799; pharynx WBbt:0003681; ABaraapapp WBbt:0005999; ABaraapppp WBbt:0006127; NSM WBbt:0003666; U cell WBbt:0004942; muscular system WBbt:0005737
7544	[7544] cluster aldo-2	WBGene00019037	fbxb-17	1335.41	0.903	False	ABarappppa WBbt:0006687	XXX cell WBbt:0007855; ASJ WBbt:0005667; lateral ganglion right WBbt:0005101; anterior ganglion WBbt:0005375; ABaraapppaa WBbt:0006566; epithelial system WBbt:0005730; lateral ganglion left WBbt:0005103; ABaraapapaa WBbt:0006455
7544	[7544] cluster aldo-2	WBGene00021293	Y25C1A.6	2817.29	0.872	False	ABarappppa WBbt:0006687	hermaphrodite WBbt:0007849; rectal gland cell WBbt:0005799; oocyte WBbt:0006797
7544	[7544] cluster aldo-2	WBGene00007182	fbxb-119	1156.98	0.871	False	ABarappppa WBbt:0006687	somatic nervous system WBbt:0005760; SMB WBbt:0005355; nervous system WBbt:0005735
7544	[7544] cluster aldo-2	WBGene00004815	skr-9	896.57	0.866	False	ABarappppa WBbt:0006687	ABplpppppp WBbt:0005960; ABprpppppp WBbt:0006430; intestine WBbt:0005772; BAG WBbt:0006825; epithelial system WBbt:0005730; nervous system WBbt:0005735; pharynx WBbt:0003681; muscular system WBbt:0005737
7544	[7544] cluster aldo-2	WBGene00019415	K05F6.4	1566.85	0.857	False	ABarappppa WBbt:0006687	ADE sheath cell WBbt:0008411; DA9 WBbt:0004857; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; ABalaapppa WBbt:0006026; VA11 WBbt:0004647; ABalapaapa WBbt:0005981; nervous system WBbt:0005735; PDA WBbt:0004386; preanal ganglion WBbt:0005448
7544	[7544] cluster aldo-2	WBGene00010808	sepa-1	900.43	0.854	False	ABarappppa WBbt:0006687	intestine WBbt:0005772; BAG WBbt:0006825; epithelial system WBbt:0005730; nervous system WBbt:0005735
7544	[7544] cluster aldo-2	WBGene00019045	fbxb-47	510.13	0.849	False	ABarappppa WBbt:0006687	corpus WBbt:0003733; ADE sheath cell WBbt:0008411; epithelial system WBbt:0005730; pharynx WBbt:0003681; germ line WBbt:0005784; NSM WBbt:0003666; reproductive system WBbt:0005747
7544	[7544] cluster aldo-2	WBGene00001104	dsl-2	4744.46	0.846	False	ABarappppa WBbt:0006687	nociceptor neuron WBbt:0008434; ASJ WBbt:0005667; ADF WBbt:0005660; osmosensory neuron WBbt:0008433; intestine WBbt:0005772; BAG WBbt:0006825; ASI WBbt:0005666; epithelial system WBbt:0005730; AWA WBbt:0005670; nervous system WBbt:0005735; pharynx WBbt:0003681; thermosensory neuron WBbt:0005838; ADL WBbt:0005661; ASG WBbt:0005664; germ line WBbt:0005784; striated muscle WBbt:0005779; AWB WBbt:0005671; germline precursor cell WBbt:0006849; ASE WBbt:0005663; muscular system WBbt:0005737; reproductive system WBbt:0005747; ASK WBbt:0005668
7544	[7544] cluster aldo-2	WBGene00019922	fbxc-28	667.02	0.844	False	ABarappppa WBbt:0006687	ABplpppppp WBbt:0005960; MSpaaapa WBbt:0006241; ABprpppppp WBbt:0006430; BAG WBbt:0006825; epithelial system WBbt:0005730; ABplpaaapa WBbt:0006093; ABprpaaapa WBbt:0006149; ABarpapaaa WBbt:0006207; pharynx WBbt:0003681; germ line WBbt:0005784; ABplaaaaaa WBbt:0006330; muscular system WBbt:0005737; reproductive system WBbt:0005747
7544	[7544] cluster aldo-2	WBGene00013086	arrd-2	1704.49	0.843	False	ABarappppa WBbt:0006687	XXX cell WBbt:0007855; AVJ WBbt:0006822; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; anterior ganglion WBbt:0005375; somatic nervous system WBbt:0005760; ABprapppapp WBbt:0006743; ABplaaaaapp WBbt:0006428; epithelial system WBbt:0005730; ABalaapppa WBbt:0006026; ABalapaapa WBbt:0005981; oocyte WBbt:0006797; pharynx WBbt:0003681; ABplapppapp WBbt:0005970; lateral ganglion left WBbt:0005103; PVP WBbt:0006832; germ line WBbt:0005784; ABarpapaapp WBbt:0006075; muscular system WBbt:0005737; reproductive system WBbt:0005747; preanal ganglion WBbt:0005448
7544	[7544] cluster aldo-2	WBGene00004816	skr-10	1118.55	0.838	False	ABarappppa WBbt:0006687	intestine WBbt:0005772; ABaraapppaa WBbt:0006566; epithelial system WBbt:0005730; pharynx WBbt:0003681; ABaraapapaa WBbt:0006455; muscular system WBbt:0005737
7544	[7544] cluster aldo-2	WBGene00010142	F56A8.8	1751.42	0.836	False	ABarappppa WBbt:0006687	IL socket cell WBbt:0008418; AVJ WBbt:0006822; lateral ganglion right WBbt:0005101; anterior ganglion WBbt:0005375; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; AVK WBbt:0006823; FLP WBbt:0006828; AIN WBbt:0006815; lateral ganglion left WBbt:0005103
