node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
7546	[7546] cluster rmd-1	WBGene00011741	T12G3.6	540.58	0.799	True	germline precursor cell WBbt:0006849	Q cell WBbt:0008598; hermaphrodite WBbt:0007849; BAG WBbt:0006825; epithelial system WBbt:0005730; oocyte WBbt:0006797; pharynx WBbt:0003681; thermosensory neuron WBbt:0005838; germ line WBbt:0005784; germline precursor cell WBbt:0006849; muscular system WBbt:0005737; reproductive system WBbt:0005747
7546	[7546] cluster rmd-1	WBGene00010555	K04C1.5	229.7	0.789	False	germline precursor cell WBbt:0006849	hermaphrodite WBbt:0007849; epithelial system WBbt:0005730; oocyte WBbt:0006797; nervous system WBbt:0005735; germ line WBbt:0005784; reproductive system WBbt:0005747; cephalic sheath cell WBbt:0008406
7546	[7546] cluster rmd-1	WBGene00001606	gln-5	697.77	0.786	True	germline precursor cell WBbt:0006849	XXX cell WBbt:0007855; anterior ganglion WBbt:0005375; ABaraapppaa WBbt:0006566; epithelial system WBbt:0005730; germ line WBbt:0005784; germline precursor cell WBbt:0006849; ABaraapapaa WBbt:0006455; reproductive system WBbt:0005747; cephalic sheath cell WBbt:0008406
7546	[7546] cluster rmd-1	WBGene00015083	egg-1	976.58	0.785	True	germline precursor cell WBbt:0006849	XXX cell WBbt:0007855; Psub1 WBbt:0006874; anterior ganglion WBbt:0005375; epithelial system WBbt:0005730; nervous system WBbt:0005735; germ line WBbt:0005784; germline precursor cell WBbt:0006849; EMS WBbt:0006876; reproductive system WBbt:0005747; cephalic sheath cell WBbt:0008406
7546	[7546] cluster rmd-1	WBGene00021035	W05F2.3	1471.79	0.777	True	germline precursor cell WBbt:0006849	Psub1 WBbt:0006874; hermaphrodite WBbt:0007849; BAG WBbt:0006825; epithelial system WBbt:0005730; ABalaapppa WBbt:0006026; ABalapaapa WBbt:0005981; nervous system WBbt:0005735; pharynx WBbt:0003681; germ line WBbt:0005784; germline precursor cell WBbt:0006849; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
7546	[7546] cluster rmd-1	WBGene00016178	mesp-1	1470.22	0.773	True	germline precursor cell WBbt:0006849	ABarppaapp WBbt:0006393; ABarpppapp WBbt:0006572; nervous system WBbt:0005735; germ line WBbt:0005784; germline precursor cell WBbt:0006849; reproductive system WBbt:0005747
7546	[7546] cluster rmd-1	WBGene00015102	cpg-2	3249.3	0.77	True	germline precursor cell WBbt:0006849	Psub1 WBbt:0006874; lateral ganglion right WBbt:0005101; RIV WBbt:0006839; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; nervous system WBbt:0005735; pharynx WBbt:0003681; lateral ganglion left WBbt:0005103; germ line WBbt:0005784; germline precursor cell WBbt:0006849; EMS WBbt:0006876; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
7546	[7546] cluster rmd-1	WBGene00000465	cpg-1	2642.01	0.767	True	germline precursor cell WBbt:0006849	MSaapapa WBbt:0006323; hermaphrodite WBbt:0007849; BAG WBbt:0006825; MSpapapa WBbt:0006308; oocyte WBbt:0006797; nervous system WBbt:0005735; pharynx WBbt:0003681; germ line WBbt:0005784; germline precursor cell WBbt:0006849; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
7546	[7546] cluster rmd-1	WBGene00008825	F14H3.6	633.5	0.766	False	germline precursor cell WBbt:0006849	MSaapapa WBbt:0006323; hermaphrodite WBbt:0007849; Psub2 WBbt:0006873; amphid sheath cell WBbt:0006754; AB WBbt:0004015; MSpapapa WBbt:0006308; epithelial system WBbt:0005730; ABplapaaap WBbt:0006317; oocyte WBbt:0006797; nervous system WBbt:0005735; pharynx WBbt:0003681; germ line WBbt:0005784; muscular system WBbt:0005737; ABprapaaap WBbt:0005977; reproductive system WBbt:0005747; cephalic sheath cell WBbt:0008406
7546	[7546] cluster rmd-1	WBGene00011986	T24D1.3	436.81	0.766	True	germline precursor cell WBbt:0006849	Psub1 WBbt:0006874; corpus WBbt:0003733; epithelial system WBbt:0005730; pharynx WBbt:0003681; thermosensory neuron WBbt:0005838; germ line WBbt:0005784; germline precursor cell WBbt:0006849; NSM WBbt:0003666; EMS WBbt:0006876; reproductive system WBbt:0005747; cephalic sheath cell WBbt:0008406
7546	[7546] cluster rmd-1	WBGene00004241	puf-5	1093.51	0.76	True	germline precursor cell WBbt:0006849	pm8 WBbt:0004302; hermaphrodite WBbt:0007849; BAG WBbt:0006825; epithelial system WBbt:0005730; oocyte WBbt:0006797; pharynx WBbt:0003681; germ line WBbt:0005784; germline precursor cell WBbt:0006849; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697; Psub3 WBbt:0006875; cephalic sheath cell WBbt:0008406
7546	[7546] cluster rmd-1	WBGene00017177	F02E8.4	145.44	0.759	True	germline precursor cell WBbt:0006849	g1AL WBbt:0004532; g1P WBbt:0004528; g1AR WBbt:0004530; nervous system WBbt:0005735; pharynx WBbt:0003681; germ line WBbt:0005784; germline precursor cell WBbt:0006849; reproductive system WBbt:0005747
7546	[7546] cluster rmd-1	WBGene00003865	oma-2	742.72	0.759	True	germline precursor cell WBbt:0006849	ABplpapppa WBbt:0006225; excretory system WBbt:0005736; K' cell WBbt:0004497; Psub1 WBbt:0006874; DB2 WBbt:0004845; ABprppppaa WBbt:0006642; hermaphrodite WBbt:0007849; intestine WBbt:0005772; AB WBbt:0004015; DB6 WBbt:0004841; ABarppaapp WBbt:0006393; BAG WBbt:0006825; DVA WBbt:0004823; lumbar ganglion right WBbt:0005601; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; ABarpppapp WBbt:0006572; epithelial system WBbt:0005730; head muscle WBbt:0006761; AVK WBbt:0006823; DB7 WBbt:0004840; oocyte WBbt:0006797; nervous system WBbt:0005735; pharynx WBbt:0003681; K cell WBbt:0004499; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; excretory duct cell WBbt:0004540; dorso-rectal ganglion WBbt:0005212; PVR WBbt:0004072; DB3 WBbt:0004844; excretory secretory system WBbt:0006850; excretory socket cell WBbt:0004534; ABplppppaa WBbt:0006109; germ line WBbt:0005784; pm6 WBbt:0003724; germline precursor cell WBbt:0006849; DB5 WBbt:0004842; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697; cephalic sheath cell WBbt:0008406
7546	[7546] cluster rmd-1	WBGene00013567	Y75B12B.1	598.69	0.75	False	germline precursor cell WBbt:0006849	I5 neuron WBbt:0004740; somatic nervous system WBbt:0005760; nervous system WBbt:0005735; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; SAB WBbt:0005396; germ line WBbt:0005784; AIY WBbt:0005413; reproductive system WBbt:0005747
7546	[7546] cluster rmd-1	WBGene00011011	R04D3.3	187.24	0.748	True	germline precursor cell WBbt:0006849	BAG WBbt:0006825; epithelial system WBbt:0005730; pharynx WBbt:0003681; germ line WBbt:0005784; germline precursor cell WBbt:0006849; muscular system WBbt:0005737
7546	[7546] cluster rmd-1	WBGene00008464	E02H4.6	114.88	0.746	False	germline precursor cell WBbt:0006849	hermaphrodite WBbt:0007849; AB WBbt:0004015; germ line WBbt:0005784; reproductive system WBbt:0005747
7546	[7546] cluster rmd-1	WBGene00001647	gna-2	1053.97	0.741	True	germline precursor cell WBbt:0006849	IL socket cell WBbt:0008418; I5 neuron WBbt:0004740; hyp1 WBbt:0004694; hyp2 WBbt:0004692; corpus WBbt:0003733; lateral ganglion right WBbt:0005101; pm1 WBbt:0003744; anterior ganglion WBbt:0005375; intestine WBbt:0005772; anterior arcade cell WBbt:0005794; epithelial system WBbt:0005730; AIB WBbt:0006813; pm2 WBbt:0003742; pharynx WBbt:0003681; thermosensory neuron WBbt:0005838; posterior arcade cell WBbt:0005795; lateral ganglion left WBbt:0005103; germ line WBbt:0005784; germline precursor cell WBbt:0006849; phasmid sheath cell WBbt:0006755; muscular system WBbt:0005737; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
7546	[7546] cluster rmd-1	WBGene00016824	C50E3.13	153.93	0.739	False	germline precursor cell WBbt:0006849	hermaphrodite WBbt:0007849; AB WBbt:0004015; ABprpaaaap WBbt:0006721; ABplpaaaap WBbt:0006528; germ line WBbt:0005784
