node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
7551	[7551] cluster R11D1.3	WBGene00011244	R11D1.3	2213.47	0.867	True	amphid sheath cell WBbt:0006754	amphid sheath cell WBbt:0006754; epithelial system WBbt:0005730; thermosensory neuron WBbt:0005838
7551	[7551] cluster R11D1.3	WBGene00007450	C08F11.1	2212.01	0.849	True	amphid sheath cell WBbt:0006754	excretory system WBbt:0005736; anterior ganglion WBbt:0005375; intestine WBbt:0005772; amphid sheath cell WBbt:0006754; epithelial system WBbt:0005730; nervous system WBbt:0005735; excretory duct cell WBbt:0004540; excretory secretory system WBbt:0006850; excretory socket cell WBbt:0004534; phasmid sheath cell WBbt:0006755; cephalic sheath cell WBbt:0008406
7551	[7551] cluster R11D1.3	WBGene00015711	C12D5.10	561.04	0.843	True	amphid sheath cell WBbt:0006754	I6 neuron WBbt:0004739; amphid sheath cell WBbt:0006754; epithelial system WBbt:0005730; pharynx WBbt:0003681
7551	[7551] cluster R11D1.3	WBGene00008713	F11E6.10	254.96	0.637	True	amphid sheath cell WBbt:0006754	DD1 WBbt:0004839; DB2 WBbt:0004845; DD6 WBbt:0004824; lateral ganglion right WBbt:0005101; anterior ganglion WBbt:0005375; amphid sheath cell WBbt:0006754; DB6 WBbt:0004841; BAG WBbt:0006825; DB1 WBbt:0004846; somatic nervous system WBbt:0005760; epithelial system WBbt:0005730; DB7 WBbt:0004840; nervous system WBbt:0005735; DD5 WBbt:0004825; AWCR WBbt:0003826; DB4 WBbt:0004843; retrovesicular ganglion WBbt:0005656; thermosensory neuron WBbt:0005838; DB3 WBbt:0004844; RIS WBbt:0005045; lateral ganglion left WBbt:0005103; DD3 WBbt:0004837; DD2 WBbt:0004838; DB5 WBbt:0004842; DD4 WBbt:0004826; AWCL WBbt:0003827; ASE WBbt:0005663; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697; preanal ganglion WBbt:0005448
7551	[7551] cluster R11D1.3	WBGene00044906	Y67A10A.11	117.7	0.621	True	amphid sheath cell WBbt:0006754	amphid sheath cell WBbt:0006754; epithelial system WBbt:0005730; nervous system WBbt:0005735; male WBbt:0007850; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697
7551	[7551] cluster R11D1.3	WBGene00044991	T25B9.12	279.57	0.559	True	amphid sheath cell WBbt:0006754	ILshDR WBbt:0004531; excretory system WBbt:0005736; ILshVR WBbt:0004523; anterior ganglion WBbt:0005375; intestine WBbt:0005772; ILshDL WBbt:0004533; amphid sheath cell WBbt:0006754; ILshL WBbt:0004529; excretory cell WBbt:0005812; epithelial system WBbt:0005730; ILshVL WBbt:0004525; outer labial lateral sensillum WBbt:0005503; OL sheath cell WBbt:0008413; excretory duct cell WBbt:0004540; excretory secretory system WBbt:0006850; excretory socket cell WBbt:0004534; phasmid sheath cell WBbt:0006755; CEPsoDL WBbt:0004921; outer labial quadrant sensillum WBbt:0005502; ILshR WBbt:0004527; cephalic sheath cell WBbt:0008406
7551	[7551] cluster R11D1.3	WBGene00001806	gur-5	59.79	0.511	True	amphid sheath cell WBbt:0006754	AIA WBbt:0006812; amphid sheath cell WBbt:0006754; epithelial system WBbt:0005730; AS1 WBbt:0003925; retrovesicular ganglion WBbt:0005656; cephalic sheath cell WBbt:0008406
7551	[7551] cluster R11D1.3	WBGene00194869	K01A6.8	592.14	0.475	True	amphid sheath cell WBbt:0006754	amphid sheath cell WBbt:0006754; epithelial system WBbt:0005730
7551	[7551] cluster R11D1.3	WBGene00044152	W04G3.10	80.04	0.473	True	amphid sheath cell WBbt:0006754	anterior ganglion WBbt:0005375; ILshDL WBbt:0004533; amphid sheath cell WBbt:0006754; anterior arcade cell WBbt:0005794; epithelial system WBbt:0005730; OL sheath cell WBbt:0008413; outer labial quadrant sensillum WBbt:0005502
7551	[7551] cluster R11D1.3	WBGene00018411	F44B9.10	70.33	0.384	True	amphid sheath cell WBbt:0006754	excretory system WBbt:0005736; intestine WBbt:0005772; amphid sheath cell WBbt:0006754; excretory cell WBbt:0005812; epithelial system WBbt:0005730; excretory secretory system WBbt:0006850; phasmid sheath cell WBbt:0006755
7551	[7551] cluster R11D1.3	WBGene00077497	K06A4.10	70.32	0.333	True	amphid sheath cell WBbt:0006754	excretory system WBbt:0005736; amphid sheath cell WBbt:0006754; excretory cell WBbt:0005812; epithelial system WBbt:0005730; excretory secretory system WBbt:0006850; RID WBbt:0003938
