node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
7553	[7553] cluster Y119D3B.21	WBGene00045416	Y37H2A.14	8306.23	0.922	True	intestine WBbt:0005772	GLR WBbt:0005176; intestine WBbt:0005772; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; rectal valve cell WBbt:0005797; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697
7553	[7553] cluster Y119D3B.21	WBGene00194926	K08D8.12	519.65	0.854	True	intestine WBbt:0005772	hermaphrodite WBbt:0007849; intestine WBbt:0005772; rectal gland cell WBbt:0005799; epithelial system WBbt:0005730; somatic gonad WBbt:0005785; pharynx WBbt:0003681; rectal valve cell WBbt:0005797; pharyngeal-intestinal valve WBbt:0005767; sex organ WBbt:0008422; uv1 WBbt:0006791; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697
7553	[7553] cluster Y119D3B.21	WBGene00010238	F58B4.5	14096.93	0.814	True	intestine WBbt:0005772	intestine WBbt:0005772; lumbar ganglion right WBbt:0005601; PLM WBbt:0005490; muscular system WBbt:0005737; head mesodermal cell WBbt:0004697
7553	[7553] cluster Y119D3B.21	WBGene00017092	E02C12.6	790.48	0.81	True	intestine WBbt:0005772	intestine WBbt:0005772; PVD WBbt:0006831; somatic nervous system WBbt:0005760; OLL WBbt:0006847; male WBbt:0007850
7553	[7553] cluster Y119D3B.21	WBGene00021224	clec-209	1543.77	0.804	True	intestine WBbt:0005772	hermaphrodite WBbt:0007849; intestine WBbt:0005772; nervous system WBbt:0005735
7553	[7553] cluster Y119D3B.21	WBGene00018910	F56A4.2	1510.3	0.8	True	intestine WBbt:0005772	intestine WBbt:0005772
7553	[7553] cluster Y119D3B.21	WBGene00011800	T16G1.6	2578.8	0.795	True	intestine WBbt:0005772	lateral ganglion right WBbt:0005101; intestine WBbt:0005772; PVD WBbt:0006831; OLL WBbt:0006847; thermosensory neuron WBbt:0005838; germ line WBbt:0005784; ASE WBbt:0005663; reproductive system WBbt:0005747
7553	[7553] cluster Y119D3B.21	WBGene00019886	R05D8.9	844.99	0.772	True	intestine WBbt:0005772	intestine WBbt:0005772; nervous system WBbt:0005735
7553	[7553] cluster Y119D3B.21	WBGene00018200	btb-17	421.29	0.77	True	intestine WBbt:0005772	lateral ganglion right WBbt:0005101; intestine WBbt:0005772; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; PQR WBbt:0004096; AQR WBbt:0003927; ASE WBbt:0005663
7553	[7553] cluster Y119D3B.21	WBGene00008831	F14H3.12	119.04	0.74	True	intestine WBbt:0005772	intestine WBbt:0005772
7553	[7553] cluster Y119D3B.21	WBGene00023503	F17C11.13	1141.72	0.72	True	intestine WBbt:0005772	I5 neuron WBbt:0004740; intestine WBbt:0005772; PVQ WBbt:0006976; somatic nervous system WBbt:0005760; rectal gland cell WBbt:0005799; nervous system WBbt:0005735; pharynx WBbt:0003681; retrovesicular ganglion WBbt:0005656; SAB WBbt:0005396
7553	[7553] cluster Y119D3B.21	WBGene00016757	C49A9.3	482.68	0.703	True	intestine WBbt:0005772	intestine WBbt:0005772; lumbar ganglion right WBbt:0005601; somatic nervous system WBbt:0005760; g1P WBbt:0004528; PQR WBbt:0004096; AQR WBbt:0003927; pharynx WBbt:0003681
