node	cluster_name	WBgeneID	gene_name	mean_expression	PCC	used_for_annotation	node_annotation	gene_other_annotations
7915	[7915] cluster F13A2.5	WBGene00017414	F13A2.5	1203.83	0.812	True	gonadal primordium WBbt:0008366	Z1.p WBbt:0007023; male distal tip cell WBbt:0006864; gonadal primordium WBbt:0008366; Z4.a WBbt:0007025; male WBbt:0007850; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
7915	[7915] cluster F13A2.5	WBGene00001223	ehn-3	916.28	0.721	True	gonadal primordium WBbt:0008366	gonadal primordium WBbt:0008366
7915	[7915] cluster F13A2.5	WBGene00000513	ckb-3	200.37	0.595	True	gonadal primordium WBbt:0008366	gonad arm WBbt:0008629; hermaphrodite distal tip cell WBbt:0006863; dorsal uterine cell WBbt:0006782; Z1.p WBbt:0007023; vulD WBbt:0006766; hermaphrodite WBbt:0007849; VD12 WBbt:0004587; male distal tip cell WBbt:0006864; gonadal primordium WBbt:0008366; vulF WBbt:0006768; vulC WBbt:0006765; epithelial system WBbt:0005730; Z4.a WBbt:0007025; vulA WBbt:0006762; midbody WBbt:0005740; somatic gonad WBbt:0005785; pharynx WBbt:0003681; vulB1 WBbt:0006763; sex organ WBbt:0008422; germ line WBbt:0005784; pm6 WBbt:0003724; vulE WBbt:0006767; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; head mesodermal cell WBbt:0004697; preanal ganglion WBbt:0005448
7915	[7915] cluster F13A2.5	WBGene00012314	W06G6.12	31.09	0.55	True	gonadal primordium WBbt:0008366	gonadal primordium WBbt:0008366
7915	[7915] cluster F13A2.5	WBGene00235339	F14F8.15	37.3	0.529	True	gonadal primordium WBbt:0008366	gonadal primordium WBbt:0008366
7915	[7915] cluster F13A2.5	WBGene00206371	F28B12.6	440.58	0.502	True	gonadal primordium WBbt:0008366	MC neuron WBbt:0003638; corpus WBbt:0003733; gonadal primordium WBbt:0008366; epithelial system WBbt:0005730; pharynx WBbt:0003681; mc3 WBbt:0003707; muscular system WBbt:0005737
7915	[7915] cluster F13A2.5	WBGene00015375	C03B1.4	54.09	0.424	True	gonadal primordium WBbt:0008366	dorsal uterine cell WBbt:0006782; Z1.p WBbt:0007023; hermaphrodite WBbt:0007849; male distal tip cell WBbt:0006864; gonadal primordium WBbt:0008366; PLM WBbt:0005490; epithelial system WBbt:0005730; Z4.a WBbt:0007025; nervous system WBbt:0005735; somatic gonad WBbt:0005785; ALM WBbt:0005406; sex organ WBbt:0008422; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747
7915	[7915] cluster F13A2.5	WBGene00015666	gad-2	260.91	0.401	True	gonadal primordium WBbt:0008366	XXX cell WBbt:0007855; dorsal uterine cell WBbt:0006782; Z1.p WBbt:0007023; vulD WBbt:0006766; ut4 WBbt:0006788; hermaphrodite WBbt:0007849; lateral ganglion right WBbt:0005101; anterior ganglion WBbt:0005375; male distal tip cell WBbt:0006864; ASI WBbt:0005666; gonadal primordium WBbt:0008366; vulF WBbt:0006768; vulC WBbt:0006765; epithelial system WBbt:0005730; Z4.a WBbt:0007025; vulA WBbt:0006762; midbody WBbt:0005740; somatic gonad WBbt:0005785; vulB1 WBbt:0006763; lateral ganglion left WBbt:0005103; sex organ WBbt:0008422; male WBbt:0007850; vulE WBbt:0006767; reproductive tract WBbt:0005744
7915	[7915] cluster F13A2.5	WBGene00235081	W06G6.21	13.68	0.384	True	gonadal primordium WBbt:0008366	gonadal primordium WBbt:0008366
7915	[7915] cluster F13A2.5	WBGene00011276	aakg-5	591.04	0.328	True	gonadal primordium WBbt:0008366	GLR WBbt:0005176; excretory system WBbt:0005736; hermaphrodite WBbt:0007849; spermatheca WBbt:0005319; intestine WBbt:0005772; PVD WBbt:0006831; lumbar ganglion right WBbt:0005601; CAN WBbt:0006827; somatic nervous system WBbt:0005760; phasmid socket cell WBbt:0008410; gonadal primordium WBbt:0008366; excretory cell WBbt:0005812; M cell WBbt:0004489; epithelial system WBbt:0005730; OLL WBbt:0006847; midbody WBbt:0005740; muscle of the reproductive system WBbt:0005786; oocyte WBbt:0006797; tail precursor cell WBbt:0008409; somatic gonad WBbt:0005785; pharynx WBbt:0003681; rectal valve cell WBbt:0005797; PVR WBbt:0004072; coelomic system WBbt:0005749; pharyngeal epithelial cell WBbt:0005459; excretory secretory system WBbt:0006850; sex organ WBbt:0008422; germ line WBbt:0005784; ABplapappp WBbt:0006630; germline precursor cell WBbt:0006849; phasmid sheath cell WBbt:0006755; ABprapappp WBbt:0006587; male WBbt:0007850; muscular system WBbt:0005737; reproductive tract WBbt:0005744; reproductive system WBbt:0005747; preanal ganglion WBbt:0005448
